datetime,00060_Mean,00060_Mean_cd,site_no
2011-10-01 00:00:00+00:00,28.0,A,10131000
2011-10-02 00:00:00+00:00,33.0,A,10131000
2011-10-03 00:00:00+00:00,39.2,A,10131000
2011-10-04 00:00:00+00:00,44.4,A,10131000
2011-10-05 00:00:00+00:00,41.8,A,10131000
2011-10-06 00:00:00+00:00,48.0,A,10131000
2011-10-07 00:00:00+00:00,49.9,A,10131000
2011-10-08 00:00:00+00:00,49.2,A,10131000
2011-10-09 00:00:00+00:00,50.0,A,10131000
2011-10-10 00:00:00+00:00,48.6,A,10131000
2011-10-11 00:00:00+00:00,49.2,A,10131000
2011-10-12 00:00:00+00:00,49.0,A,10131000
2011-10-13 00:00:00+00:00,46.6,A,10131000
2011-10-14 00:00:00+00:00,45.5,A,10131000
2011-10-15 00:00:00+00:00,44.5,A,10131000
2011-10-16 00:00:00+00:00,43.7,A,10131000
2011-10-17 00:00:00+00:00,48.0,A,10131000
2011-10-18 00:00:00+00:00,49.5,A,10131000
2011-10-19 00:00:00+00:00,46.7,A,10131000
2011-10-20 00:00:00+00:00,44.7,A,10131000
2011-10-21 00:00:00+00:00,43.1,A,10131000
2011-10-22 00:00:00+00:00,42.5,A,10131000
2011-10-23 00:00:00+00:00,42.5,A,10131000
2011-10-24 00:00:00+00:00,41.8,A,10131000
2011-10-25 00:00:00+00:00,41.3,A,10131000
2011-10-26 00:00:00+00:00,42.5,A,10131000
2011-10-27 00:00:00+00:00,39.7,A,10131000
2011-10-28 00:00:00+00:00,38.8,A,10131000
2011-10-29 00:00:00+00:00,40.8,A,10131000
2011-10-30 00:00:00+00:00,41.7,A,10131000
2011-10-31 00:00:00+00:00,41.1,A,10131000
2011-11-01 00:00:00+00:00,46.3,A,10131000
2011-11-02 00:00:00+00:00,41.4,A,10131000
2011-11-03 00:00:00+00:00,37.3,A,10131000
2011-11-04 00:00:00+00:00,47.8,A,10131000
2011-11-05 00:00:00+00:00,46.3,A,10131000
2011-11-06 00:00:00+00:00,39.9,A,10131000
2011-11-07 00:00:00+00:00,44.8,A,10131000
2011-11-08 00:00:00+00:00,43.0,A,10131000
2011-11-09 00:00:00+00:00,33.5,A,10131000
2011-11-10 00:00:00+00:00,38.7,A,10131000
2011-11-11 00:00:00+00:00,40.5,A,10131000
2011-11-12 00:00:00+00:00,46.4,A,10131000
2011-11-13 00:00:00+00:00,45.4,A,10131000
2011-11-14 00:00:00+00:00,43.2,A,10131000
2011-11-15 00:00:00+00:00,43.6,A,10131000
2011-11-16 00:00:00+00:00,36.8,A,10131000
2011-11-17 00:00:00+00:00,42.4,A,10131000
2011-11-18 00:00:00+00:00,44.2,A,10131000
2011-11-19 00:00:00+00:00,43.3,A,10131000
2011-11-20 00:00:00+00:00,34.4,A,10131000
2011-11-21 00:00:00+00:00,49.0,A,10131000
2011-11-22 00:00:00+00:00,41.4,A,10131000
2011-11-23 00:00:00+00:00,40.8,A,10131000
2011-11-24 00:00:00+00:00,42.7,A,10131000
2011-11-25 00:00:00+00:00,41.7,A,10131000
2011-11-26 00:00:00+00:00,25.7,A,10131000
2011-11-27 00:00:00+00:00,30.9,A,10131000
2011-11-28 00:00:00+00:00,43.7,A,10131000
2011-11-29 00:00:00+00:00,42.6,A,10131000
2011-11-30 00:00:00+00:00,40.2,A,10131000
2011-12-01 00:00:00+00:00,33.4,A,10131000
2011-12-02 00:00:00+00:00,19.8,A,10131000
2011-12-03 00:00:00+00:00,34.6,A,10131000
2011-12-04 00:00:00+00:00,28.2,A,10131000
2011-12-05 00:00:00+00:00,18.1,A,10131000
2011-12-06 00:00:00+00:00,17.7,A,10131000
2011-12-07 00:00:00+00:00,26.1,A,10131000
2011-12-08 00:00:00+00:00,34.7,A,10131000
2011-12-09 00:00:00+00:00,36.4,A,10131000
2011-12-10 00:00:00+00:00,33.1,A,10131000
2011-12-11 00:00:00+00:00,32.2,A,10131000
2011-12-12 00:00:00+00:00,33.7,A,10131000
2011-12-13 00:00:00+00:00,34.7,A,10131000
2011-12-14 00:00:00+00:00,35.3,A,10131000
2011-12-15 00:00:00+00:00,32.3,A,10131000
2011-12-16 00:00:00+00:00,30.5,A,10131000
2011-12-17 00:00:00+00:00,29.7,A,10131000
2011-12-18 00:00:00+00:00,29.0,A,10131000
2011-12-19 00:00:00+00:00,28.7,A,10131000
2011-12-20 00:00:00+00:00,28.7,A,10131000
2011-12-21 00:00:00+00:00,28.7,A,10131000
2011-12-22 00:00:00+00:00,27.7,A,10131000
2011-12-23 00:00:00+00:00,25.8,A,10131000
2011-12-24 00:00:00+00:00,25.9,A,10131000
2011-12-25 00:00:00+00:00,26.9,A,10131000
2011-12-26 00:00:00+00:00,27.5,A,10131000
2011-12-27 00:00:00+00:00,27.6,A,10131000
2011-12-28 00:00:00+00:00,27.9,A,10131000
2011-12-29 00:00:00+00:00,29.4,A,10131000
2011-12-30 00:00:00+00:00,34.1,A,10131000
2011-12-31 00:00:00+00:00,34.8,A,10131000
2012-01-01 00:00:00+00:00,30.2,A,10131000
2012-01-02 00:00:00+00:00,30.8,A,10131000
2012-01-03 00:00:00+00:00,31.9,A,10131000
2012-01-04 00:00:00+00:00,29.5,A,10131000
2012-01-05 00:00:00+00:00,29.1,A,10131000
2012-01-06 00:00:00+00:00,29.5,A,10131000
2012-01-07 00:00:00+00:00,30.2,A,10131000
2012-01-08 00:00:00+00:00,29.5,A,10131000
2012-01-09 00:00:00+00:00,28.6,A,10131000
2012-01-10 00:00:00+00:00,25.2,A,10131000
2012-01-11 00:00:00+00:00,29.5,A,10131000
2012-01-12 00:00:00+00:00,19.9,A,10131000
2012-01-13 00:00:00+00:00,22.8,A,10131000
2012-01-14 00:00:00+00:00,25.7,A,10131000
2012-01-15 00:00:00+00:00,27.9,A,10131000
2012-01-16 00:00:00+00:00,27.7,A,10131000
2012-01-17 00:00:00+00:00,22.1,A,10131000
2012-01-18 00:00:00+00:00,25.2,A,10131000
2012-01-19 00:00:00+00:00,27.7,A,10131000
2012-01-20 00:00:00+00:00,33.9,A,10131000
2012-01-21 00:00:00+00:00,38.6,A,10131000
2012-01-22 00:00:00+00:00,34.5,A,10131000
2012-01-23 00:00:00+00:00,29.0,A,10131000
2012-01-24 00:00:00+00:00,31.8,A,10131000
2012-01-25 00:00:00+00:00,28.2,A,10131000
2012-01-26 00:00:00+00:00,33.2,A,10131000
2012-01-27 00:00:00+00:00,32.9,A,10131000
2012-01-28 00:00:00+00:00,21.0,A,10131000
2012-01-29 00:00:00+00:00,26.8,A,10131000
2012-01-30 00:00:00+00:00,30.7,A,10131000
2012-01-31 00:00:00+00:00,27.2,A,10131000
2012-02-01 00:00:00+00:00,26.1,A,10131000
2012-02-02 00:00:00+00:00,29.8,A,10131000
2012-02-03 00:00:00+00:00,25.4,A,10131000
2012-02-04 00:00:00+00:00,21.3,A,10131000
2012-02-05 00:00:00+00:00,23.1,A,10131000
2012-02-06 00:00:00+00:00,24.5,A,10131000
2012-02-07 00:00:00+00:00,23.2,A,10131000
2012-02-08 00:00:00+00:00,26.9,A,10131000
2012-02-09 00:00:00+00:00,28.2,A,10131000
2012-02-10 00:00:00+00:00,27.2,A,10131000
2012-02-11 00:00:00+00:00,25.7,A,10131000
2012-02-12 00:00:00+00:00,28.1,A,10131000
2012-02-13 00:00:00+00:00,27.9,A,10131000
2012-02-14 00:00:00+00:00,27.5,A,10131000
2012-02-15 00:00:00+00:00,24.7,A,10131000
2012-02-16 00:00:00+00:00,26.9,A,10131000
2012-02-17 00:00:00+00:00,21.8,A,10131000
2012-02-18 00:00:00+00:00,23.3,A,10131000
2012-02-19 00:00:00+00:00,30.9,A,10131000
2012-02-20 00:00:00+00:00,22.0,A,10131000
2012-02-21 00:00:00+00:00,35.3,A,10131000
2012-02-22 00:00:00+00:00,41.9,A,10131000
2012-02-23 00:00:00+00:00,65.9,A,10131000
2012-02-24 00:00:00+00:00,42.7,A,10131000
2012-02-25 00:00:00+00:00,36.4,A,10131000
2012-02-26 00:00:00+00:00,33.4,A,10131000
2012-02-27 00:00:00+00:00,28.6,A,10131000
2012-02-28 00:00:00+00:00,38.2,A,10131000
2012-02-29 00:00:00+00:00,27.8,A,10131000
2012-03-01 00:00:00+00:00,35.6,A,10131000
2012-03-02 00:00:00+00:00,32.2,A,10131000
2012-03-03 00:00:00+00:00,33.0,A,10131000
2012-03-04 00:00:00+00:00,35.2,A,10131000
2012-03-05 00:00:00+00:00,48.3,A,10131000
2012-03-06 00:00:00+00:00,59.3,A,10131000
2012-03-07 00:00:00+00:00,48.4,A,10131000
2012-03-08 00:00:00+00:00,37.7,A,10131000
2012-03-09 00:00:00+00:00,43.7,A,10131000
2012-03-10 00:00:00+00:00,62.1,A,10131000
2012-03-11 00:00:00+00:00,76.4,A,10131000
2012-03-12 00:00:00+00:00,111.0,A,10131000
2012-03-13 00:00:00+00:00,132.0,A,10131000
2012-03-14 00:00:00+00:00,130.0,A,10131000
2012-03-15 00:00:00+00:00,155.0,A,10131000
2012-03-16 00:00:00+00:00,198.0,A,10131000
