datetime,00060_Mean,00060_Mean_cd,site_no,80154_Mean,80154_Mean_cd,80155_Mean,80155_Mean_cd
2011-10-01 00:00:00+00:00,1670.0,A,12340500,5.2,A,22.7,A
2011-10-02 00:00:00+00:00,1690.0,A,12340500,5.0,A,22.9,A
2011-10-03 00:00:00+00:00,1690.0,A,12340500,5.6,A,25.4,A
2011-10-04 00:00:00+00:00,1730.0,A,12340500,6.5,A,30.5,A
2011-10-05 00:00:00+00:00,1830.0,A,12340500,8.7,A,43.0,A
2011-10-06 00:00:00+00:00,1930.0,A,12340500,10.6,A,55.5,A
2011-10-07 00:00:00+00:00,1970.0,A,12340500,9.3,A,49.3,A
2011-10-08 00:00:00+00:00,1980.0,A,12340500,8.0,A,43.0,A
2011-10-09 00:00:00+00:00,1950.0,A,12340500,7.3,A,38.6,A
2011-10-10 00:00:00+00:00,1930.0,A,12340500,7.0,A,36.7,A
2011-10-11 00:00:00+00:00,1970.0,A,12340500,7.5,A,40.0,A
2011-10-12 00:00:00+00:00,2000.0,A,12340500,8.0,A,43.1,A
2011-10-13 00:00:00+00:00,2000.0,A,12340500,8.0,A,43.3,A
2011-10-14 00:00:00+00:00,1980.0,A,12340500,8.1,A,43.2,A
2011-10-15 00:00:00+00:00,2040.0,A,12340500,9.3,A,51.1,A
2011-10-16 00:00:00+00:00,2100.0,A,12340500,10.0,A,56.7,A
2011-10-17 00:00:00+00:00,2140.0,A,12340500,10.0,A,57.8,A
2011-10-18 00:00:00+00:00,2110.0,A,12340500,9.5,A,54.5,A
2011-10-19 00:00:00+00:00,2080.0,A,12340500,8.7,A,48.9,A
2011-10-20 00:00:00+00:00,2040.0,A,12340500,8.0,A,44.3,A
2011-10-21 00:00:00+00:00,2050.0,A,12340500,8.0,A,44.2,A
2011-10-22 00:00:00+00:00,2020.0,A,12340500,8.0,A,43.7,A
2011-10-23 00:00:00+00:00,2040.0,A,12340500,8.0,A,44.0,A
2011-10-24 00:00:00+00:00,2090.0,A,12340500,8.0,A,45.2,A
2011-10-25 00:00:00+00:00,2140.0,A,12340500,7.8,A,45.3,A
2011-10-26 00:00:00+00:00,2110.0,A,12340500,6.7,A,38.4,A
2011-10-27 00:00:00+00:00,2060.0,A,12340500,5.5,A,30.7,A
2011-10-28 00:00:00+00:00,2040.0,A,12340500,4.3,A,23.9,A
2011-10-29 00:00:00+00:00,2010.0,A,12340500,4.0,A,21.7,A
2011-10-30 00:00:00+00:00,2010.0,A,12340500,4.2,A,22.7,A
2011-10-31 00:00:00+00:00,2010.0,A,12340500,4.6,A,25.1,A
2011-11-01 00:00:00+00:00,2010.0,A,12340500,4.8,A,26.0,A
2011-11-02 00:00:00+00:00,1990.0,A,12340500,4.1,A,22.2,A
2011-11-03 00:00:00+00:00,1930.0,A,12340500,4.0,A,20.8,A
2011-11-04 00:00:00+00:00,1940.0,A,12340500,4.5,A,23.7,A
2011-11-05 00:00:00+00:00,1960.0,A,12340500,4.9,A,26.2,A
2011-11-06 00:00:00+00:00,1950.0,A,12340500,4.5,A,23.7,A
2011-11-07 00:00:00+00:00,1880.0,A,12340500,4.0,A,20.3,A
2011-11-08 00:00:00+00:00,1850.0,A,12340500,3.5,A,17.5,A
2011-11-09 00:00:00+00:00,1890.0,A,12340500,3.1,A,15.7,A
2011-11-10 00:00:00+00:00,1870.0,A,12340500,3.0,A,15.2,A
2011-11-11 00:00:00+00:00,1860.0,A,12340500,3.1,A,15.5,A
2011-11-12 00:00:00+00:00,1890.0,A,12340500,3.5,A,18.1,A
2011-11-13 00:00:00+00:00,1920.0,A,12340500,4.0,A,20.5,A
2011-11-14 00:00:00+00:00,1940.0,A,12340500,3.8,A,19.9,A
2011-11-15 00:00:00+00:00,1930.0,A,12340500,3.4,A,18.0,A
2011-11-16 00:00:00+00:00,1820.0,A,12340500,3.1,A,15.2,A
2011-11-17 00:00:00+00:00,1790.0,A,12340500,3.1,A,15.0,A
2011-11-18 00:00:00+00:00,1890.0,A,12340500,3.7,A,19.1,A
2011-11-19 00:00:00+00:00,1800.0,A,12340500,4.5,A,21.8,A
2011-11-20 00:00:00+00:00,1660.0,A,12340500,5.2,A,23.4,A
2011-11-21 00:00:00+00:00,1740.0,A,12340500,6.0,A,28.2,A
2011-11-22 00:00:00+00:00,1850.0,A,12340500,6.9,A,34.4,A
2011-11-23 00:00:00+00:00,1920.0,A,12340500,7.8,A,40.5,A
2011-11-24 00:00:00+00:00,1920.0,A,12340500,8.7,A,45.3,A
2011-11-25 00:00:00+00:00,1950.0,A,12340500,9.0,A,47.0,A
2011-11-26 00:00:00+00:00,1890.0,A,12340500,8.7,A,44.5,A
2011-11-27 00:00:00+00:00,1790.0,A,12340500,8.5,A,40.9,A
2011-11-28 00:00:00+00:00,1880.0,A,12340500,8.3,A,41.9,A
2011-11-29 00:00:00+00:00,1870.0,A,12340500,8.0,A,40.7,A
2011-11-30 00:00:00+00:00,1850.0,A,12340500,9.1,A,45.4,A
2011-12-01 00:00:00+00:00,1810.0,A,12340500,12.5,A,60.9,A
2011-12-02 00:00:00+00:00,1700.0,A,12340500,14.9,A,68.4,A
2011-12-03 00:00:00+00:00,1680.0,A,12340500,17.0,A,76.9,A
2011-12-04 00:00:00+00:00,1680.0,A,12340500,29.3,A,134.0,A
2011-12-05 00:00:00+00:00,1560.0,A,12340500,30.5,A,129.0,A
2011-12-06 00:00:00+00:00,1550.0,A,12340500,26.8,A,112.0,A
2011-12-07 00:00:00+00:00,1610.0,A,12340500,24.5,A,107.0,A
2011-12-08 00:00:00+00:00,1600.0,A,12340500,22.4,A,96.6,A
2011-12-09 00:00:00+00:00,1560.0,A,12340500,20.4,A,85.8,A
2011-12-10 00:00:00+00:00,1490.0,A,12340500,20.0,A,80.6,A
2011-12-11 00:00:00+00:00,1480.0,A,12340500,22.5,A,90.1,A
