datetime,00010_Mean,00010_Mean_cd,site_no,00060_Mean,00060_Mean_cd
2011-10-01 00:00:00+00:00,11.8,A,12363000,4680.0,A
2011-10-02 00:00:00+00:00,12.1,A,12363000,4660.0,A
2011-10-03 00:00:00+00:00,11.1,A,12363000,4220.0,A
2011-10-04 00:00:00+00:00,7.8,A,12363000,3860.0,A
2011-10-05 00:00:00+00:00,7.6,A,12363000,3830.0,A
2011-10-06 00:00:00+00:00,7.7,A,12363000,3900.0,A
2011-10-07 00:00:00+00:00,7.4,A,12363000,3960.0,A
2011-10-08 00:00:00+00:00,7.9,A,12363000,4060.0,A
2011-10-09 00:00:00+00:00,7.4,A,12363000,4020.0,A
2011-10-10 00:00:00+00:00,7.4,A,12363000,3930.0,A
2011-10-11 00:00:00+00:00,7.4,A,12363000,3930.0,A
2011-10-12 00:00:00+00:00,7.5,A,12363000,4070.0,A
2011-10-13 00:00:00+00:00,7.4,A,12363000,4150.0,A
2011-10-14 00:00:00+00:00,6.4,A,12363000,3950.0,A
2011-10-15 00:00:00+00:00,6.4,A,12363000,3920.0,A
2011-10-16 00:00:00+00:00,6.2,A,12363000,3930.0,A
2011-10-17 00:00:00+00:00,5.9,A,12363000,3950.0,A
2011-10-18 00:00:00+00:00,5.8,A,12363000,3960.0,A
2011-10-19 00:00:00+00:00,5.6,A,12363000,3930.0,A
2011-10-20 00:00:00+00:00,5.8,A,12363000,3950.0,A
2011-10-21 00:00:00+00:00,6.1,A,12363000,3940.0,A
2011-10-22 00:00:00+00:00,6.5,A,12363000,3970.0,A
2011-10-23 00:00:00+00:00,6.6,A,12363000,4120.0,A
2011-10-24 00:00:00+00:00,6.2,A,12363000,4240.0,A
2011-10-25 00:00:00+00:00,5.6,A,12363000,4090.0,A
2011-10-26 00:00:00+00:00,4.8,A,12363000,3990.0,A
2011-10-27 00:00:00+00:00,4.8,A,12363000,3960.0,A
2011-10-28 00:00:00+00:00,4.4,A,12363000,3980.0,A
2011-10-29 00:00:00+00:00,4.7,A,12363000,3950.0,A
2011-10-30 00:00:00+00:00,4.8,A,12363000,3990.0,A
2011-10-31 00:00:00+00:00,5.3,A,12363000,4060.0,A
2011-11-01 00:00:00+00:00,5.0,A,12363000,4050.0,A
2011-11-02 00:00:00+00:00,4.1,A,12363000,3970.0,A
2011-11-03 00:00:00+00:00,3.6,A,12363000,3910.0,A
2011-11-04 00:00:00+00:00,3.8,A,12363000,3990.0,A
2011-11-05 00:00:00+00:00,4.0,A,12363000,4010.0,A
2011-11-06 00:00:00+00:00,3.4,A,12363000,4010.0,A
2011-11-07 00:00:00+00:00,3.3,A,12363000,4050.0,A
2011-11-08 00:00:00+00:00,3.6,A,12363000,4110.0,A
2011-11-09 00:00:00+00:00,4.0,A,12363000,4060.0,A
2011-11-10 00:00:00+00:00,3.8,A,12363000,4010.0,A
2011-11-11 00:00:00+00:00,3.6,A,12363000,3820.0,A
2011-11-12 00:00:00+00:00,3.6,A,12363000,3850.0,A
2011-11-13 00:00:00+00:00,3.4,A,12363000,3840.0,A
2011-11-14 00:00:00+00:00,3.3,A,12363000,3800.0,A
2011-11-15 00:00:00+00:00,2.5,A,12363000,3820.0,A
2011-11-16 00:00:00+00:00,2.3,A,12363000,3800.0,A
2011-11-17 00:00:00+00:00,2.6,A,12363000,3880.0,A
