datetime,00060_Mean,00060_Mean_cd,site_no
2012-10-01 00:00:00+00:00,10.4,A,06632400
2012-10-02 00:00:00+00:00,9.94,A,06632400
2012-10-03 00:00:00+00:00,9.6,A,06632400
2012-10-04 00:00:00+00:00,9.51,A,06632400
2012-10-05 00:00:00+00:00,9.75,A,06632400
2012-10-06 00:00:00+00:00,10.1,A,06632400
2012-10-07 00:00:00+00:00,8.25,A,06632400
2012-10-08 00:00:00+00:00,10.2,A,06632400
2012-10-09 00:00:00+00:00,10.1,A,06632400
2012-10-10 00:00:00+00:00,9.41,A,06632400
2012-10-11 00:00:00+00:00,9.88,A,06632400
2012-10-12 00:00:00+00:00,11.2,A,06632400
2012-10-13 00:00:00+00:00,15.3,A,06632400
2012-10-14 00:00:00+00:00,14.5,A,06632400
2012-10-15 00:00:00+00:00,12.3,A,06632400
2012-10-16 00:00:00+00:00,11.7,A,06632400
2012-10-17 00:00:00+00:00,14.8,A,06632400
2012-10-18 00:00:00+00:00,9.55,A,06632400
2012-10-19 00:00:00+00:00,11.9,A,06632400
2012-10-20 00:00:00+00:00,11.1,A,06632400
2012-10-21 00:00:00+00:00,10.9,A,06632400
2012-10-22 00:00:00+00:00,10.7,A,06632400
2012-10-23 00:00:00+00:00,11.1,A,06632400
2012-10-24 00:00:00+00:00,11.9,A,06632400
2012-10-25 00:00:00+00:00,10.6,A,06632400
2012-10-26 00:00:00+00:00,9.84,A,06632400
2012-10-27 00:00:00+00:00,11.1,A,06632400
2012-10-28 00:00:00+00:00,11.8,A,06632400
2012-10-29 00:00:00+00:00,12.5,A,06632400
2012-10-30 00:00:00+00:00,13.5,A,06632400
2012-10-31 00:00:00+00:00,13.3,A,06632400
2012-11-01 00:00:00+00:00,12.2,A,06632400
2012-11-02 00:00:00+00:00,12.0,A,06632400
2012-11-03 00:00:00+00:00,9.51,A,06632400
2012-11-04 00:00:00+00:00,11.7,A,06632400
2012-11-05 00:00:00+00:00,10.8,A,06632400
2012-11-06 00:00:00+00:00,10.6,A,06632400
2012-11-07 00:00:00+00:00,10.4,A,06632400
2012-11-08 00:00:00+00:00,10.4,A,06632400
2012-11-09 00:00:00+00:00,10.6,A,06632400
2012-11-10 00:00:00+00:00,10.4,A,06632400
2012-11-11 00:00:00+00:00,8.3,"A, e",06632400
2012-11-12 00:00:00+00:00,7.2,"A, e",06632400
2012-11-13 00:00:00+00:00,7.6,"A, e",06632400
2012-11-14 00:00:00+00:00,8.2,"A, e",06632400
2012-11-15 00:00:00+00:00,11.0,"A, e",06632400
2012-11-16 00:00:00+00:00,11.0,A,06632400
2012-11-17 00:00:00+00:00,11.0,A,06632400
2012-11-18 00:00:00+00:00,10.7,A,06632400
2012-11-19 00:00:00+00:00,10.4,A,06632400
2012-11-20 00:00:00+00:00,10.3,A,06632400
