datetime,00060_Mean,00060_Mean_cd,site_no
2013-10-01 00:00:00+00:00,35.8,A,09213500
2013-10-02 00:00:00+00:00,36.6,A,09213500
2013-10-03 00:00:00+00:00,39.1,A,09213500
2013-10-04 00:00:00+00:00,44.5,A,09213500
2013-10-05 00:00:00+00:00,53.1,A,09213500
2013-10-06 00:00:00+00:00,50.0,A,09213500
2013-10-07 00:00:00+00:00,51.9,A,09213500
2013-10-08 00:00:00+00:00,52.3,A,09213500
2013-10-09 00:00:00+00:00,52.8,A,09213500
2013-10-10 00:00:00+00:00,52.9,A,09213500
2013-10-11 00:00:00+00:00,50.8,A,09213500
2013-10-12 00:00:00+00:00,49.2,A,09213500
2013-10-13 00:00:00+00:00,47.9,A,09213500
2013-10-14 00:00:00+00:00,46.9,A,09213500
2013-10-15 00:00:00+00:00,50.1,A,09213500
2013-10-16 00:00:00+00:00,49.9,A,09213500
2013-10-17 00:00:00+00:00,43.9,A,09213500
2013-10-18 00:00:00+00:00,41.7,A,09213500
2013-10-19 00:00:00+00:00,40.0,A,09213500
2014-03-21 00:00:00+00:00,29.0,"A, e",09213500
2014-03-22 00:00:00+00:00,30.0,"A, e",09213500
2014-03-23 00:00:00+00:00,32.0,"A, e",09213500
2014-03-24 00:00:00+00:00,36.0,"A, e",09213500
2014-03-25 00:00:00+00:00,41.0,"A, e",09213500
2014-03-26 00:00:00+00:00,45.0,"A, e",09213500
2014-03-27 00:00:00+00:00,43.0,"A, e",09213500
2014-03-28 00:00:00+00:00,42.0,"A, e",09213500
2014-03-29 00:00:00+00:00,45.0,"A, e",09213500
2014-03-30 00:00:00+00:00,50.0,"A, e",09213500
2014-03-31 00:00:00+00:00,54.0,"A, e",09213500
2014-04-01 00:00:00+00:00,54.0,"A, e",09213500
2014-04-02 00:00:00+00:00,52.0,"A, e",09213500
2014-04-03 00:00:00+00:00,50.0,"A, e",09213500
2014-04-04 00:00:00+00:00,52.0,"A, e",09213500
2014-04-05 00:00:00+00:00,56.0,"A, e",09213500
2014-04-06 00:00:00+00:00,59.1,A,09213500
2014-04-07 00:00:00+00:00,60.6,A,09213500
2014-04-08 00:00:00+00:00,59.6,A,09213500
2014-04-09 00:00:00+00:00,53.4,A,09213500
2014-04-10 00:00:00+00:00,57.8,A,09213500
2014-04-11 00:00:00+00:00,55.5,A,09213500
2014-04-12 00:00:00+00:00,58.6,A,09213500
2014-04-13 00:00:00+00:00,69.0,A,09213500
2014-04-14 00:00:00+00:00,57.5,A,09213500
2014-04-15 00:00:00+00:00,52.7,A,09213500
2014-04-16 00:00:00+00:00,50.6,A,09213500
2014-04-17 00:00:00+00:00,47.4,A,09213500
2014-04-18 00:00:00+00:00,44.1,A,09213500
2014-04-19 00:00:00+00:00,45.7,A,09213500
2014-04-20 00:00:00+00:00,45.9,A,09213500
2014-04-21 00:00:00+00:00,58.5,A,09213500
2014-04-22 00:00:00+00:00,91.3,A,09213500
2014-04-23 00:00:00+00:00,85.4,A,09213500
2014-04-24 00:00:00+00:00,75.2,A,09213500
2014-04-25 00:00:00+00:00,59.7,A,09213500
2014-04-26 00:00:00+00:00,56.5,A,09213500
2014-04-27 00:00:00+00:00,56.1,A,09213500
2014-04-28 00:00:00+00:00,55.0,A,09213500
2014-04-29 00:00:00+00:00,47.0,A,09213500
2014-04-30 00:00:00+00:00,46.6,A,09213500
2014-05-01 00:00:00+00:00,46.1,A,09213500
2014-05-02 00:00:00+00:00,44.2,A,09213500
2014-05-03 00:00:00+00:00,53.0,A,09213500
2014-05-04 00:00:00+00:00,66.6,A,09213500
2014-05-05 00:00:00+00:00,100.0,A,09213500
2014-05-06 00:00:00+00:00,113.0,A,09213500
2014-05-07 00:00:00+00:00,145.0,A,09213500
2014-05-08 00:00:00+00:00,148.0,A,09213500
2014-05-09 00:00:00+00:00,122.0,A,09213500
2014-05-10 00:00:00+00:00,121.0,A,09213500
