datetime,00060_Mean,00060_Mean_cd,site_no
2013-10-01 00:00:00+00:00,50.3,A,10338500
2013-10-02 00:00:00+00:00,49.2,A,10338500
2013-10-03 00:00:00+00:00,49.9,A,10338500
2013-10-04 00:00:00+00:00,48.9,A,10338500
2013-10-05 00:00:00+00:00,45.2,A,10338500
2013-10-06 00:00:00+00:00,40.2,A,10338500
2013-10-07 00:00:00+00:00,35.6,A,10338500
2013-10-08 00:00:00+00:00,31.6,A,10338500
2013-10-09 00:00:00+00:00,27.0,A,10338500
2013-10-10 00:00:00+00:00,23.8,A,10338500
2013-10-11 00:00:00+00:00,20.7,A,10338500
2013-10-12 00:00:00+00:00,17.7,A,10338500
2013-10-13 00:00:00+00:00,14.3,A,10338500
2013-10-14 00:00:00+00:00,12.9,A,10338500
2013-10-15 00:00:00+00:00,11.7,A,10338500
2013-10-16 00:00:00+00:00,10.3,A,10338500
2013-10-17 00:00:00+00:00,9.15,A,10338500
2013-10-18 00:00:00+00:00,8.55,A,10338500
2013-10-19 00:00:00+00:00,8.04,A,10338500
2013-10-20 00:00:00+00:00,7.32,A,10338500
2013-10-21 00:00:00+00:00,6.46,A,10338500
2013-10-22 00:00:00+00:00,5.61,A,10338500
2013-10-23 00:00:00+00:00,4.94,A,10338500
2013-10-24 00:00:00+00:00,4.49,A,10338500
2013-10-25 00:00:00+00:00,4.41,A,10338500
2013-10-26 00:00:00+00:00,4.34,A,10338500
2013-10-27 00:00:00+00:00,4.29,A,10338500
2013-10-28 00:00:00+00:00,4.99,A,10338500
2013-10-29 00:00:00+00:00,4.59,A,10338500
2013-10-30 00:00:00+00:00,4.39,A,10338500
2013-10-31 00:00:00+00:00,4.31,A,10338500
2013-11-01 00:00:00+00:00,2.77,A,10338500
2013-11-02 00:00:00+00:00,0.04,A,10338500
2013-11-03 00:00:00+00:00,0.0,"A, e",10338500
2013-11-04 00:00:00+00:00,1.4,"A, e",10338500
2013-11-05 00:00:00+00:00,3.95,A,10338500
2013-11-06 00:00:00+00:00,3.84,A,10338500
2013-11-07 00:00:00+00:00,3.64,A,10338500
2013-11-08 00:00:00+00:00,3.38,A,10338500
2013-11-09 00:00:00+00:00,3.04,A,10338500
2013-11-10 00:00:00+00:00,2.92,A,10338500
2013-11-11 00:00:00+00:00,2.79,A,10338500
2013-11-12 00:00:00+00:00,2.79,A,10338500
2013-11-13 00:00:00+00:00,2.65,A,10338500
2013-11-14 00:00:00+00:00,2.55,A,10338500
2013-11-15 00:00:00+00:00,2.37,A,10338500
2013-11-16 00:00:00+00:00,2.31,A,10338500
2013-11-17 00:00:00+00:00,2.09,A,10338500
2013-11-18 00:00:00+00:00,1.99,A,10338500
2013-11-19 00:00:00+00:00,2.11,A,10338500
