datetime,00060_Mean,00060_Mean_cd,site_no
2013-10-01 00:00:00+00:00,30.0,A,08267500
2013-10-02 00:00:00+00:00,29.0,A,08267500
2013-10-03 00:00:00+00:00,28.2,A,08267500
2013-10-04 00:00:00+00:00,27.5,A,08267500
2013-10-05 00:00:00+00:00,26.6,A,08267500
2013-10-06 00:00:00+00:00,25.8,A,08267500
2013-10-07 00:00:00+00:00,24.7,A,08267500
2013-10-08 00:00:00+00:00,23.7,A,08267500
2013-10-09 00:00:00+00:00,23.0,A,08267500
2013-10-10 00:00:00+00:00,23.7,A,08267500
2013-10-11 00:00:00+00:00,23.3,A,08267500
2013-10-12 00:00:00+00:00,22.5,A,08267500
2013-10-13 00:00:00+00:00,21.6,A,08267500
2013-10-14 00:00:00+00:00,22.6,A,08267500
2013-10-15 00:00:00+00:00,20.8,A,08267500
2013-10-16 00:00:00+00:00,21.2,A,08267500
2013-10-17 00:00:00+00:00,19.9,A,08267500
2013-10-18 00:00:00+00:00,19.5,A,08267500
2013-10-19 00:00:00+00:00,18.9,A,08267500
2013-10-20 00:00:00+00:00,18.8,A,08267500
2013-10-21 00:00:00+00:00,18.4,A,08267500
2013-10-22 00:00:00+00:00,18.1,A,08267500
2013-10-23 00:00:00+00:00,17.4,A,08267500
2013-10-24 00:00:00+00:00,16.6,A,08267500
2013-10-25 00:00:00+00:00,17.3,A,08267500
2013-10-26 00:00:00+00:00,17.8,A,08267500
2013-10-27 00:00:00+00:00,17.3,A,08267500
2013-10-28 00:00:00+00:00,16.8,A,08267500
2013-10-29 00:00:00+00:00,16.3,A,08267500
2013-10-30 00:00:00+00:00,16.6,A,08267500
2013-10-31 00:00:00+00:00,15.6,A,08267500
2013-11-01 00:00:00+00:00,15.5,A,08267500
2013-11-02 00:00:00+00:00,15.3,A,08267500
2013-11-03 00:00:00+00:00,15.9,A,08267500
2013-11-04 00:00:00+00:00,16.0,A,08267500
2013-11-05 00:00:00+00:00,17.0,A,08267500
2013-11-06 00:00:00+00:00,14.3,A,08267500
2013-11-07 00:00:00+00:00,14.8,A,08267500
2013-11-08 00:00:00+00:00,16.0,A,08267500
2013-11-09 00:00:00+00:00,16.9,A,08267500
2013-11-10 00:00:00+00:00,16.4,A,08267500
2013-11-11 00:00:00+00:00,16.7,A,08267500
2013-11-12 00:00:00+00:00,16.0,A,08267500
2013-11-13 00:00:00+00:00,15.8,A,08267500
2013-11-14 00:00:00+00:00,15.2,A,08267500
2013-11-15 00:00:00+00:00,15.4,A,08267500
2013-11-16 00:00:00+00:00,16.0,A,08267500
2013-11-17 00:00:00+00:00,15.7,A,08267500
2013-11-18 00:00:00+00:00,14.6,A,08267500
