datetime,00010_Mean,00010_Mean_cd,site_no,00060_Mean,00060_Mean_cd
2014-10-01 00:00:00+00:00,16.8,A,13168500,66.7,A
2014-10-02 00:00:00+00:00,16.3,A,13168500,65.8,A
2014-10-03 00:00:00+00:00,16.7,A,13168500,58.4,A
2014-10-04 00:00:00+00:00,17.1,A,13168500,54.3,A
2014-10-05 00:00:00+00:00,17.8,A,13168500,51.8,A
2014-10-06 00:00:00+00:00,18.4,A,13168500,50.4,A
2014-10-07 00:00:00+00:00,18.9,A,13168500,49.4,A
2014-10-08 00:00:00+00:00,18.8,A,13168500,48.4,A
2014-10-09 00:00:00+00:00,18.4,A,13168500,47.8,A
2014-10-10 00:00:00+00:00,17.8,A,13168500,47.4,A
2014-10-11 00:00:00+00:00,17.3,A,13168500,47.1,A
2014-10-12 00:00:00+00:00,16.6,A,13168500,47.1,A
2014-10-13 00:00:00+00:00,16.3,A,13168500,46.6,A
2014-10-14 00:00:00+00:00,16.4,A,13168500,47.3,A
2014-10-15 00:00:00+00:00,16.2,A,13168500,47.3,A
2014-10-16 00:00:00+00:00,15.6,A,13168500,46.9,A
2014-10-17 00:00:00+00:00,15.9,A,13168500,46.5,A
2014-10-18 00:00:00+00:00,16.3,A,13168500,47.3,A
2014-10-19 00:00:00+00:00,15.8,A,13168500,48.0,A
2014-10-20 00:00:00+00:00,16.5,A,13168500,48.2,A
2014-10-21 00:00:00+00:00,16.4,A,13168500,50.0,A
2014-10-22 00:00:00+00:00,14.9,A,13168500,53.0,A
2014-10-23 00:00:00+00:00,15.4,A,13168500,53.5,A
2014-10-24 00:00:00+00:00,16.7,A,13168500,53.9,A
2014-10-25 00:00:00+00:00,15.7,A,13168500,53.7,A
2014-10-26 00:00:00+00:00,15.2,A,13168500,53.2,A
2014-10-27 00:00:00+00:00,13.8,A,13168500,54.1,A
2014-10-28 00:00:00+00:00,13.2,A,13168500,54.7,A
2014-10-29 00:00:00+00:00,13.3,A,13168500,56.1,A
2014-10-30 00:00:00+00:00,14.1,A,13168500,55.8,A
2014-10-31 00:00:00+00:00,14.1,A,13168500,55.6,A
2014-11-01 00:00:00+00:00,13.2,A,13168500,56.9,A
2014-11-02 00:00:00+00:00,12.6,A,13168500,59.2,A
2014-11-03 00:00:00+00:00,11.9,A,13168500,58.3,A
2014-11-04 00:00:00+00:00,11.9,A,13168500,62.1,A
2014-11-05 00:00:00+00:00,13.2,A,13168500,61.1,A
2014-11-06 00:00:00+00:00,13.4,A,13168500,61.2,A
2014-11-07 00:00:00+00:00,13.5,A,13168500,60.7,A
2014-11-08 00:00:00+00:00,12.2,A,13168500,63.4,A
2014-11-09 00:00:00+00:00,12.3,A,13168500,59.8,A
2014-11-10 00:00:00+00:00,11.7,A,13168500,60.7,A
2014-11-11 00:00:00+00:00,9.7,A,13168500,59.7,A
2014-11-12 00:00:00+00:00,6.8,A,13168500,57.8,A
2014-11-13 00:00:00+00:00,6.9,A,13168500,48.4,A
2014-11-14 00:00:00+00:00,7.0,A,13168500,46.5,A
2014-11-15 00:00:00+00:00,5.9,A,13168500,59.6,A
2014-11-16 00:00:00+00:00,5.6,A,13168500,51.1,A
2014-11-17 00:00:00+00:00,6.4,A,13168500,36.4,A
2014-11-18 00:00:00+00:00,6.3,A,13168500,39.9,A
2014-11-19 00:00:00+00:00,6.5,A,13168500,42.6,A
2014-11-20 00:00:00+00:00,6.6,A,13168500,61.4,A
2014-11-21 00:00:00+00:00,5.4,A,13168500,87.6,A
2014-11-22 00:00:00+00:00,5.8,A,13168500,99.1,A
2014-11-23 00:00:00+00:00,5.5,A,13168500,90.4,A
2014-11-24 00:00:00+00:00,5.7,A,13168500,90.0,A
2014-11-25 00:00:00+00:00,8.7,A,13168500,85.1,A
2014-11-26 00:00:00+00:00,9.9,A,13168500,83.7,A
2014-11-27 00:00:00+00:00,10.3,A,13168500,81.6,A
2014-11-28 00:00:00+00:00,10.5,A,13168500,78.8,A
2014-11-29 00:00:00+00:00,11.1,A,13168500,78.2,A
2014-11-30 00:00:00+00:00,9.0,A,13168500,76.9,A
2014-12-01 00:00:00+00:00,8.6,A,13168500,78.8,A
2014-12-02 00:00:00+00:00,8.6,A,13168500,81.2,A
2014-12-03 00:00:00+00:00,9.9,A,13168500,82.2,A
2014-12-04 00:00:00+00:00,10.6,A,13168500,82.8,A
2014-12-05 00:00:00+00:00,10.6,A,13168500,83.3,A
2014-12-06 00:00:00+00:00,11.0,A,13168500,84.4,A
2014-12-07 00:00:00+00:00,10.6,A,13168500,86.3,A
2014-12-08 00:00:00+00:00,9.9,A,13168500,93.2,A
2014-12-09 00:00:00+00:00,10.0,A,13168500,91.1,A
2014-12-10 00:00:00+00:00,10.2,A,13168500,89.2,A
2014-12-11 00:00:00+00:00,10.7,A,13168500,86.4,A
2014-12-12 00:00:00+00:00,11.4,A,13168500,82.9,A
2014-12-13 00:00:00+00:00,10.5,A,13168500,81.6,A
2014-12-14 00:00:00+00:00,8.6,A,13168500,81.0,A
2014-12-15 00:00:00+00:00,7.5,A,13168500,81.8,A
2014-12-16 00:00:00+00:00,8.0,A,13168500,74.6,A
2014-12-17 00:00:00+00:00,8.0,A,13168500,70.1,A
2014-12-18 00:00:00+00:00,8.2,A,13168500,76.5,A
2014-12-19 00:00:00+00:00,8.7,A,13168500,71.2,A
2014-12-20 00:00:00+00:00,9.3,A,13168500,76.9,A
2014-12-21 00:00:00+00:00,10.1,A,13168500,93.0,A
2014-12-22 00:00:00+00:00,9.9,A,13168500,103.0,A
2014-12-23 00:00:00+00:00,7.0,A,13168500,287.0,A
2014-12-24 00:00:00+00:00,4.8,A,13168500,517.0,A
2014-12-25 00:00:00+00:00,4.0,A,13168500,312.0,A
2014-12-26 00:00:00+00:00,3.8,A,13168500,223.0,A
2014-12-27 00:00:00+00:00,4.9,A,13168500,133.0,A
2014-12-28 00:00:00+00:00,5.9,A,13168500,118.0,A
2014-12-29 00:00:00+00:00,4.7,A,13168500,156.0,A
2014-12-30 00:00:00+00:00,4.9,A,13168500,121.0,A
2014-12-31 00:00:00+00:00,6.5,A,13168500,73.5,A
2015-01-01 00:00:00+00:00,7.0,A,13168500,48.2,A
2015-01-02 00:00:00+00:00,7.1,A,13168500,38.2,A
2015-01-03 00:00:00+00:00,7.1,A,13168500,44.6,A
2015-01-04 00:00:00+00:00,4.4,A,13168500,134.0,A
2015-01-05 00:00:00+00:00,4.3,A,13168500,150.0,A
2015-01-06 00:00:00+00:00,4.3,A,13168500,147.0,A
2015-01-07 00:00:00+00:00,4.7,A,13168500,129.0,A
2015-01-08 00:00:00+00:00,5.0,A,13168500,120.0,A
2015-01-09 00:00:00+00:00,5.5,A,13168500,121.0,A
2015-01-10 00:00:00+00:00,6.0,A,13168500,132.0,A
2015-01-11 00:00:00+00:00,6.4,A,13168500,139.0,A
2015-01-12 00:00:00+00:00,6.4,A,13168500,143.0,A
2015-01-13 00:00:00+00:00,6.0,A,13168500,149.0,A
2015-01-14 00:00:00+00:00,5.4,A,13168500,140.0,A
2015-01-15 00:00:00+00:00,5.9,A,13168500,124.0,A
2015-01-16 00:00:00+00:00,7.1,A,13168500,99.0,A
2015-01-17 00:00:00+00:00,6.1,A,13168500,144.0,A
2015-01-18 00:00:00+00:00,7.8,A,13168500,138.0,A
2015-01-19 00:00:00+00:00,7.7,A,13168500,137.0,A
2015-01-20 00:00:00+00:00,6.0,A,13168500,220.0,A
2015-01-21 00:00:00+00:00,4.9,A,13168500,218.0,A
2015-01-22 00:00:00+00:00,5.5,A,13168500,149.0,A
2015-01-23 00:00:00+00:00,6.1,A,13168500,114.0,A
2015-01-24 00:00:00+00:00,5.5,A,13168500,147.0,A
2015-01-25 00:00:00+00:00,5.8,A,13168500,156.0,A
2015-01-26 00:00:00+00:00,6.0,A,13168500,145.0,A
2015-01-27 00:00:00+00:00,6.1,A,13168500,136.0,A
2015-01-28 00:00:00+00:00,6.9,A,13168500,153.0,A
2015-01-29 00:00:00+00:00,6.9,A,13168500,173.0,A
2015-01-30 00:00:00+00:00,7.1,A,13168500,213.0,A
2015-01-31 00:00:00+00:00,6.5,A,13168500,199.0,A
2015-02-01 00:00:00+00:00,6.4,A,13168500,177.0,A
2015-02-02 00:00:00+00:00,7.4,A,13168500,155.0,A
2015-02-03 00:00:00+00:00,8.0,A,13168500,154.0,A
2015-02-04 00:00:00+00:00,9.1,A,13168500,165.0,A
2015-02-05 00:00:00+00:00,9.2,A,13168500,191.0,A
2015-02-06 00:00:00+00:00,9.5,A,13168500,234.0,A
2015-02-07 00:00:00+00:00,10.6,A,13168500,214.0,A
2015-02-08 00:00:00+00:00,10.7,A,13168500,205.0,A
2015-02-09 00:00:00+00:00,10.8,A,13168500,232.0,A
2015-02-10 00:00:00+00:00,10.0,A,13168500,253.0,A
2015-02-11 00:00:00+00:00,9.2,A,13168500,269.0,A
2015-02-12 00:00:00+00:00,9.0,A,13168500,248.0,A
2015-02-13 00:00:00+00:00,9.0,A,13168500,226.0,A
2015-02-14 00:00:00+00:00,9.3,A,13168500,211.0,A
2015-02-15 00:00:00+00:00,9.2,A,13168500,201.0,A
2015-02-16 00:00:00+00:00,8.3,A,13168500,197.0,A
2015-02-17 00:00:00+00:00,7.5,A,13168500,189.0,A
2015-02-18 00:00:00+00:00,7.3,A,13168500,177.0,A
2015-02-19 00:00:00+00:00,7.6,A,13168500,174.0,A
2015-02-20 00:00:00+00:00,8.2,A,13168500,172.0,A
2015-02-21 00:00:00+00:00,8.2,A,13168500,166.0,A
2015-02-22 00:00:00+00:00,7.0,A,13168500,163.0,A
2015-02-23 00:00:00+00:00,5.5,A,13168500,147.0,A
2015-02-24 00:00:00+00:00,6.0,A,13168500,114.0,A
2015-02-25 00:00:00+00:00,7.1,A,13168500,118.0,A
2015-02-26 00:00:00+00:00,7.8,A,13168500,161.0,A
2015-02-27 00:00:00+00:00,8.8,A,13168500,146.0,A
2015-02-28 00:00:00+00:00,8.6,A,13168500,140.0,A
2015-03-01 00:00:00+00:00,8.1,A,13168500,134.0,A
2015-03-02 00:00:00+00:00,7.8,A,13168500,131.0,A
2015-03-03 00:00:00+00:00,7.5,A,13168500,124.0,A
2015-03-04 00:00:00+00:00,6.9,A,13168500,121.0,A
2015-03-05 00:00:00+00:00,7.1,A,13168500,113.0,A
2015-03-06 00:00:00+00:00,8.3,A,13168500,111.0,A
2015-03-07 00:00:00+00:00,9.2,A,13168500,115.0,A
2015-03-08 00:00:00+00:00,10.0,A,13168500,113.0,A
2015-03-09 00:00:00+00:00,10.4,A,13168500,115.0,A
2015-03-10 00:00:00+00:00,11.0,A,13168500,114.0,A
2015-03-11 00:00:00+00:00,11.7,A,13168500,113.0,A
2015-03-12 00:00:00+00:00,13.1,A,13168500,118.0,A
2015-03-13 00:00:00+00:00,13.2,A,13168500,123.0,A
2015-03-14 00:00:00+00:00,13.2,A,13168500,131.0,A
2015-03-15 00:00:00+00:00,13.7,A,13168500,135.0,A
2015-03-16 00:00:00+00:00,13.6,A,13168500,145.0,A
2015-03-17 00:00:00+00:00,13.6,A,13168500,166.0,A
2015-03-18 00:00:00+00:00,13.3,A,13168500,175.0,A
2015-03-19 00:00:00+00:00,12.6,A,13168500,184.0,A
2015-03-20 00:00:00+00:00,12.6,A,13168500,187.0,A
2015-03-21 00:00:00+00:00,13.2,A,13168500,186.0,A
2015-03-22 00:00:00+00:00,12.8,A,13168500,189.0,A
2015-03-23 00:00:00+00:00,12.7,A,13168500,188.0,A
2015-03-24 00:00:00+00:00,11.6,A,13168500,186.0,A
2015-03-25 00:00:00+00:00,11.0,A,13168500,186.0,A
2015-03-26 00:00:00+00:00,11.8,A,13168500,186.0,A
2015-03-27 00:00:00+00:00,13.2,A,13168500,183.0,A
2015-03-28 00:00:00+00:00,14.0,A,13168500,180.0,A
2015-03-29 00:00:00+00:00,13.4,A,13168500,194.0,A
2015-03-30 00:00:00+00:00,13.5,A,13168500,216.0,A
2015-03-31 00:00:00+00:00,14.2,A,13168500,225.0,A
2015-04-01 00:00:00+00:00,13.0,A,13168500,238.0,A
2015-04-02 00:00:00+00:00,11.3,A,13168500,255.0,A
2015-04-03 00:00:00+00:00,10.3,A,13168500,247.0,A
2015-04-04 00:00:00+00:00,10.9,A,13168500,227.0,A
2015-04-05 00:00:00+00:00,11.7,A,13168500,214.0,A
2015-04-06 00:00:00+00:00,12.3,A,13168500,202.0,A
2015-04-07 00:00:00+00:00,11.7,A,13168500,192.0,A
2015-04-08 00:00:00+00:00,11.9,A,13168500,196.0,A
2015-04-09 00:00:00+00:00,12.3,A,13168500,189.0,A
2015-04-10 00:00:00+00:00,13.0,A,13168500,180.0,A
2015-04-11 00:00:00+00:00,13.6,A,13168500,174.0,A
2015-04-12 00:00:00+00:00,13.2,A,13168500,171.0,A
2015-04-13 00:00:00+00:00,13.6,A,13168500,173.0,A
2015-04-14 00:00:00+00:00,12.9,A,13168500,173.0,A
2015-04-15 00:00:00+00:00,10.6,A,13168500,177.0,A
2015-04-16 00:00:00+00:00,11.4,A,13168500,178.0,A
2015-04-17 00:00:00+00:00,12.7,A,13168500,178.0,A
2015-04-18 00:00:00+00:00,14.0,A,13168500,183.0,A
2015-04-19 00:00:00+00:00,14.4,A,13168500,179.0,A
2015-04-20 00:00:00+00:00,15.1,A,13168500,184.0,A
2015-04-21 00:00:00+00:00,15.8,A,13168500,200.0,A
2015-04-22 00:00:00+00:00,16.0,A,13168500,223.0,A
2015-04-23 00:00:00+00:00,15.7,A,13168500,259.0,A
2015-04-24 00:00:00+00:00,14.8,A,13168500,278.0,A
2015-04-25 00:00:00+00:00,13.0,A,13168500,303.0,A
2015-04-26 00:00:00+00:00,11.8,A,13168500,310.0,A
2015-04-27 00:00:00+00:00,12.2,A,13168500,294.0,A
2015-04-28 00:00:00+00:00,13.9,A,13168500,283.0,A
2015-04-29 00:00:00+00:00,15.9,A,13168500,268.0,A
2015-04-30 00:00:00+00:00,15.9,A,13168500,260.0,A
2015-05-01 00:00:00+00:00,15.5,A,13168500,291.0,A
2015-05-02 00:00:00+00:00,16.0,A,13168500,330.0,A
2015-05-03 00:00:00+00:00,16.7,A,13168500,373.0,A
2015-05-04 00:00:00+00:00,16.8,A,13168500,417.0,A
2015-05-05 00:00:00+00:00,16.5,A,13168500,441.0,A
2015-05-06 00:00:00+00:00,14.7,A,13168500,439.0,A
2015-05-07 00:00:00+00:00,12.6,A,13168500,435.0,A
2015-05-08 00:00:00+00:00,12.8,A,13168500,426.0,A
2015-05-09 00:00:00+00:00,14.1,A,13168500,394.0,A
2015-05-10 00:00:00+00:00,14.8,A,13168500,401.0,A
2015-05-11 00:00:00+00:00,14.9,A,13168500,376.0,A
2015-05-12 00:00:00+00:00,15.6,A,13168500,367.0,A
2015-05-13 00:00:00+00:00,15.6,A,13168500,369.0,A
2015-05-14 00:00:00+00:00,15.2,A,13168500,377.0,A
2015-05-15 00:00:00+00:00,15.3,A,13168500,378.0,A
2015-05-16 00:00:00+00:00,14.8,A,13168500,376.0,A
2015-05-17 00:00:00+00:00,14.8,A,13168500,401.0,A
2015-05-18 00:00:00+00:00,15.2,A,13168500,403.0,A
2015-05-19 00:00:00+00:00,15.3,A,13168500,437.0,A
2015-05-20 00:00:00+00:00,15.3,A,13168500,497.0,A
2015-05-21 00:00:00+00:00,14.7,A,13168500,615.0,A
2015-05-22 00:00:00+00:00,14.4,A,13168500,750.0,A
2015-05-23 00:00:00+00:00,15.1,A,13168500,813.0,A
2015-05-24 00:00:00+00:00,15.3,A,13168500,1150.0,A
2015-05-25 00:00:00+00:00,13.8,A,13168500,1510.0,A
