datetime,00060_Mean,00060_Mean_cd,site_no
2016-10-01 00:00:00+00:00,339.0,A,09114500
2016-10-02 00:00:00+00:00,316.0,A,09114500
2016-10-03 00:00:00+00:00,295.0,A,09114500
2016-10-04 00:00:00+00:00,275.0,A,09114500
2016-10-05 00:00:00+00:00,270.0,A,09114500
2016-10-06 00:00:00+00:00,279.0,A,09114500
2016-10-07 00:00:00+00:00,271.0,A,09114500
2016-10-08 00:00:00+00:00,264.0,A,09114500
2016-10-09 00:00:00+00:00,269.0,A,09114500
2016-10-10 00:00:00+00:00,271.0,A,09114500
2016-10-11 00:00:00+00:00,278.0,A,09114500
2016-10-12 00:00:00+00:00,291.0,A,09114500
2016-10-13 00:00:00+00:00,262.0,A,09114500
2016-10-14 00:00:00+00:00,252.0,A,09114500
2016-10-15 00:00:00+00:00,265.0,A,09114500
2016-10-16 00:00:00+00:00,265.0,A,09114500
2016-10-17 00:00:00+00:00,266.0,A,09114500
2016-10-18 00:00:00+00:00,256.0,A,09114500
2016-10-19 00:00:00+00:00,253.0,A,09114500
2016-10-20 00:00:00+00:00,248.0,A,09114500
2016-10-21 00:00:00+00:00,238.0,A,09114500
2016-10-22 00:00:00+00:00,240.0,A,09114500
2016-10-23 00:00:00+00:00,242.0,A,09114500
2016-10-24 00:00:00+00:00,241.0,A,09114500
2016-10-25 00:00:00+00:00,246.0,A,09114500
2016-10-26 00:00:00+00:00,247.0,A,09114500
2016-10-27 00:00:00+00:00,243.0,A,09114500
2016-10-28 00:00:00+00:00,240.0,A,09114500
2016-10-29 00:00:00+00:00,241.0,A,09114500
2016-10-30 00:00:00+00:00,240.0,A,09114500
2016-10-31 00:00:00+00:00,239.0,A,09114500
2016-11-01 00:00:00+00:00,236.0,A,09114500
2016-11-02 00:00:00+00:00,231.0,A,09114500
2016-11-03 00:00:00+00:00,227.0,A,09114500
2016-11-04 00:00:00+00:00,239.0,A,09114500
2016-11-05 00:00:00+00:00,245.0,A,09114500
2016-11-06 00:00:00+00:00,249.0,A,09114500
2016-11-07 00:00:00+00:00,247.0,A,09114500
2016-11-08 00:00:00+00:00,242.0,A,09114500
2016-11-09 00:00:00+00:00,240.0,A,09114500
2016-11-10 00:00:00+00:00,237.0,A,09114500
2016-11-11 00:00:00+00:00,235.0,A,09114500
2016-11-12 00:00:00+00:00,233.0,A,09114500
2016-11-13 00:00:00+00:00,231.0,A,09114500
2016-11-14 00:00:00+00:00,224.0,A,09114500
2016-11-15 00:00:00+00:00,229.0,A,09114500
2016-11-16 00:00:00+00:00,233.0,A,09114500
2016-11-17 00:00:00+00:00,247.0,A,09114500
2016-11-18 00:00:00+00:00,225.0,A,09114500
2016-11-19 00:00:00+00:00,235.0,A,09114500
2016-11-20 00:00:00+00:00,244.0,A,09114500
2016-11-21 00:00:00+00:00,271.0,A,09114500
2016-11-22 00:00:00+00:00,278.0,A,09114500
2016-11-23 00:00:00+00:00,249.0,A,09114500
2016-11-24 00:00:00+00:00,243.0,A,09114500
2016-11-25 00:00:00+00:00,228.0,A,09114500
2016-11-26 00:00:00+00:00,236.0,A,09114500
2016-11-27 00:00:00+00:00,261.0,A,09114500
2016-11-28 00:00:00+00:00,247.0,A,09114500
2016-11-29 00:00:00+00:00,241.0,"A, e",09114500
2016-11-30 00:00:00+00:00,222.0,"A, e",09114500
2016-12-01 00:00:00+00:00,231.0,"A, e",09114500
2016-12-02 00:00:00+00:00,242.0,"A, e",09114500
2016-12-03 00:00:00+00:00,235.0,"A, e",09114500
2016-12-04 00:00:00+00:00,224.0,"A, e",09114500
2016-12-05 00:00:00+00:00,256.0,"A, e",09114500
2016-12-06 00:00:00+00:00,247.0,"A, e",09114500
2016-12-07 00:00:00+00:00,245.0,"A, e",09114500
2016-12-08 00:00:00+00:00,209.0,A,09114500
2016-12-09 00:00:00+00:00,255.0,A,09114500
2016-12-10 00:00:00+00:00,256.0,"A, e",09114500
2016-12-11 00:00:00+00:00,251.0,A,09114500
2016-12-12 00:00:00+00:00,243.0,"A, e",09114500
2016-12-13 00:00:00+00:00,239.0,A,09114500
2016-12-14 00:00:00+00:00,236.0,A,09114500
2016-12-15 00:00:00+00:00,242.0,A,09114500
2016-12-16 00:00:00+00:00,264.0,A,09114500
2016-12-17 00:00:00+00:00,247.0,A,09114500
2016-12-18 00:00:00+00:00,202.0,"A, e",09114500
2016-12-19 00:00:00+00:00,200.0,"A, e",09114500
2016-12-20 00:00:00+00:00,239.0,"A, e",09114500
2016-12-21 00:00:00+00:00,247.0,"A, e",09114500
2016-12-22 00:00:00+00:00,251.0,"A, e",09114500
2016-12-23 00:00:00+00:00,264.0,"A, e",09114500
2016-12-24 00:00:00+00:00,260.0,A,09114500
2016-12-25 00:00:00+00:00,240.0,A,09114500
2016-12-26 00:00:00+00:00,225.0,A,09114500
2016-12-27 00:00:00+00:00,187.0,"A, e",09114500
2016-12-28 00:00:00+00:00,230.0,"A, e",09114500
2016-12-29 00:00:00+00:00,214.0,"A, e",09114500
2016-12-30 00:00:00+00:00,210.0,"A, e",09114500
2016-12-31 00:00:00+00:00,222.0,"A, e",09114500
2017-01-01 00:00:00+00:00,219.0,"A, e",09114500
2017-01-02 00:00:00+00:00,220.0,"A, e",09114500
2017-01-03 00:00:00+00:00,221.0,"A, e",09114500
2017-01-04 00:00:00+00:00,222.0,"A, e",09114500
2017-01-05 00:00:00+00:00,225.0,"A, e",09114500
2017-01-06 00:00:00+00:00,195.0,"A, e",09114500
2017-01-07 00:00:00+00:00,182.0,"A, e",09114500
2017-01-08 00:00:00+00:00,242.0,"A, e",09114500
2017-01-09 00:00:00+00:00,272.0,"A, e",09114500
2017-01-10 00:00:00+00:00,257.0,"A, e",09114500
