datetime,00010_Mean,00010_Mean_cd,site_no,00060_Mean,00060_Mean_cd
2016-10-01 00:00:00+00:00,,,06205000,393.0,A
2016-10-02 00:00:00+00:00,,,06205000,414.0,A
2016-10-03 00:00:00+00:00,,,06205000,493.0,A
2016-10-04 00:00:00+00:00,,,06205000,611.0,A
2016-10-05 00:00:00+00:00,,,06205000,568.0,A
2016-10-06 00:00:00+00:00,,,06205000,549.0,A
2016-10-07 00:00:00+00:00,,,06205000,543.0,A
2016-10-08 00:00:00+00:00,,,06205000,520.0,A
2016-10-09 00:00:00+00:00,,,06205000,506.0,A
2016-10-10 00:00:00+00:00,,,06205000,510.0,A
2016-10-11 00:00:00+00:00,,,06205000,543.0,A
2016-10-12 00:00:00+00:00,,,06205000,550.0,A
2016-10-13 00:00:00+00:00,,,06205000,549.0,A
2016-10-14 00:00:00+00:00,,,06205000,542.0,A
2016-10-15 00:00:00+00:00,,,06205000,556.0,A
2016-10-16 00:00:00+00:00,,,06205000,623.0,A
2016-10-17 00:00:00+00:00,,,06205000,705.0,A
2016-10-18 00:00:00+00:00,,,06205000,657.0,A
2016-10-19 00:00:00+00:00,,,06205000,619.0,A
2016-10-20 00:00:00+00:00,,,06205000,594.0,A
2016-10-21 00:00:00+00:00,,,06205000,590.0,A
2016-10-22 00:00:00+00:00,,,06205000,571.0,A
2016-10-23 00:00:00+00:00,,,06205000,555.0,A
2016-10-24 00:00:00+00:00,,,06205000,553.0,A
2016-10-25 00:00:00+00:00,,,06205000,553.0,A
2016-10-26 00:00:00+00:00,,,06205000,588.0,A
2016-10-27 00:00:00+00:00,,,06205000,593.0,A
2016-10-28 00:00:00+00:00,,,06205000,630.0,A
2016-10-29 00:00:00+00:00,,,06205000,855.0,A
2016-10-30 00:00:00+00:00,,,06205000,848.0,A
2016-10-31 00:00:00+00:00,,,06205000,1040.0,A
2016-11-01 00:00:00+00:00,,,06205000,1060.0,A
2016-11-02 00:00:00+00:00,,,06205000,931.0,A
2016-11-03 00:00:00+00:00,,,06205000,853.0,A
2016-11-04 00:00:00+00:00,,,06205000,811.0,A
2016-11-05 00:00:00+00:00,,,06205000,766.0,A
2016-11-06 00:00:00+00:00,,,06205000,728.0,A
2016-11-07 00:00:00+00:00,,,06205000,693.0,A
2016-11-08 00:00:00+00:00,,,06205000,669.0,A
2016-11-09 00:00:00+00:00,,,06205000,646.0,A
2016-11-10 00:00:00+00:00,,,06205000,625.0,A
2016-11-11 00:00:00+00:00,,,06205000,603.0,A
2016-11-12 00:00:00+00:00,,,06205000,588.0,A
2016-11-13 00:00:00+00:00,,,06205000,574.0,A
2016-11-14 00:00:00+00:00,,,06205000,568.0,A
2016-11-15 00:00:00+00:00,,,06205000,554.0,A
2016-11-16 00:00:00+00:00,,,06205000,582.0,A
2016-11-17 00:00:00+00:00,,,06205000,607.0,A
2016-11-18 00:00:00+00:00,,,06205000,548.0,A
2016-11-19 00:00:00+00:00,,,06205000,532.0,A
2016-11-20 00:00:00+00:00,,,06205000,567.0,A
2016-11-21 00:00:00+00:00,,,06205000,552.0,A
2016-11-22 00:00:00+00:00,,,06205000,539.0,A
2016-11-23 00:00:00+00:00,,,06205000,512.0,A
2016-11-24 00:00:00+00:00,,,06205000,500.0,A
2016-11-25 00:00:00+00:00,,,06205000,439.0,A
2016-11-26 00:00:00+00:00,,,06205000,454.0,A
2016-11-27 00:00:00+00:00,,,06205000,486.0,A
2016-11-28 00:00:00+00:00,,,06205000,478.0,A
2016-11-29 00:00:00+00:00,,,06205000,463.0,A
2016-11-30 00:00:00+00:00,,,06205000,391.0,A
2016-12-01 00:00:00+00:00,,,06205000,454.0,A
2016-12-02 00:00:00+00:00,,,06205000,438.0,A
2016-12-03 00:00:00+00:00,,,06205000,382.0,A
2016-12-04 00:00:00+00:00,,,06205000,421.0,A
2016-12-05 00:00:00+00:00,,,06205000,404.0,A
2016-12-06 00:00:00+00:00,,,06205000,350.0,A
2016-12-07 00:00:00+00:00,,,06205000,345.0,A
2016-12-08 00:00:00+00:00,,,06205000,285.0,A
