datetime,00010_Mean,00010_Mean_cd,site_no,00060_Mean,00060_Mean_cd
2016-10-01 00:00:00+00:00,3.6,A,15292700,5050.0,A
2016-10-02 00:00:00+00:00,4.6,A,15292700,4940.0,A
2016-10-03 00:00:00+00:00,5.1,A,15292700,4920.0,A
2016-10-04 00:00:00+00:00,4.9,A,15292700,4610.0,A
2016-10-05 00:00:00+00:00,4.1,A,15292700,4350.0,A
2016-10-06 00:00:00+00:00,2.5,A,15292700,4040.0,A
2016-10-07 00:00:00+00:00,1.6,A,15292700,3830.0,A
2016-10-08 00:00:00+00:00,1.2,A,15292700,3690.0,A
2016-10-09 00:00:00+00:00,1.1,A,15292700,3520.0,A
2016-10-10 00:00:00+00:00,2.4,A,15292700,3490.0,A
2016-10-11 00:00:00+00:00,2.3,A,15292700,3360.0,A
2016-10-12 00:00:00+00:00,1.5,A,15292700,3200.0,A
2016-10-13 00:00:00+00:00,0.9,A,15292700,3070.0,A
2016-10-14 00:00:00+00:00,0.7,A,15292700,2950.0,A
2016-10-15 00:00:00+00:00,0.3,A,15292700,2700.0,A
2016-10-16 00:00:00+00:00,0.0,A,15292700,2350.0,A
2016-10-17 00:00:00+00:00,0.1,A,15292700,2180.0,A
2016-10-18 00:00:00+00:00,0.1,A,15292700,2250.0,A
2016-10-19 00:00:00+00:00,0.1,A,15292700,2250.0,A
2016-10-20 00:00:00+00:00,0.1,A,15292700,2280.0,A
2016-10-21 00:00:00+00:00,0.2,A,15292700,2440.0,A
2016-10-22 00:00:00+00:00,0.1,A,15292700,2270.0,A
2016-10-23 00:00:00+00:00,0.1,A,15292700,2000.0,"A, e"
2016-10-24 00:00:00+00:00,0.1,A,15292700,1980.0,"A, e"
2016-10-25 00:00:00+00:00,0.1,A,15292700,1950.0,"A, e"
2016-10-26 00:00:00+00:00,0.1,A,15292700,1930.0,"A, e"
2016-10-27 00:00:00+00:00,0.1,A,15292700,1910.0,"A, e"
2016-10-28 00:00:00+00:00,0.1,A,15292700,1950.0,"A, e"
2016-10-29 00:00:00+00:00,0.1,A,15292700,1960.0,"A, e"
2016-10-30 00:00:00+00:00,0.3,A,15292700,1970.0,"A, e"
2016-10-31 00:00:00+00:00,0.3,A,15292700,1970.0,"A, e"
2016-11-01 00:00:00+00:00,0.1,A,15292700,1840.0,"A, e"
2016-11-02 00:00:00+00:00,0.2,A,15292700,1730.0,"A, e"
2016-11-03 00:00:00+00:00,0.1,A,15292700,1670.0,"A, e"
2016-11-04 00:00:00+00:00,0.1,A,15292700,1560.0,"A, e"
2016-11-05 00:00:00+00:00,0.1,A,15292700,1560.0,"A, e"
2016-11-06 00:00:00+00:00,0.1,A,15292700,1610.0,"A, e"
2016-11-07 00:00:00+00:00,0.1,A,15292700,1610.0,"A, e"
2016-11-08 00:00:00+00:00,0.1,A,15292700,1640.0,"A, e"
2016-11-09 00:00:00+00:00,0.1,A,15292700,1400.0,"A, e"
2016-11-10 00:00:00+00:00,0.1,A,15292700,1410.0,"A, e"
2016-11-11 00:00:00+00:00,0.1,A,15292700,1440.0,"A, e"
2016-11-12 00:00:00+00:00,0.1,A,15292700,1390.0,"A, e"
