datetime,00010_Mean,00010_Mean_cd,site_no,00060_Mean,00060_Mean_cd
2017-10-01 00:00:00+00:00,8.1,A,06025500,577.0,A
2017-10-02 00:00:00+00:00,7.6,A,06025500,583.0,A
2017-10-03 00:00:00+00:00,6.8,A,06025500,577.0,A
2017-10-04 00:00:00+00:00,5.7,A,06025500,574.0,A
2017-10-05 00:00:00+00:00,7.0,A,06025500,575.0,A
2017-10-06 00:00:00+00:00,7.8,A,06025500,575.0,A
2017-10-07 00:00:00+00:00,8.3,A,06025500,560.0,A
2017-10-08 00:00:00+00:00,7.1,A,06025500,543.0,A
2017-10-09 00:00:00+00:00,6.4,A,06025500,540.0,A
2017-10-10 00:00:00+00:00,6.3,A,06025500,542.0,A
2017-10-11 00:00:00+00:00,6.6,A,06025500,528.0,A
2017-10-12 00:00:00+00:00,5.8,A,06025500,525.0,A
2017-10-13 00:00:00+00:00,4.8,A,06025500,525.0,A
2017-10-14 00:00:00+00:00,5.0,A,06025500,537.0,A
2017-10-15 00:00:00+00:00,5.6,A,06025500,536.0,A
2017-10-16 00:00:00+00:00,6.2,A,06025500,538.0,A
2017-10-17 00:00:00+00:00,6.4,A,06025500,537.0,A
2017-10-18 00:00:00+00:00,6.8,A,06025500,536.0,A
2017-10-19 00:00:00+00:00,7.7,A,06025500,532.0,A
2017-10-20 00:00:00+00:00,6.5,A,06025500,528.0,A
2017-10-21 00:00:00+00:00,4.9,A,06025500,540.0,A
2017-10-22 00:00:00+00:00,5.7,A,06025500,544.0,A
2017-10-23 00:00:00+00:00,6.0,A,06025500,629.0,A
2017-10-24 00:00:00+00:00,5.5,A,06025500,636.0,A
2017-10-25 00:00:00+00:00,5.5,A,06025500,639.0,A
2017-10-26 00:00:00+00:00,6.1,A,06025500,616.0,A
2017-10-27 00:00:00+00:00,5.3,A,06025500,607.0,A
2017-10-28 00:00:00+00:00,5.7,A,06025500,596.0,A
2017-10-29 00:00:00+00:00,5.2,A,06025500,590.0,A
2017-10-30 00:00:00+00:00,3.5,A,06025500,570.0,A
2017-10-31 00:00:00+00:00,2.5,A,06025500,525.0,A
2017-11-01 00:00:00+00:00,,,06025500,563.0,A
2017-11-02 00:00:00+00:00,,,06025500,575.0,A
2017-11-03 00:00:00+00:00,,,06025500,621.0,A
2017-11-04 00:00:00+00:00,,,06025500,617.0,A
2017-11-05 00:00:00+00:00,,,06025500,544.0,"A, e"
2017-11-06 00:00:00+00:00,,,06025500,491.0,"A, e"
2017-11-07 00:00:00+00:00,,,06025500,446.0,"A, e"
2017-11-08 00:00:00+00:00,,,06025500,357.0,"A, e"
2017-11-09 00:00:00+00:00,,,06025500,465.0,"A, e"
2017-11-10 00:00:00+00:00,,,06025500,626.0,A
2017-11-11 00:00:00+00:00,,,06025500,619.0,A
2017-11-12 00:00:00+00:00,,,06025500,602.0,A
2017-11-13 00:00:00+00:00,,,06025500,550.0,A
2017-11-14 00:00:00+00:00,,,06025500,569.0,A
2017-11-15 00:00:00+00:00,,,06025500,544.0,"A, e"
2017-11-16 00:00:00+00:00,,,06025500,462.0,A
2017-11-17 00:00:00+00:00,,,06025500,562.0,A
2017-11-18 00:00:00+00:00,,,06025500,590.0,A
2017-11-19 00:00:00+00:00,,,06025500,485.0,"A, e"
2017-11-20 00:00:00+00:00,,,06025500,475.0,"A, e"
2017-11-21 00:00:00+00:00,,,06025500,578.0,A
2017-11-22 00:00:00+00:00,,,06025500,648.0,A
2017-11-23 00:00:00+00:00,,,06025500,717.0,A
2017-11-24 00:00:00+00:00,,,06025500,927.0,A
2017-11-25 00:00:00+00:00,,,06025500,1040.0,A
2017-11-26 00:00:00+00:00,,,06025500,1180.0,A
2017-11-27 00:00:00+00:00,,,06025500,1110.0,A
2017-11-28 00:00:00+00:00,,,06025500,1020.0,A
2017-11-29 00:00:00+00:00,,,06025500,932.0,A
2017-11-30 00:00:00+00:00,,,06025500,682.0,"A, e"
2017-12-01 00:00:00+00:00,,,06025500,567.0,A
2017-12-02 00:00:00+00:00,,,06025500,663.0,"A, e"
2017-12-03 00:00:00+00:00,,,06025500,715.0,A
2017-12-04 00:00:00+00:00,,,06025500,641.0,"A, e"
2017-12-05 00:00:00+00:00,,,06025500,495.0,"A, e"
2017-12-06 00:00:00+00:00,,,06025500,402.0,"A, e"
2017-12-07 00:00:00+00:00,,,06025500,303.0,"A, e"
2017-12-08 00:00:00+00:00,,,06025500,316.0,"A, e"
2017-12-09 00:00:00+00:00,,,06025500,333.0,"A, e"
2017-12-10 00:00:00+00:00,,,06025500,360.0,"A, e"
2017-12-11 00:00:00+00:00,,,06025500,359.0,"A, e"
2017-12-12 00:00:00+00:00,,,06025500,412.0,"A, e"
2017-12-13 00:00:00+00:00,,,06025500,469.0,"A, e"
2017-12-14 00:00:00+00:00,,,06025500,522.0,"A, e"
2017-12-15 00:00:00+00:00,,,06025500,496.0,"A, e"
2017-12-16 00:00:00+00:00,,,06025500,528.0,"A, e"
2017-12-17 00:00:00+00:00,,,06025500,465.0,"A, e"
2017-12-18 00:00:00+00:00,,,06025500,529.0,"A, e"
2017-12-19 00:00:00+00:00,,,06025500,541.0,"A, e"
2017-12-20 00:00:00+00:00,,,06025500,538.0,"A, e"
2017-12-21 00:00:00+00:00,,,06025500,487.0,"A, e"
2017-12-22 00:00:00+00:00,,,06025500,519.0,"A, e"
2017-12-23 00:00:00+00:00,,,06025500,473.0,"A, e"
2017-12-24 00:00:00+00:00,,,06025500,339.0,"A, e"
2017-12-25 00:00:00+00:00,,,06025500,427.0,"A, e"
2017-12-26 00:00:00+00:00,,,06025500,426.0,"A, e"
2017-12-27 00:00:00+00:00,,,06025500,482.0,"A, e"
2017-12-28 00:00:00+00:00,,,06025500,515.0,"A, e"
2017-12-29 00:00:00+00:00,,,06025500,565.0,"A, e"
2017-12-30 00:00:00+00:00,,,06025500,564.0,"A, e"
2017-12-31 00:00:00+00:00,,,06025500,528.0,"A, e"
2018-01-01 00:00:00+00:00,,,06025500,459.0,"A, e"
2018-01-02 00:00:00+00:00,,,06025500,433.0,"A, e"
2018-01-03 00:00:00+00:00,,,06025500,480.0,"A, e"
2018-01-04 00:00:00+00:00,,,06025500,480.0,"A, e"
2018-01-05 00:00:00+00:00,,,06025500,498.0,"A, e"
2018-01-06 00:00:00+00:00,,,06025500,519.0,"A, e"
2018-01-07 00:00:00+00:00,,,06025500,529.0,"A, e"
2018-01-08 00:00:00+00:00,,,06025500,542.0,"A, e"
2018-01-09 00:00:00+00:00,,,06025500,535.0,"A, e"
2018-01-10 00:00:00+00:00,,,06025500,520.0,"A, e"
2018-01-11 00:00:00+00:00,,,06025500,514.0,"A, e"
2018-01-12 00:00:00+00:00,,,06025500,538.0,"A, e"
2018-01-13 00:00:00+00:00,,,06025500,546.0,"A, e"
2018-01-14 00:00:00+00:00,,,06025500,515.0,"A, e"
2018-01-15 00:00:00+00:00,,,06025500,518.0,"A, e"
2018-01-16 00:00:00+00:00,,,06025500,485.0,"A, e"
2018-01-17 00:00:00+00:00,,,06025500,462.0,"A, e"
2018-01-18 00:00:00+00:00,,,06025500,485.0,"A, e"
2018-01-19 00:00:00+00:00,,,06025500,505.0,"A, e"
2018-01-20 00:00:00+00:00,,,06025500,464.0,"A, e"
2018-01-21 00:00:00+00:00,,,06025500,455.0,"A, e"
2018-01-22 00:00:00+00:00,,,06025500,455.0,"A, e"
2018-01-23 00:00:00+00:00,,,06025500,454.0,"A, e"
2018-01-24 00:00:00+00:00,,,06025500,455.0,"A, e"
2018-01-25 00:00:00+00:00,,,06025500,448.0,"A, e"
2018-01-26 00:00:00+00:00,,,06025500,451.0,"A, e"
2018-01-27 00:00:00+00:00,,,06025500,431.0,"A, e"
2018-01-28 00:00:00+00:00,,,06025500,462.0,"A, e"
2018-01-29 00:00:00+00:00,,,06025500,471.0,"A, e"
2018-01-30 00:00:00+00:00,,,06025500,486.0,"A, e"
2018-01-31 00:00:00+00:00,,,06025500,472.0,"A, e"
2018-02-01 00:00:00+00:00,,,06025500,472.0,"A, e"
2018-02-02 00:00:00+00:00,,,06025500,477.0,"A, e"
2018-02-03 00:00:00+00:00,,,06025500,503.0,"A, e"
2018-02-04 00:00:00+00:00,,,06025500,532.0,A
2018-02-05 00:00:00+00:00,,,06025500,689.0,A
2018-02-06 00:00:00+00:00,,,06025500,639.0,A
2018-02-07 00:00:00+00:00,,,06025500,597.0,A
2018-02-08 00:00:00+00:00,,,06025500,647.0,A
2018-02-09 00:00:00+00:00,,,06025500,690.0,A
2018-02-10 00:00:00+00:00,,,06025500,637.0,A
2018-02-11 00:00:00+00:00,,,06025500,570.0,A
2018-02-12 00:00:00+00:00,,,06025500,514.0,A
2018-02-13 00:00:00+00:00,,,06025500,446.0,A
2018-02-14 00:00:00+00:00,,,06025500,489.0,A
2018-02-15 00:00:00+00:00,,,06025500,504.0,A
2018-02-16 00:00:00+00:00,,,06025500,480.0,"A, e"
2018-02-17 00:00:00+00:00,,,06025500,478.0,"A, e"
2018-02-18 00:00:00+00:00,,,06025500,414.0,"A, e"
2018-02-19 00:00:00+00:00,,,06025500,359.0,"A, e"
2018-02-20 00:00:00+00:00,,,06025500,335.0,"A, e"
2018-02-21 00:00:00+00:00,,,06025500,378.0,"A, e"
2018-02-22 00:00:00+00:00,,,06025500,376.0,"A, e"
2018-02-23 00:00:00+00:00,,,06025500,363.0,"A, e"
2018-02-24 00:00:00+00:00,,,06025500,364.0,"A, e"
2018-02-25 00:00:00+00:00,,,06025500,381.0,"A, e"
2018-02-26 00:00:00+00:00,,,06025500,395.0,"A, e"
2018-02-27 00:00:00+00:00,,,06025500,376.0,"A, e"
2018-02-28 00:00:00+00:00,0.3,A,06025500,383.0,"A, e"
2018-03-01 00:00:00+00:00,0.4,A,06025500,378.0,"A, e"
2018-03-02 00:00:00+00:00,0.4,A,06025500,401.0,"A, e"
2018-03-03 00:00:00+00:00,0.4,A,06025500,360.0,"A, e"
2018-03-04 00:00:00+00:00,0.4,A,06025500,381.0,"A, e"
2018-03-05 00:00:00+00:00,0.4,A,06025500,370.0,"A, e"
2018-03-06 00:00:00+00:00,0.4,A,06025500,390.0,"A, e"
2018-03-07 00:00:00+00:00,0.5,A,06025500,386.0,"A, e"
2018-03-08 00:00:00+00:00,1.1,A,06025500,419.0,"A, e"
2018-03-09 00:00:00+00:00,2.6,A,06025500,437.0,A
2018-03-10 00:00:00+00:00,3.0,A,06025500,421.0,A
2018-03-11 00:00:00+00:00,2.7,A,06025500,414.0,A
2018-03-12 00:00:00+00:00,3.4,A,06025500,421.0,A
2018-03-13 00:00:00+00:00,3.7,A,06025500,422.0,A
2018-03-14 00:00:00+00:00,4.0,A,06025500,455.0,A
2018-03-15 00:00:00+00:00,3.6,A,06025500,488.0,A
2018-03-16 00:00:00+00:00,3.8,A,06025500,468.0,A
2018-03-17 00:00:00+00:00,2.9,A,06025500,456.0,A
2018-03-18 00:00:00+00:00,3.0,A,06025500,455.0,A
2018-03-19 00:00:00+00:00,3.9,A,06025500,439.0,A
2018-03-20 00:00:00+00:00,4.4,A,06025500,448.0,A
2018-03-21 00:00:00+00:00,4.1,A,06025500,441.0,A
2018-03-22 00:00:00+00:00,4.4,A,06025500,468.0,A
2018-03-23 00:00:00+00:00,5.5,A,06025500,560.0,A
2018-03-24 00:00:00+00:00,4.6,A,06025500,600.0,A
2018-03-25 00:00:00+00:00,2.6,A,06025500,544.0,A
2018-03-26 00:00:00+00:00,2.6,A,06025500,522.0,A
2018-03-27 00:00:00+00:00,3.7,A,06025500,531.0,A
2018-03-28 00:00:00+00:00,4.8,A,06025500,566.0,A
2018-03-29 00:00:00+00:00,5.1,A,06025500,569.0,A
2018-03-30 00:00:00+00:00,6.0,A,06025500,604.0,A
2018-03-31 00:00:00+00:00,4.9,A,06025500,693.0,A
2018-04-01 00:00:00+00:00,3.4,A,06025500,780.0,A
2018-04-02 00:00:00+00:00,3.4,A,06025500,950.0,A
2018-04-03 00:00:00+00:00,2.4,A,06025500,945.0,A
2018-04-04 00:00:00+00:00,4.3,A,06025500,831.0,A
2018-04-05 00:00:00+00:00,5.0,A,06025500,865.0,A
2018-04-06 00:00:00+00:00,3.3,A,06025500,1070.0,A
2018-04-07 00:00:00+00:00,2.9,A,06025500,1390.0,A
2018-04-08 00:00:00+00:00,3.8,A,06025500,1510.0,A
2018-04-09 00:00:00+00:00,3.8,A,06025500,1610.0,A
2018-04-10 00:00:00+00:00,3.3,A,06025500,1680.0,A
2018-04-11 00:00:00+00:00,4.6,A,06025500,1640.0,A
2018-04-12 00:00:00+00:00,3.6,A,06025500,1980.0,A
2018-04-13 00:00:00+00:00,3.6,A,06025500,1710.0,A
2018-04-14 00:00:00+00:00,5.6,A,06025500,1320.0,A
2018-04-15 00:00:00+00:00,6.7,A,06025500,1450.0,A
2018-04-16 00:00:00+00:00,6.2,A,06025500,1640.0,A
2018-04-17 00:00:00+00:00,4.6,A,06025500,1780.0,A
2018-04-18 00:00:00+00:00,5.3,A,06025500,1480.0,A
2018-04-19 00:00:00+00:00,7.0,A,06025500,1320.0,A
2018-04-20 00:00:00+00:00,8.7,A,06025500,1410.0,A
2018-04-21 00:00:00+00:00,9.3,A,06025500,1770.0,A
2018-04-22 00:00:00+00:00,8.9,A,06025500,2400.0,A
2018-04-23 00:00:00+00:00,7.2,A,06025500,2900.0,A
2018-04-24 00:00:00+00:00,6.6,A,06025500,2750.0,A
2018-04-25 00:00:00+00:00,7.9,A,06025500,2340.0,A
2018-04-26 00:00:00+00:00,9.3,A,06025500,2390.0,A
2018-04-27 00:00:00+00:00,10.3,A,06025500,2810.0,A
2018-04-28 00:00:00+00:00,10.7,A,06025500,3380.0,A
2018-04-29 00:00:00+00:00,9.0,A,06025500,4070.0,A
2018-04-30 00:00:00+00:00,6.9,A,06025500,4230.0,A
2018-05-01 00:00:00+00:00,7.2,A,06025500,4250.0,A
2018-05-02 00:00:00+00:00,8.3,A,06025500,3810.0,A
2018-05-03 00:00:00+00:00,9.6,A,06025500,3380.0,A
2018-05-04 00:00:00+00:00,10.7,A,06025500,3260.0,A
2018-05-05 00:00:00+00:00,10.7,A,06025500,3580.0,A
2018-05-06 00:00:00+00:00,10.6,A,06025500,4020.0,A
2018-05-07 00:00:00+00:00,10.5,A,06025500,5040.0,A
2018-05-08 00:00:00+00:00,10.4,A,06025500,5670.0,A
2018-05-09 00:00:00+00:00,11.6,A,06025500,6420.0,A
2018-05-10 00:00:00+00:00,11.0,A,06025500,7180.0,A
2018-05-11 00:00:00+00:00,9.5,A,06025500,7920.0,A
2018-05-12 00:00:00+00:00,8.2,A,06025500,7660.0,A
2018-05-13 00:00:00+00:00,8.6,A,06025500,6970.0,A
2018-05-14 00:00:00+00:00,9.4,A,06025500,6600.0,A
2018-05-15 00:00:00+00:00,11.4,A,06025500,6200.0,A
2018-05-16 00:00:00+00:00,12.2,A,06025500,6090.0,A
2018-05-17 00:00:00+00:00,11.0,A,06025500,6290.0,A
2018-05-18 00:00:00+00:00,9.6,A,06025500,6970.0,A
2018-05-19 00:00:00+00:00,8.6,A,06025500,7290.0,A
2018-05-20 00:00:00+00:00,11.2,A,06025500,8040.0,A
2018-05-21 00:00:00+00:00,12.5,A,06025500,8050.0,A
2018-05-22 00:00:00+00:00,12.6,A,06025500,8070.0,A
2018-05-23 00:00:00+00:00,11.4,A,06025500,8840.0,A
2018-05-24 00:00:00+00:00,12.0,A,06025500,9140.0,A
2018-05-25 00:00:00+00:00,12.4,A,06025500,9800.0,A
2018-05-26 00:00:00+00:00,13.1,A,06025500,9920.0,A
2018-05-27 00:00:00+00:00,12.5,A,06025500,10000.0,A
2018-05-28 00:00:00+00:00,13.6,A,06025500,9830.0,A
2018-05-29 00:00:00+00:00,13.5,A,06025500,9840.0,A
2018-05-30 00:00:00+00:00,13.8,A,06025500,9200.0,A
2018-05-31 00:00:00+00:00,12.8,A,06025500,8990.0,A
2018-06-01 00:00:00+00:00,11.0,A,06025500,9830.0,A
2018-06-02 00:00:00+00:00,10.7,A,06025500,9650.0,A
2018-06-03 00:00:00+00:00,13.5,A,06025500,9010.0,A
2018-06-04 00:00:00+00:00,15.1,A,06025500,7800.0,A
2018-06-05 00:00:00+00:00,14.9,A,06025500,6650.0,A
2018-06-06 00:00:00+00:00,14.2,A,06025500,5930.0,A
2018-06-07 00:00:00+00:00,14.3,A,06025500,5680.0,A
2018-06-08 00:00:00+00:00,13.9,A,06025500,5930.0,A
2018-06-09 00:00:00+00:00,14.7,A,06025500,5630.0,A
2018-06-10 00:00:00+00:00,13.1,A,06025500,5910.0,A
2018-06-11 00:00:00+00:00,10.3,A,06025500,5830.0,A
2018-06-12 00:00:00+00:00,10.0,A,06025500,5390.0,A
2018-06-13 00:00:00+00:00,12.6,A,06025500,4840.0,A
2018-06-14 00:00:00+00:00,14.7,A,06025500,4070.0,A
2018-06-15 00:00:00+00:00,14.0,A,06025500,3480.0,A
2018-06-16 00:00:00+00:00,12.7,A,06025500,3530.0,A
2018-06-17 00:00:00+00:00,10.8,A,06025500,4590.0,A
2018-06-18 00:00:00+00:00,10.2,A,06025500,5650.0,A
2018-06-19 00:00:00+00:00,10.6,A,06025500,6970.0,A
2018-06-20 00:00:00+00:00,12.4,A,06025500,7230.0,A
2018-06-21 00:00:00+00:00,13.7,A,06025500,6820.0,A
2018-06-22 00:00:00+00:00,13.8,A,06025500,6040.0,A
2018-06-23 00:00:00+00:00,13.6,A,06025500,5640.0,A
2018-06-24 00:00:00+00:00,12.7,A,06025500,5650.0,A
2018-06-25 00:00:00+00:00,14.4,A,06025500,5140.0,A
2018-06-26 00:00:00+00:00,15.9,A,06025500,4520.0,A
2018-06-27 00:00:00+00:00,15.5,A,06025500,3950.0,A
2018-06-28 00:00:00+00:00,15.1,A,06025500,3510.0,A
2018-06-29 00:00:00+00:00,14.0,A,06025500,3480.0,A
2018-06-30 00:00:00+00:00,13.1,A,06025500,3330.0,A
2018-07-01 00:00:00+00:00,14.1,A,06025500,3120.0,A
2018-07-02 00:00:00+00:00,15.0,A,06025500,2820.0,A
2018-07-03 00:00:00+00:00,13.5,A,06025500,2530.0,A
2018-07-04 00:00:00+00:00,12.9,A,06025500,2340.0,A
2018-07-05 00:00:00+00:00,15.0,A,06025500,2130.0,A
2018-07-06 00:00:00+00:00,16.7,A,06025500,1950.0,A
2018-07-07 00:00:00+00:00,17.2,A,06025500,1800.0,A
2018-07-08 00:00:00+00:00,17.2,A,06025500,1680.0,A
2018-07-09 00:00:00+00:00,17.7,A,06025500,1600.0,A
2018-07-10 00:00:00+00:00,18.5,A,06025500,1540.0,A
2018-07-11 00:00:00+00:00,18.5,A,06025500,1440.0,A
2018-07-12 00:00:00+00:00,18.5,A,06025500,1340.0,A
2018-07-13 00:00:00+00:00,19.2,A,06025500,1260.0,A
2018-07-14 00:00:00+00:00,19.2,A,06025500,1180.0,A
2018-07-15 00:00:00+00:00,19.1,A,06025500,1110.0,A
2018-07-16 00:00:00+00:00,18.8,A,06025500,1070.0,A
2018-07-17 00:00:00+00:00,18.1,A,06025500,1090.0,A
2018-07-18 00:00:00+00:00,18.0,A,06025500,1090.0,A
2018-07-19 00:00:00+00:00,17.9,A,06025500,1020.0,A
