datetime,00060_Mean,00060_Mean_cd,site_no
2017-10-01 00:00:00+00:00,3.97,A,10172800
2017-10-02 00:00:00+00:00,3.98,A,10172800
2017-10-03 00:00:00+00:00,3.98,A,10172800
2017-10-04 00:00:00+00:00,3.99,A,10172800
2017-10-05 00:00:00+00:00,4.0,A,10172800
2017-10-06 00:00:00+00:00,3.91,A,10172800
2017-10-07 00:00:00+00:00,3.82,A,10172800
2017-10-08 00:00:00+00:00,3.8,A,10172800
2017-10-09 00:00:00+00:00,3.79,A,10172800
2017-10-10 00:00:00+00:00,3.78,A,10172800
2017-10-11 00:00:00+00:00,3.79,A,10172800
2017-10-12 00:00:00+00:00,3.79,A,10172800
2017-10-13 00:00:00+00:00,3.8,A,10172800
2017-10-14 00:00:00+00:00,3.8,A,10172800
2017-10-15 00:00:00+00:00,3.81,A,10172800
2017-10-16 00:00:00+00:00,3.81,A,10172800
2017-10-17 00:00:00+00:00,3.82,A,10172800
2017-10-18 00:00:00+00:00,3.82,A,10172800
2017-10-19 00:00:00+00:00,3.83,A,10172800
2017-10-20 00:00:00+00:00,3.93,A,10172800
2017-10-21 00:00:00+00:00,3.88,A,10172800
2017-10-22 00:00:00+00:00,3.85,A,10172800
2017-10-23 00:00:00+00:00,3.85,A,10172800
2017-10-24 00:00:00+00:00,3.86,A,10172800
2017-10-25 00:00:00+00:00,3.86,A,10172800
2017-10-26 00:00:00+00:00,3.87,A,10172800
2017-10-27 00:00:00+00:00,3.87,A,10172800
2017-10-28 00:00:00+00:00,3.88,A,10172800
2017-10-29 00:00:00+00:00,3.83,A,10172800
2017-10-30 00:00:00+00:00,3.7,A,10172800
2017-10-31 00:00:00+00:00,3.67,A,10172800
2017-11-01 00:00:00+00:00,3.66,A,10172800
2017-11-02 00:00:00+00:00,3.67,A,10172800
2017-11-03 00:00:00+00:00,3.68,A,10172800
2017-11-04 00:00:00+00:00,3.68,A,10172800
2017-11-05 00:00:00+00:00,3.67,A,10172800
2017-11-06 00:00:00+00:00,3.66,A,10172800
2017-11-07 00:00:00+00:00,3.66,A,10172800
2017-11-08 00:00:00+00:00,3.66,A,10172800
2017-11-09 00:00:00+00:00,3.66,A,10172800
2017-11-10 00:00:00+00:00,3.66,A,10172800
2017-11-11 00:00:00+00:00,3.66,A,10172800
2017-11-12 00:00:00+00:00,3.66,A,10172800
2017-11-13 00:00:00+00:00,3.66,A,10172800
2017-11-14 00:00:00+00:00,3.62,A,10172800
2017-11-15 00:00:00+00:00,3.5,A,10172800
2017-11-16 00:00:00+00:00,3.49,A,10172800
2017-11-17 00:00:00+00:00,3.71,A,10172800
2017-11-18 00:00:00+00:00,3.44,A,10172800
2017-11-19 00:00:00+00:00,3.44,A,10172800
2017-11-20 00:00:00+00:00,3.44,A,10172800
2017-11-21 00:00:00+00:00,3.44,A,10172800
2017-11-22 00:00:00+00:00,3.44,A,10172800
2017-11-23 00:00:00+00:00,3.44,A,10172800
