datetime,00010_Mean,00010_Mean_cd,site_no,00060_Mean,00060_Mean_cd,00065_Mean,00065_Mean_cd
2017-10-01 00:00:00+00:00,13.4,A,12442500,290.0,A,2.11,A
2017-10-02 00:00:00+00:00,12.4,A,12442500,292.0,A,2.12,A
2017-10-03 00:00:00+00:00,11.9,A,12442500,294.0,A,2.12,A
2017-10-04 00:00:00+00:00,11.6,A,12442500,297.0,A,2.13,A
2017-10-05 00:00:00+00:00,11.3,A,12442500,299.0,A,2.13,A
2017-10-06 00:00:00+00:00,10.5,A,12442500,296.0,A,2.12,A
2017-10-07 00:00:00+00:00,10.7,A,12442500,295.0,A,2.12,A
2017-10-08 00:00:00+00:00,10.4,A,12442500,298.0,A,2.13,A
2017-10-09 00:00:00+00:00,10.4,A,12442500,339.0,A,2.22,A
2017-10-10 00:00:00+00:00,9.9,A,12442500,366.0,A,2.28,A
2017-10-11 00:00:00+00:00,9.2,A,12442500,348.0,A,2.24,A
2017-10-12 00:00:00+00:00,8.7,A,12442500,335.0,A,2.21,A
2017-10-13 00:00:00+00:00,8.4,A,12442500,328.0,A,2.2,A
2017-10-14 00:00:00+00:00,8.1,A,12442500,337.0,A,2.22,A
2017-10-15 00:00:00+00:00,7.9,A,12442500,371.0,A,2.29,A
2017-10-16 00:00:00+00:00,8.4,A,12442500,376.0,A,2.3,A
2017-10-17 00:00:00+00:00,9.5,A,12442500,376.0,A,2.3,A
2017-10-18 00:00:00+00:00,9.3,A,12442500,398.0,A,2.35,A
2017-10-19 00:00:00+00:00,9.1,A,12442500,590.0,A,2.79,A
2017-10-20 00:00:00+00:00,8.7,A,12442500,1710.0,A,4.28,A
2017-10-21 00:00:00+00:00,7.2,A,12442500,1330.0,A,3.87,A
2017-10-22 00:00:00+00:00,7.1,A,12442500,1020.0,A,3.49,A
2017-10-23 00:00:00+00:00,7.3,A,12442500,1080.0,A,3.56,A
2017-10-24 00:00:00+00:00,6.8,A,12442500,1230.0,A,3.76,A
2017-10-25 00:00:00+00:00,6.6,A,12442500,1030.0,A,3.5,A
2017-10-26 00:00:00+00:00,6.6,A,12442500,1010.0,A,3.48,A
2017-10-27 00:00:00+00:00,6.7,A,12442500,1280.0,A,3.82,A
2017-10-28 00:00:00+00:00,6.5,A,12442500,1110.0,A,3.61,A
2017-10-29 00:00:00+00:00,6.2,A,12442500,996.0,A,3.46,A
2017-10-30 00:00:00+00:00,6.3,A,12442500,990.0,A,3.45,A
2017-10-31 00:00:00+00:00,5.1,A,12442500,946.0,A,3.39,A
2017-11-01 00:00:00+00:00,5.4,A,12442500,885.0,A,3.31,A
2017-11-02 00:00:00+00:00,5.5,A,12442500,869.0,A,3.29,A
2017-11-03 00:00:00+00:00,4.2,A,12442500,855.0,A,3.27,A
2017-11-04 00:00:00+00:00,2.2,A,12442500,766.0,A,3.13,A
2017-11-05 00:00:00+00:00,1.6,A,12442500,673.0,A,2.99,A
2017-11-06 00:00:00+00:00,1.1,A,12442500,635.0,A,2.93,A
2017-11-07 00:00:00+00:00,0.6,A,12442500,582.0,A,2.84,A
2017-11-08 00:00:00+00:00,1.7,A,12442500,513.0,A,2.71,A
2017-11-09 00:00:00+00:00,2.6,A,12442500,547.0,A,2.77,A
2017-11-10 00:00:00+00:00,2.8,A,12442500,669.0,A,2.98,A
2017-11-11 00:00:00+00:00,3.0,A,12442500,666.0,A,2.98,A
2017-11-12 00:00:00+00:00,3.8,A,12442500,647.0,A,2.95,A
2017-11-13 00:00:00+00:00,5.1,A,12442500,634.0,A,2.92,A
2017-11-14 00:00:00+00:00,5.7,A,12442500,623.0,A,2.91,A
