datetime,00010_Mean,00010_Mean_cd,site_no,00060_Mean,00060_Mean_cd
2017-10-01 00:00:00+00:00,,,09239500,168.0,A
2017-10-02 00:00:00+00:00,,,09239500,179.0,A
2017-10-03 00:00:00+00:00,,,09239500,162.0,A
2017-10-04 00:00:00+00:00,,,09239500,161.0,A
2017-10-05 00:00:00+00:00,,,09239500,176.0,A
2017-10-06 00:00:00+00:00,,,09239500,176.0,A
2017-10-07 00:00:00+00:00,,,09239500,147.0,A
2017-10-08 00:00:00+00:00,,,09239500,148.0,A
2017-10-09 00:00:00+00:00,,,09239500,154.0,A
2017-10-10 00:00:00+00:00,,,09239500,137.0,A
2017-10-11 00:00:00+00:00,,,09239500,134.0,A
2017-10-12 00:00:00+00:00,,,09239500,134.0,A
2017-10-13 00:00:00+00:00,,,09239500,142.0,A
2017-10-14 00:00:00+00:00,,,09239500,131.0,A
2017-10-15 00:00:00+00:00,,,09239500,124.0,A
2017-10-16 00:00:00+00:00,,,09239500,128.0,A
2017-10-17 00:00:00+00:00,,,09239500,128.0,A
2017-10-18 00:00:00+00:00,,,09239500,126.0,A
2017-10-19 00:00:00+00:00,,,09239500,124.0,A
2017-10-20 00:00:00+00:00,,,09239500,127.0,A
2017-10-21 00:00:00+00:00,,,09239500,140.0,A
2017-10-22 00:00:00+00:00,,,09239500,132.0,A
2017-10-23 00:00:00+00:00,,,09239500,131.0,A
2017-10-24 00:00:00+00:00,,,09239500,131.0,A
2017-10-25 00:00:00+00:00,,,09239500,128.0,A
2017-10-26 00:00:00+00:00,,,09239500,128.0,A
2017-10-27 00:00:00+00:00,,,09239500,122.0,A
2017-10-28 00:00:00+00:00,,,09239500,125.0,A
2017-10-29 00:00:00+00:00,,,09239500,121.0,A
2017-10-30 00:00:00+00:00,,,09239500,123.0,A
2017-10-31 00:00:00+00:00,,,09239500,123.0,A
2017-11-01 00:00:00+00:00,,,09239500,122.0,A
2017-11-02 00:00:00+00:00,,,09239500,122.0,A
2017-11-03 00:00:00+00:00,,,09239500,122.0,A
2017-11-04 00:00:00+00:00,,,09239500,123.0,A
2017-11-05 00:00:00+00:00,,,09239500,143.0,A
2017-11-06 00:00:00+00:00,,,09239500,139.0,A
2017-11-07 00:00:00+00:00,,,09239500,134.0,A
2017-11-08 00:00:00+00:00,4.4,A,09239500,110.0,A
2017-11-09 00:00:00+00:00,4.0,A,09239500,112.0,A
2017-11-10 00:00:00+00:00,4.1,A,09239500,138.0,A
2017-11-11 00:00:00+00:00,3.8,A,09239500,136.0,A
2017-11-12 00:00:00+00:00,3.6,A,09239500,135.0,A
2017-11-13 00:00:00+00:00,4.5,A,09239500,139.0,A
2017-11-14 00:00:00+00:00,3.7,A,09239500,138.0,A
2017-11-15 00:00:00+00:00,3.3,A,09239500,136.0,A
2017-11-16 00:00:00+00:00,3.5,A,09239500,138.0,A
2017-11-17 00:00:00+00:00,4.3,A,09239500,141.0,A
2017-11-18 00:00:00+00:00,2.3,A,09239500,130.0,A
2017-11-19 00:00:00+00:00,1.3,A,09239500,129.0,A
2017-11-20 00:00:00+00:00,1.4,A,09239500,135.0,A
2017-11-21 00:00:00+00:00,2.7,A,09239500,142.0,A
2017-11-22 00:00:00+00:00,3.1,A,09239500,142.0,A
2017-11-23 00:00:00+00:00,3.7,A,09239500,174.0,A
2017-11-24 00:00:00+00:00,3.5,A,09239500,177.0,A
2017-11-25 00:00:00+00:00,3.5,A,09239500,176.0,A
2017-11-26 00:00:00+00:00,3.5,A,09239500,172.0,A
2017-11-27 00:00:00+00:00,3.1,A,09239500,172.0,A
2017-11-28 00:00:00+00:00,3.5,A,09239500,171.0,A
2017-11-29 00:00:00+00:00,2.7,A,09239500,169.0,A
2017-11-30 00:00:00+00:00,2.6,A,09239500,164.0,A
2017-12-01 00:00:00+00:00,2.3,A,09239500,164.0,A
2017-12-02 00:00:00+00:00,3.1,A,09239500,167.0,A
2017-12-03 00:00:00+00:00,2.9,A,09239500,165.0,A
2017-12-04 00:00:00+00:00,1.6,A,09239500,159.0,A
2017-12-05 00:00:00+00:00,1.0,A,09239500,154.0,A
2017-12-06 00:00:00+00:00,0.3,A,09239500,128.0,"A, e"
2017-12-07 00:00:00+00:00,0.1,A,09239500,101.0,"A, e"
2017-12-08 00:00:00+00:00,0.4,A,09239500,103.0,A
2017-12-09 00:00:00+00:00,0.0,A,09239500,96.5,"A, e"
2017-12-10 00:00:00+00:00,0.0,A,09239500,88.7,"A, e"
2017-12-11 00:00:00+00:00,0.0,A,09239500,84.0,"A, e"
2017-12-12 00:00:00+00:00,0.0,A,09239500,88.5,"A, e"
2017-12-13 00:00:00+00:00,0.1,A,09239500,86.1,"A, e"
2017-12-14 00:00:00+00:00,0.7,A,09239500,84.3,"A, e"
2017-12-15 00:00:00+00:00,0.1,A,09239500,82.0,"A, e"
2017-12-16 00:00:00+00:00,0.0,A,09239500,78.6,"A, e"
2017-12-17 00:00:00+00:00,0.0,A,09239500,74.7,"A, e"
2017-12-18 00:00:00+00:00,0.0,A,09239500,70.5,"A, e"
2017-12-19 00:00:00+00:00,0.0,A,09239500,76.8,"A, e"
2017-12-20 00:00:00+00:00,0.2,A,09239500,77.5,"A, e"
2017-12-21 00:00:00+00:00,0.5,A,09239500,75.3,"A, e"
2017-12-22 00:00:00+00:00,0.1,A,09239500,72.2,"A, e"
2017-12-23 00:00:00+00:00,0.0,A,09239500,72.4,"A, e"
2017-12-24 00:00:00+00:00,0.0,A,09239500,70.3,"A, e"
2017-12-25 00:00:00+00:00,0.0,A,09239500,74.2,"A, e"
2017-12-26 00:00:00+00:00,0.1,A,09239500,81.4,"A, e"
2017-12-27 00:00:00+00:00,0.0,A,09239500,81.0,"A, e"
2017-12-28 00:00:00+00:00,0.1,A,09239500,80.0,"A, e"
2017-12-29 00:00:00+00:00,0.1,A,09239500,78.9,"A, e"
2017-12-30 00:00:00+00:00,0.1,A,09239500,78.4,"A, e"
2017-12-31 00:00:00+00:00,0.2,A,09239500,78.0,"A, e"
2018-01-01 00:00:00+00:00,0.0,A,09239500,77.1,"A, e"
2018-01-02 00:00:00+00:00,0.0,A,09239500,71.9,"A, e"
2018-01-03 00:00:00+00:00,0.0,A,09239500,69.9,"A, e"
2018-01-04 00:00:00+00:00,0.0,A,09239500,71.6,"A, e"
2018-01-05 00:00:00+00:00,0.0,A,09239500,75.8,"A, e"
2018-01-06 00:00:00+00:00,0.0,A,09239500,78.9,"A, e"
2018-01-07 00:00:00+00:00,0.1,A,09239500,77.4,"A, e"
2018-01-08 00:00:00+00:00,0.1,A,09239500,78.6,"A, e"
2018-01-09 00:00:00+00:00,0.1,A,09239500,73.2,"A, e"
2018-01-10 00:00:00+00:00,0.1,A,09239500,80.5,"A, e"
2018-01-11 00:00:00+00:00,0.1,A,09239500,81.4,"A, e"
2018-01-12 00:00:00+00:00,0.1,A,09239500,76.7,"A, e"
2018-01-13 00:00:00+00:00,0.1,A,09239500,75.0,"A, e"
2018-01-14 00:00:00+00:00,0.1,A,09239500,77.7,"A, e"
2018-01-15 00:00:00+00:00,0.1,A,09239500,75.0,"A, e"
2018-01-16 00:00:00+00:00,0.1,A,09239500,68.7,"A, e"
2018-01-17 00:00:00+00:00,0.1,A,09239500,67.6,"A, e"
2018-01-18 00:00:00+00:00,0.1,A,09239500,75.2,"A, e"
2018-01-19 00:00:00+00:00,0.1,A,09239500,80.6,"A, e"
2018-01-20 00:00:00+00:00,0.1,A,09239500,83.4,"A, e"
2018-01-21 00:00:00+00:00,0.0,A,09239500,82.9,"A, e"
2018-01-22 00:00:00+00:00,0.1,A,09239500,76.3,"A, e"
2018-01-23 00:00:00+00:00,0.1,A,09239500,75.1,"A, e"
2018-01-24 00:00:00+00:00,0.1,A,09239500,76.3,"A, e"
2018-01-25 00:00:00+00:00,0.0,A,09239500,72.8,"A, e"
2018-01-26 00:00:00+00:00,0.1,A,09239500,77.4,"A, e"
2018-01-27 00:00:00+00:00,0.1,A,09239500,77.1,"A, e"
2018-01-28 00:00:00+00:00,0.1,A,09239500,77.6,"A, e"
2018-01-29 00:00:00+00:00,0.2,A,09239500,82.0,"A, e"
2018-01-30 00:00:00+00:00,0.2,A,09239500,79.0,"A, e"
2018-01-31 00:00:00+00:00,0.1,A,09239500,80.6,"A, e"
2018-02-01 00:00:00+00:00,0.1,A,09239500,80.8,"A, e"
2018-02-02 00:00:00+00:00,0.2,A,09239500,81.3,"A, e"
2018-02-03 00:00:00+00:00,0.2,A,09239500,84.1,"A, e"
2018-02-04 00:00:00+00:00,0.2,A,09239500,86.1,"A, e"
2018-02-05 00:00:00+00:00,0.2,A,09239500,87.3,"A, e"
2018-02-06 00:00:00+00:00,0.2,A,09239500,86.4,"A, e"
2018-02-07 00:00:00+00:00,0.2,A,09239500,82.7,"A, e"
2018-02-08 00:00:00+00:00,0.4,A,09239500,85.2,"A, e"
2018-02-09 00:00:00+00:00,1.9,A,09239500,87.9,"A, e"
2018-02-10 00:00:00+00:00,1.3,A,09239500,86.0,"A, e"
2018-02-11 00:00:00+00:00,0.2,A,09239500,77.7,"A, e"
2018-02-12 00:00:00+00:00,0.0,A,09239500,84.2,"A, e"
2018-02-13 00:00:00+00:00,0.9,A,09239500,89.6,"A, e"
2018-02-14 00:00:00+00:00,1.6,A,09239500,88.4,"A, e"
2018-02-15 00:00:00+00:00,0.8,A,09239500,87.5,"A, e"
2018-02-16 00:00:00+00:00,0.5,A,09239500,85.6,"A, e"
2018-02-17 00:00:00+00:00,1.4,A,09239500,89.1,"A, e"
2018-02-18 00:00:00+00:00,1.6,A,09239500,91.1,"A, e"
2018-02-19 00:00:00+00:00,1.2,A,09239500,90.1,"A, e"
2018-02-20 00:00:00+00:00,0.1,A,09239500,87.7,"A, e"
2018-02-21 00:00:00+00:00,0.0,A,09239500,79.0,"A, e"
2018-02-22 00:00:00+00:00,0.1,A,09239500,82.5,"A, e"
2018-02-23 00:00:00+00:00,0.3,A,09239500,93.7,"A, e"
2018-02-24 00:00:00+00:00,0.1,A,09239500,91.8,"A, e"
2018-02-25 00:00:00+00:00,0.3,A,09239500,87.6,"A, e"
2018-02-26 00:00:00+00:00,0.3,A,09239500,87.0,"A, e"
2018-02-27 00:00:00+00:00,0.4,A,09239500,89.3,"A, e"
2018-02-28 00:00:00+00:00,0.5,A,09239500,93.9,"A, e"
2018-03-01 00:00:00+00:00,1.0,A,09239500,93.0,"A, e"
2018-03-02 00:00:00+00:00,1.9,A,09239500,98.5,"A, e"
2018-03-03 00:00:00+00:00,2.2,A,09239500,107.0,A
2018-03-04 00:00:00+00:00,1.5,A,09239500,108.0,A
2018-03-05 00:00:00+00:00,0.8,A,09239500,103.0,"A, e"
2018-03-06 00:00:00+00:00,1.1,A,09239500,103.0,"A, e"
2018-03-07 00:00:00+00:00,1.1,A,09239500,102.0,"A, e"
2018-03-08 00:00:00+00:00,1.6,A,09239500,102.0,"A, e"
2018-03-09 00:00:00+00:00,2.6,A,09239500,97.4,A
2018-03-10 00:00:00+00:00,3.0,A,09239500,93.9,A
2018-03-11 00:00:00+00:00,2.5,A,09239500,94.2,A
2018-03-12 00:00:00+00:00,3.1,A,09239500,96.4,A
2018-03-13 00:00:00+00:00,3.5,A,09239500,101.0,A
2018-03-14 00:00:00+00:00,4.0,A,09239500,106.0,A
2018-03-15 00:00:00+00:00,2.8,A,09239500,110.0,A
2018-03-16 00:00:00+00:00,3.4,A,09239500,104.0,A
2018-03-17 00:00:00+00:00,3.6,A,09239500,106.0,A
2018-03-18 00:00:00+00:00,3.1,A,09239500,111.0,A
2018-03-19 00:00:00+00:00,2.6,A,09239500,109.0,A
2018-03-20 00:00:00+00:00,3.5,A,09239500,106.0,A
2018-03-21 00:00:00+00:00,4.1,A,09239500,108.0,A
2018-03-22 00:00:00+00:00,3.9,A,09239500,112.0,A
2018-03-23 00:00:00+00:00,2.6,A,09239500,165.0,A
2018-03-24 00:00:00+00:00,3.1,A,09239500,167.0,A
2018-03-25 00:00:00+00:00,3.4,A,09239500,170.0,A
2018-03-26 00:00:00+00:00,3.1,A,09239500,173.0,A
2018-03-27 00:00:00+00:00,3.3,A,09239500,185.0,A
2018-03-28 00:00:00+00:00,2.2,A,09239500,196.0,A
2018-03-29 00:00:00+00:00,2.8,A,09239500,180.0,A
2018-03-30 00:00:00+00:00,3.9,A,09239500,174.0,A
2018-03-31 00:00:00+00:00,4.4,A,09239500,189.0,A
2018-04-01 00:00:00+00:00,5.1,A,09239500,267.0,A
2018-04-02 00:00:00+00:00,3.7,A,09239500,354.0,A
2018-04-03 00:00:00+00:00,3.0,A,09239500,314.0,A
2018-04-04 00:00:00+00:00,3.1,A,09239500,240.0,A
2018-04-05 00:00:00+00:00,4.2,A,09239500,220.0,A
2018-04-06 00:00:00+00:00,3.4,A,09239500,346.0,A
2018-04-07 00:00:00+00:00,3.8,A,09239500,589.0,A
2018-04-08 00:00:00+00:00,3.8,A,09239500,1140.0,A
2018-04-09 00:00:00+00:00,3.9,A,09239500,816.0,A
2018-04-10 00:00:00+00:00,5.1,A,09239500,680.0,A
2018-04-11 00:00:00+00:00,5.9,A,09239500,621.0,A
2018-04-12 00:00:00+00:00,5.0,A,09239500,640.0,A
2018-04-13 00:00:00+00:00,3.5,A,09239500,616.0,A
2018-04-14 00:00:00+00:00,4.0,A,09239500,559.0,A
2018-04-15 00:00:00+00:00,5.3,A,09239500,494.0,A
2018-04-16 00:00:00+00:00,5.5,A,09239500,418.0,A
2018-04-17 00:00:00+00:00,3.7,A,09239500,385.0,A
2018-04-18 00:00:00+00:00,4.4,A,09239500,367.0,A
2018-04-19 00:00:00+00:00,5.4,A,09239500,368.0,A
2018-04-20 00:00:00+00:00,4.9,A,09239500,402.0,A
2018-04-21 00:00:00+00:00,4.6,A,09239500,476.0,A
2018-04-22 00:00:00+00:00,6.5,A,09239500,399.0,A
2018-04-23 00:00:00+00:00,6.7,A,09239500,460.0,A
2018-04-24 00:00:00+00:00,6.1,A,09239500,605.0,A
2018-04-25 00:00:00+00:00,6.4,A,09239500,623.0,A
2018-04-26 00:00:00+00:00,6.7,A,09239500,703.0,A
2018-04-27 00:00:00+00:00,6.6,A,09239500,791.0,A
2018-04-28 00:00:00+00:00,6.3,A,09239500,908.0,A
2018-04-29 00:00:00+00:00,6.7,A,09239500,1030.0,A
2018-04-30 00:00:00+00:00,6.4,A,09239500,1120.0,A
2018-05-01 00:00:00+00:00,6.0,A,09239500,1100.0,A
2018-05-02 00:00:00+00:00,6.1,A,09239500,997.0,A
2018-05-03 00:00:00+00:00,5.6,A,09239500,1020.0,A
2018-05-04 00:00:00+00:00,6.9,A,09239500,1130.0,A
2018-05-05 00:00:00+00:00,6.8,A,09239500,1160.0,A
2018-05-06 00:00:00+00:00,6.9,A,09239500,1310.0,A
2018-05-07 00:00:00+00:00,6.7,A,09239500,1510.0,A
2018-05-08 00:00:00+00:00,7.1,A,09239500,1690.0,A
2018-05-09 00:00:00+00:00,6.6,A,09239500,1950.0,A
2018-05-10 00:00:00+00:00,6.6,A,09239500,2100.0,A
2018-05-11 00:00:00+00:00,6.6,A,09239500,2240.0,A
2018-05-12 00:00:00+00:00,6.7,A,09239500,2280.0,A
2018-05-13 00:00:00+00:00,6.7,A,09239500,2330.0,A
2018-05-14 00:00:00+00:00,6.2,A,09239500,2310.0,A
2018-05-15 00:00:00+00:00,6.4,A,09239500,2110.0,A
2018-05-16 00:00:00+00:00,6.6,A,09239500,2120.0,A
2018-05-17 00:00:00+00:00,6.8,A,09239500,2240.0,A
2018-05-18 00:00:00+00:00,6.6,A,09239500,2260.0,A
2018-05-19 00:00:00+00:00,6.3,A,09239500,2220.0,A
2018-05-20 00:00:00+00:00,6.4,A,09239500,2070.0,A
2018-05-21 00:00:00+00:00,6.9,A,09239500,1950.0,A
2018-05-22 00:00:00+00:00,6.4,A,09239500,2170.0,A
2018-05-23 00:00:00+00:00,6.7,A,09239500,2390.0,A
2018-05-24 00:00:00+00:00,6.9,A,09239500,2370.0,A
2018-05-25 00:00:00+00:00,7.1,A,09239500,2490.0,A
2018-05-26 00:00:00+00:00,7.4,A,09239500,2530.0,A
2018-05-27 00:00:00+00:00,7.7,A,09239500,2450.0,A
2018-05-28 00:00:00+00:00,7.4,A,09239500,2410.0,A
2018-05-29 00:00:00+00:00,7.4,A,09239500,2080.0,A
2018-05-30 00:00:00+00:00,7.7,A,09239500,1940.0,A
2018-05-31 00:00:00+00:00,8.1,A,09239500,1900.0,A
2018-06-01 00:00:00+00:00,8.0,A,09239500,1840.0,A
2018-06-02 00:00:00+00:00,8.2,A,09239500,1610.0,A
2018-06-03 00:00:00+00:00,8.3,A,09239500,1470.0,A
2018-06-04 00:00:00+00:00,9.3,A,09239500,1420.0,A
2018-06-05 00:00:00+00:00,9.3,A,09239500,1420.0,A
2018-06-06 00:00:00+00:00,9.7,A,09239500,1320.0,A
2018-06-07 00:00:00+00:00,10.6,A,09239500,1180.0,A
2018-06-08 00:00:00+00:00,11.0,A,09239500,1090.0,A
2018-06-09 00:00:00+00:00,11.5,A,09239500,1000.0,A
2018-06-10 00:00:00+00:00,12.2,A,09239500,856.0,A
2018-06-11 00:00:00+00:00,11.9,A,09239500,762.0,A
2018-06-12 00:00:00+00:00,12.3,A,09239500,657.0,A
2018-06-13 00:00:00+00:00,13.5,A,09239500,549.0,A
2018-06-14 00:00:00+00:00,13.9,A,09239500,513.0,A
2018-06-15 00:00:00+00:00,14.8,A,09239500,469.0,A
2018-06-16 00:00:00+00:00,14.4,A,09239500,433.0,A
2018-06-17 00:00:00+00:00,14.3,A,09239500,553.0,A
2018-06-18 00:00:00+00:00,14.7,A,09239500,538.0,A
2018-06-19 00:00:00+00:00,14.5,A,09239500,406.0,A
2018-06-20 00:00:00+00:00,15.4,A,09239500,306.0,A
2018-06-21 00:00:00+00:00,15.7,A,09239500,278.0,A
2018-06-22 00:00:00+00:00,16.4,A,09239500,233.0,A
2018-06-23 00:00:00+00:00,16.2,A,09239500,196.0,A
2018-06-24 00:00:00+00:00,15.0,A,09239500,198.0,A
2018-06-25 00:00:00+00:00,15.2,A,09239500,213.0,A
2018-06-26 00:00:00+00:00,16.8,A,09239500,188.0,A
2018-06-27 00:00:00+00:00,18.0,A,09239500,157.0,A
2018-06-28 00:00:00+00:00,18.5,A,09239500,142.0,A
2018-06-29 00:00:00+00:00,18.4,A,09239500,126.0,A
2018-06-30 00:00:00+00:00,16.6,A,09239500,119.0,A
2018-07-01 00:00:00+00:00,16.6,A,09239500,116.0,A
2018-07-02 00:00:00+00:00,18.0,A,09239500,113.0,A
2018-07-03 00:00:00+00:00,18.1,A,09239500,109.0,A
2018-07-04 00:00:00+00:00,18.9,A,09239500,104.0,A
2018-07-05 00:00:00+00:00,19.3,A,09239500,96.5,A
2018-07-06 00:00:00+00:00,19.8,A,09239500,93.6,A
2018-07-07 00:00:00+00:00,20.9,A,09239500,90.8,A
2018-07-08 00:00:00+00:00,21.5,A,09239500,90.0,A
2018-07-09 00:00:00+00:00,22.1,A,09239500,87.7,A
2018-07-10 00:00:00+00:00,21.6,A,09239500,85.4,A
2018-07-11 00:00:00+00:00,19.9,A,09239500,90.2,A
2018-07-12 00:00:00+00:00,20.0,A,09239500,86.8,A
2018-07-13 00:00:00+00:00,21.6,A,09239500,85.3,A
2018-07-14 00:00:00+00:00,22.1,A,09239500,83.7,A
2018-07-15 00:00:00+00:00,20.6,A,09239500,90.4,A
2018-07-16 00:00:00+00:00,20.5,A,09239500,91.2,A
2018-07-17 00:00:00+00:00,20.9,A,09239500,89.3,A
2018-07-18 00:00:00+00:00,21.1,A,09239500,87.6,A
2018-07-19 00:00:00+00:00,20.8,A,09239500,82.2,A
2018-07-20 00:00:00+00:00,20.7,A,09239500,86.3,A
2018-07-21 00:00:00+00:00,21.4,A,09239500,82.9,A
