datetime,00060_Mean,00060_Mean_cd,site_no
2018-10-01 00:00:00+00:00,68.0,A,14046000
2018-10-02 00:00:00+00:00,69.4,A,14046000
2018-10-03 00:00:00+00:00,69.5,A,14046000
2018-10-04 00:00:00+00:00,71.3,A,14046000
2018-10-05 00:00:00+00:00,74.1,A,14046000
2018-10-06 00:00:00+00:00,88.9,A,14046000
2018-10-07 00:00:00+00:00,98.4,A,14046000
2018-10-08 00:00:00+00:00,115.0,A,14046000
2018-10-09 00:00:00+00:00,122.0,A,14046000
2018-10-10 00:00:00+00:00,156.0,A,14046000
2018-10-11 00:00:00+00:00,224.0,A,14046000
2018-10-12 00:00:00+00:00,156.0,A,14046000
2018-10-13 00:00:00+00:00,127.0,A,14046000
2018-10-14 00:00:00+00:00,114.0,A,14046000
2018-10-15 00:00:00+00:00,108.0,A,14046000
2018-10-16 00:00:00+00:00,103.0,A,14046000
2018-10-17 00:00:00+00:00,100.0,A,14046000
2018-10-18 00:00:00+00:00,103.0,A,14046000
2018-10-19 00:00:00+00:00,103.0,A,14046000
2018-10-20 00:00:00+00:00,102.0,A,14046000
2018-10-21 00:00:00+00:00,101.0,A,14046000
2018-10-22 00:00:00+00:00,100.0,A,14046000
2018-10-23 00:00:00+00:00,100.0,A,14046000
2018-10-24 00:00:00+00:00,99.5,A,14046000
2018-10-25 00:00:00+00:00,98.7,A,14046000
2018-10-26 00:00:00+00:00,99.5,A,14046000
2018-10-27 00:00:00+00:00,103.0,A,14046000
2018-10-28 00:00:00+00:00,111.0,A,14046000
2018-10-29 00:00:00+00:00,131.0,A,14046000
2018-10-30 00:00:00+00:00,158.0,A,14046000
2018-10-31 00:00:00+00:00,163.0,A,14046000
2018-11-01 00:00:00+00:00,168.0,A,14046000
2018-11-02 00:00:00+00:00,368.0,A,14046000
2018-11-03 00:00:00+00:00,278.0,A,14046000
2018-11-04 00:00:00+00:00,216.0,A,14046000
2018-11-05 00:00:00+00:00,183.0,A,14046000
2018-11-06 00:00:00+00:00,167.0,A,14046000
2018-11-07 00:00:00+00:00,161.0,A,14046000
2018-11-08 00:00:00+00:00,157.0,A,14046000
2018-11-09 00:00:00+00:00,143.0,A,14046000
2018-11-10 00:00:00+00:00,123.0,A,14046000
2018-11-11 00:00:00+00:00,123.0,A,14046000
2018-11-12 00:00:00+00:00,106.0,A,14046000
2018-11-13 00:00:00+00:00,71.6,A,14046000
2018-11-14 00:00:00+00:00,110.0,A,14046000
2018-11-15 00:00:00+00:00,154.0,A,14046000
2018-11-16 00:00:00+00:00,156.0,A,14046000
2018-11-17 00:00:00+00:00,150.0,A,14046000
2018-11-18 00:00:00+00:00,130.0,A,14046000
2018-11-19 00:00:00+00:00,91.6,A,14046000
2018-11-20 00:00:00+00:00,66.0,A,14046000
2018-11-21 00:00:00+00:00,74.6,A,14046000
2018-11-22 00:00:00+00:00,156.0,A,14046000
2018-11-23 00:00:00+00:00,182.0,A,14046000
2018-11-24 00:00:00+00:00,186.0,A,14046000
2018-11-25 00:00:00+00:00,146.0,A,14046000
2018-11-26 00:00:00+00:00,116.0,A,14046000
2018-11-27 00:00:00+00:00,143.0,A,14046000
2018-11-28 00:00:00+00:00,192.0,A,14046000
2018-11-29 00:00:00+00:00,196.0,A,14046000
