datetime,00060_Mean,00060_Mean_cd,site_no
2019-10-01 00:00:00+00:00,8.51,A,10348850
2019-10-02 00:00:00+00:00,8.92,A,10348850
2019-10-03 00:00:00+00:00,8.88,A,10348850
2019-10-04 00:00:00+00:00,8.67,A,10348850
2019-10-05 00:00:00+00:00,7.85,A,10348850
2019-10-06 00:00:00+00:00,7.6,A,10348850
2019-10-07 00:00:00+00:00,7.66,A,10348850
2019-10-08 00:00:00+00:00,7.76,A,10348850
2019-10-09 00:00:00+00:00,8.14,A,10348850
2019-10-10 00:00:00+00:00,7.91,A,10348850
2019-10-11 00:00:00+00:00,8.05,A,10348850
2019-10-12 00:00:00+00:00,8.28,A,10348850
2019-10-13 00:00:00+00:00,8.42,A,10348850
2019-10-14 00:00:00+00:00,8.41,A,10348850
2019-10-15 00:00:00+00:00,8.52,A,10348850
2019-10-16 00:00:00+00:00,8.64,A,10348850
2019-10-17 00:00:00+00:00,9.3,A,10348850
2019-10-18 00:00:00+00:00,9.33,A,10348850
2019-10-19 00:00:00+00:00,9.28,A,10348850
2019-10-20 00:00:00+00:00,9.28,A,10348850
2019-10-21 00:00:00+00:00,8.99,A,10348850
2019-10-22 00:00:00+00:00,8.85,A,10348850
2019-10-23 00:00:00+00:00,9.18,A,10348850
2019-10-24 00:00:00+00:00,9.09,A,10348850
2019-10-25 00:00:00+00:00,8.91,A,10348850
2019-10-26 00:00:00+00:00,8.76,A,10348850
2019-10-27 00:00:00+00:00,8.74,A,10348850
2019-10-28 00:00:00+00:00,9.21,"A, e",10348850
2019-10-29 00:00:00+00:00,8.54,"A, e",10348850
2019-10-30 00:00:00+00:00,8.44,"A, e",10348850
2019-10-31 00:00:00+00:00,8.98,"A, e",10348850
2019-11-01 00:00:00+00:00,9.66,"A, e",10348850
2019-11-02 00:00:00+00:00,9.59,A,10348850
2019-11-03 00:00:00+00:00,9.41,A,10348850
2019-11-04 00:00:00+00:00,9.45,A,10348850
2019-11-05 00:00:00+00:00,9.35,A,10348850
2019-11-06 00:00:00+00:00,9.22,A,10348850
2019-11-07 00:00:00+00:00,8.98,A,10348850
2019-11-08 00:00:00+00:00,8.97,A,10348850
2019-11-09 00:00:00+00:00,8.94,A,10348850
2019-11-10 00:00:00+00:00,8.85,A,10348850
2019-11-11 00:00:00+00:00,8.8,A,10348850
2019-11-12 00:00:00+00:00,8.82,A,10348850
2019-11-13 00:00:00+00:00,8.82,A,10348850
