datetime,00060_Mean,00060_Mean_cd,site_no,00065_Mean,00065_Mean_cd
2019-10-01 00:00:00+00:00,548.0,A,12459000,1.88,A
2019-10-02 00:00:00+00:00,526.0,A,12459000,1.84,A
2019-10-03 00:00:00+00:00,514.0,A,12459000,1.82,A
2019-10-04 00:00:00+00:00,504.0,A,12459000,1.8,A
2019-10-05 00:00:00+00:00,491.0,A,12459000,1.77,A
2019-10-06 00:00:00+00:00,482.0,A,12459000,1.75,A
2019-10-07 00:00:00+00:00,482.0,A,12459000,1.75,A
2019-10-08 00:00:00+00:00,731.0,A,12459000,2.18,A
2019-10-09 00:00:00+00:00,884.0,A,12459000,2.42,A
2019-10-10 00:00:00+00:00,777.0,A,12459000,2.26,A
2019-10-11 00:00:00+00:00,724.0,A,12459000,2.18,A
2019-10-12 00:00:00+00:00,691.0,A,12459000,2.13,A
2019-10-13 00:00:00+00:00,671.0,A,12459000,2.09,A
2019-10-14 00:00:00+00:00,664.0,A,12459000,2.08,A
2019-10-15 00:00:00+00:00,640.0,A,12459000,2.04,A
2019-10-16 00:00:00+00:00,620.0,A,12459000,2.0,A
2019-10-17 00:00:00+00:00,680.0,A,12459000,2.11,A
2019-10-18 00:00:00+00:00,833.0,A,12459000,2.35,A
2019-10-19 00:00:00+00:00,983.0,A,12459000,2.54,A
2019-10-20 00:00:00+00:00,1000.0,A,12459000,2.56,A
2019-10-21 00:00:00+00:00,1020.0,A,12459000,2.59,A
2019-10-22 00:00:00+00:00,2780.0,A,12459000,4.13,A
2019-10-23 00:00:00+00:00,3170.0,A,12459000,4.47,A
2019-10-24 00:00:00+00:00,2480.0,A,12459000,3.98,A
2019-10-25 00:00:00+00:00,2260.0,A,12459000,3.81,A
2019-10-26 00:00:00+00:00,2330.0,A,12459000,3.87,A
2019-10-27 00:00:00+00:00,2060.0,A,12459000,3.64,A
2019-10-28 00:00:00+00:00,1790.0,A,12459000,3.41,A
2019-10-29 00:00:00+00:00,1560.0,A,12459000,3.19,A
2019-10-30 00:00:00+00:00,1360.0,A,12459000,2.99,A
2019-10-31 00:00:00+00:00,1260.0,A,12459000,2.88,A
2019-11-01 00:00:00+00:00,1180.0,A,12459000,2.79,A
2019-11-02 00:00:00+00:00,1110.0,A,12459000,2.7,A
2019-11-03 00:00:00+00:00,1060.0,A,12459000,2.64,A
2019-11-04 00:00:00+00:00,1010.0,A,12459000,2.58,A
2019-11-05 00:00:00+00:00,972.0,A,12459000,2.53,A
2019-11-06 00:00:00+00:00,930.0,A,12459000,2.48,A
2019-11-07 00:00:00+00:00,886.0,A,12459000,2.42,A
2019-11-08 00:00:00+00:00,855.0,A,12459000,2.38,A
2019-11-09 00:00:00+00:00,827.0,A,12459000,2.34,A
2019-11-10 00:00:00+00:00,821.0,A,12459000,2.33,A
2019-11-11 00:00:00+00:00,817.0,A,12459000,2.32,A
2019-11-12 00:00:00+00:00,802.0,A,12459000,2.3,A
2019-11-13 00:00:00+00:00,806.0,A,12459000,2.31,A
2019-11-14 00:00:00+00:00,788.0,A,12459000,2.28,A
2019-11-15 00:00:00+00:00,772.0,A,12459000,2.26,A
2019-11-16 00:00:00+00:00,907.0,A,12459000,2.44,A
2019-11-17 00:00:00+00:00,1060.0,A,12459000,2.64,A
2019-11-18 00:00:00+00:00,1780.0,A,12459000,3.4,A
2019-11-19 00:00:00+00:00,1850.0,A,12459000,3.46,A
2019-11-20 00:00:00+00:00,1800.0,A,12459000,3.41,A
2019-11-21 00:00:00+00:00,1610.0,A,12459000,3.24,A
2019-11-22 00:00:00+00:00,1460.0,A,12459000,3.09,A
2019-11-23 00:00:00+00:00,1340.0,A,12459000,2.96,A
2019-11-24 00:00:00+00:00,1280.0,A,12459000,2.9,A
2019-11-25 00:00:00+00:00,1270.0,A,12459000,2.88,A
2019-11-26 00:00:00+00:00,1190.0,A,12459000,2.79,A
2019-11-27 00:00:00+00:00,1110.0,A,12459000,2.7,A
2019-11-28 00:00:00+00:00,1060.0,A,12459000,2.64,A
2019-11-29 00:00:00+00:00,923.0,A,12459000,2.47,A
2019-11-30 00:00:00+00:00,841.0,A,12459000,2.36,A
2019-12-01 00:00:00+00:00,815.0,A,12459000,2.32,A
2019-12-02 00:00:00+00:00,873.0,A,12459000,2.4,A
2019-12-03 00:00:00+00:00,908.0,A,12459000,2.45,A
2019-12-04 00:00:00+00:00,916.0,A,12459000,2.46,A
2019-12-05 00:00:00+00:00,1010.0,A,12459000,2.58,A
2019-12-06 00:00:00+00:00,998.0,A,12459000,2.56,A
2019-12-07 00:00:00+00:00,986.0,A,12459000,2.55,A
2019-12-08 00:00:00+00:00,958.0,A,12459000,2.51,A
2019-12-09 00:00:00+00:00,931.0,A,12459000,2.48,A
2019-12-10 00:00:00+00:00,898.0,A,12459000,2.44,A
2019-12-11 00:00:00+00:00,877.0,A,12459000,2.41,A
2019-12-12 00:00:00+00:00,880.0,A,12459000,2.41,A
2019-12-13 00:00:00+00:00,892.0,A,12459000,2.43,A
2019-12-14 00:00:00+00:00,875.0,A,12459000,2.41,A
2019-12-15 00:00:00+00:00,843.0,A,12459000,2.36,A
2019-12-16 00:00:00+00:00,792.0,A,12459000,2.29,A
2019-12-17 00:00:00+00:00,777.0,A,12459000,2.26,A
2019-12-18 00:00:00+00:00,758.0,A,12459000,2.24,A
2019-12-19 00:00:00+00:00,757.0,A,12459000,2.23,A
2019-12-20 00:00:00+00:00,857.0,A,12459000,2.38,A
2019-12-21 00:00:00+00:00,1620.0,A,12459000,3.24,A
2019-12-22 00:00:00+00:00,1570.0,A,12459000,3.2,A
2019-12-23 00:00:00+00:00,1390.0,A,12459000,3.02,A
2019-12-24 00:00:00+00:00,1260.0,A,12459000,2.88,A
2019-12-25 00:00:00+00:00,1150.0,A,12459000,2.76,A
2019-12-26 00:00:00+00:00,1050.0,A,12459000,2.62,A
2019-12-27 00:00:00+00:00,1040.0,A,12459000,2.61,A
2019-12-28 00:00:00+00:00,993.0,A,12459000,2.55,A
2019-12-29 00:00:00+00:00,940.0,A,12459000,2.49,A
2019-12-30 00:00:00+00:00,897.0,A,12459000,2.43,A
2019-12-31 00:00:00+00:00,910.0,A,12459000,2.45,A
2020-01-01 00:00:00+00:00,1700.0,A,12459000,3.31,A
2020-01-02 00:00:00+00:00,2110.0,A,12459000,3.69,A
2020-01-03 00:00:00+00:00,1960.0,A,12459000,3.56,A
2020-01-04 00:00:00+00:00,1990.0,A,12459000,3.58,A
2020-01-05 00:00:00+00:00,1930.0,A,12459000,3.53,A
2020-01-06 00:00:00+00:00,1920.0,A,12459000,3.53,A
2020-01-07 00:00:00+00:00,2520.0,A,12459000,4.0,A
2020-01-08 00:00:00+00:00,3200.0,A,12459000,4.49,A
2020-01-09 00:00:00+00:00,2940.0,A,12459000,4.32,A
2020-01-10 00:00:00+00:00,2570.0,A,12459000,4.05,A
2020-01-11 00:00:00+00:00,2350.0,A,12459000,3.88,A
2020-01-12 00:00:00+00:00,2140.0,A,12459000,3.71,A
2020-01-13 00:00:00+00:00,1920.0,A,12459000,3.53,A
2020-01-14 00:00:00+00:00,1700.0,A,12459000,3.33,A
2020-01-15 00:00:00+00:00,1560.0,A,12459000,3.19,A
2020-01-16 00:00:00+00:00,1490.0,A,12459000,3.12,A
2020-01-17 00:00:00+00:00,1410.0,A,12459000,3.04,A
2020-01-18 00:00:00+00:00,1370.0,A,12459000,3.0,A
2020-01-19 00:00:00+00:00,1320.0,A,12459000,2.95,A
2020-01-20 00:00:00+00:00,1280.0,A,12459000,2.9,A
2020-01-21 00:00:00+00:00,1230.0,A,12459000,2.85,A
2020-01-22 00:00:00+00:00,1210.0,A,12459000,2.83,A
2020-01-23 00:00:00+00:00,1250.0,A,12459000,2.87,A
2020-01-24 00:00:00+00:00,1430.0,A,12459000,3.07,A
2020-01-25 00:00:00+00:00,1610.0,A,12459000,3.24,A
2020-01-26 00:00:00+00:00,1620.0,A,12459000,3.25,A
2020-01-27 00:00:00+00:00,1570.0,A,12459000,3.2,A
2020-01-28 00:00:00+00:00,1560.0,A,12459000,3.19,A
2020-01-29 00:00:00+00:00,1510.0,A,12459000,3.14,A
2020-01-30 00:00:00+00:00,1470.0,A,12459000,3.1,A
2020-01-31 00:00:00+00:00,1560.0,A,12459000,3.19,A
2020-02-01 00:00:00+00:00,4470.0,A,12459000,5.2,A
2020-02-02 00:00:00+00:00,7620.0,A,12459000,6.93,A
2020-02-03 00:00:00+00:00,6430.0,A,12459000,6.36,A
2020-02-04 00:00:00+00:00,5190.0,A,12459000,5.71,A
2020-02-05 00:00:00+00:00,4480.0,A,12459000,5.3,A
2020-02-06 00:00:00+00:00,4630.0,A,12459000,5.37,A
2020-02-07 00:00:00+00:00,5910.0,A,12459000,6.01,A
2020-02-08 00:00:00+00:00,6180.0,A,12459000,6.12,A
2020-02-09 00:00:00+00:00,5410.0,A,12459000,5.73,A
2020-02-10 00:00:00+00:00,4630.0,A,12459000,5.32,A
2020-02-11 00:00:00+00:00,4060.0,A,12459000,5.0,A
2020-02-12 00:00:00+00:00,3620.0,A,12459000,4.74,A
2020-02-13 00:00:00+00:00,3290.0,A,12459000,4.53,A
2020-02-14 00:00:00+00:00,3030.0,A,12459000,4.35,A
2020-02-15 00:00:00+00:00,2790.0,A,12459000,4.19,A
2020-02-16 00:00:00+00:00,2630.0,A,12459000,4.07,A
2020-02-17 00:00:00+00:00,2460.0,A,12459000,3.95,A
2020-02-18 00:00:00+00:00,2280.0,A,12459000,3.8,A
2020-02-19 00:00:00+00:00,2140.0,A,12459000,3.69,A
2020-02-20 00:00:00+00:00,2030.0,A,12459000,3.6,A
2020-02-21 00:00:00+00:00,1940.0,A,12459000,3.52,A
2020-02-22 00:00:00+00:00,1870.0,A,12459000,3.46,A
2020-02-23 00:00:00+00:00,1820.0,A,12459000,3.42,A
2020-02-24 00:00:00+00:00,1810.0,A,12459000,3.4,A
2020-02-25 00:00:00+00:00,1710.0,A,12459000,3.31,A
2020-02-26 00:00:00+00:00,1650.0,A,12459000,3.26,A
2020-02-27 00:00:00+00:00,1610.0,A,12459000,3.22,A
2020-02-28 00:00:00+00:00,1580.0,A,12459000,3.19,A
2020-02-29 00:00:00+00:00,1600.0,A,12459000,3.21,A
2020-03-01 00:00:00+00:00,1580.0,A,12459000,3.19,A
2020-03-02 00:00:00+00:00,1540.0,A,12459000,3.15,A
2020-03-03 00:00:00+00:00,1550.0,A,12459000,3.16,A
2020-03-04 00:00:00+00:00,1660.0,A,12459000,3.27,A
2020-03-05 00:00:00+00:00,1670.0,A,12459000,3.28,A
2020-03-06 00:00:00+00:00,1650.0,A,12459000,3.25,A
2020-03-07 00:00:00+00:00,1640.0,A,12459000,3.24,A
2020-03-08 00:00:00+00:00,1600.0,A,12459000,3.21,A
2020-03-09 00:00:00+00:00,1550.0,A,12459000,3.16,A
2020-03-10 00:00:00+00:00,1520.0,A,12459000,3.13,A
2020-03-11 00:00:00+00:00,1510.0,A,12459000,3.12,A
2020-03-12 00:00:00+00:00,1470.0,A,12459000,3.08,A
2020-03-13 00:00:00+00:00,1460.0,A,12459000,3.07,A
2020-03-14 00:00:00+00:00,1430.0,A,12459000,3.04,A
2020-03-15 00:00:00+00:00,1360.0,A,12459000,2.96,A
2020-03-16 00:00:00+00:00,1350.0,A,12459000,2.95,A
2020-03-17 00:00:00+00:00,1330.0,A,12459000,2.93,A
2020-03-18 00:00:00+00:00,1310.0,A,12459000,2.91,A
2020-03-19 00:00:00+00:00,1300.0,A,12459000,2.9,A
2020-03-20 00:00:00+00:00,1320.0,A,12459000,2.92,A
2020-03-21 00:00:00+00:00,1370.0,A,12459000,2.98,A
2020-03-22 00:00:00+00:00,1450.0,A,12459000,3.06,A
2020-03-23 00:00:00+00:00,1540.0,A,12459000,3.14,A
2020-03-24 00:00:00+00:00,1570.0,A,12459000,3.18,A
2020-03-25 00:00:00+00:00,1580.0,A,12459000,3.19,A
2020-03-26 00:00:00+00:00,1570.0,A,12459000,3.18,A
2020-03-27 00:00:00+00:00,1540.0,A,12459000,3.15,A
2020-03-28 00:00:00+00:00,1540.0,A,12459000,3.15,A
2020-03-29 00:00:00+00:00,1590.0,A,12459000,3.2,A
2020-03-30 00:00:00+00:00,1710.0,A,12459000,3.32,A
2020-03-31 00:00:00+00:00,1750.0,A,12459000,3.35,A
2020-04-01 00:00:00+00:00,1710.0,A,12459000,3.31,A
2020-04-02 00:00:00+00:00,1660.0,A,12459000,3.27,A
2020-04-03 00:00:00+00:00,1620.0,A,12459000,3.23,A
2020-04-04 00:00:00+00:00,1570.0,A,12459000,3.18,A
2020-04-05 00:00:00+00:00,1530.0,A,12459000,3.14,A
2020-04-06 00:00:00+00:00,1500.0,A,12459000,3.11,A
2020-04-07 00:00:00+00:00,1510.0,A,12459000,3.12,A
2020-04-08 00:00:00+00:00,1530.0,A,12459000,3.14,A
2020-04-09 00:00:00+00:00,1600.0,A,12459000,3.2,A
2020-04-10 00:00:00+00:00,1810.0,A,12459000,3.41,A
2020-04-11 00:00:00+00:00,2200.0,A,12459000,3.74,A
2020-04-12 00:00:00+00:00,2510.0,A,12459000,3.98,A
2020-04-13 00:00:00+00:00,2610.0,A,12459000,4.06,A
2020-04-14 00:00:00+00:00,2650.0,A,12459000,4.09,A
2020-04-15 00:00:00+00:00,2770.0,A,12459000,4.17,A
2020-04-16 00:00:00+00:00,2960.0,A,12459000,4.31,A
2020-04-17 00:00:00+00:00,3150.0,A,12459000,4.44,A
2020-04-18 00:00:00+00:00,3460.0,A,12459000,4.64,A
2020-04-19 00:00:00+00:00,3830.0,A,12459000,4.87,A
2020-04-20 00:00:00+00:00,4260.0,A,12459000,5.12,A
2020-04-21 00:00:00+00:00,4760.0,A,12459000,5.39,A
