datetime,00060_Mean,00060_Mean_cd,site_no
2020-10-01 00:00:00+00:00,17.0,A,14375100
2020-10-02 00:00:00+00:00,16.7,A,14375100
2020-10-03 00:00:00+00:00,16.6,A,14375100
2020-10-04 00:00:00+00:00,16.6,A,14375100
2020-10-05 00:00:00+00:00,16.8,A,14375100
2020-10-06 00:00:00+00:00,16.9,A,14375100
2020-10-07 00:00:00+00:00,16.9,A,14375100
2020-10-08 00:00:00+00:00,16.8,A,14375100
2020-10-09 00:00:00+00:00,17.1,A,14375100
2020-10-10 00:00:00+00:00,27.0,A,14375100
2020-10-11 00:00:00+00:00,25.8,A,14375100
2020-10-12 00:00:00+00:00,20.9,A,14375100
2020-10-13 00:00:00+00:00,20.4,A,14375100
2020-10-14 00:00:00+00:00,21.1,A,14375100
2020-10-15 00:00:00+00:00,19.6,A,14375100
2020-10-16 00:00:00+00:00,19.0,A,14375100
2020-10-17 00:00:00+00:00,18.6,A,14375100
2020-10-18 00:00:00+00:00,18.4,A,14375100
2020-10-19 00:00:00+00:00,18.5,A,14375100
2020-10-20 00:00:00+00:00,18.4,A,14375100
2020-10-21 00:00:00+00:00,18.3,A,14375100
2020-10-22 00:00:00+00:00,18.5,A,14375100
2020-10-23 00:00:00+00:00,18.5,A,14375100
2020-10-24 00:00:00+00:00,18.7,A,14375100
2020-10-25 00:00:00+00:00,19.1,A,14375100
2020-10-26 00:00:00+00:00,18.8,A,14375100
2020-10-27 00:00:00+00:00,18.8,A,14375100
2020-10-28 00:00:00+00:00,18.5,A,14375100
2020-10-29 00:00:00+00:00,18.1,A,14375100
2020-10-30 00:00:00+00:00,17.9,A,14375100
2020-10-31 00:00:00+00:00,18.0,A,14375100
2020-11-01 00:00:00+00:00,18.2,A,14375100
2020-11-02 00:00:00+00:00,17.7,A,14375100
2020-11-03 00:00:00+00:00,17.6,A,14375100
2020-11-04 00:00:00+00:00,17.8,A,14375100
2020-11-05 00:00:00+00:00,19.0,A,14375100
2020-11-06 00:00:00+00:00,25.2,A,14375100
2020-11-07 00:00:00+00:00,25.9,A,14375100
2020-11-08 00:00:00+00:00,24.7,A,14375100
2020-11-09 00:00:00+00:00,22.7,A,14375100
2020-11-10 00:00:00+00:00,23.7,A,14375100
2020-11-11 00:00:00+00:00,25.8,A,14375100
2020-11-12 00:00:00+00:00,23.8,A,14375100
2020-11-13 00:00:00+00:00,42.1,A,14375100
2020-11-14 00:00:00+00:00,40.9,A,14375100
2020-11-15 00:00:00+00:00,169.0,A,14375100
2020-11-16 00:00:00+00:00,91.4,A,14375100
2020-11-17 00:00:00+00:00,107.0,A,14375100
2020-11-18 00:00:00+00:00,238.0,A,14375100
2020-11-19 00:00:00+00:00,155.0,A,14375100
2020-11-20 00:00:00+00:00,82.6,A,14375100
2020-11-21 00:00:00+00:00,58.7,A,14375100
2020-11-22 00:00:00+00:00,49.5,A,14375100
2020-11-23 00:00:00+00:00,46.3,A,14375100
2020-11-24 00:00:00+00:00,43.1,A,14375100
2020-11-25 00:00:00+00:00,52.3,A,14375100
2020-11-26 00:00:00+00:00,45.9,A,14375100
2020-11-27 00:00:00+00:00,41.8,A,14375100
2020-11-28 00:00:00+00:00,39.3,A,14375100
2020-11-29 00:00:00+00:00,37.0,A,14375100
2020-11-30 00:00:00+00:00,36.4,A,14375100
2020-12-01 00:00:00+00:00,37.8,A,14375100
2020-12-02 00:00:00+00:00,35.0,A,14375100
2020-12-03 00:00:00+00:00,33.9,A,14375100
2020-12-04 00:00:00+00:00,33.4,A,14375100
2020-12-05 00:00:00+00:00,33.5,A,14375100
2020-12-06 00:00:00+00:00,52.5,A,14375100
2020-12-07 00:00:00+00:00,40.6,A,14375100
2020-12-08 00:00:00+00:00,37.3,A,14375100
2020-12-09 00:00:00+00:00,38.0,A,14375100
2020-12-10 00:00:00+00:00,36.6,A,14375100
2020-12-11 00:00:00+00:00,36.3,A,14375100
2020-12-12 00:00:00+00:00,38.5,A,14375100
2020-12-13 00:00:00+00:00,87.0,A,14375100
2020-12-14 00:00:00+00:00,89.8,A,14375100
2020-12-15 00:00:00+00:00,74.2,A,14375100
2020-12-16 00:00:00+00:00,184.0,A,14375100
2020-12-17 00:00:00+00:00,381.0,A,14375100
2020-12-18 00:00:00+00:00,178.0,A,14375100
2020-12-19 00:00:00+00:00,129.0,A,14375100
2020-12-20 00:00:00+00:00,109.0,A,14375100
2020-12-21 00:00:00+00:00,109.0,A,14375100
2020-12-22 00:00:00+00:00,114.0,A,14375100
2020-12-23 00:00:00+00:00,94.6,A,14375100
2020-12-24 00:00:00+00:00,85.0,A,14375100
2020-12-25 00:00:00+00:00,141.0,A,14375100
