datetime,00060_Mean,00060_Mean_cd,site_no
2021-10-01 00:00:00+00:00,7.37,A,10311000
2021-10-02 00:00:00+00:00,9.1,A,10311000
2021-10-03 00:00:00+00:00,9.41,A,10311000
2021-10-04 00:00:00+00:00,9.17,A,10311000
2021-10-05 00:00:00+00:00,8.76,A,10311000
2021-10-06 00:00:00+00:00,8.72,A,10311000
2021-10-07 00:00:00+00:00,10.8,A,10311000
2021-10-08 00:00:00+00:00,12.0,A,10311000
2021-10-09 00:00:00+00:00,15.2,A,10311000
2021-10-10 00:00:00+00:00,18.9,A,10311000
2021-10-11 00:00:00+00:00,20.4,A,10311000
2021-10-12 00:00:00+00:00,24.0,A,10311000
2021-10-13 00:00:00+00:00,24.8,A,10311000
2021-10-14 00:00:00+00:00,25.8,A,10311000
2021-10-15 00:00:00+00:00,31.8,A,10311000
2021-10-16 00:00:00+00:00,35.9,A,10311000
2021-10-17 00:00:00+00:00,34.5,A,10311000
2021-10-18 00:00:00+00:00,36.4,A,10311000
2021-10-19 00:00:00+00:00,39.5,A,10311000
2021-10-20 00:00:00+00:00,39.6,A,10311000
2021-10-21 00:00:00+00:00,49.7,A,10311000
2021-10-22 00:00:00+00:00,65.1,A,10311000
2021-10-23 00:00:00+00:00,73.7,A,10311000
2021-10-24 00:00:00+00:00,103.0,A,10311000
2021-10-25 00:00:00+00:00,1800.0,A,10311000
2021-10-26 00:00:00+00:00,1300.0,A,10311000
2021-10-27 00:00:00+00:00,633.0,A,10311000
2021-10-28 00:00:00+00:00,541.0,A,10311000
2021-10-29 00:00:00+00:00,506.0,A,10311000
2021-10-30 00:00:00+00:00,458.0,A,10311000
2021-10-31 00:00:00+00:00,459.0,A,10311000
2021-11-01 00:00:00+00:00,426.0,A,10311000
2021-11-02 00:00:00+00:00,358.0,A,10311000
2021-11-03 00:00:00+00:00,330.0,A,10311000
2021-11-04 00:00:00+00:00,306.0,A,10311000
2021-11-05 00:00:00+00:00,283.0,A,10311000
2021-11-06 00:00:00+00:00,263.0,A,10311000
2021-11-07 00:00:00+00:00,239.0,A,10311000
2021-11-08 00:00:00+00:00,229.0,A,10311000
2021-11-09 00:00:00+00:00,264.0,A,10311000
2021-11-10 00:00:00+00:00,370.0,A,10311000
2021-11-11 00:00:00+00:00,343.0,A,10311000
2021-11-12 00:00:00+00:00,323.0,A,10311000
2021-11-13 00:00:00+00:00,291.0,A,10311000
2021-11-14 00:00:00+00:00,270.0,A,10311000
2021-11-15 00:00:00+00:00,253.0,A,10311000
2021-11-16 00:00:00+00:00,235.0,A,10311000
2021-11-17 00:00:00+00:00,222.0,A,10311000
2021-11-18 00:00:00+00:00,211.0,A,10311000
2021-11-19 00:00:00+00:00,199.0,A,10311000
2021-11-20 00:00:00+00:00,192.0,A,10311000
2021-11-21 00:00:00+00:00,185.0,A,10311000
2021-11-22 00:00:00+00:00,177.0,A,10311000
2021-11-23 00:00:00+00:00,166.0,A,10311000
2021-11-24 00:00:00+00:00,162.0,A,10311000
2021-11-25 00:00:00+00:00,155.0,A,10311000
2021-11-26 00:00:00+00:00,149.0,A,10311000
2021-11-27 00:00:00+00:00,157.0,A,10311000
2021-11-28 00:00:00+00:00,153.0,A,10311000
2021-11-29 00:00:00+00:00,152.0,A,10311000
2021-11-30 00:00:00+00:00,151.0,A,10311000
2021-12-01 00:00:00+00:00,147.0,A,10311000
2021-12-02 00:00:00+00:00,142.0,A,10311000
2021-12-03 00:00:00+00:00,140.0,A,10311000
2021-12-04 00:00:00+00:00,136.0,A,10311000
2021-12-05 00:00:00+00:00,136.0,A,10311000
2021-12-06 00:00:00+00:00,137.0,A,10311000
2021-12-07 00:00:00+00:00,145.0,A,10311000
2021-12-08 00:00:00+00:00,154.0,A,10311000
2021-12-09 00:00:00+00:00,153.0,A,10311000
2021-12-10 00:00:00+00:00,160.0,A,10311000
2021-12-11 00:00:00+00:00,140.0,A,10311000
2021-12-12 00:00:00+00:00,132.0,A,10311000
2021-12-13 00:00:00+00:00,144.0,A,10311000
2021-12-14 00:00:00+00:00,297.0,A,10311000
2021-12-15 00:00:00+00:00,247.0,A,10311000
2021-12-16 00:00:00+00:00,193.0,A,10311000
2021-12-17 00:00:00+00:00,215.0,A,10311000
2021-12-18 00:00:00+00:00,166.0,A,10311000
2021-12-19 00:00:00+00:00,167.0,A,10311000
2021-12-20 00:00:00+00:00,195.0,A,10311000
2021-12-21 00:00:00+00:00,197.0,A,10311000
2021-12-22 00:00:00+00:00,202.0,A,10311000
2021-12-23 00:00:00+00:00,565.0,A,10311000
2021-12-24 00:00:00+00:00,1330.0,A,10311000
2021-12-25 00:00:00+00:00,761.0,A,10311000
2021-12-26 00:00:00+00:00,473.0,A,10311000
2021-12-27 00:00:00+00:00,324.0,A,10311000
2021-12-28 00:00:00+00:00,314.0,A,10311000
2021-12-29 00:00:00+00:00,301.0,A,10311000
2021-12-30 00:00:00+00:00,282.0,A,10311000
2021-12-31 00:00:00+00:00,282.0,A,10311000
2022-01-01 00:00:00+00:00,296.0,A,10311000
2022-01-02 00:00:00+00:00,250.0,A,10311000
2022-01-03 00:00:00+00:00,268.0,A,10311000
2022-01-04 00:00:00+00:00,264.0,A,10311000
2022-01-05 00:00:00+00:00,283.0,A,10311000
2022-01-06 00:00:00+00:00,314.0,A,10311000
2022-01-07 00:00:00+00:00,335.0,A,10311000
2022-01-08 00:00:00+00:00,326.0,A,10311000
2022-01-09 00:00:00+00:00,279.0,A,10311000
2022-01-10 00:00:00+00:00,247.0,A,10311000
2022-01-11 00:00:00+00:00,238.0,A,10311000
2022-01-12 00:00:00+00:00,234.0,A,10311000
2022-01-13 00:00:00+00:00,233.0,A,10311000
2022-01-14 00:00:00+00:00,240.0,A,10311000
2022-01-15 00:00:00+00:00,236.0,A,10311000
2022-01-16 00:00:00+00:00,227.0,A,10311000
2022-01-17 00:00:00+00:00,221.0,A,10311000
2022-01-18 00:00:00+00:00,221.0,A,10311000
2022-01-19 00:00:00+00:00,221.0,A,10311000
2022-01-20 00:00:00+00:00,218.0,A,10311000
2022-01-21 00:00:00+00:00,218.0,A,10311000
2022-01-22 00:00:00+00:00,215.0,A,10311000
2022-01-23 00:00:00+00:00,209.0,A,10311000
2022-01-24 00:00:00+00:00,201.0,A,10311000
2022-01-25 00:00:00+00:00,201.0,A,10311000
2022-01-26 00:00:00+00:00,199.0,A,10311000
