datetime,00060_Mean,00060_Mean_cd,site_no
2021-10-01 00:00:00+00:00,5.83,A,11335000
2021-10-02 00:00:00+00:00,7.04,A,11335000
2021-10-03 00:00:00+00:00,7.36,A,11335000
2021-10-04 00:00:00+00:00,7.21,A,11335000
2021-10-05 00:00:00+00:00,7.0,A,11335000
2021-10-06 00:00:00+00:00,7.28,A,11335000
2021-10-07 00:00:00+00:00,7.43,A,11335000
2021-10-08 00:00:00+00:00,7.76,A,11335000
2021-10-09 00:00:00+00:00,7.57,A,11335000
2021-10-10 00:00:00+00:00,7.97,A,11335000
2021-10-11 00:00:00+00:00,8.9,A,11335000
2021-10-12 00:00:00+00:00,10.6,A,11335000
2021-10-13 00:00:00+00:00,10.4,A,11335000
2021-10-14 00:00:00+00:00,10.2,A,11335000
2021-10-15 00:00:00+00:00,10.6,A,11335000
2021-10-16 00:00:00+00:00,10.6,A,11335000
2021-10-17 00:00:00+00:00,10.7,A,11335000
2021-10-18 00:00:00+00:00,11.3,A,11335000
2021-10-19 00:00:00+00:00,11.8,A,11335000
2021-10-20 00:00:00+00:00,14.9,A,11335000
2021-10-21 00:00:00+00:00,19.4,A,11335000
2021-10-22 00:00:00+00:00,20.9,A,11335000
2021-10-23 00:00:00+00:00,31.4,A,11335000
2021-10-24 00:00:00+00:00,509.0,A,11335000
2021-10-25 00:00:00+00:00,8150.0,A,11335000
2021-10-26 00:00:00+00:00,1300.0,A,11335000
2021-10-27 00:00:00+00:00,434.0,A,11335000
2021-10-28 00:00:00+00:00,262.0,A,11335000
2021-10-29 00:00:00+00:00,214.0,A,11335000
2021-10-30 00:00:00+00:00,167.0,A,11335000
2021-10-31 00:00:00+00:00,139.0,A,11335000
2021-11-01 00:00:00+00:00,121.0,A,11335000
2021-11-02 00:00:00+00:00,107.0,A,11335000
2021-11-03 00:00:00+00:00,95.5,A,11335000
2021-11-04 00:00:00+00:00,91.6,A,11335000
2021-11-05 00:00:00+00:00,88.3,A,11335000
2021-11-06 00:00:00+00:00,84.1,A,11335000
2021-11-07 00:00:00+00:00,76.0,A,11335000
2021-11-08 00:00:00+00:00,71.0,A,11335000
2021-11-09 00:00:00+00:00,89.9,A,11335000
2021-11-10 00:00:00+00:00,297.0,A,11335000
2021-11-11 00:00:00+00:00,196.0,A,11335000
2021-11-12 00:00:00+00:00,143.0,A,11335000
2021-11-13 00:00:00+00:00,122.0,A,11335000
2021-11-14 00:00:00+00:00,109.0,A,11335000
2021-11-15 00:00:00+00:00,99.2,A,11335000
2021-11-16 00:00:00+00:00,91.6,A,11335000
2021-11-17 00:00:00+00:00,85.3,A,11335000
2021-11-18 00:00:00+00:00,80.3,A,11335000
2021-11-19 00:00:00+00:00,76.0,A,11335000
2021-11-20 00:00:00+00:00,72.0,A,11335000
2021-11-21 00:00:00+00:00,68.7,A,11335000
2021-11-22 00:00:00+00:00,66.2,A,11335000
2021-11-23 00:00:00+00:00,63.7,A,11335000
2021-11-24 00:00:00+00:00,61.9,A,11335000
2021-11-25 00:00:00+00:00,59.5,A,11335000
2021-11-26 00:00:00+00:00,58.0,A,11335000
2021-11-27 00:00:00+00:00,56.8,A,11335000
2021-11-28 00:00:00+00:00,55.8,A,11335000
2021-11-29 00:00:00+00:00,54.8,A,11335000
2021-11-30 00:00:00+00:00,53.5,A,11335000
2021-12-01 00:00:00+00:00,52.9,A,11335000
2021-12-02 00:00:00+00:00,51.9,A,11335000
2021-12-03 00:00:00+00:00,50.5,A,11335000
2021-12-04 00:00:00+00:00,49.1,A,11335000
2021-12-05 00:00:00+00:00,48.3,A,11335000
2021-12-06 00:00:00+00:00,47.7,A,11335000
2021-12-07 00:00:00+00:00,48.7,A,11335000
2021-12-08 00:00:00+00:00,50.5,A,11335000
2021-12-09 00:00:00+00:00,59.8,A,11335000
2021-12-10 00:00:00+00:00,92.4,A,11335000
2021-12-11 00:00:00+00:00,88.2,A,11335000
2021-12-12 00:00:00+00:00,70.0,A,11335000
2021-12-13 00:00:00+00:00,263.0,A,11335000
2021-12-14 00:00:00+00:00,2600.0,A,11335000
2021-12-15 00:00:00+00:00,1050.0,A,11335000
2021-12-16 00:00:00+00:00,996.0,A,11335000
2021-12-17 00:00:00+00:00,828.0,A,11335000
2021-12-18 00:00:00+00:00,474.0,A,11335000
2021-12-19 00:00:00+00:00,342.0,A,11335000
2021-12-20 00:00:00+00:00,273.0,A,11335000
2021-12-21 00:00:00+00:00,230.0,A,11335000
2021-12-22 00:00:00+00:00,214.0,A,11335000
2021-12-23 00:00:00+00:00,3180.0,A,11335000
2021-12-24 00:00:00+00:00,3890.0,A,11335000
2021-12-25 00:00:00+00:00,2610.0,A,11335000
2021-12-26 00:00:00+00:00,2500.0,A,11335000
2021-12-27 00:00:00+00:00,3690.0,A,11335000
2021-12-28 00:00:00+00:00,2290.0,A,11335000
2021-12-29 00:00:00+00:00,1690.0,A,11335000
2021-12-30 00:00:00+00:00,1380.0,A,11335000
2021-12-31 00:00:00+00:00,990.0,A,11335000
2022-01-01 00:00:00+00:00,789.0,A,11335000
2022-01-02 00:00:00+00:00,638.0,A,11335000
2022-01-03 00:00:00+00:00,552.0,A,11335000
2022-01-04 00:00:00+00:00,508.0,A,11335000
2022-01-05 00:00:00+00:00,520.0,A,11335000
2022-01-06 00:00:00+00:00,511.0,A,11335000
2022-01-07 00:00:00+00:00,521.0,A,11335000
2022-01-08 00:00:00+00:00,609.0,A,11335000
2022-01-09 00:00:00+00:00,543.0,A,11335000
2022-01-10 00:00:00+00:00,482.0,A,11335000
2022-01-11 00:00:00+00:00,444.0,A,11335000
2022-01-12 00:00:00+00:00,425.0,A,11335000
2022-01-13 00:00:00+00:00,430.0,A,11335000
2022-01-14 00:00:00+00:00,440.0,A,11335000
2022-01-15 00:00:00+00:00,438.0,A,11335000
2022-01-16 00:00:00+00:00,427.0,A,11335000
2022-01-17 00:00:00+00:00,411.0,A,11335000
2022-01-18 00:00:00+00:00,395.0,A,11335000
2022-01-19 00:00:00+00:00,377.0,A,11335000
2022-01-20 00:00:00+00:00,364.0,A,11335000
2022-01-21 00:00:00+00:00,358.0,A,11335000
2022-01-22 00:00:00+00:00,356.0,A,11335000
2022-01-23 00:00:00+00:00,341.0,A,11335000
2022-01-24 00:00:00+00:00,326.0,A,11335000
2022-01-25 00:00:00+00:00,321.0,A,11335000
2022-01-26 00:00:00+00:00,316.0,A,11335000
2022-01-27 00:00:00+00:00,305.0,A,11335000
2022-01-28 00:00:00+00:00,296.0,A,11335000
2022-01-29 00:00:00+00:00,290.0,A,11335000
2022-01-30 00:00:00+00:00,285.0,A,11335000
2022-01-31 00:00:00+00:00,280.0,A,11335000
2022-02-01 00:00:00+00:00,276.0,A,11335000
2022-02-02 00:00:00+00:00,270.0,A,11335000
2022-02-03 00:00:00+00:00,256.0,A,11335000
