datetime,00060_Mean,00060_Mean_cd,site_no,00095_Mean,00095_Mean_cd,00300_Mean,00300_Mean_cd
2021-10-01 00:00:00+00:00,1720.0,A,09152500,914.0,A,7.7,A
2021-10-02 00:00:00+00:00,1680.0,A,09152500,901.0,A,7.6,A
2021-10-03 00:00:00+00:00,1680.0,A,09152500,878.0,A,7.8,A
2021-10-04 00:00:00+00:00,1660.0,A,09152500,869.0,A,7.9,A
2021-10-05 00:00:00+00:00,1580.0,A,09152500,863.0,A,8.0,A
2021-10-06 00:00:00+00:00,1480.0,A,09152500,865.0,A,7.9,A
2021-10-07 00:00:00+00:00,1400.0,A,09152500,891.0,A,8.0,A
2021-10-08 00:00:00+00:00,1180.0,A,09152500,924.0,A,8.0,A
2021-10-09 00:00:00+00:00,1180.0,A,09152500,1030.0,A,8.3,A
2021-10-10 00:00:00+00:00,1210.0,A,09152500,1040.0,A,8.6,A
2021-10-11 00:00:00+00:00,1240.0,A,09152500,1030.0,A,8.6,A
2021-10-12 00:00:00+00:00,1260.0,A,09152500,1020.0,A,8.7,A
2021-10-13 00:00:00+00:00,1350.0,A,09152500,1020.0,A,8.9,A
2021-10-14 00:00:00+00:00,1410.0,A,09152500,1010.0,A,9.3,A
2021-10-15 00:00:00+00:00,1460.0,A,09152500,972.0,A,9.6,A
2021-10-16 00:00:00+00:00,1460.0,A,09152500,963.0,A,9.6,A
2021-10-17 00:00:00+00:00,1450.0,A,09152500,955.0,A,9.5,A
2021-10-18 00:00:00+00:00,1460.0,A,09152500,954.0,A,9.1,A
2021-10-19 00:00:00+00:00,1440.0,A,09152500,946.0,A,8.9,A
2021-10-20 00:00:00+00:00,1390.0,A,09152500,946.0,A,9.3,A
2021-10-21 00:00:00+00:00,1400.0,A,09152500,958.0,A,9.5,A
2021-10-22 00:00:00+00:00,1380.0,A,09152500,947.0,A,9.5,A
2021-10-23 00:00:00+00:00,1370.0,A,09152500,949.0,A,9.4,A
2021-10-24 00:00:00+00:00,1370.0,A,09152500,956.0,A,9.5,A
2021-10-25 00:00:00+00:00,1360.0,A,09152500,952.0,A,9.2,A
2021-10-26 00:00:00+00:00,1360.0,A,09152500,946.0,A,8.8,A
2021-10-27 00:00:00+00:00,1550.0,A,09152500,948.0,A,9.3,A
2021-10-28 00:00:00+00:00,1500.0,A,09152500,933.0,A,9.5,A
2021-10-29 00:00:00+00:00,1470.0,A,09152500,927.0,A,9.5,A
2021-10-30 00:00:00+00:00,1460.0,A,09152500,919.0,A,9.6,A
2021-10-31 00:00:00+00:00,1460.0,A,09152500,919.0,A,9.5,A
2021-11-01 00:00:00+00:00,1500.0,A,09152500,907.0,A,9.6,A
2021-11-02 00:00:00+00:00,1660.0,A,09152500,885.0,A,9.1,A
2021-11-03 00:00:00+00:00,1230.0,A,09152500,870.0,A,9.3,A
2021-11-04 00:00:00+00:00,1110.0,A,09152500,997.0,A,9.7,A
2021-11-05 00:00:00+00:00,1080.0,A,09152500,1050.0,A,9.9,A
2021-11-06 00:00:00+00:00,1040.0,A,09152500,1050.0,A,10.2,A
2021-11-07 00:00:00+00:00,1010.0,A,09152500,1050.0,A,10.3,A
2021-11-08 00:00:00+00:00,995.0,A,09152500,1050.0,A,10.3,A
2021-11-09 00:00:00+00:00,981.0,A,09152500,1050.0,A,10.5,A
2021-11-10 00:00:00+00:00,992.0,A,09152500,1050.0,A,10.7,A
2021-11-11 00:00:00+00:00,984.0,A,09152500,1040.0,A,10.9,A
2021-11-12 00:00:00+00:00,969.0,A,09152500,1050.0,A,11.1,A
2021-11-13 00:00:00+00:00,960.0,A,09152500,1040.0,A,11.1,A
2021-11-14 00:00:00+00:00,942.0,A,09152500,1030.0,A,11.3,A
2021-11-15 00:00:00+00:00,936.0,A,09152500,1040.0,A,11.3,A
2021-11-16 00:00:00+00:00,929.0,A,09152500,1040.0,A,11.0,A
2021-11-17 00:00:00+00:00,928.0,A,09152500,1040.0,A,11.1,A
2021-11-18 00:00:00+00:00,903.0,A,09152500,1040.0,A,11.5,A
2021-11-19 00:00:00+00:00,899.0,A,09152500,1040.0,A,11.5,A
2021-11-20 00:00:00+00:00,911.0,A,09152500,1030.0,A,11.3,A
2021-11-21 00:00:00+00:00,890.0,A,09152500,1030.0,A,11.3,A
2021-11-22 00:00:00+00:00,866.0,A,09152500,1030.0,A,11.4,A
2021-11-23 00:00:00+00:00,851.0,A,09152500,1030.0,A,11.5,A
2021-11-24 00:00:00+00:00,845.0,A,09152500,1040.0,A,11.6,A
2021-11-25 00:00:00+00:00,869.0,A,09152500,1060.0,A,11.9,A
2021-11-26 00:00:00+00:00,834.0,A,09152500,1040.0,A,11.9,A
2021-11-27 00:00:00+00:00,806.0,A,09152500,1020.0,A,11.9,A
2021-11-28 00:00:00+00:00,833.0,A,09152500,1030.0,A,11.9,A
2021-11-29 00:00:00+00:00,841.0,A,09152500,1040.0,A,11.7,A
2021-11-30 00:00:00+00:00,835.0,A,09152500,1020.0,A,11.5,A
2021-12-01 00:00:00+00:00,826.0,A,09152500,1010.0,A,11.4,A
2021-12-02 00:00:00+00:00,836.0,A,09152500,1020.0,A,11.4,A
2021-12-03 00:00:00+00:00,819.0,A,09152500,1010.0,A,11.3,A
2021-12-04 00:00:00+00:00,812.0,A,09152500,1000.0,A,11.3,A
