datetime,00060_Mean,00060_Mean_cd,site_no
2021-10-01 00:00:00+00:00,8.94,A,09223000
2021-10-02 00:00:00+00:00,8.89,A,09223000
2021-10-03 00:00:00+00:00,8.64,A,09223000
2021-10-04 00:00:00+00:00,8.47,A,09223000
2021-10-05 00:00:00+00:00,8.36,A,09223000
2021-10-06 00:00:00+00:00,10.3,A,09223000
2021-10-07 00:00:00+00:00,25.0,A,09223000
2021-10-08 00:00:00+00:00,30.4,A,09223000
2021-10-09 00:00:00+00:00,38.7,A,09223000
2021-10-10 00:00:00+00:00,26.4,A,09223000
2021-10-11 00:00:00+00:00,17.4,A,09223000
2021-10-12 00:00:00+00:00,14.3,A,09223000
2021-10-13 00:00:00+00:00,13.0,A,09223000
2021-10-14 00:00:00+00:00,12.7,A,09223000
2021-10-15 00:00:00+00:00,11.7,A,09223000
2021-10-16 00:00:00+00:00,11.5,A,09223000
2021-10-17 00:00:00+00:00,11.1,A,09223000
2021-10-18 00:00:00+00:00,10.8,A,09223000
2021-10-19 00:00:00+00:00,21.6,A,09223000
2021-10-20 00:00:00+00:00,25.2,A,09223000
2021-10-21 00:00:00+00:00,16.3,A,09223000
2021-10-22 00:00:00+00:00,13.9,A,09223000
2021-10-23 00:00:00+00:00,13.1,A,09223000
2021-10-24 00:00:00+00:00,14.0,A,09223000
2021-10-25 00:00:00+00:00,19.6,A,09223000
2021-10-26 00:00:00+00:00,17.9,A,09223000
2021-10-27 00:00:00+00:00,16.9,A,09223000
2021-10-28 00:00:00+00:00,15.1,A,09223000
2021-10-29 00:00:00+00:00,14.0,A,09223000
2021-10-30 00:00:00+00:00,13.2,A,09223000
2021-10-31 00:00:00+00:00,12.5,A,09223000
2021-11-01 00:00:00+00:00,16.8,A,09223000
2021-11-02 00:00:00+00:00,23.6,A,09223000
2021-11-03 00:00:00+00:00,27.1,A,09223000
2021-11-04 00:00:00+00:00,19.3,A,09223000
2021-11-05 00:00:00+00:00,16.1,A,09223000
2021-11-06 00:00:00+00:00,14.2,A,09223000
2021-11-07 00:00:00+00:00,13.3,A,09223000
2021-11-08 00:00:00+00:00,13.3,A,09223000
2021-11-09 00:00:00+00:00,15.1,A,09223000
2021-11-10 00:00:00+00:00,18.4,A,09223000
2021-11-11 00:00:00+00:00,15.7,A,09223000
2021-11-12 00:00:00+00:00,15.2,A,09223000
