datetime,00060_Mean,00060_Mean_cd,site_no
2022-10-01 00:00:00+00:00,5.94,A,10329000
2022-10-02 00:00:00+00:00,5.92,A,10329000
2022-10-03 00:00:00+00:00,6.01,A,10329000
2022-10-04 00:00:00+00:00,6.01,A,10329000
2022-10-05 00:00:00+00:00,6.17,A,10329000
2022-10-06 00:00:00+00:00,6.07,A,10329000
2022-10-07 00:00:00+00:00,6.15,A,10329000
2022-10-08 00:00:00+00:00,6.17,A,10329000
2022-10-09 00:00:00+00:00,6.23,A,10329000
2022-10-10 00:00:00+00:00,6.22,A,10329000
2022-10-11 00:00:00+00:00,6.26,A,10329000
2022-10-12 00:00:00+00:00,6.16,A,10329000
2022-10-13 00:00:00+00:00,6.26,A,10329000
2022-10-14 00:00:00+00:00,6.33,A,10329000
2022-10-15 00:00:00+00:00,6.27,A,10329000
2022-10-16 00:00:00+00:00,6.22,A,10329000
2022-10-17 00:00:00+00:00,6.11,A,10329000
2022-10-18 00:00:00+00:00,5.99,A,10329000
2022-10-19 00:00:00+00:00,5.92,A,10329000
2022-10-20 00:00:00+00:00,5.9,A,10329000
2022-10-21 00:00:00+00:00,5.8,A,10329000
2022-10-22 00:00:00+00:00,6.0,A,10329000
2022-10-23 00:00:00+00:00,5.8,A,10329000
2022-10-24 00:00:00+00:00,5.77,A,10329000
2022-10-25 00:00:00+00:00,5.7,A,10329000
2022-10-26 00:00:00+00:00,5.76,A,10329000
2022-10-27 00:00:00+00:00,5.76,A,10329000
2022-10-28 00:00:00+00:00,5.69,A,10329000
2022-10-29 00:00:00+00:00,5.68,A,10329000
2022-10-30 00:00:00+00:00,5.7,A,10329000
2022-10-31 00:00:00+00:00,5.68,A,10329000
2022-11-01 00:00:00+00:00,5.74,A,10329000
2022-11-02 00:00:00+00:00,5.82,A,10329000
2022-11-03 00:00:00+00:00,5.77,A,10329000
2022-11-04 00:00:00+00:00,5.83,A,10329000
2022-11-05 00:00:00+00:00,5.85,A,10329000
2022-11-06 00:00:00+00:00,5.95,A,10329000
2022-11-07 00:00:00+00:00,5.89,A,10329000
2022-11-08 00:00:00+00:00,5.95,A,10329000
2022-11-09 00:00:00+00:00,5.98,A,10329000
2022-11-10 00:00:00+00:00,5.91,A,10329000
2022-11-11 00:00:00+00:00,5.85,A,10329000
2022-11-12 00:00:00+00:00,5.88,A,10329000
2022-11-13 00:00:00+00:00,5.9,A,10329000
2022-11-14 00:00:00+00:00,5.85,A,10329000
2022-11-15 00:00:00+00:00,5.85,A,10329000
2022-11-16 00:00:00+00:00,5.85,A,10329000
2022-11-17 00:00:00+00:00,5.75,A,10329000
2022-11-18 00:00:00+00:00,5.67,A,10329000
2022-11-19 00:00:00+00:00,5.62,A,10329000
2022-11-20 00:00:00+00:00,5.39,A,10329000
2022-11-21 00:00:00+00:00,5.37,A,10329000
2022-11-22 00:00:00+00:00,5.28,A,10329000
2022-11-23 00:00:00+00:00,5.33,A,10329000
2022-11-24 00:00:00+00:00,5.34,A,10329000
2022-11-25 00:00:00+00:00,5.35,A,10329000
2022-11-26 00:00:00+00:00,5.35,A,10329000
2022-11-27 00:00:00+00:00,5.39,A,10329000
2022-11-28 00:00:00+00:00,5.47,A,10329000
2022-11-29 00:00:00+00:00,5.41,A,10329000
2022-11-30 00:00:00+00:00,5.42,A,10329000
2022-12-01 00:00:00+00:00,5.51,A,10329000
2022-12-02 00:00:00+00:00,5.52,A,10329000
2022-12-03 00:00:00+00:00,5.45,A,10329000
2022-12-04 00:00:00+00:00,5.77,A,10329000
2022-12-05 00:00:00+00:00,5.63,A,10329000
2022-12-06 00:00:00+00:00,5.62,A,10329000
2022-12-07 00:00:00+00:00,5.55,A,10329000
2022-12-08 00:00:00+00:00,5.6,A,10329000
2022-12-09 00:00:00+00:00,5.6,A,10329000
2022-12-10 00:00:00+00:00,5.63,A,10329000
2022-12-11 00:00:00+00:00,5.93,A,10329000
2022-12-12 00:00:00+00:00,5.79,A,10329000
2022-12-13 00:00:00+00:00,5.76,A,10329000
2022-12-14 00:00:00+00:00,5.66,A,10329000
2022-12-15 00:00:00+00:00,5.74,A,10329000
2022-12-16 00:00:00+00:00,5.66,A,10329000
2022-12-17 00:00:00+00:00,5.74,A,10329000
2022-12-18 00:00:00+00:00,5.74,A,10329000
2022-12-19 00:00:00+00:00,5.71,A,10329000
2022-12-20 00:00:00+00:00,5.65,A,10329000
2022-12-21 00:00:00+00:00,5.75,A,10329000
2022-12-22 00:00:00+00:00,5.7,A,10329000
2022-12-23 00:00:00+00:00,5.76,A,10329000
