datetime,00010_Mean,00010_Mean_cd,site_no,00060_Mean,00060_Mean_cd,00095_Mean,00095_Mean_cd,00300_Mean,00300_Mean_cd,32295_Mean,32295_Mean_cd,32316_Mean,32316_Mean_cd,32319_Mean,32319_Mean_cd
2022-10-01 00:00:00+00:00,10.9,A,14162500,2500.0,A,49.0,A,10.8,A,5.6,P,0.75,P,0.13,P
2022-10-02 00:00:00+00:00,11.0,A,14162500,2590.0,A,48.0,A,10.8,A,5.64,P,0.75,P,0.13,P
2022-10-03 00:00:00+00:00,10.9,A,14162500,2580.0,A,48.0,A,10.9,A,5.73,P,0.73,P,0.13,P
2022-10-04 00:00:00+00:00,10.8,A,14162500,2570.0,A,48.0,A,10.9,A,5.96,P,0.73,P,0.12,P
2022-10-05 00:00:00+00:00,10.7,A,14162500,2570.0,A,48.0,A,10.9,A,6.05,P,0.72,P,0.12,P
2022-10-06 00:00:00+00:00,10.6,A,14162500,2560.0,A,48.0,A,10.9,A,5.99,P,0.7,P,0.13,P
2022-10-07 00:00:00+00:00,10.7,A,14162500,2550.0,A,48.0,A,11.0,A,6.01,P,0.71,P,0.12,P
2022-10-08 00:00:00+00:00,10.7,A,14162500,2510.0,A,48.0,A,10.9,A,5.86,P,0.68,P,0.11,P
2022-10-09 00:00:00+00:00,10.5,A,14162500,2510.0,A,49.0,A,11.0,A,5.76,P,0.66,P,0.12,P
2022-10-10 00:00:00+00:00,10.4,A,14162500,2500.0,A,49.0,A,11.0,A,5.62,P,0.63,P,0.11,P
2022-10-11 00:00:00+00:00,10.7,A,14162500,2500.0,A,49.0,A,10.9,A,5.52,P,0.65,P,0.1,P
2022-10-12 00:00:00+00:00,10.4,A,14162500,2580.0,A,49.0,A,11.0,A,5.5,P,0.65,P,0.11,P
2022-10-13 00:00:00+00:00,10.7,A,14162500,2710.0,A,49.0,A,10.9,A,5.59,P,0.66,P,0.11,P
2022-10-14 00:00:00+00:00,10.9,A,14162500,2690.0,A,49.0,A,10.8,A,5.36,P,0.62,P,0.1,P
2022-10-15 00:00:00+00:00,11.1,A,14162500,2650.0,A,49.0,A,10.7,A,5.24,P,0.59,P,0.09,P
2022-10-16 00:00:00+00:00,11.3,A,14162500,2630.0,A,50.0,A,10.7,A,5.1,P,0.6,P,0.09,P
2022-10-17 00:00:00+00:00,11.3,A,14162500,2630.0,A,50.0,A,10.7,A,4.78,P,0.58,P,0.09,P
2022-10-18 00:00:00+00:00,11.1,A,14162500,2620.0,A,50.0,A,10.8,A,4.46,P,0.58,P,0.09,P
2022-10-19 00:00:00+00:00,11.1,A,14162500,2580.0,A,50.0,A,10.8,A,4.12,P,0.57,P,0.08,P
2022-10-20 00:00:00+00:00,11.0,A,14162500,2550.0,A,50.0,A,10.8,A,4.01,P,0.58,P,0.08,P
