datetime,00060_Mean,00060_Mean_cd,site_no
2022-10-01 00:00:00+00:00,28.3,A,14044000
2022-10-02 00:00:00+00:00,27.4,A,14044000
2022-10-03 00:00:00+00:00,26.4,A,14044000
2022-10-04 00:00:00+00:00,25.8,A,14044000
2022-10-05 00:00:00+00:00,24.3,A,14044000
2022-10-06 00:00:00+00:00,23.3,A,14044000
2022-10-07 00:00:00+00:00,23.1,A,14044000
2022-10-08 00:00:00+00:00,22.8,A,14044000
2022-10-09 00:00:00+00:00,22.8,A,14044000
2022-10-10 00:00:00+00:00,23.2,A,14044000
2022-10-11 00:00:00+00:00,24.3,A,14044000
2022-10-12 00:00:00+00:00,24.8,A,14044000
2022-10-13 00:00:00+00:00,24.7,A,14044000
2022-10-14 00:00:00+00:00,24.5,A,14044000
2022-10-15 00:00:00+00:00,24.4,A,14044000
2022-10-16 00:00:00+00:00,24.4,A,14044000
2022-10-17 00:00:00+00:00,23.9,A,14044000
2022-10-18 00:00:00+00:00,23.8,A,14044000
2022-10-19 00:00:00+00:00,23.5,A,14044000
2022-10-20 00:00:00+00:00,23.7,A,14044000
2022-10-21 00:00:00+00:00,25.0,A,14044000
2022-10-22 00:00:00+00:00,32.7,A,14044000
2022-10-23 00:00:00+00:00,47.5,A,14044000
2022-10-24 00:00:00+00:00,41.1,A,14044000
2022-10-25 00:00:00+00:00,43.7,A,14044000
2022-10-26 00:00:00+00:00,44.3,A,14044000
2022-10-27 00:00:00+00:00,37.5,A,14044000
2022-10-28 00:00:00+00:00,34.0,A,14044000
2022-10-29 00:00:00+00:00,33.3,A,14044000
2022-10-30 00:00:00+00:00,32.6,A,14044000
2022-10-31 00:00:00+00:00,33.7,A,14044000
2022-11-01 00:00:00+00:00,39.2,"A, e",14044000
2022-11-02 00:00:00+00:00,46.1,A,14044000
2022-11-03 00:00:00+00:00,42.9,"A, e",14044000
2022-11-04 00:00:00+00:00,48.4,"A, e",14044000
2022-11-05 00:00:00+00:00,66.8,A,14044000
2022-11-06 00:00:00+00:00,101.0,A,14044000
2022-11-07 00:00:00+00:00,66.2,A,14044000
2022-11-08 00:00:00+00:00,55.0,A,14044000
