datetime,00010_Mean,00010_Mean_cd,site_no,00060_Mean,00060_Mean_cd
2022-10-01 00:00:00+00:00,16.6,A,14319500,846.0,A
2022-10-02 00:00:00+00:00,16.5,A,14319500,848.0,A
2022-10-03 00:00:00+00:00,16.5,A,14319500,830.0,A
2022-10-04 00:00:00+00:00,16.4,A,14319500,818.0,A
2022-10-05 00:00:00+00:00,15.8,A,14319500,814.0,A
2022-10-06 00:00:00+00:00,15.3,A,14319500,803.0,A
2022-10-07 00:00:00+00:00,15.6,A,14319500,817.0,A
2022-10-08 00:00:00+00:00,15.9,A,14319500,836.0,A
2022-10-09 00:00:00+00:00,15.7,A,14319500,854.0,A
2022-10-10 00:00:00+00:00,15.3,A,14319500,845.0,A
2022-10-11 00:00:00+00:00,15.3,A,14319500,817.0,A
2022-10-12 00:00:00+00:00,14.9,A,14319500,804.0,A
2022-10-13 00:00:00+00:00,14.5,A,14319500,799.0,A
2022-10-14 00:00:00+00:00,14.2,A,14319500,797.0,A
2022-10-15 00:00:00+00:00,13.7,A,14319500,810.0,A
2022-10-16 00:00:00+00:00,13.5,A,14319500,817.0,A
2022-10-17 00:00:00+00:00,13.3,A,14319500,815.0,A
2022-10-18 00:00:00+00:00,13.3,A,14319500,886.0,A
2022-10-19 00:00:00+00:00,13.3,A,14319500,876.0,A
2022-10-20 00:00:00+00:00,13.1,A,14319500,871.0,A
2022-10-21 00:00:00+00:00,13.1,A,14319500,878.0,A
2022-10-22 00:00:00+00:00,12.6,A,14319500,1000.0,A
2022-10-23 00:00:00+00:00,11.7,A,14319500,1340.0,A
2022-10-24 00:00:00+00:00,11.5,A,14319500,1180.0,A
2022-10-25 00:00:00+00:00,11.1,A,14319500,1170.0,A
2022-10-26 00:00:00+00:00,10.7,A,14319500,1320.0,A
2022-10-27 00:00:00+00:00,10.4,A,14319500,1440.0,A
2022-10-28 00:00:00+00:00,10.2,A,14319500,1190.0,A
2022-10-29 00:00:00+00:00,10.7,A,14319500,1020.0,A
2022-10-30 00:00:00+00:00,11.1,A,14319500,957.0,A
2022-10-31 00:00:00+00:00,11.0,A,14319500,919.0,A
2022-11-01 00:00:00+00:00,10.6,A,14319500,971.0,A
2022-11-02 00:00:00+00:00,9.5,A,14319500,1240.0,A
2022-11-03 00:00:00+00:00,8.6,A,14319500,1400.0,A
2022-11-04 00:00:00+00:00,8.8,A,14319500,1210.0,A
2022-11-05 00:00:00+00:00,9.5,A,14319500,6210.0,A
2022-11-06 00:00:00+00:00,9.3,A,14319500,4620.0,A
2022-11-07 00:00:00+00:00,8.5,A,14319500,4140.0,A
2022-11-08 00:00:00+00:00,7.9,A,14319500,2980.0,A
2022-11-09 00:00:00+00:00,7.6,A,14319500,2280.0,A
2022-11-10 00:00:00+00:00,7.3,A,14319500,1910.0,A
2022-11-11 00:00:00+00:00,6.7,A,14319500,1680.0,A
2022-11-12 00:00:00+00:00,6.5,A,14319500,1570.0,A
2022-11-13 00:00:00+00:00,6.5,A,14319500,1520.0,A
2022-11-14 00:00:00+00:00,6.8,A,14319500,1440.0,A
2022-11-15 00:00:00+00:00,6.1,A,14319500,1330.0,A
2022-11-16 00:00:00+00:00,5.0,A,14319500,1240.0,A
2022-11-17 00:00:00+00:00,4.5,A,14319500,1210.0,A
2022-11-18 00:00:00+00:00,4.1,A,14319500,1230.0,A
2022-11-19 00:00:00+00:00,4.1,A,14319500,1200.0,A
2022-11-20 00:00:00+00:00,3.6,A,14319500,1140.0,A
2022-11-21 00:00:00+00:00,3.3,A,14319500,1090.0,A
2022-11-22 00:00:00+00:00,3.6,A,14319500,1060.0,A
2022-11-23 00:00:00+00:00,4.5,A,14319500,1080.0,A
2022-11-24 00:00:00+00:00,5.1,A,14319500,1140.0,A
2022-11-25 00:00:00+00:00,5.0,A,14319500,1080.0,A
2022-11-26 00:00:00+00:00,5.2,A,14319500,1080.0,A
2022-11-27 00:00:00+00:00,5.7,A,14319500,1090.0,A
2022-11-28 00:00:00+00:00,6.2,A,14319500,1240.0,A
2022-11-29 00:00:00+00:00,5.9,A,14319500,1800.0,A
2022-11-30 00:00:00+00:00,6.0,A,14319500,1700.0,A
2022-12-01 00:00:00+00:00,5.8,A,14319500,3910.0,A
2022-12-02 00:00:00+00:00,5.7,A,14319500,2940.0,A
2022-12-03 00:00:00+00:00,5.0,A,14319500,2120.0,A
2022-12-04 00:00:00+00:00,4.7,A,14319500,1810.0,A
2022-12-05 00:00:00+00:00,5.0,A,14319500,1750.0,A
2022-12-06 00:00:00+00:00,5.4,A,14319500,1760.0,A
2022-12-07 00:00:00+00:00,5.2,A,14319500,1640.0,A
2022-12-08 00:00:00+00:00,4.9,A,14319500,1570.0,A
2022-12-09 00:00:00+00:00,4.7,A,14319500,1670.0,A
2022-12-10 00:00:00+00:00,5.3,A,14319500,2180.0,A
2022-12-11 00:00:00+00:00,5.8,A,14319500,3700.0,A
2022-12-12 00:00:00+00:00,6.4,A,14319500,3100.0,A
2022-12-13 00:00:00+00:00,6.2,A,14319500,2470.0,A
2022-12-14 00:00:00+00:00,5.7,A,14319500,2090.0,A
2022-12-15 00:00:00+00:00,5.1,A,14319500,1820.0,A
2022-12-16 00:00:00+00:00,4.3,A,14319500,1680.0,A
2022-12-17 00:00:00+00:00,3.7,A,14319500,1570.0,A
2022-12-18 00:00:00+00:00,3.1,A,14319500,1490.0,A
2022-12-19 00:00:00+00:00,2.8,A,14319500,1430.0,A
2022-12-20 00:00:00+00:00,2.7,A,14319500,1360.0,A
2022-12-21 00:00:00+00:00,3.8,A,14319500,2640.0,A
2022-12-22 00:00:00+00:00,5.4,A,14319500,4220.0,A
2022-12-23 00:00:00+00:00,5.7,A,14319500,3790.0,A
2022-12-24 00:00:00+00:00,6.8,A,14319500,5460.0,A
2022-12-25 00:00:00+00:00,7.6,A,14319500,7350.0,A
2022-12-26 00:00:00+00:00,8.3,A,14319500,6240.0,A
2022-12-27 00:00:00+00:00,8.6,A,14319500,13500.0,A
2022-12-28 00:00:00+00:00,7.9,A,14319500,18700.0,A
2022-12-29 00:00:00+00:00,7.6,A,14319500,10200.0,A
2022-12-30 00:00:00+00:00,7.8,A,14319500,16800.0,A
2022-12-31 00:00:00+00:00,8.2,A,14319500,16900.0,A
2023-01-01 00:00:00+00:00,7.7,A,14319500,9950.0,A
2023-01-02 00:00:00+00:00,6.4,A,14319500,6660.0,A
2023-01-03 00:00:00+00:00,6.0,A,14319500,5120.0,A
2023-01-04 00:00:00+00:00,6.0,A,14319500,4170.0,A
2023-01-05 00:00:00+00:00,6.7,A,14319500,3750.0,A
2023-01-06 00:00:00+00:00,6.9,A,14319500,3490.0,A
2023-01-07 00:00:00+00:00,7.1,A,14319500,3270.0,A
2023-01-08 00:00:00+00:00,7.3,A,14319500,3110.0,A
2023-01-09 00:00:00+00:00,7.2,A,14319500,3110.0,A
2023-01-10 00:00:00+00:00,6.3,A,14319500,3120.0,A
2023-01-11 00:00:00+00:00,6.0,A,14319500,2970.0,A
2023-01-12 00:00:00+00:00,6.7,A,14319500,3680.0,A
2023-01-13 00:00:00+00:00,7.7,A,14319500,3850.0,A
2023-01-14 00:00:00+00:00,8.1,A,14319500,4110.0,A
2023-01-15 00:00:00+00:00,8.0,A,14319500,3810.0,A
2023-01-16 00:00:00+00:00,7.4,A,14319500,3730.0,A
2023-01-17 00:00:00+00:00,6.7,A,14319500,3350.0,A
2023-01-18 00:00:00+00:00,6.3,A,14319500,3150.0,A
2023-01-19 00:00:00+00:00,6.0,A,14319500,3230.0,A
2023-01-20 00:00:00+00:00,5.5,A,14319500,2900.0,A
2023-01-21 00:00:00+00:00,4.8,A,14319500,2690.0,A
2023-01-22 00:00:00+00:00,4.7,A,14319500,2590.0,A
2023-01-23 00:00:00+00:00,4.8,A,14319500,2400.0,A
2023-01-24 00:00:00+00:00,4.8,A,14319500,2250.0,A
2023-01-25 00:00:00+00:00,4.8,A,14319500,2130.0,A
2023-01-26 00:00:00+00:00,4.5,A,14319500,2040.0,A
2023-01-27 00:00:00+00:00,4.6,A,14319500,2010.0,A
2023-01-28 00:00:00+00:00,5.1,A,14319500,2030.0,A
2023-01-29 00:00:00+00:00,5.2,A,14319500,2030.0,A
2023-01-30 00:00:00+00:00,3.9,A,14319500,1900.0,A
2023-01-31 00:00:00+00:00,2.8,A,14319500,1790.0,A
2023-02-01 00:00:00+00:00,2.2,A,14319500,1760.0,A
2023-02-02 00:00:00+00:00,2.5,A,14319500,1700.0,P
2023-02-03 00:00:00+00:00,2.9,A,14319500,1680.0,P
2023-02-04 00:00:00+00:00,4.1,A,14319500,1660.0,P
2023-02-05 00:00:00+00:00,5.3,A,14319500,1670.0,P
2023-02-06 00:00:00+00:00,6.0,A,14319500,1920.0,P
2023-02-07 00:00:00+00:00,6.1,A,14319500,1960.0,P
2023-02-08 00:00:00+00:00,6.0,A,14319500,2140.0,P
2023-02-09 00:00:00+00:00,6.1,A,14319500,2480.0,P
2023-02-10 00:00:00+00:00,6.4,A,14319500,2320.0,P
2023-02-11 00:00:00+00:00,6.7,A,14319500,2150.0,P
2023-02-12 00:00:00+00:00,6.6,A,14319500,2010.0,P
2023-02-13 00:00:00+00:00,7.0,A,14319500,1900.0,P
2023-02-14 00:00:00+00:00,5.8,A,14319500,2080.0,P
2023-02-15 00:00:00+00:00,5.1,A,14319500,2080.0,P
2023-02-16 00:00:00+00:00,4.4,A,14319500,1940.0,P
2023-02-17 00:00:00+00:00,4.1,A,14319500,1940.0,P
2023-02-18 00:00:00+00:00,4.4,A,14319500,1890.0,P
2023-02-19 00:00:00+00:00,4.9,A,14319500,1890.0,P
2023-02-20 00:00:00+00:00,5.5,A,14319500,1870.0,P
2023-02-21 00:00:00+00:00,5.9,A,14319500,2000.0,P
2023-02-22 00:00:00+00:00,5.4,A,14319500,2720.0,P
2023-02-23 00:00:00+00:00,4.7,A,14319500,2630.0,P
2023-02-24 00:00:00+00:00,4.4,A,14319500,2390.0,P
2023-02-25 00:00:00+00:00,4.1,A,14319500,2240.0,P
2023-02-26 00:00:00+00:00,4.7,A,14319500,2400.0,P
