datetime,00010_Mean,00010_Mean_cd,site_no,00060_Mean,00060_Mean_cd
2023-10-01 00:00:00+00:00,,,06052500,701.0,A
2023-10-02 00:00:00+00:00,,,06052500,728.0,A
2023-10-03 00:00:00+00:00,,,06052500,790.0,A
2023-10-04 00:00:00+00:00,,,06052500,819.0,A
2023-10-05 00:00:00+00:00,,,06052500,810.0,A
2023-10-06 00:00:00+00:00,,,06052500,784.0,A
2023-10-07 00:00:00+00:00,,,06052500,770.0,A
2023-10-08 00:00:00+00:00,,,06052500,762.0,A
2023-10-09 00:00:00+00:00,,,06052500,755.0,A
2023-10-10 00:00:00+00:00,,,06052500,751.0,A
2023-10-11 00:00:00+00:00,,,06052500,776.0,A
2023-10-12 00:00:00+00:00,,,06052500,849.0,A
2023-10-13 00:00:00+00:00,,,06052500,937.0,P
2023-10-14 00:00:00+00:00,-999999.0,"P, Ssn",06052500,894.0,P
2023-10-15 00:00:00+00:00,-999999.0,"P, Ssn",06052500,880.0,P
2023-10-16 00:00:00+00:00,-999999.0,"P, Ssn",06052500,872.0,P
2023-10-17 00:00:00+00:00,-999999.0,"P, Ssn",06052500,896.0,P
2023-10-18 00:00:00+00:00,-999999.0,"P, Ssn",06052500,912.0,P
2023-10-19 00:00:00+00:00,-999999.0,"P, Ssn",06052500,941.0,P
2023-10-20 00:00:00+00:00,-999999.0,"P, Ssn",06052500,953.0,P
2023-10-21 00:00:00+00:00,-999999.0,"P, Ssn",06052500,952.0,P
2023-10-22 00:00:00+00:00,-999999.0,"P, Ssn",06052500,968.0,P
2023-10-23 00:00:00+00:00,-999999.0,"P, Ssn",06052500,980.0,P
2023-10-24 00:00:00+00:00,-999999.0,"P, Ssn",06052500,1030.0,P
2023-10-25 00:00:00+00:00,-999999.0,"P, Ssn",06052500,1030.0,P
2023-10-26 00:00:00+00:00,-999999.0,"P, Ssn",06052500,1040.0,P
2023-10-27 00:00:00+00:00,-999999.0,"P, Ssn",06052500,1020.0,P
2023-10-28 00:00:00+00:00,-999999.0,"P, Ssn",06052500,994.0,P
2023-10-29 00:00:00+00:00,-999999.0,"P, Ssn",06052500,947.0,P
2023-10-30 00:00:00+00:00,-999999.0,"P, Ssn",06052500,941.0,P
2023-10-31 00:00:00+00:00,-999999.0,"P, Ssn",06052500,953.0,P
2023-11-01 00:00:00+00:00,-999999.0,"P, Ssn",06052500,981.0,P
2023-11-02 00:00:00+00:00,-999999.0,"P, Ssn",06052500,1010.0,P
2023-11-03 00:00:00+00:00,-999999.0,"P, Ssn",06052500,1060.0,P
2023-11-04 00:00:00+00:00,-999999.0,"P, Ssn",06052500,1050.0,P
2023-11-05 00:00:00+00:00,-999999.0,"P, Ssn",06052500,1050.0,P
2023-11-06 00:00:00+00:00,-999999.0,"P, Ssn",06052500,1100.0,P
2023-11-07 00:00:00+00:00,-999999.0,"P, Ssn",06052500,1080.0,P
2023-11-08 00:00:00+00:00,-999999.0,"P, Ssn",06052500,1050.0,P
2023-11-09 00:00:00+00:00,-999999.0,"P, Ssn",06052500,993.0,P
2023-11-10 00:00:00+00:00,-999999.0,"P, Ssn",06052500,967.0,P
2023-11-11 00:00:00+00:00,-999999.0,"P, Ssn",06052500,972.0,P
2023-11-12 00:00:00+00:00,-999999.0,"P, Ssn",06052500,962.0,P
2023-11-13 00:00:00+00:00,-999999.0,"P, Ssn",06052500,952.0,P
2023-11-14 00:00:00+00:00,-999999.0,"P, Ssn",06052500,949.0,P
2023-11-15 00:00:00+00:00,-999999.0,"P, Ssn",06052500,936.0,P
2023-11-16 00:00:00+00:00,-999999.0,"P, Ssn",06052500,930.0,P
