stationId,durCode,SENSOR_NUM,sensorType,date,obsDate,value,dataFlag,units
RBB,D,3,SNOW WC,2008-10-1 00:00,2008-10-1 00:00,0.29, ,INCHES
RBB,D,3,SNOW WC,2008-10-2 00:00,2008-10-2 00:00,0.31, ,INCHES
RBB,D,3,SNOW WC,2008-10-3 00:00,2008-10-3 00:00,0.3, ,INCHES
RBB,D,3,SNOW WC,2008-10-4 00:00,2008-10-4 00:00,0.56, ,INCHES
RBB,D,3,SNOW WC,2008-10-5 00:00,2008-10-5 00:00,1.17, ,INCHES
RBB,D,3,SNOW WC,2008-10-6 00:00,2008-10-6 00:00,0.58, ,INCHES
RBB,D,3,SNOW WC,2008-10-7 00:00,2008-10-7 00:00,0.72, ,INCHES
RBB,D,3,SNOW WC,2008-10-8 00:00,2008-10-8 00:00,0.49, ,INCHES
RBB,D,3,SNOW WC,2008-10-9 00:00,2008-10-9 00:00,0.46, ,INCHES
RBB,D,3,SNOW WC,2008-10-10 00:00,2008-10-10 00:00,1.17, ,INCHES
RBB,D,3,SNOW WC,2008-10-11 00:00,2008-10-11 00:00,1.03, ,INCHES
RBB,D,3,SNOW WC,2008-10-12 00:00,2008-10-12 00:00,0.83, ,INCHES
RBB,D,3,SNOW WC,2008-10-13 00:00,2008-10-13 00:00,0.95, ,INCHES
RBB,D,3,SNOW WC,2008-10-14 00:00,2008-10-14 00:00,0.43, ,INCHES
RBB,D,3,SNOW WC,2008-10-15 00:00,2008-10-15 00:00,0.45, ,INCHES
RBB,D,3,SNOW WC,2008-10-16 00:00,2008-10-16 00:00,0.08, ,INCHES
RBB,D,3,SNOW WC,2008-10-17 00:00,2008-10-17 00:00,0.09, ,INCHES
RBB,D,3,SNOW WC,2008-10-18 00:00,2008-10-18 00:00,0.07, ,INCHES
RBB,D,3,SNOW WC,2008-10-19 00:00,2008-10-19 00:00,0.08, ,INCHES
RBB,D,3,SNOW WC,2008-10-20 00:00,2008-10-20 00:00,0.25, ,INCHES
RBB,D,3,SNOW WC,2008-10-21 00:00,2008-10-21 00:00,0.77, ,INCHES
RBB,D,3,SNOW WC,2008-10-22 00:00,2008-10-22 00:00,0.32, ,INCHES
RBB,D,3,SNOW WC,2008-10-23 00:00,2008-10-23 00:00,0.11, ,INCHES
RBB,D,3,SNOW WC,2008-10-24 00:00,2008-10-24 00:00,0.11, ,INCHES
RBB,D,3,SNOW WC,2008-10-25 00:00,2008-10-25 00:00,0.11, ,INCHES
RBB,D,3,SNOW WC,2008-10-26 00:00,2008-10-26 00:00,0.11, ,INCHES
RBB,D,3,SNOW WC,2008-10-27 00:00,2008-10-27 00:00,0.26, ,INCHES
RBB,D,3,SNOW WC,2008-10-28 00:00,2008-10-28 00:00,0.31, ,INCHES
RBB,D,3,SNOW WC,2008-10-29 00:00,2008-10-29 00:00,0.34, ,INCHES
RBB,D,3,SNOW WC,2008-10-30 00:00,2008-10-30 00:00,0.12, ,INCHES
RBB,D,3,SNOW WC,2008-10-31 00:00,2008-10-31 00:00,0.36, ,INCHES
RBB,D,3,SNOW WC,2008-11-1 00:00,2008-11-1 00:00,0.42, ,INCHES
RBB,D,3,SNOW WC,2008-11-2 00:00,2008-11-2 00:00,0.5, ,INCHES
RBB,D,3,SNOW WC,2008-11-3 00:00,2008-11-3 00:00,0.85, ,INCHES
RBB,D,3,SNOW WC,2008-11-4 00:00,2008-11-4 00:00,0.85, ,INCHES
RBB,D,3,SNOW WC,2008-11-5 00:00,2008-11-5 00:00,0.94, ,INCHES
RBB,D,3,SNOW WC,2008-11-6 00:00,2008-11-6 00:00,0.64, ,INCHES
RBB,D,3,SNOW WC,2008-11-7 00:00,2008-11-7 00:00,0.4, ,INCHES
RBB,D,3,SNOW WC,2008-11-8 00:00,2008-11-8 00:00,0.34, ,INCHES
RBB,D,3,SNOW WC,2008-11-9 00:00,2008-11-9 00:00,0.41, ,INCHES
RBB,D,3,SNOW WC,2008-11-10 00:00,2008-11-10 00:00,1.05, ,INCHES
RBB,D,3,SNOW WC,2008-11-11 00:00,2008-11-11 00:00,0.93, ,INCHES
RBB,D,3,SNOW WC,2008-11-12 00:00,2008-11-12 00:00,0.42, ,INCHES
RBB,D,3,SNOW WC,2008-11-13 00:00,2008-11-13 00:00,0.78, ,INCHES
RBB,D,3,SNOW WC,2008-11-14 00:00,2008-11-14 00:00,0.35, ,INCHES
RBB,D,3,SNOW WC,2008-11-15 00:00,2008-11-15 00:00,0.35, ,INCHES
RBB,D,3,SNOW WC,2008-11-16 00:00,2008-11-16 00:00,0.42, ,INCHES
RBB,D,3,SNOW WC,2008-11-17 00:00,2008-11-17 00:00,0.74, ,INCHES
RBB,D,3,SNOW WC,2008-11-18 00:00,2008-11-18 00:00,0.92, ,INCHES
RBB,D,3,SNOW WC,2008-11-19 00:00,2008-11-19 00:00,0.72, ,INCHES
RBB,D,3,SNOW WC,2008-11-20 00:00,2008-11-20 00:00,0.92, ,INCHES
RBB,D,3,SNOW WC,2008-11-21 00:00,2008-11-21 00:00,0.66, ,INCHES
RBB,D,3,SNOW WC,2008-11-22 00:00,2008-11-22 00:00,0.63, ,INCHES
RBB,D,3,SNOW WC,2008-11-23 00:00,2008-11-23 00:00,0.8, ,INCHES
RBB,D,3,SNOW WC,2008-11-24 00:00,2008-11-24 00:00,0.8, ,INCHES
RBB,D,3,SNOW WC,2008-11-25 00:00,2008-11-25 00:00,0.26, ,INCHES
RBB,D,3,SNOW WC,2008-11-26 00:00,2008-11-26 00:00,0.26, ,INCHES
RBB,D,3,SNOW WC,2008-11-27 00:00,2008-11-27 00:00,1.01, ,INCHES
RBB,D,3,SNOW WC,2008-11-28 00:00,2008-11-28 00:00,0.93, ,INCHES
RBB,D,3,SNOW WC,2008-11-29 00:00,2008-11-29 00:00,0.39, ,INCHES
