stationId,durCode,SENSOR_NUM,sensorType,date,obsDate,value,dataFlag,units
SWM,D,3,SNOW WC,2018-10-1 00:00,2018-10-1 00:00,0.13, ,INCHES
SWM,D,3,SNOW WC,2018-10-2 00:00,2018-10-2 00:00,0.18, ,INCHES
SWM,D,3,SNOW WC,2018-10-3 00:00,2018-10-3 00:00,0.4, ,INCHES
SWM,D,3,SNOW WC,2018-10-4 00:00,2018-10-4 00:00,0.37, ,INCHES
SWM,D,3,SNOW WC,2018-10-5 00:00,2018-10-5 00:00,0.31, ,INCHES
SWM,D,3,SNOW WC,2018-10-6 00:00,2018-10-6 00:00,0.35, ,INCHES
SWM,D,3,SNOW WC,2018-10-7 00:00,2018-10-7 00:00,0.37, ,INCHES
SWM,D,3,SNOW WC,2018-10-8 00:00,2018-10-8 00:00,0.19, ,INCHES
SWM,D,3,SNOW WC,2018-10-9 00:00,2018-10-9 00:00,0.29, ,INCHES
SWM,D,3,SNOW WC,2018-10-10 00:00,2018-10-10 00:00,0.3, ,INCHES
SWM,D,3,SNOW WC,2018-10-11 00:00,2018-10-11 00:00,0.25, ,INCHES
SWM,D,3,SNOW WC,2018-10-12 00:00,2018-10-12 00:00,0.23, ,INCHES
SWM,D,3,SNOW WC,2018-10-13 00:00,2018-10-13 00:00,0.18, ,INCHES
SWM,D,3,SNOW WC,2018-10-14 00:00,2018-10-14 00:00,0.17, ,INCHES
SWM,D,3,SNOW WC,2018-10-15 00:00,2018-10-15 00:00,0.07, ,INCHES
SWM,D,3,SNOW WC,2018-10-16 00:00,2018-10-16 00:00,0.03, ,INCHES
SWM,D,3,SNOW WC,2018-10-17 00:00,2018-10-17 00:00,0.06, ,INCHES
SWM,D,3,SNOW WC,2018-10-18 00:00,2018-10-18 00:00,0.04, ,INCHES
SWM,D,3,SNOW WC,2018-10-19 00:00,2018-10-19 00:00,0.05, ,INCHES
SWM,D,3,SNOW WC,2018-10-20 00:00,2018-10-20 00:00,0.08, ,INCHES
SWM,D,3,SNOW WC,2018-10-21 00:00,2018-10-21 00:00,0.05, ,INCHES
SWM,D,3,SNOW WC,2018-10-22 00:00,2018-10-22 00:00,0.04, ,INCHES
SWM,D,3,SNOW WC,2018-10-23 00:00,2018-10-23 00:00,0.08, ,INCHES
SWM,D,3,SNOW WC,2018-10-24 00:00,2018-10-24 00:00,0.1, ,INCHES
SWM,D,3,SNOW WC,2018-10-25 00:00,2018-10-25 00:00,0.14, ,INCHES
SWM,D,3,SNOW WC,2018-10-26 00:00,2018-10-26 00:00,0.13, ,INCHES
SWM,D,3,SNOW WC,2018-10-27 00:00,2018-10-27 00:00,0.18, ,INCHES
SWM,D,3,SNOW WC,2018-10-28 00:00,2018-10-28 00:00,0.23, ,INCHES
SWM,D,3,SNOW WC,2018-10-29 00:00,2018-10-29 00:00,0.23, ,INCHES
SWM,D,3,SNOW WC,2018-10-30 00:00,2018-10-30 00:00,0.13, ,INCHES
SWM,D,3,SNOW WC,2018-10-31 00:00,2018-10-31 00:00,-0.02, ,INCHES
SWM,D,3,SNOW WC,2018-11-1 00:00,2018-11-1 00:00,0.04, ,INCHES
SWM,D,3,SNOW WC,2018-11-2 00:00,2018-11-2 00:00,0.03, ,INCHES
SWM,D,3,SNOW WC,2018-11-3 00:00,2018-11-3 00:00,0.04, ,INCHES
SWM,D,3,SNOW WC,2018-11-4 00:00,2018-11-4 00:00,0.07, ,INCHES
SWM,D,3,SNOW WC,2018-11-5 00:00,2018-11-5 00:00,0.16, ,INCHES
SWM,D,3,SNOW WC,2018-11-6 00:00,2018-11-6 00:00,0.09, ,INCHES
SWM,D,3,SNOW WC,2018-11-7 00:00,2018-11-7 00:00,0.02, ,INCHES
SWM,D,3,SNOW WC,2018-11-8 00:00,2018-11-8 00:00,0.04, ,INCHES
SWM,D,3,SNOW WC,2018-11-9 00:00,2018-11-9 00:00,-0.2, ,INCHES
SWM,D,3,SNOW WC,2018-11-10 00:00,2018-11-10 00:00,-0.18, ,INCHES
SWM,D,3,SNOW WC,2018-11-11 00:00,2018-11-11 00:00,-0.2, ,INCHES
SWM,D,3,SNOW WC,2018-11-12 00:00,2018-11-12 00:00,-0.24, ,INCHES
SWM,D,3,SNOW WC,2018-11-13 00:00,2018-11-13 00:00,-0.23, ,INCHES
SWM,D,3,SNOW WC,2018-11-14 00:00,2018-11-14 00:00,-0.21, ,INCHES
SWM,D,3,SNOW WC,2018-11-15 00:00,2018-11-15 00:00,-0.24, ,INCHES
SWM,D,3,SNOW WC,2018-11-16 00:00,2018-11-16 00:00,-0.21, ,INCHES
SWM,D,3,SNOW WC,2018-11-17 00:00,2018-11-17 00:00,-0.22, ,INCHES
SWM,D,3,SNOW WC,2018-11-18 00:00,2018-11-18 00:00,-0.25, ,INCHES
