date,WTEQ_DAILY
1975-10-01,0.0
1975-10-02,0.0
1975-10-03,0.0
1975-10-04,0.0
1975-10-05,0.0
1975-10-06,0.0
1975-10-07,0.0
1975-10-08,0.2
1975-10-09,0.7
1975-10-10,0.7
1975-10-11,0.7
1975-10-12,1.1
1975-10-13,1.3
1975-10-14,2.8
1975-10-15,3.1
1975-10-16,3.1
1975-10-17,3.1
1975-10-18,3.1
1975-10-19,3.1
1975-10-20,3.0
1975-10-21,2.9
1975-10-22,3.7
1975-10-23,4.1
1975-10-24,4.1
1975-10-25,4.1
1975-10-26,4.2
1975-10-27,4.5
1975-10-28,4.5
1975-10-29,4.5
1975-10-30,4.6
1975-10-31,4.6
1975-11-01,4.6
1975-11-02,4.6
1975-11-03,4.6
1975-11-04,4.6
1975-11-05,4.6
1975-11-06,4.5
1975-11-07,4.5
1975-11-08,4.6
1975-11-09,4.6
1975-11-10,4.6
1975-11-11,4.7
1975-11-12,4.7
1975-11-13,4.7
1975-11-14,4.8
1975-11-15,4.8
1975-11-16,4.8
1975-11-17,5.0
1975-11-18,5.0
1975-11-19,5.1
1975-11-20,5.1
1975-11-21,5.2
1975-11-22,5.3
1975-11-23,5.3
1975-11-24,5.5
1975-11-25,6.1
1975-11-26,6.7
1975-11-27,7.3
1975-11-28,7.4
1975-11-29,7.4
1975-11-30,7.5
1975-12-01,7.8
1975-12-02,8.8
1975-12-03,9.3
1975-12-04,9.4
1975-12-05,9.4
1975-12-06,9.7
1975-12-07,9.7
1975-12-08,9.9
1975-12-09,9.9
1975-12-10,9.9
1975-12-11,10.0
1975-12-12,10.0
1975-12-13,10.0
1975-12-14,10.1
1975-12-15,10.1
1975-12-16,10.7
1975-12-17,10.8
1975-12-18,10.8
1975-12-19,10.9
1975-12-20,11.1
1975-12-21,11.1
1975-12-22,11.1
1975-12-23,11.1
1975-12-24,11.1
1975-12-25,11.3
1975-12-26,11.3
1975-12-27,11.3
1975-12-28,11.3
1975-12-29,11.6
1975-12-30,11.4
1975-12-31,11.4
1976-01-01,11.4
1976-01-02,11.5
1976-01-03,11.6
1976-01-04,12.1
1976-01-05,12.1
1976-01-06,12.1
1976-01-07,12.2
1976-01-08,12.4
1976-01-09,12.4
1976-01-10,12.4
1976-01-11,13.0
1976-01-12,13.1
1976-01-13,13.4
1976-01-14,14.0
1976-01-15,14.4
1976-01-16,14.4
1976-01-17,14.6
1976-01-18,14.6
1976-01-19,14.6
1976-01-20,14.6
1976-01-21,14.6
1976-01-22,14.6
1976-01-23,14.6
1976-01-24,14.7
1976-01-25,14.7
1976-01-26,14.9
1976-01-27,14.9
1976-01-28,14.9
1976-01-29,14.9
1976-01-30,14.9
1976-01-31,14.9
1976-02-01,14.9
1976-02-02,14.8
1976-02-03,14.8
1976-02-04,14.8
1976-02-05,14.8
1976-02-06,14.9
1976-02-07,14.9
1976-02-08,14.9
1976-02-09,14.9
1976-02-10,14.9
1976-02-11,15.2
1976-02-12,15.2
1976-02-13,15.3
1976-02-14,15.4
1976-02-15,15.6
1976-02-16,15.9
1976-02-17,15.9
1976-02-18,15.9
1976-02-19,16.0
1976-02-20,16.0
1976-02-21,16.0
1976-02-22,16.0
1976-02-23,16.0
1976-02-24,16.1
1976-02-25,16.6
1976-02-26,16.8
1976-02-27,17.1
1976-02-28,17.1
1976-02-29,17.3
1976-03-01,17.3
1976-03-02,17.3
1976-03-03,17.3
1976-03-04,17.5
1976-03-05,17.6
1976-03-06,17.6
1976-03-07,17.6
1976-03-08,17.6
1976-03-09,17.6
1976-03-10,17.6
1976-03-11,17.6
1976-03-12,17.8
1976-03-13,18.0
1976-03-14,18.0
1976-03-15,18.1
1976-03-16,18.1
1976-03-17,18.1
1976-03-18,18.1
1976-03-19,18.3
1976-03-20,18.3
1976-03-21,18.3
1976-03-22,18.3
1976-03-23,18.6
1976-03-24,18.8
1976-03-25,18.8
1976-03-26,19.0
1976-03-27,19.0
1976-03-28,19.1
