date,WTEQ_DAILY
1980-10-01,0.0
1980-10-02,0.0
1980-10-03,0.0
1980-10-04,0.0
1980-10-05,0.0
1980-10-06,0.0
1980-10-07,0.0
1980-10-08,0.0
1980-10-09,0.0
1980-10-10,0.0
1980-10-11,0.0
1980-10-12,0.3
1980-10-13,0.4
1980-10-14,0.9
1980-10-15,0.9
1980-10-16,0.9
1980-10-17,0.9
1980-10-18,0.9
1980-10-19,1.0
1980-10-20,1.0
1980-10-21,1.5
1980-10-22,1.5
1980-10-23,1.6
1980-10-24,1.8
1980-10-25,1.8
1980-10-26,1.8
1980-10-27,1.8
1980-10-28,1.8
1980-10-29,1.8
1980-10-30,2.0
1980-10-31,2.0
1980-11-01,2.8
1980-11-02,2.8
1980-11-03,3.2
1980-11-04,3.2
1980-11-05,3.3
1980-11-06,4.3
1980-11-07,6.3
1980-11-08,7.5
1980-11-09,8.0
1980-11-10,8.0
1980-11-11,8.0
1980-11-12,8.0
1980-11-13,8.0
1980-11-14,8.0
1980-11-15,8.0
1980-11-16,8.2
1980-11-17,8.6
1980-11-18,9.0
1980-11-19,9.1
1980-11-20,9.5
1980-11-21,11.0
1980-11-22,11.1
1980-11-23,11.2
1980-11-24,11.3
1980-11-25,11.5
1980-11-26,11.5
1980-11-27,12.2
1980-11-28,12.2
1980-11-29,13.3
1980-11-30,13.5
1980-12-01,13.7
1980-12-02,15.9
1980-12-03,17.6
1980-12-04,18.3
1980-12-05,18.3
1980-12-06,18.3
1980-12-07,18.3
1980-12-08,18.5
1980-12-09,18.8
1980-12-10,19.8
1980-12-11,20.1
1980-12-12,20.1
1980-12-13,20.1
1980-12-14,20.5
1980-12-15,20.5
1980-12-16,20.6
1980-12-17,20.6
1980-12-18,20.6
1980-12-19,20.6
1980-12-20,21.0
1980-12-21,22.1
1980-12-22,23.3
1980-12-23,23.3
1980-12-24,24.3
1980-12-25,27.7
1980-12-26,29.6
1980-12-27,29.9
1980-12-28,29.9
1980-12-29,30.1
1980-12-30,30.1
1980-12-31,30.1
1981-01-01,30.1
1981-01-02,30.1
1981-01-03,30.1
1981-01-04,30.1
1981-01-05,30.1
1981-01-06,30.1
1981-01-07,30.1
1981-01-08,30.1
1981-01-09,30.1
1981-01-10,30.1
1981-01-11,30.1
1981-01-12,30.1
1981-01-13,30.1
1981-01-14,30.1
1981-01-15,30.1
1981-01-16,30.1
1981-01-17,30.1
1981-01-18,30.1
1981-01-19,30.1
1981-01-20,30.1
1981-01-21,30.1
1981-01-22,30.3
1981-01-23,30.7
1981-01-24,31.0
1981-01-25,31.0
1981-01-26,31.2
1981-01-27,31.2
1981-01-28,31.2
1981-01-29,31.2
1981-01-30,31.2
1981-01-31,31.2
1981-02-01,31.2
1981-02-02,31.2
1981-02-03,31.2
1981-02-04,31.2
1981-02-05,31.2
1981-02-06,31.2
1981-02-07,31.2
1981-02-08,31.2
1981-02-09,31.2
1981-02-10,31.2
1981-02-11,31.3
1981-02-12,32.0
1981-02-13,32.6
1981-02-14,33.9
1981-02-15,35.6
1981-02-16,37.3
1981-02-17,38.3
1981-02-18,38.9
1981-02-19,39.9
1981-02-20,39.9
1981-02-21,39.9
1981-02-22,39.9
1981-02-23,39.9
1981-02-24,40.3
1981-02-25,40.3
1981-02-26,40.3
1981-02-27,40.3
1981-02-28,40.3
1981-03-01,40.3
1981-03-02,40.3
1981-03-03,40.4
1981-03-04,40.7
1981-03-05,40.7
1981-03-06,40.7
1981-03-07,40.7
1981-03-08,40.7
1981-03-09,40.7
1981-03-10,40.7
1981-03-11,40.8
1981-03-12,40.8
1981-03-13,40.8
1981-03-14,40.8
1981-03-15,40.8
1981-03-16,41.1
1981-03-17,41.1
1981-03-18,41.1
1981-03-19,41.1
1981-03-20,41.2
1981-03-21,41.3
1981-03-22,41.4
1981-03-23,41.8
1981-03-24,41.8
1981-03-25,42.0
1981-03-26,42.0
1981-03-27,42.0
1981-03-28,42.1
1981-03-29,42.9
1981-03-30,43.3
1981-03-31,44.1
1981-04-01,44.1
1981-04-02,44.4
1981-04-03,44.9
1981-04-04,44.9
1981-04-05,45.1
1981-04-06,45.5
1981-04-07,46.1
1981-04-08,47.4
1981-04-09,47.8
1981-04-10,48.0
1981-04-11,48.7
1981-04-12,48.9
1981-04-13,48.9
1981-04-14,48.9
1981-04-15,48.9
1981-04-16,48.9
1981-04-17,48.9
1981-04-18,48.9
1981-04-19,48.9
1981-04-20,49.2
1981-04-21,49.3
1981-04-22,50.1
1981-04-23,51.1
1981-04-24,51.1
1981-04-25,51.1
1981-04-26,51.1
1981-04-27,51.7
1981-04-28,52.7
1981-04-29,52.7
1981-04-30,52.7
1981-05-01,52.7
1981-05-02,52.7
1981-05-03,52.7
1981-05-04,52.7
1981-05-05,52.9
1981-05-06,52.9
1981-05-07,52.9
1981-05-08,53.0
1981-05-09,53.0
1981-05-10,53.2
1981-05-11,53.2
1981-05-12,53.2
1981-07-08,0.0
1981-07-09,0.0
1981-07-10,0.0
1981-07-11,0.0
1981-07-12,0.0
1981-07-13,0.0
1981-07-14,0.0
1981-07-15,0.0
1981-07-16,0.0
1981-07-17,0.0
1981-07-18,0.0
1981-07-19,0.0
1981-07-20,0.0
1981-07-21,0.0
