date,PREC_DAILY,WTEQ_DAILY
1981-10-01,0.0,0.0
1981-10-02,0.0,0.0
1981-10-03,0.2,0.0
1981-10-04,0.3,0.0
1981-10-05,0.3,0.0
1981-10-06,0.4,0.0
1981-10-07,0.4,0.0
1981-10-08,0.5,0.0
1981-10-09,0.5,0.0
1981-10-10,0.5,0.0
1981-10-11,0.6,0.0
1981-10-12,0.6,0.0
1981-10-13,0.6,0.0
1981-10-14,0.7,0.0
1981-10-15,0.8,0.0
1981-10-16,1.0,0.0
1981-10-17,1.0,0.0
1981-10-18,1.1,0.0
1981-10-19,1.1,0.0
1981-10-20,1.1,0.0
1981-10-21,1.1,0.0
1981-10-22,1.1,0.0
1981-10-23,1.1,0.0
1981-10-24,1.3,0.4
1981-10-25,1.5,0.0
1981-10-26,1.5,0.0
1981-10-27,1.5,0.0
1981-10-28,1.5,0.0
1981-10-29,1.5,0.0
1981-10-30,1.5,0.0
1981-10-31,1.8,0.0
1981-11-01,1.8,0.6
1981-11-02,1.8,0.6
1981-11-03,1.8,0.4
1981-11-04,1.8,0.4
1981-11-05,1.8,0.3
1981-11-06,1.8,0.3
1981-11-07,1.8,0.2
1981-11-08,1.9,0.1
1981-11-09,1.9,0.2
1981-11-10,1.9,0.4
1981-11-11,1.9,0.4
1981-11-12,1.9,0.4
1981-11-13,1.9,0.2
1981-11-14,1.9,0.2
1981-11-15,1.9,0.2
1981-11-16,1.9,0.2
1981-11-17,2.0,0.3
1981-11-18,2.4,0.8
1981-11-19,2.5,0.8
1981-11-20,2.5,0.8
1981-11-21,2.5,0.9
1981-11-22,2.6,1.0
1981-11-23,2.8,1.1
1981-11-24,2.8,1.1
1981-11-25,2.9,1.1
1981-11-26,3.0,1.3
1981-11-27,3.1,1.6
1981-11-28,3.1,1.8
1981-11-29,3.5,2.1
1981-11-30,3.8,2.4
1981-12-01,4.0,2.8
1981-12-02,4.1,2.8
1981-12-03,4.2,2.8
1981-12-04,4.2,2.8
1981-12-05,4.2,2.8
1981-12-06,4.2,2.9
1981-12-07,4.2,2.9
1981-12-08,4.2,2.9
1981-12-09,4.2,2.9
1981-12-10,4.2,2.9
1981-12-11,4.2,3.1
1981-12-12,4.2,3.1
1981-12-13,4.4,3.3
1981-12-14,4.5,3.5
1981-12-15,5.3,4.2
1981-12-16,5.6,4.4
1981-12-17,5.6,4.4
1981-12-18,5.6,4.5
1981-12-19,5.6,4.7
1981-12-20,5.7,4.7
1981-12-21,6.2,5.1
1981-12-22,6.3,5.1
1981-12-23,6.3,5.1
1981-12-24,6.5,5.3
1981-12-25,6.8,5.7
1981-12-26,7.7,6.6
1981-12-27,8.0,6.9
1981-12-28,8.1,7.1
1981-12-29,8.1,7.2
1981-12-30,8.7,7.8
1981-12-31,9.1,8.2
1982-01-01,9.3,8.4
1982-01-02,9.5,8.5
1982-01-03,9.6,8.6
1982-01-04,9.8,8.8
1982-01-05,10.4,9.5
1982-01-06,10.5,9.5
1982-01-07,10.6,9.5
1982-01-08,10.6,9.6
1982-01-09,10.6,9.7
1982-01-10,10.7,9.7
1982-01-11,10.9,9.9
1982-01-12,10.9,9.9
1982-01-13,11.0,10.0
1982-01-14,11.3,10.5
1982-01-15,11.6,10.7
1982-01-16,11.7,10.8
1982-01-17,11.7,10.8
1982-01-18,11.8,10.9
1982-01-19,11.9,11.1
1982-01-20,12.0,11.1
1982-01-21,12.1,11.2
1982-01-22,12.1,11.2
1982-01-23,12.1,11.2
1982-01-24,12.5,11.6
1982-01-25,12.5,11.6
1982-01-26,12.7,11.8
1982-01-27,13.0,12.0
1982-01-28,13.0,12.1
1982-01-29,13.0,12.1
1982-01-30,13.0,12.1
1982-01-31,13.3,12.3
1982-02-01,13.3,12.3
1982-02-02,13.3,12.3
1982-02-03,13.4,12.3
1982-02-04,13.5,12.4
1982-02-05,13.5,12.4
1982-02-06,13.5,12.4
1982-02-07,13.6,12.6
1982-02-08,13.6,12.6
1982-02-09,13.9,12.9
1982-02-10,14.0,12.9
1982-02-11,14.1,12.9
1982-02-12,14.1,13.0
1982-02-13,14.1,13.1
1982-02-14,14.1,13.1
1982-02-15,14.1,13.1
1982-02-16,14.4,13.4
1982-02-17,14.4,13.4
1982-02-18,14.4,13.4
1982-02-19,14.4,13.4
1982-02-20,14.4,13.4
1982-02-21,14.4,13.5
1982-02-22,14.4,13.5
1982-02-23,14.4,13.5
1982-02-24,14.4,13.5
1982-02-25,14.4,13.5
1982-02-26,14.4,13.5
1982-02-27,14.5,13.5
1982-02-28,14.5,13.5
1982-03-01,14.5,13.5
1982-03-02,14.7,13.5
1982-03-03,14.9,13.8
1982-03-04,15.0,13.9
1982-03-05,15.0,13.9
1982-03-06,15.1,14.0
1982-03-07,15.5,14.3
1982-03-08,15.5,14.5
1982-03-09,15.6,14.5
1982-03-10,15.6,14.5
1982-03-11,16.1,15.1
1982-03-12,16.3,15.3
1982-03-13,16.5,15.4
1982-03-14,16.6,15.6
1982-03-15,16.8,15.7
1982-03-16,16.8,15.7
1982-03-17,16.8,15.8
1982-03-18,17.0,15.8
1982-03-19,17.3,16.0
1982-03-20,17.3,16.0
1982-03-21,17.3,16.1
1982-03-22,17.3,16.1
1982-03-23,17.3,16.1
1982-03-24,17.3,16.1
1982-03-25,17.3,16.1
1982-03-26,17.6,16.1
1982-03-27,17.6,16.1
1982-03-28,17.6,16.3
1982-03-29,17.6,16.3
1982-03-30,17.6,16.3
1982-03-31,17.8,16.5
1982-04-01,18.1,16.6
1982-04-02,18.1,16.6
1982-04-03,18.1,16.6
1982-04-04,18.3,16.6
1982-04-05,18.5,16.8
1982-04-06,18.6,17.0
1982-04-07,18.8,17.1
1982-04-08,19.1,17.3
1982-04-09,19.1,17.3
1982-04-10,19.1,17.6
1982-04-11,19.1,17.6
1982-04-12,19.3,17.3
1982-04-13,19.3,17.3
1982-04-14,19.3,17.1
1982-04-15,19.3,17.1
1982-04-16,19.3,17.1
1982-04-17,19.3,17.1
1982-04-18,19.5,17.1
1982-04-19,19.6,17.1
1982-04-20,19.8,17.1
1982-04-21,19.8,17.1
1982-04-22,19.8,17.1
1982-04-23,19.8,17.1
1982-04-24,19.8,17.1
1982-04-25,19.8,17.1
1982-04-26,20.1,17.5
1982-04-27,20.3,17.8
1982-04-28,20.3,17.6
1982-04-29,20.3,17.8
1982-04-30,20.3,17.8
1982-05-01,20.3,16.8
1982-05-02,20.5,16.6
1982-05-03,20.5,16.3
1982-05-04,20.6,15.6
1982-05-05,20.6,15.3
1982-05-06,20.6,15.3
1982-05-07,20.6,15.2
1982-05-08,20.6,15.1
1982-05-09,20.6,14.7
1982-05-10,20.6,14.2
1982-05-11,20.8,14.1
1982-05-12,22.1,15.1
1982-05-13,22.6,15.8
1982-05-14,22.8,16.0
1982-05-15,22.8,16.0
1982-05-16,22.8,15.9
1982-05-17,22.8,15.6
1982-05-18,22.8,15.4
1982-05-19,22.8,15.1
1982-05-20,22.8,15.1
1982-05-21,22.8,15.1
1982-05-22,22.8,14.5
1982-05-23,22.8,13.8
1982-05-24,22.8,13.2
1982-05-25,23.1,12.7
1982-05-26,23.1,12.4
1982-05-27,23.1,11.6
1982-05-28,23.1,10.4
1982-05-29,23.1,9.2
1982-05-30,23.2,8.3
1982-05-31,23.3,7.3
1982-06-01,23.3,6.3
1982-06-02,23.3,5.1
1982-06-03,23.3,4.4
1982-06-04,23.3,3.6
1982-06-05,23.3,2.1
1982-06-06,23.3,1.3
1982-06-07,23.3,0.4
1982-06-08,23.3,0.0
1982-06-09,23.3,0.0
1982-06-10,23.3,0.0
1982-06-11,23.3,0.0
1982-06-12,23.3,0.0
1982-06-13,23.3,0.0
1982-06-14,23.3,0.0
1982-06-15,23.3,0.0
1982-06-16,23.3,0.0
1982-06-17,23.5,0.0
1982-06-18,23.8,0.0
1982-06-19,24.0,0.0
1982-06-20,24.0,0.0
1982-06-21,24.0,0.0
1982-06-22,24.0,0.0
1982-06-23,24.0,0.0
1982-06-24,24.0,0.0
1982-06-25,24.0,0.0
1982-06-26,24.0,0.0
1982-06-27,24.0,0.0
1982-06-28,24.0,0.0
1982-06-29,24.0,0.0
1982-06-30,24.6,0.0
1982-07-01,24.6,0.0
1982-07-02,24.6,0.0
1982-07-03,24.6,0.0
1982-07-04,24.6,0.0
1982-07-05,24.6,0.0
1982-07-06,24.6,0.0
1982-07-07,24.6,0.0
1982-07-08,24.8,0.0
1982-07-09,24.8,0.0
1982-07-10,24.8,0.0
1982-07-11,24.8,0.0
