date,PREC_DAILY,WTEQ_DAILY
1981-10-01,0.0,0.0
1981-10-02,0.0,0.0
1981-10-03,0.0,0.0
1981-10-04,0.0,0.0
1981-10-05,0.0,0.0
1981-10-06,0.2,0.0
1981-10-07,0.9,0.0
1981-10-08,1.0,0.0
1981-10-09,1.1,0.0
1981-10-10,1.1,0.0
1981-10-11,1.4,0.0
1981-10-12,1.4,0.0
1981-10-13,1.4,0.0
1981-10-14,1.4,0.0
1981-10-15,1.4,0.0
1981-10-16,1.4,0.0
1981-10-17,1.4,0.0
1981-10-18,1.5,0.0
1981-10-19,1.5,0.0
1981-10-20,1.5,0.0
1981-10-21,1.5,0.0
1981-10-22,1.5,0.0
1981-10-23,1.5,0.0
1981-10-24,1.5,0.0
1981-10-25,1.5,0.0
1981-10-26,1.5,0.0
1981-10-27,3.2,0.0
1981-10-28,4.4,0.6
1981-10-29,4.6,0.6
1981-10-30,4.6,0.7
1981-10-31,4.6,0.7
1981-11-01,4.6,0.7
1981-11-02,4.6,0.7
1981-11-03,4.6,0.7
1981-11-04,4.6,0.7
1981-11-05,4.6,0.6
1981-11-06,4.6,0.0
1981-11-07,4.6,0.0
1981-11-08,4.6,0.0
1981-11-09,4.6,0.0
1981-11-10,4.6,0.0
1981-11-11,4.7,0.0
1981-11-12,6.9,0.0
1981-11-13,10.0,0.0
1981-11-14,10.5,0.0
1981-11-15,11.3,0.0
1981-11-16,13.0,0.3
1981-11-17,13.5,0.4
1981-11-18,13.5,0.4
1981-11-19,13.5,0.4
1981-11-20,13.6,0.4
1981-11-21,16.8,0.4
1981-11-22,18.0,0.3
1981-11-23,20.7,0.0
1981-11-24,20.9,0.0
1981-11-25,20.9,0.0
1981-11-26,21.2,0.3
1981-11-27,21.4,0.3
1981-11-28,21.4,0.3
1981-11-29,21.5,0.6
1981-11-30,21.5,0.7
1981-12-01,21.5,0.7
1981-12-02,21.5,0.9
1981-12-03,21.5,0.9
1981-12-04,21.6,1.0
1981-12-05,21.6,1.0
1981-12-06,21.6,1.0
1981-12-07,21.6,1.0
1981-12-08,21.6,1.0
1981-12-09,22.2,1.9
1981-12-10,22.2,1.9
1981-12-11,22.4,2.2
1981-12-12,22.5,2.2
1981-12-13,22.5,2.2
1981-12-14,22.6,2.2
1981-12-15,22.8,2.2
1981-12-16,22.8,1.6
1981-12-17,22.9,1.6
1981-12-18,25.1,1.7
1981-12-19,29.4,1.0
1981-12-20,30.3,0.7
1981-12-21,30.5,0.9
1981-12-22,30.5,0.9
1981-12-23,30.5,0.9
1981-12-24,30.5,0.9
1981-12-25,30.5,0.9
1981-12-26,30.5,0.9
1981-12-27,30.8,1.2
1981-12-28,31.1,1.2
1981-12-29,31.2,1.6
1981-12-30,31.5,1.9
1981-12-31,33.0,3.4
1982-01-01,33.1,3.5
1982-01-02,33.1,3.5
1982-01-03,34.0,4.4
1982-01-04,35.6,6.0
1982-01-05,35.9,6.3
1982-01-06,35.9,6.3
1982-01-07,35.9,6.3
1982-01-08,35.9,6.3
1982-01-09,35.9,6.3
1982-01-10,35.9,6.3
1982-01-11,35.9,6.3
1982-01-12,35.9,6.3
1982-01-13,35.9,6.3
1982-01-14,35.9,6.3
1982-01-15,35.9,6.3
1982-01-16,35.9,6.3
1982-01-17,35.9,6.0
1982-01-18,36.5,6.6
1982-01-19,36.8,6.9
1982-01-20,37.3,7.6
1982-01-21,37.6,7.8
1982-01-22,37.6,7.8
1982-01-23,37.6,7.8
1982-01-24,37.6,7.9
1982-01-25,37.6,7.9
1982-01-26,38.4,8.6
1982-01-27,38.5,8.8
1982-01-28,38.8,9.1
1982-01-29,38.8,9.1
1982-01-30,38.8,9.1
1982-01-31,38.8,9.1
1982-02-01,38.8,9.1
1982-02-02,38.8,9.1
1982-02-03,38.8,9.1
1982-02-04,38.8,9.1
1982-02-05,38.8,9.1
1982-02-06,38.9,9.2
1982-02-07,38.9,9.2
1982-02-08,38.9,9.2
1982-02-09,38.9,9.2
1982-02-10,38.9,9.2
1982-02-11,38.9,9.2
1982-02-12,38.9,9.2
1982-02-13,40.0,9.4
1982-02-14,40.9,9.4
1982-02-15,45.0,9.5
1982-02-16,45.2,9.2
1982-02-17,45.2,9.1
1982-02-18,45.2,8.9
1982-02-19,45.2,8.9
1982-02-20,45.2,8.5
1982-02-21,45.2,8.4
1982-02-22,45.2,8.4
1982-02-23,45.2,8.4
1982-02-24,45.2,8.4
1982-02-25,45.2,8.3
1982-02-26,45.2,8.2
1982-02-27,45.2,8.2
1982-02-28,45.4,8.5
1982-03-01,46.5,9.5
1982-03-02,47.4,10.4
1982-03-03,47.5,10.4
1982-03-04,47.5,10.4
1982-03-05,47.5,10.7
1982-03-06,47.5,10.8
1982-03-07,47.5,11.0
1982-03-08,47.5,11.1
1982-03-09,47.5,11.2
1982-03-10,47.8,11.3
1982-03-11,47.8,11.3
1982-03-12,47.9,11.3
1982-03-13,48.2,11.7
1982-03-14,48.3,11.7
1982-03-15,48.5,12.0
1982-03-16,48.6,12.3
1982-03-17,48.7,12.9
1982-03-18,48.9,13.0
1982-03-19,48.9,13.0
1982-03-20,48.9,13.0
1982-03-21,48.9,13.0
1982-03-22,48.9,13.0
1982-03-23,48.9,13.0
1982-03-24,48.9,13.0
1982-03-25,49.0,13.0
1982-03-26,49.0,13.2
1982-03-27,49.1,13.2
1982-03-28,50.2,14.1
1982-03-29,52.1,15.1
1982-03-30,53.8,18.1
1982-03-31,54.7,19.0
1982-04-01,54.8,19.4
1982-04-02,56.0,20.8
1982-04-03,56.7,21.6
1982-04-04,57.2,21.9
1982-04-05,57.9,22.6
1982-04-06,57.9,22.6
1982-04-07,57.9,22.6
1982-04-08,57.9,22.7
1982-04-09,57.9,22.7
1982-04-10,59.4,22.7
1982-04-11,60.5,22.0
1982-04-12,61.1,21.0
1982-04-13,61.1,20.1
1982-04-14,61.1,20.0
1982-04-15,61.1,20.0
1982-04-16,61.1,19.8
1982-04-17,61.1,18.9
1982-04-18,61.1,18.3
1982-04-19,61.1,17.7
1982-04-20,61.1,17.4
1982-04-21,61.1,16.9
1982-04-22,61.1,15.2
1982-04-23,61.1,15.2
1982-04-24,61.1,14.3
1982-04-25,61.1,13.0
1982-04-26,61.1,12.7
1982-04-27,61.1,11.4
1982-04-28,61.1,10.4
1982-04-29,61.1,9.9
1982-04-30,61.1,8.8
1982-05-01,61.1,7.6
1982-05-02,61.1,6.3
1982-05-03,61.1,5.1
1982-05-04,61.1,3.8
1982-05-05,61.1,2.2
1982-05-06,61.1,0.6
1982-05-07,61.1,0.0
1982-05-08,61.3,0.0
1982-05-09,61.6,0.0
1982-05-10,61.6,0.0
1982-05-11,61.6,0.0
1982-05-12,61.6,0.0
1982-05-13,61.6,0.0
1982-05-14,61.6,0.0
1982-05-15,61.6,0.0
1982-05-16,61.6,0.0
1982-05-17,61.6,0.0
1982-05-18,61.6,0.0
1982-05-19,61.6,0.0
1982-05-20,61.6,0.0
1982-05-21,61.6,0.0
1982-05-22,61.6,0.0
1982-05-23,61.6,0.0
1982-05-24,61.6,0.0
1982-05-25,61.6,0.0
1982-05-26,61.6,0.0
1982-05-27,61.6,0.0
1982-05-28,61.6,0.0
1982-05-29,61.6,0.0
1982-05-30,61.6,0.0
1982-05-31,61.6,0.0
1982-06-01,61.6,0.0
1982-06-02,61.6,0.0
1982-06-03,61.6,0.0
1982-06-04,61.6,0.0
1982-06-05,61.6,0.0
1982-06-06,61.6,0.0
1982-06-07,61.6,0.0
1982-06-08,61.6,0.0
1982-06-09,61.6,0.0
1982-06-10,61.6,0.0
1982-06-11,61.6,0.0
1982-06-12,61.6,0.0
1982-06-13,61.6,0.0
1982-06-14,61.6,0.0
1982-06-15,61.6,0.0
1982-06-16,61.6,0.0
1982-06-17,61.6,0.0
1982-06-18,62.0,0.0
1982-06-19,62.1,0.0
1982-06-20,62.1,0.0
1982-06-21,62.1,0.0
1982-06-22,62.1,0.0
1982-06-23,62.1,0.0
1982-06-24,62.1,0.0
1982-06-25,62.1,0.0
1982-06-26,62.1,0.0
1982-06-27,62.1,0.0
1982-06-28,62.1,0.0
1982-06-29,62.1,0.0
1982-06-30,62.3,0.0
1982-07-01,62.4,0.0
1982-07-02,62.4,0.0
1982-07-03,62.4,0.0
1982-07-04,62.4,0.0
1982-07-05,62.4,0.0
1982-07-06,62.4,0.0
1982-07-07,62.4,0.0
1982-07-08,62.4,0.0
1982-07-09,62.4,0.0
1982-07-10,62.4,0.0
1982-07-11,62.4,0.0
