date,PREC_DAILY,WTEQ_DAILY
1981-10-01,0.0,0.0
1981-10-02,0.2,0.0
1981-10-03,1.3,0.0
1981-10-04,1.6,0.0
1981-10-05,1.6,0.0
1981-10-06,1.6,0.0
1981-10-07,1.9,0.0
1981-10-08,2.1,0.0
1981-10-09,2.1,0.0
1981-10-10,3.0,0.3
1981-10-11,3.2,0.3
1981-10-12,3.2,0.2
1981-10-13,3.6,0.2
1981-10-14,3.7,0.2
1981-10-15,4.0,0.5
1981-10-16,4.5,0.9
1981-10-17,4.5,0.9
1981-10-18,4.5,0.7
1981-10-19,4.5,0.2
1981-10-20,4.5,0.2
1981-10-21,4.5,0.2
1981-10-22,4.6,0.2
1981-10-23,4.6,0.2
1981-10-24,4.6,0.0
1981-10-25,4.6,0.0
1981-10-26,4.6,0.0
1981-10-27,4.6,0.0
1981-10-28,5.2,0.5
1981-10-29,5.6,0.7
1981-10-30,5.7,0.7
1981-10-31,5.7,0.6
1981-11-01,5.7,0.6
1981-11-02,5.7,0.6
1981-11-03,5.7,0.5
1981-11-04,5.7,0.5
1981-11-05,5.7,0.5
1981-11-06,5.7,0.5
1981-11-07,5.8,0.5
1981-11-08,5.8,0.4
1981-11-09,5.8,0.4
1981-11-10,5.8,0.4
1981-11-11,5.8,0.4
1981-11-12,5.8,0.3
1981-11-13,5.8,0.3
1981-11-14,6.0,0.3
1981-11-15,6.0,0.2
1981-11-16,6.0,0.0
1981-11-17,6.5,0.1
1981-11-18,6.9,0.4
1981-11-19,6.9,0.4
1981-11-20,6.9,0.4
1981-11-21,6.9,0.4
1981-11-22,7.1,0.5
1981-11-23,7.1,0.6
1981-11-24,7.5,0.8
1981-11-25,7.7,0.9
1981-11-26,7.7,0.9
1981-11-27,7.7,0.9
1981-11-28,7.7,0.9
1981-11-29,7.7,0.9
1981-11-30,7.8,0.9
1981-12-01,7.9,0.9
1981-12-02,7.9,0.9
1981-12-03,7.9,1.0
1981-12-04,7.9,1.0
1981-12-05,7.9,1.0
1981-12-06,7.9,1.0
1981-12-07,7.9,1.0
1981-12-08,7.9,1.0
1981-12-09,7.9,1.0
1981-12-10,7.9,1.0
1981-12-11,7.9,1.0
1981-12-12,7.9,1.0
1981-12-13,8.0,1.1
1981-12-14,8.3,1.3
1981-12-15,8.8,1.8
1981-12-16,9.0,1.9
1981-12-17,9.0,1.9
1981-12-18,9.0,1.9
1981-12-19,9.0,1.9
1981-12-20,9.6,2.3
1981-12-21,10.5,3.3
1981-12-22,10.7,3.4
1981-12-23,10.9,3.4
1981-12-24,11.0,3.4
1981-12-25,11.2,3.8
1981-12-26,12.0,4.7
1981-12-27,12.2,5.0
1981-12-28,12.2,5.2
1981-12-29,12.8,5.8
1981-12-30,13.2,6.4
1981-12-31,13.7,6.9
1982-01-01,14.2,7.4
1982-01-02,14.2,7.6
1982-01-03,14.6,7.8
1982-01-04,15.2,8.4
1982-01-05,15.7,9.0
1982-01-06,15.7,9.0
1982-01-07,15.8,9.0
1982-01-08,15.8,9.0
1982-01-09,15.8,9.1
1982-01-10,15.8,9.1
1982-01-11,15.8,9.1
1982-01-12,15.8,9.2
1982-01-13,16.0,9.2
1982-01-14,16.0,9.4
1982-01-15,16.1,9.5
1982-01-16,16.1,9.6
1982-01-17,16.1,9.7
1982-01-18,16.3,9.8
1982-01-19,16.6,10.2
1982-01-20,16.8,10.8
1982-01-21,17.6,11.5
1982-01-22,17.6,11.5
1982-01-23,17.6,11.5
1982-01-24,18.0,11.7
1982-01-25,18.0,11.7
1982-01-26,18.6,12.2
1982-01-27,18.8,12.4
1982-01-28,18.8,12.4
1982-01-29,18.8,12.4
1982-01-30,18.8,12.4
1982-01-31,19.0,12.5
1982-02-01,19.0,12.6
1982-02-02,19.0,13.0
1982-02-03,19.5,13.1
1982-02-04,19.5,13.1
1982-02-05,19.5,13.1
