date,PREC_DAILY,WTEQ_DAILY
1983-10-01,0.1,0.0
1983-10-02,0.2,0.0
1983-10-03,0.3,0.0
1983-10-04,0.3,0.0
1983-10-05,0.3,0.0
1983-10-06,0.3,0.0
1983-10-07,0.3,0.0
1983-10-08,0.3,0.0
1983-10-09,0.6,0.0
1983-10-10,1.1,0.0
1983-10-11,1.1,0.2
1983-10-12,1.1,0.0
1983-10-13,1.1,0.0
1983-10-14,1.1,0.0
1983-10-15,1.3,0.0
1983-10-16,1.3,0.0
1983-10-17,1.3,0.0
1983-10-18,1.3,0.0
1983-10-19,1.3,0.0
1983-10-20,1.3,0.0
1983-10-21,1.3,0.0
1983-10-22,1.3,0.0
1983-10-23,1.3,0.0
1983-10-24,1.3,0.0
1983-10-25,1.3,0.0
1983-10-26,1.3,0.0
1983-10-27,1.3,0.0
1983-10-28,1.3,0.0
1983-10-29,1.3,0.0
1983-10-30,1.3,0.0
1983-10-31,1.5,0.0
1983-11-01,1.5,0.0
1983-11-02,1.6,0.0
1983-11-03,1.6,0.0
1983-11-04,1.6,0.0
1983-11-05,1.8,0.1
1983-11-06,2.2,0.2
1983-11-07,3.3,0.6
1983-11-08,3.6,1.0
1983-11-09,3.6,1.0
1983-11-10,3.6,1.0
1983-11-11,3.7,1.1
1983-11-12,4.1,1.3
1983-11-13,4.2,1.6
1983-11-14,4.2,1.6
1983-11-15,4.2,1.8
1983-11-16,4.3,1.9
1983-11-17,4.7,2.2
1983-11-18,4.7,2.2
1983-11-19,4.8,2.3
1983-11-20,4.9,2.4
1983-11-21,5.0,2.4
1983-11-22,5.1,2.5
1983-11-23,5.1,2.8
1983-11-24,5.4,3.1
1983-11-25,5.5,3.2
1983-11-26,5.5,3.2
1983-11-27,5.5,3.2
1983-11-28,5.9,3.2
1983-11-29,5.9,3.2
1983-11-30,5.9,3.2
1983-12-01,6.1,3.2
1983-12-02,6.2,3.3
1983-12-03,6.2,3.3
1983-12-04,7.8,4.8
1983-12-05,7.8,4.8
1983-12-06,7.8,4.8
1983-12-07,8.1,5.1
1983-12-08,8.5,5.6
1983-12-09,8.6,5.6
1983-12-10,8.7,5.8
1983-12-11,8.9,6.1
1983-12-12,9.0,6.1
1983-12-13,9.0,6.1
1983-12-14,9.0,6.1
1983-12-15,9.1,6.2
1983-12-16,9.1,6.2
1983-12-17,9.2,6.2
1983-12-18,9.3,6.3
1983-12-19,9.6,6.5
1983-12-20,9.7,6.5
1983-12-21,9.7,6.5
1983-12-22,9.8,6.5
1983-12-23,9.8,6.5
1983-12-24,9.9,6.6
1983-12-25,9.9,6.7
1983-12-26,9.9,6.7
1983-12-27,9.9,6.7
1983-12-28,9.9,6.7
1983-12-29,9.9,6.7
1983-12-30,10.2,6.9
1983-12-31,10.3,7.0
1984-01-01,10.3,7.0
1984-01-02,10.3,7.1
1984-01-03,10.3,7.1
1984-01-04,10.3,7.1
1984-01-05,10.3,7.2
1984-01-06,10.3,7.2
1984-01-07,10.3,7.2
1984-01-08,10.4,7.2
1984-01-09,10.4,7.2
1984-01-10,10.4,7.2
1984-01-11,10.4,7.2
1984-01-12,10.5,7.2
1984-01-13,10.5,7.2
1984-01-14,10.5,7.2
1984-01-15,10.9,7.4
1984-01-16,11.1,7.5
1984-01-17,11.1,7.5
1984-01-18,11.1,7.5
1984-01-19,11.1,7.5
1984-01-20,11.1,7.5
1984-01-21,11.1,7.8
1984-01-22,11.1,7.8
1984-01-23,11.1,7.8
1984-01-24,11.2,8.0
1984-01-25,11.2,8.0
1984-01-26,11.4,8.2
1984-01-27,11.4,8.2
1984-01-28,11.4,8.2
1984-01-29,11.4,8.2
1984-01-30,11.4,8.2
1984-01-31,11.5,8.2
1984-02-01,11.5,8.2
1984-02-02,11.5,8.2
1984-02-03,11.5,8.2
1984-02-04,11.5,8.2
1984-02-05,11.5,8.2
1984-02-06,11.5,8.2
1984-02-07,11.5,8.2
1984-02-08,11.5,8.2
1984-02-09,11.5,8.2
1984-02-10,11.6,8.3
1984-02-11,11.6,8.3
1984-02-12,12.0,8.7
1984-02-13,12.0,8.7
1984-02-14,12.0,8.7
1984-02-15,12.0,8.7
1984-02-16,12.2,8.8
1984-02-17,12.2,8.8
1984-02-18,12.2,8.9
1984-02-19,12.2,8.9
1984-02-20,12.2,8.9
1984-02-21,12.2,8.9
1984-02-22,12.2,8.9
1984-02-23,12.3,9.0
1984-02-24,12.3,9.0
1984-02-25,12.4,9.1
1984-02-26,12.4,9.1
1984-02-27,12.4,9.1
1984-02-28,12.4,9.1
1984-02-29,12.4,9.1
1984-03-01,12.4,9.1
1984-03-02,12.4,9.1
1984-03-03,12.5,9.2
1984-03-04,12.5,9.2
1984-03-05,12.5,9.2
1984-03-06,12.5,9.2
1984-03-07,12.5,9.2
1984-03-08,12.5,9.2
1984-03-09,12.5,9.2
1984-03-10,12.5,9.2
1984-03-11,12.8,9.5
1984-03-12,12.9,9.6
1984-03-13,13.0,9.7
1984-03-14,13.0,9.7
1984-03-15,13.0,9.7
1984-03-16,13.4,10.1
