date,PREC_DAILY,WTEQ_DAILY
1983-10-01,0.3,0.0
1983-10-02,0.4,0.0
1983-10-03,0.4,0.0
1983-10-04,0.4,0.0
1983-10-05,0.4,0.0
1983-10-06,0.4,0.0
1983-10-07,0.4,0.0
1983-10-08,1.3,0.0
1983-10-09,1.6,0.0
1983-10-10,1.6,0.0
1983-10-11,1.6,0.0
1983-10-12,1.6,0.0
1983-10-13,1.6,0.0
1983-10-14,1.6,0.0
1983-10-15,1.6,0.0
1983-10-16,1.6,0.0
1983-10-17,1.6,0.0
1983-10-18,1.6,0.0
1983-10-19,1.6,0.0
1983-10-20,1.6,0.0
1983-10-21,1.6,0.0
1983-10-22,1.7,0.0
1983-10-23,1.7,0.0
1983-10-24,1.7,0.0
1983-10-25,1.7,0.0
1983-10-26,1.7,0.0
1983-10-27,1.7,0.0
1983-10-28,1.7,0.0
1983-10-29,1.7,0.0
1983-10-30,1.8,0.0
1983-10-31,2.1,0.0
1983-11-01,2.3,0.0
1983-11-02,2.3,0.0
1983-11-03,2.3,0.0
1983-11-04,2.4,0.0
1983-11-05,2.7,0.2
1983-11-06,3.5,0.4
1983-11-07,3.5,0.5
1983-11-08,3.5,0.5
1983-11-09,3.6,0.6
1983-11-10,4.4,1.7
1983-11-11,4.8,1.8
1983-11-12,5.6,2.6
1983-11-13,5.7,2.7
1983-11-14,5.7,2.7
1983-11-15,5.8,2.8
1983-11-16,6.5,3.3
1983-11-17,6.8,3.7
1983-11-18,6.8,3.7
1983-11-19,7.2,4.1
1983-11-20,7.2,4.1
1983-11-21,7.2,4.1
1983-11-22,7.2,4.1
1983-11-23,7.3,4.2
1983-11-24,8.6,5.4
1983-11-25,8.6,5.4
1983-11-26,8.7,5.4
1983-11-27,8.7,5.4
1983-11-28,8.7,5.6
1983-11-29,8.7,5.6
1983-11-30,9.1,5.8
1983-12-01,9.2,5.9
1983-12-02,9.3,6.0
1983-12-03,9.4,6.1
1983-12-04,9.4,6.1
1983-12-05,9.6,6.3
1983-12-06,10.4,7.0
1983-12-07,11.0,7.5
1983-12-08,11.0,7.5
1983-12-09,12.0,8.5
1983-12-10,12.1,8.6
1983-12-11,13.2,9.7
1983-12-12,13.2,9.7
1983-12-13,13.4,9.9
1983-12-14,13.4,10.1
1983-12-15,13.4,10.1
