date,PREC_DAILY,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY,WTEQ_DAILY
1983-10-01,0.1,37.6,48.9,30.6,0.0
1983-10-02,0.2,34.7,37.8,30.7,0.0
1983-10-03,0.4,39.4,48.9,30.9,0.0
1983-10-04,0.4,39.6,43.7,30.6,0.0
1983-10-05,0.4,38.7,51.8,31.5,0.0
1983-10-06,0.4,32.5,41.4,24.3,0.0
1983-10-07,0.4,34.7,45.7,24.3,0.0
1983-10-08,0.4,43.2,48.7,37.2,0.0
1983-10-09,0.4,35.4,38.7,33.4,0.0
1983-10-10,0.4,37.8,47.5,33.3,0.0
1983-10-11,0.4,41.7,55.2,33.3,0.0
1983-10-12,0.4,43.3,52.7,36.0,0.0
1983-10-13,0.6,31.1,36.1,27.0,0.0
1983-10-14,0.8,30.6,32.4,27.5,0.0
1983-10-15,0.8,29.7,39.2,22.8,0.0
1983-10-16,0.9,35.2,46.2,27.0,0.0
1983-10-17,0.9,,,,0.0
1983-10-18,0.9,,,,0.0
1983-10-19,0.9,,,,0.0
1983-10-20,0.9,,,,0.0
1983-10-21,0.9,,,,0.0
1983-10-22,0.9,,,,0.0
1983-10-23,0.9,,,,0.0
1983-10-24,0.9,,,,0.0
1983-10-25,0.9,,,,0.0
1983-10-26,0.9,,,,0.0
1983-10-27,0.9,,,,0.0
1983-10-28,1.1,46.8,53.6,41.9,0.0
1983-10-29,1.3,45.3,52.7,41.2,0.0
1983-10-30,2.3,39.7,41.5,36.7,0.0
1983-10-31,2.5,36.9,40.8,32.5,0.0
1983-11-01,2.8,33.6,39.2,29.3,0.0
1983-11-02,3.5,34.9,42.3,31.1,0.0
1983-11-03,4.9,38.1,42.4,29.5,0.5
1983-11-04,5.2,27.3,29.5,23.5,0.7
1983-11-05,7.0,,,,1.0
1983-11-06,7.2,26.4,36.3,22.8,1.1
1983-11-07,7.6,23.0,24.8,21.7,1.5
1983-11-08,8.0,21.6,25.2,17.2,1.6
1983-11-09,8.3,28.0,30.7,23.4,1.8
1983-11-10,8.6,33.4,36.3,30.6,1.3
1983-11-11,8.7,28.0,30.9,25.7,1.5
1983-11-12,8.9,,,,1.6
1983-11-13,9.6,24.3,26.1,23.0,2.1
1983-11-14,10.5,26.6,32.0,23.4,2.6
1983-11-15,11.2,31.8,33.6,28.8,2.7
1983-11-16,12.0,28.9,30.6,28.4,3.3
1983-11-17,13.1,25.3,28.8,24.1,4.8
1983-11-18,13.9,24.1,26.1,23.0,5.8
1983-11-19,15.5,25.9,29.1,23.2,7.3
1983-11-20,15.6,,,,7.3
1983-11-21,16.0,20.7,24.8,14.5,7.8
1983-11-22,16.3,21.0,22.8,17.1,8.1
1983-11-23,18.1,26.8,28.9,22.8,10.2
1983-11-24,19.1,26.2,31.6,20.1,11.0
1983-11-25,20.1,20.8,21.7,19.8,12.1
1983-11-26,20.8,23.9,28.6,21.0,12.9
1983-11-27,21.6,28.6,29.5,26.2,13.0
1983-11-28,21.8,22.3,26.4,13.5,13.4
1983-11-29,21.8,12.7,14.5,11.3,13.4
1983-11-30,21.8,13.5,15.6,11.3,13.4
1983-12-01,22.0,17.2,25.9,10.2,13.2
1983-12-02,22.6,21.6,24.4,18.5,13.8
1983-12-03,22.6,,,,13.8
1983-12-04,23.5,16.9,19.6,13.5,14.7
1983-12-05,24.1,19.9,21.4,18.3,16.6
1983-12-06,24.8,,,,17.0
1983-12-07,26.6,27.5,28.9,22.3,18.3
1983-12-08,26.8,24.6,26.2,22.6,19.0
1983-12-09,28.1,28.6,29.5,25.9,19.6
1983-12-10,28.4,25.9,29.1,22.6,20.1
1983-12-11,28.4,22.6,25.0,19.9,20.3
1983-12-12,30.2,23.2,27.7,17.4,22.3
1983-12-13,31.5,27.9,28.8,26.8,24.1
1983-12-14,33.0,27.5,28.9,22.8,24.8
1983-12-15,33.1,19.4,23.5,14.5,25.0
1983-12-16,33.1,17.4,22.3,14.5,25.0
1983-12-17,33.1,13.1,24.8,7.9,25.0
1983-12-18,33.1,21.2,26.6,12.7,25.5
1983-12-19,33.3,11.3,14.7,3.4,26.0
1983-12-20,35.0,-3.8,2.8,-9.4,26.5
1983-12-21,35.0,-11.7,-9.2,-13.5,26.5
1983-12-22,35.0,-12.8,-9.6,-15.5,26.5
1983-12-23,35.0,-9.6,-6.9,-14.3,26.5
1983-12-24,35.0,-2.6,9.0,-9.9,26.5
1983-12-25,35.0,16.9,24.3,9.7,26.5
1983-12-26,35.0,16.3,19.4,13.8,26.5
1983-12-27,35.0,13.6,17.4,8.1,26.5
1983-12-28,35.0,9.5,11.5,7.5,26.6
1983-12-29,38.2,25.2,34.2,11.7,29.0
1983-12-30,38.8,28.2,34.3,24.8,27.7
1983-12-31,39.5,24.6,28.4,19.9,28.0
1984-01-01,40.3,25.3,30.2,19.8,28.4
1984-01-02,41.6,36.5,40.6,29.8,28.2
1984-01-03,44.8,42.3,44.1,40.5,27.0
1984-01-04,44.8,40.8,44.1,36.7,26.7
1984-01-05,44.9,38.7,41.9,35.1,26.7
1984-01-06,44.9,37.8,44.6,34.2,26.7
1984-01-07,45.1,31.3,37.0,19.8,27.2
1984-01-08,45.2,23.5,28.2,18.0,27.1
1984-01-09,45.2,29.8,32.9,27.3,27.1
1984-01-10,46.4,26.4,31.1,24.1,28.2
1984-01-11,46.7,21.2,25.7,17.1,28.2
1984-01-12,46.7,20.7,25.9,17.1,28.1
1984-01-13,46.7,12.9,16.5,9.7,28.0
