date,PREC_DAILY,WTEQ_DAILY
1983-10-01,0.0,0.0
1983-10-02,0.0,0.0
1983-10-03,0.1,0.0
1983-10-04,0.1,0.0
1983-10-05,0.1,0.0
1983-10-06,0.1,0.0
1983-10-07,0.1,0.0
1983-10-08,0.1,0.0
1983-10-09,0.1,0.0
1983-10-10,0.1,0.0
1983-10-11,0.1,0.0
1983-10-12,0.1,0.0
1983-10-13,0.1,0.0
1983-10-14,0.2,0.0
1983-10-15,0.2,0.0
1983-10-16,0.2,0.0
1983-10-17,0.3,0.0
1983-10-18,0.3,0.0
1983-10-19,0.3,0.0
1983-10-20,0.3,0.0
1983-10-21,0.5,0.0
1983-10-22,1.1,0.0
1983-10-23,1.1,0.0
1983-10-24,1.1,0.0
1983-10-25,1.1,0.0
1983-10-26,1.1,0.0
1983-10-27,1.1,0.0
1983-10-28,1.1,0.0
1983-10-29,1.1,0.0
1983-10-30,1.6,0.0
1983-10-31,1.6,0.0
1983-11-01,1.7,0.0
1983-11-02,2.2,0.0
1983-11-03,3.0,0.0
1983-11-04,3.1,0.0
1983-11-05,3.8,0.0
1983-11-06,4.1,0.0
1983-11-07,4.3,0.0
1983-11-08,4.4,0.0
1983-11-09,4.6,0.0
1983-11-10,4.8,0.0
1983-11-11,4.9,0.0
1983-11-12,5.0,0.0
1983-11-13,5.1,0.0
1983-11-14,5.9,0.0
1983-11-15,6.2,0.0
1983-11-16,6.8,0.0
1983-11-17,7.6,0.2
1983-11-18,8.2,0.9
1983-11-19,9.1,1.8
1983-11-20,9.5,2.0
1983-11-21,9.5,2.1
1983-11-22,9.6,2.2
1983-11-23,10.6,2.8
1983-11-24,11.3,3.2
1983-11-25,11.6,3.7
1983-11-26,12.0,4.0
1983-11-27,12.2,4.0
1983-11-28,12.4,4.1
1983-11-29,12.4,4.1
1983-11-30,12.4,4.2
1983-12-01,12.5,4.3
1983-12-02,12.8,4.7
1983-12-03,12.9,4.7
1983-12-04,13.2,5.1
1983-12-05,13.6,6.2
1983-12-06,14.8,6.8
1983-12-07,15.4,7.4
1983-12-08,15.5,7.6
1983-12-09,15.9,8.0
1983-12-10,16.1,8.0
1983-12-11,16.1,8.0
1983-12-12,17.3,8.9
1983-12-13,18.6,9.2
1983-12-14,19.1,9.2
1983-12-15,19.1,9.2
1983-12-16,19.3,9.2
1983-12-17,19.3,9.2
1983-12-18,19.3,9.2
1983-12-19,19.3,9.4
1983-12-20,20.1,10.2
1983-12-21,20.1,10.2
1983-12-22,20.1,10.2
1983-12-23,20.1,10.2
1983-12-24,20.1,10.2
1983-12-25,20.1,10.2
1983-12-26,20.1,10.4
1983-12-27,20.1,10.5
1983-12-28,20.1,10.6
1983-12-29,22.1,11.5
1983-12-30,22.8,11.8
1983-12-31,23.1,11.8
1984-01-01,23.1,11.8
1984-01-02,23.8,12.1
1984-01-03,25.0,12.1
1984-01-04,25.0,12.0
1984-01-05,25.0,11.9
1984-01-06,25.0,11.6
1984-01-07,25.1,11.6
1984-01-08,25.1,11.4
1984-01-09,25.1,11.5
1984-01-10,25.9,11.9
1984-01-11,26.0,12.1
1984-01-12,26.0,12.2
1984-01-13,26.1,12.4
1984-01-14,26.4,12.7
1984-01-15,26.7,13.1
1984-01-16,26.7,13.1
1984-01-17,26.7,13.1
1984-01-18,26.7,13.1
1984-01-19,26.8,13.2
1984-01-20,26.8,13.3
1984-01-21,26.8,13.3
1984-01-22,27.0,13.3
1984-01-23,28.6,13.3
1984-01-24,29.9,13.0
1984-01-25,30.3,12.7
1984-01-26,30.4,12.7
1984-01-27,30.4,12.7
1984-01-28,30.4,12.7
1984-01-29,30.4,12.7
1984-01-30,30.4,12.7
1984-01-31,30.4,12.7
1984-02-01,30.5,12.7
1984-02-02,30.5,12.7
1984-02-03,30.5,12.7
1984-02-04,30.5,12.7
1984-02-05,30.5,12.7
1984-02-06,30.5,12.9
1984-02-07,30.5,13.0
1984-02-08,30.5,13.0
1984-02-09,30.6,13.1
1984-02-10,30.7,13.3
1984-02-11,31.3,14.1
1984-02-12,33.1,14.9
1984-02-13,34.2,15.2
1984-02-14,34.7,15.6
1984-02-15,34.9,15.7
1984-02-16,34.9,15.8
1984-02-17,34.9,15.8
1984-02-18,34.9,15.9
1984-02-19,35.0,16.1
1984-02-20,35.2,16.3
1984-02-21,35.9,17.1
1984-02-22,36.2,17.6
1984-02-23,36.5,18.1
1984-02-24,37.0,18.8
1984-02-25,37.3,19.1
1984-02-26,37.3,19.1
1984-02-27,37.3,19.3
1984-02-28,37.3,19.5
1984-02-29,37.7,20.0
1984-03-01,37.8,20.1
1984-03-02,38.0,20.1
1984-03-03,38.0,20.1
1984-03-04,38.0,20.1
1984-03-05,38.0,20.3
1984-03-06,38.0,20.3
1984-03-07,38.1,20.3
1984-03-08,38.1,20.3
1984-03-09,38.1,20.3
1984-03-10,38.5,20.3
1984-03-11,38.6,20.3
1984-03-12,38.8,20.3
1984-03-13,39.1,20.3
1984-03-14,39.4,20.3
1984-03-15,39.7,20.3
1984-03-16,39.9,20.3
1984-03-17,40.3,20.6
1984-03-18,40.8,21.0
1984-03-19,40.8,21.1
1984-03-20,41.4,21.3
1984-03-21,42.3,21.3
1984-03-22,42.3,21.3
1984-03-23,42.3,21.3
1984-03-24,42.3,21.3
1984-03-25,43.4,22.0
1984-03-26,43.7,22.3
