date,PREC_DAILY,WTEQ_DAILY
1984-10-01,0.0,0.4
1984-10-02,0.0,0.2
1984-10-03,0.0,0.0
1984-10-04,0.0,0.0
1984-10-05,0.0,0.0
1984-10-06,0.0,0.0
1984-10-07,0.0,0.0
1984-10-08,0.0,0.0
1984-10-09,0.0,0.0
1984-10-10,0.0,0.0
1984-10-11,0.0,0.0
1984-10-12,0.2,0.0
1984-10-13,0.5,0.0
1984-10-14,0.7,0.0
1984-10-15,0.9,0.1
1984-10-16,1.0,0.2
1984-10-17,1.1,0.2
1984-10-18,1.1,0.3
1984-10-19,1.3,0.3
1984-10-20,1.3,0.4
1984-10-21,1.3,0.5
1984-10-22,1.3,0.5
1984-10-23,1.3,0.5
1984-10-24,1.3,0.6
1984-10-25,2.1,0.6
1984-10-26,2.8,1.0
1984-10-27,2.8,1.0
1984-10-28,3.2,1.3
1984-10-29,3.5,1.5
1984-10-30,4.0,2.1
1984-10-31,4.0,2.2
1984-11-01,4.0,2.2
1984-11-02,4.2,2.3
1984-11-03,4.2,2.4
1984-11-04,4.5,2.4
1984-11-05,4.5,2.5
1984-11-06,4.5,2.5
1984-11-07,4.6,2.5
1984-11-08,4.6,2.6
1984-11-09,4.6,2.6
1984-11-10,4.6,2.6
1984-11-11,4.6,2.6
1984-11-12,4.6,2.7
1984-11-13,4.7,2.7
1984-11-14,5.0,2.7
1984-11-15,5.1,2.8
1984-11-16,5.1,2.8
1984-11-17,5.1,2.8
1984-11-18,5.1,2.8
1984-11-19,5.1,2.8
1984-11-20,5.1,2.8
1984-11-21,5.1,2.8
1984-11-22,5.1,2.9
1984-11-23,5.1,2.9
1984-11-24,5.1,2.9
1984-11-25,5.1,2.9
1984-11-26,5.3,2.9
1984-11-27,5.3,2.9
1984-11-28,5.3,2.9
1984-11-29,5.4,2.9
1984-11-30,5.7,3.1
1984-12-01,5.8,3.2
1984-12-02,6.0,3.3
1984-12-03,6.0,3.3
1984-12-04,6.0,3.4
1984-12-05,6.0,3.4
1984-12-06,6.0,3.4
1984-12-07,6.0,3.4
1984-12-08,6.1,3.4
1984-12-09,6.4,3.7
1984-12-10,6.5,3.8
1984-12-11,6.6,3.9
1984-12-12,6.6,3.9
1984-12-13,6.6,3.9
1984-12-14,6.7,3.9
1984-12-15,6.9,3.9
1984-12-16,6.9,4.0
1984-12-17,7.0,4.1
1984-12-18,7.0,4.1
1984-12-19,7.0,4.2
1984-12-20,7.0,4.2
1984-12-21,7.2,4.2
1984-12-22,7.9,4.5
1984-12-23,8.5,5.4
1984-12-24,8.6,5.7
1984-12-25,8.7,5.8
1984-12-26,8.9,5.9
1984-12-27,8.9,6.0
1984-12-28,9.1,6.5
1984-12-29,9.5,6.9
1984-12-30,9.5,6.9
1984-12-31,9.6,7.0
1985-01-01,9.6,7.0
1985-01-02,9.8,7.2
1985-01-03,9.8,7.2
1985-01-04,9.8,7.2
1985-01-05,9.8,7.2
1985-01-06,9.8,7.2
1985-01-07,9.8,7.2
1985-01-08,9.8,7.2
1985-01-09,9.8,7.2
1985-01-10,9.8,7.2
1985-01-11,9.8,7.2
1985-01-12,9.8,7.2
1985-01-13,9.8,7.2
1985-01-14,9.8,7.3
1985-01-15,9.8,7.3
1985-01-16,9.8,7.3
1985-01-17,9.8,7.3
1985-01-18,9.8,7.3
1985-01-19,9.8,7.3
