date,PREC_DAILY,WTEQ_DAILY
1986-10-01,0.0,0.0
1986-10-02,0.0,0.0
1986-10-03,0.0,0.0
1986-10-04,0.0,0.0
1986-10-05,0.0,0.0
1986-10-06,0.0,0.0
1986-10-07,0.0,0.0
1986-10-08,0.0,0.0
1986-10-09,0.0,0.0
1986-10-10,0.0,0.0
1986-10-11,0.0,0.0
1986-10-12,0.0,0.0
1986-10-13,0.0,0.0
1986-10-14,0.0,0.0
1986-10-15,0.0,0.0
1986-10-16,0.0,0.0
1986-10-17,0.0,0.0
1986-10-18,0.0,0.0
1986-10-19,0.0,0.0
1986-10-20,0.0,0.0
1986-10-21,0.0,0.0
1986-10-22,0.0,0.0
1986-10-23,0.0,0.0
1986-10-24,0.3,0.0
1986-10-25,1.1,0.0
1986-10-26,2.2,0.0
1986-10-27,2.5,0.0
1986-10-28,2.5,0.0
1986-10-29,2.8,0.0
1986-10-30,4.0,0.0
1986-10-31,4.2,0.0
1986-11-01,4.2,0.0
1986-11-02,4.2,0.0
1986-11-03,4.2,0.0
1986-11-04,4.3,0.0
1986-11-05,6.8,0.0
1986-11-06,7.4,0.2
1986-11-07,8.2,0.7
1986-11-08,8.6,1.1
1986-11-09,8.6,1.1
1986-11-10,8.8,1.1
1986-11-11,9.4,1.0
1986-11-12,9.4,0.9
1986-11-13,9.7,0.9
1986-11-14,9.8,0.8
1986-11-15,10.2,0.8
1986-11-16,12.3,2.5
1986-11-17,12.8,2.8
1986-11-18,14.1,2.5
1986-11-19,15.1,2.0
1986-11-20,16.8,1.7
1986-11-21,18.3,2.6
1986-11-22,19.8,2.7
1986-11-23,25.0,1.6
1986-11-24,25.7,2.2
1986-11-25,26.2,2.2
1986-11-26,27.7,2.5
1986-11-27,28.1,2.7
1986-11-28,28.3,2.9
1986-11-29,28.3,2.9
1986-11-30,28.5,2.9
1986-12-01,28.9,2.9
1986-12-02,28.9,3.0
1986-12-03,28.9,4.0
1986-12-04,29.0,4.0
1986-12-05,29.2,4.0
1986-12-06,29.3,4.0
1986-12-07,29.3,4.0
1986-12-08,29.3,4.0
1986-12-09,29.4,4.1
1986-12-10,29.4,4.1
1986-12-11,29.6,4.2
1986-12-12,29.7,4.2
1986-12-13,30.2,4.4
1986-12-14,30.9,4.6
1986-12-15,30.9,4.2
1986-12-16,30.9,4.0
1986-12-17,30.9,4.0
1986-12-18,30.9,4.0
1986-12-19,30.9,4.0
1986-12-20,30.9,4.0
1986-12-21,31.4,4.1
1986-12-22,32.7,4.5
1986-12-23,32.8,4.6
1986-12-24,33.3,4.8
1986-12-25,34.0,5.4
1986-12-26,34.2,5.6
1986-12-27,34.3,5.6
1986-12-28,34.9,6.2
1986-12-29,36.4,6.4
1986-12-30,36.8,6.6
1986-12-31,37.0,7.0
1987-01-01,37.6,7.6
1987-01-02,38.1,8.1
1987-01-03,38.4,8.4
1987-01-04,38.4,8.4
1987-01-05,38.5,8.5
1987-01-06,38.5,8.5
1987-01-07,38.5,8.5
1987-01-08,38.6,8.4
1987-01-09,38.7,8.5
1987-01-10,38.7,8.5
1987-01-11,39.1,8.9
1987-01-12,39.4,9.2
1987-01-13,40.3,10.1
1987-01-14,40.3,10.1
1987-01-15,40.4,10.2
1987-01-16,40.4,10.2
1987-01-17,40.6,10.4
1987-01-18,40.8,10.6
1987-01-19,41.1,11.0
1987-01-20,41.1,11.0
1987-01-21,41.1,11.0
1987-01-22,41.1,11.0
1987-01-23,41.1,11.0
1987-01-24,41.8,11.7
1987-01-25,42.2,12.1
1987-01-26,43.7,13.7
1987-01-27,44.0,14.0
1987-01-28,44.3,14.3
1987-01-29,44.3,14.3
1987-01-30,45.0,15.0
1987-01-31,48.0,16.3
1987-02-01,48.4,15.3
1987-02-02,48.4,15.2
1987-02-03,48.5,15.3
1987-02-04,48.6,15.4
1987-02-05,48.7,15.3
1987-02-06,48.7,15.3
1987-02-07,48.7,15.2
1987-02-08,48.7,15.1
1987-02-09,48.8,14.9
1987-02-10,48.8,14.4
1987-02-11,49.0,14.0
1987-02-12,49.1,13.8
1987-02-13,49.4,13.7
1987-02-14,49.6,13.5
1987-02-15,50.2,14.1
1987-02-16,51.1,14.8
1987-02-17,51.4,15.2
1987-02-18,51.7,15.4
1987-02-19,52.0,15.8
1987-02-20,52.0,15.8
1987-02-21,52.0,15.8
1987-02-22,52.5,16.3
1987-02-23,52.6,16.5
1987-02-24,52.9,16.6
1987-02-25,52.9,16.6
1987-02-26,52.9,16.6
1987-02-27,53.5,17.1
1987-02-28,54.7,18.3
1987-03-01,55.7,19.3
1987-03-02,57.4,19.8
1987-03-03,59.2,18.6
1987-03-04,59.2,17.3
1987-03-05,59.4,16.8
1987-03-06,59.4,16.8
1987-03-07,59.4,16.6
1987-03-08,59.4,16.3
1987-03-09,59.8,16.0
1987-03-10,60.0,15.8
1987-03-11,60.5,15.4
1987-03-12,60.8,15.1
1987-03-13,61.4,14.9
1987-03-14,61.4,14.8
1987-03-15,61.4,14.7
1987-03-16,62.0,14.8
1987-03-17,62.5,15.0
1987-03-18,63.1,15.5
1987-03-19,63.3,16.0
1987-03-20,63.3,16.0
1987-03-21,63.3,16.0
1987-03-22,63.3,16.0
1987-03-23,63.3,16.0
1987-03-24,63.5,16.0
1987-03-25,64.2,16.1
1987-03-26,64.2,16.1
1987-03-27,64.3,16.5
1987-03-28,64.3,16.5
1987-03-29,64.3,16.1
1987-03-30,64.3,15.8
1987-03-31,64.3,15.1
1987-04-01,64.3,13.9
1987-04-02,64.3,12.5
1987-04-03,65.0,11.9
1987-04-04,65.0,11.3
1987-04-05,65.3,10.9
1987-04-06,65.3,10.2
1987-04-07,65.3,9.6
1987-04-08,65.3,9.4
1987-04-09,65.3,9.2
1987-04-10,65.4,9.0
1987-04-11,66.1,9.5
1987-04-12,66.7,9.6
1987-04-13,67.1,9.3
1987-04-14,68.5,8.4
1987-04-15,68.5,7.5
1987-04-16,69.4,7.1
1987-04-17,69.5,7.4
1987-04-18,69.9,7.6
1987-04-19,69.9,7.6
1987-04-20,70.0,7.5
1987-04-21,70.0,6.6
1987-04-22,70.0,5.7
1987-04-23,70.0,4.8
1987-04-24,70.0,3.6
1987-04-25,70.0,2.4
1987-04-26,70.0,0.4
1987-04-27,70.0,0.0
1987-04-28,70.0,0.0
1987-04-29,70.0,0.0
1987-04-30,70.6,0.0
1987-05-01,71.0,0.0
1987-05-02,71.4,0.0
1987-05-03,71.7,0.0
1987-05-04,71.7,0.0
1987-05-05,71.7,0.0
1987-05-06,71.7,0.0
1987-05-07,71.7,0.0
1987-05-08,71.7,0.0
1987-05-09,71.7,0.0
1987-05-10,72.0,0.0
1987-05-11,72.5,0.0
1987-05-12,72.9,0.0
1987-05-13,73.3,0.0
1987-05-14,73.6,0.0
1987-05-15,73.6,0.0
1987-05-16,73.6,0.0
1987-05-17,74.0,0.0
1987-05-18,74.0,0.0
1987-05-19,74.0,0.0
1987-05-20,74.0,0.0
1987-05-21,74.0,0.0
1987-05-22,74.0,0.0
1987-05-23,74.0,0.0
1987-05-24,74.0,0.0
1987-05-25,74.0,0.0
1987-05-26,74.1,0.0
1987-05-27,74.3,0.0
1987-05-28,74.3,0.0
1987-05-29,74.7,0.0
1987-05-30,76.1,0.0
1987-05-31,76.8,0.0
1987-06-01,76.8,0.0
1987-06-02,76.8,0.0
1987-06-03,76.8,0.0
1987-06-04,76.8,0.0
1987-06-05,76.8,0.0
1987-06-06,76.8,0.0
1987-06-07,76.8,0.0
1987-06-08,77.1,0.0
1987-06-09,77.1,0.0
1987-06-10,77.1,0.0
1987-06-11,77.1,0.0
1987-06-12,77.1,0.0
1987-06-13,77.1,0.0
1987-06-14,77.1,0.0
1987-06-15,77.1,0.0
1987-06-16,77.1,0.0
1987-06-17,77.1,0.0
1987-06-18,77.1,0.0
1987-06-19,77.1,0.0
1987-06-20,77.1,0.0
1987-06-21,77.9,0.0
1987-06-22,77.9,0.0
1987-06-23,77.9,0.0
1987-06-24,77.9,0.0
1987-06-25,77.9,0.0
1987-06-26,77.9,0.0
1987-06-27,77.9,0.0
1987-06-28,77.9,0.0
1987-06-29,77.9,0.0
1987-06-30,77.9,0.0
1987-07-01,77.9,0.0
1987-07-02,77.9,0.0
1987-07-03,77.9,0.0
1987-07-04,77.9,0.0
1987-07-05,77.9,0.0
1987-07-06,77.9,0.0
1987-07-07,77.9,0.0
1987-07-08,77.9,0.0
1987-07-09,77.9,0.0
1987-07-10,77.9,0.0
1987-07-11,77.9,0.0
1987-07-12,77.9,0.0
1987-07-13,77.9,0.0
1987-07-14,77.9,0.0
1987-07-15,77.9,0.0
1987-07-16,77.9,0.0
1987-07-17,77.9,0.0
1987-07-18,77.9,0.0
1987-07-19,78.0,0.0
1987-07-20,78.0,0.0
1987-07-21,78.0,0.0
