date,PREC_DAILY,WTEQ_DAILY
1987-10-01,0.0,0.0
1987-10-02,0.0,0.0
1987-10-03,0.0,0.0
1987-10-04,0.0,0.0
1987-10-05,0.0,0.0
1987-10-06,0.0,0.0
1987-10-07,0.0,0.0
1987-10-08,0.0,0.0
1987-10-09,0.0,0.0
1987-10-10,0.0,0.0
1987-10-11,0.0,0.0
1987-10-12,0.0,0.0
1987-10-13,0.0,0.0
1987-10-14,0.0,0.0
1987-10-15,0.0,0.0
1987-10-16,0.0,0.0
1987-10-17,0.0,0.0
1987-10-18,0.0,0.0
1987-10-19,0.0,0.0
1987-10-20,0.0,0.0
1987-10-21,0.0,0.0
1987-10-22,0.0,0.0
1987-10-23,0.0,0.0
1987-10-24,0.0,0.0
1987-10-25,0.0,0.0
1987-10-26,0.0,0.0
1987-10-27,0.2,0.0
1987-10-28,0.2,0.0
1987-10-29,0.6,0.0
1987-10-30,0.7,0.0
1987-10-31,0.8,0.0
1987-11-01,0.8,0.0
1987-11-02,0.9,0.0
1987-11-03,0.9,0.0
1987-11-04,1.0,0.0
1987-11-05,1.1,0.0
1987-11-06,1.1,0.0
1987-11-07,1.1,0.0
1987-11-08,1.2,0.0
1987-11-09,1.3,0.0
1987-11-10,1.4,0.0
1987-11-11,1.4,0.0
1987-11-12,1.5,0.0
1987-11-13,1.5,0.0
1987-11-14,1.5,0.0
1987-11-15,1.6,0.0
1987-11-16,1.6,0.0
1987-11-17,1.6,0.0
1987-11-18,1.6,0.0
1987-11-19,1.6,0.0
1987-11-20,1.6,0.0
1987-11-21,1.6,0.0
1987-11-22,1.6,0.0
1987-11-23,1.6,0.0
1987-11-24,1.8,0.0
1987-11-25,1.8,0.0
1987-11-26,1.8,0.0
1987-11-27,1.8,0.0
1987-11-28,1.9,0.0
1987-11-29,2.0,0.0
1987-11-30,2.2,0.0
1987-12-01,2.2,0.0
1987-12-02,2.2,0.0
1987-12-03,2.2,0.0
1987-12-04,2.2,0.0
1987-12-05,2.2,0.0
1987-12-06,3.0,0.3
1987-12-07,3.1,0.3
1987-12-08,3.1,0.3
1987-12-09,3.3,0.5
1987-12-10,3.3,0.5
1987-12-11,3.3,0.5
1987-12-12,3.3,0.5
1987-12-13,3.3,0.5
1987-12-14,3.3,0.5
1987-12-15,3.3,0.5
1987-12-16,3.3,0.5
1987-12-17,3.3,0.5
1987-12-18,3.3,0.5
1987-12-19,3.3,0.5
1987-12-20,3.3,0.5
1987-12-21,3.8,0.9
1987-12-22,4.4,1.5
1987-12-23,4.4,1.5
1987-12-24,4.4,1.5
1987-12-25,4.5,1.6
1987-12-26,4.5,1.6
1987-12-27,4.5,1.6
1987-12-28,4.6,1.7
1987-12-29,4.7,1.8
1987-12-30,4.7,1.8
1987-12-31,4.7,1.8
1988-01-01,4.8,1.9
1988-01-02,4.8,1.9
1988-01-03,4.9,2.0
1988-01-04,5.0,2.1
1988-01-05,5.1,2.2
1988-01-06,5.2,2.3
1988-01-07,5.2,2.3
1988-01-08,5.2,2.3
1988-01-09,5.4,2.5
1988-01-10,5.6,2.7
1988-01-11,5.6,2.7
1988-01-12,5.6,2.7
1988-01-13,5.8,2.8
1988-01-14,5.8,2.8
1988-01-15,5.8,2.8
1988-01-16,5.9,2.8
1988-01-17,6.2,3.1
1988-01-18,6.2,3.1
1988-01-19,6.2,3.1
1988-01-20,6.2,3.1
1988-01-21,6.2,3.1
1988-01-22,6.2,3.1
