date,PREC_DAILY,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY,WTEQ_DAILY
1987-10-01,0.0,39.4,68.0,21.7,0.0
1987-10-02,0.0,40.3,69.6,20.8,0.0
1987-10-03,0.0,40.6,67.8,19.9,0.0
1987-10-04,0.0,41.4,63.3,25.2,0.0
1987-10-05,0.0,36.9,60.6,21.4,0.0
1987-10-06,0.0,36.5,63.0,19.2,0.0
1987-10-07,0.0,38.1,66.0,19.0,0.0
1987-10-08,0.0,36.1,58.8,21.2,0.0
1987-10-09,0.0,34.7,55.8,21.0,0.0
1987-10-10,0.0,27.9,53.1,12.2,0.0
1987-10-11,0.0,30.6,62.4,10.6,0.0
1987-10-12,0.0,38.1,63.7,16.0,0.0
1987-10-13,0.0,35.4,44.4,29.7,0.0
1987-10-14,0.2,33.8,53.4,23.0,0.0
1987-10-15,0.2,28.2,40.8,14.4,0.0
1987-10-16,0.2,23.7,46.4,7.9,0.0
1987-10-17,0.2,29.5,52.9,15.1,0.0
1987-10-18,0.2,30.7,49.1,20.5,0.0
1987-10-19,0.2,22.8,41.5,10.6,0.0
1987-10-20,0.2,23.4,48.7,6.8,0.0
1987-10-21,0.2,28.9,56.3,11.3,0.0
1987-10-22,0.2,27.3,54.3,12.6,0.0
1987-10-23,0.2,28.8,54.7,10.4,0.0
1987-10-24,0.2,33.8,45.3,27.0,0.0
1987-10-25,0.2,30.2,49.3,18.7,0.0
1987-10-26,0.2,29.1,51.1,16.9,0.0
1987-10-27,0.2,28.2,52.7,12.9,0.0
1987-10-28,0.2,31.3,59.5,14.2,0.0
1987-10-29,0.2,32.9,63.7,17.2,0.0
1987-10-30,0.3,35.8,51.1,22.8,0.0
1987-10-31,0.3,37.4,47.3,31.6,0.0
1987-11-01,0.3,35.2,42.3,32.2,0.0
1987-11-02,0.7,34.2,38.8,32.2,0.0
1987-11-03,0.8,33.1,43.7,24.3,0.0
1987-11-04,0.8,32.2,50.5,21.0,0.0
1987-11-05,0.8,30.0,54.5,18.7,0.0
1987-11-06,1.0,31.1,37.4,24.4,0.0
1987-11-07,1.1,28.9,29.8,28.8,0.0
1987-11-08,1.1,24.1,47.3,12.0,0.0
1987-11-09,1.1,23.9,47.3,11.1,0.0
1987-11-10,1.1,25.5,38.3,15.1,0.0
1987-11-11,1.1,26.4,40.6,15.3,0.0
1987-11-12,1.1,28.6,37.8,19.0,0.0
1987-11-13,1.1,31.3,37.0,28.4,0.0
1987-11-14,1.6,26.1,36.9,15.6,0.3
1987-11-15,1.7,9.3,23.7,-1.8,0.4
1987-11-16,1.7,12.2,28.2,-6.0,0.4
1987-11-17,1.8,9.3,24.1,-9.2,0.5
1987-11-18,1.8,5.5,27.7,-11.7,0.5
1987-11-19,1.8,18.5,43.7,3.4,0.5
