date,PREC_DAILY,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY,WTEQ_DAILY
1992-10-01,0.0,59.2,78.3,51.1,0.0
1992-10-02,0.2,56.3,65.1,42.6,0.0
1992-10-03,1.0,35.4,43.2,31.5,0.6
1992-10-04,1.0,37.9,47.5,31.6,0.2
1992-10-05,1.0,39.9,53.8,34.3,0.0
1992-10-06,1.0,34.9,45.3,28.2,0.0
1992-10-07,1.0,33.8,53.1,24.6,0.0
1992-10-08,1.0,40.8,51.1,33.4,0.0
1992-10-09,1.0,40.6,60.1,32.4,0.0
1992-10-10,1.0,44.6,61.3,35.2,0.0
1992-10-11,1.0,50.4,68.5,40.5,0.0
1992-10-12,1.0,53.4,68.5,44.1,0.0
1992-10-13,1.0,46.9,60.3,32.4,0.0
1992-10-14,1.0,34.5,50.2,26.8,0.0
1992-10-15,1.0,30.7,48.2,21.4,0.0
1992-10-16,1.0,39.4,54.9,29.8,0.0
1992-10-17,1.0,40.3,55.9,31.5,0.0
1992-10-18,1.0,42.8,55.0,35.2,0.0
1992-10-19,1.0,44.6,60.6,35.8,0.0
1992-10-20,1.0,47.8,65.7,39.2,0.0
1992-10-21,1.0,46.0,59.9,37.4,0.0
1992-10-22,1.0,39.4,56.5,30.9,0.0
1992-10-23,1.0,43.5,64.2,34.9,0.0
1992-10-24,1.0,48.2,64.6,41.2,0.0
1992-10-25,1.0,48.0,64.6,41.7,0.0
1992-10-26,1.0,45.0,59.7,38.5,0.0
1992-10-27,1.1,43.2,55.2,36.0,0.1
1992-10-28,1.2,39.2,50.7,33.8,0.2
1992-10-29,2.5,32.0,35.6,30.7,1.0
1992-10-30,2.9,28.4,38.7,21.4,1.2
1992-10-31,2.9,27.7,45.3,20.3,1.2
1992-11-01,3.0,30.2,36.0,27.0,1.3
1992-11-02,3.3,26.4,31.3,17.8,1.7
1992-11-03,3.3,19.9,41.0,14.4,1.7
1992-11-04,3.3,20.7,28.9,12.9,1.7
1992-11-05,3.3,27.0,40.6,21.0,1.7
1992-11-06,3.3,27.1,39.0,19.9,1.7
