date,PREC_DAILY,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY,WTEQ_DAILY
1994-10-01,0.3,36.5,46.6,32.0,0.0
1994-10-02,0.3,39.0,47.8,32.9,0.0
1994-10-03,0.5,42.6,51.3,35.8,0.1
1994-10-04,0.8,44.8,54.9,37.4,0.4
1994-10-05,1.1,40.6,49.3,29.3,0.4
1994-10-06,1.6,30.0,32.5,27.5,0.4
1994-10-07,1.6,31.5,41.5,25.5,0.4
1994-10-08,1.7,32.9,46.9,20.8,0.2
1994-10-09,1.7,37.4,55.8,23.9,0.2
1994-10-10,1.7,40.3,57.4,27.9,0.2
1994-10-11,1.7,41.5,55.2,31.3,0.1
1994-10-12,1.7,40.6,53.4,28.9,0.1
1994-10-13,1.7,45.1,55.9,35.6,0.0
1994-10-14,1.7,39.4,51.6,33.3,0.0
1994-10-15,2.0,31.8,38.5,27.7,0.0
1994-10-16,2.3,25.3,37.0,16.3,0.0
1994-10-17,2.4,24.1,30.4,16.5,0.0
1994-10-18,2.5,28.9,34.5,26.2,0.0
1994-10-19,2.5,30.2,39.7,23.0,0.0
1994-10-20,2.5,31.1,44.8,22.5,0.0
1994-10-21,2.5,34.3,47.5,24.3,0.0
1994-10-22,2.5,34.3,46.9,26.2,0.0
1994-10-23,2.5,35.6,50.5,26.1,0.0
1994-10-24,2.5,34.9,49.3,26.2,0.0
1994-10-25,2.5,34.7,51.1,24.3,0.0
1994-10-26,2.5,35.6,51.1,25.9,0.0
1994-10-27,2.5,36.5,46.9,29.3,0.0
1994-10-28,2.5,40.3,53.1,29.7,0.0
1994-10-29,2.5,33.1,45.5,26.1,0.0
1994-10-30,2.6,25.3,34.3,16.9,0.0
1994-10-31,2.6,28.6,40.6,15.3,0.0
1994-11-01,2.6,38.1,46.2,28.0,0.0
1994-11-02,2.7,34.3,40.1,25.7,0.0
1994-11-03,3.3,23.2,32.4,13.5,0.3
1994-11-04,3.4,19.2,30.7,11.3,0.4
1994-11-05,3.4,27.3,33.6,17.2,0.5
1994-11-06,3.4,39.4,45.7,30.9,0.5
1994-11-07,3.4,41.0,50.2,33.3,0.5
1994-11-08,4.0,27.9,35.4,20.5,1.1
1994-11-09,4.0,30.2,36.5,20.3,1.1
1994-11-10,4.1,39.2,49.3,31.3,1.1
1994-11-11,4.1,38.8,47.8,28.4,1.2
1994-11-12,4.4,30.6,37.6,21.6,1.5
1994-11-13,4.8,17.4,28.2,8.6,1.7
1994-11-14,4.9,9.1,29.5,-2.0,1.7
1994-11-15,4.9,30.0,32.7,26.8,1.8
1994-11-16,5.1,29.1,36.1,20.1,2.0
1994-11-17,5.8,,,,2.7
1994-11-18,5.9,,,,2.8
1994-11-19,5.9,,,,2.8
1994-11-20,6.2,,,,3.1
1994-11-21,6.6,,,,3.5
1994-11-22,6.6,,,,3.5
1994-11-23,6.6,,,,3.5
1994-11-24,6.6,,,,3.5
1994-11-25,6.7,,,,3.6
1994-11-26,6.7,,,,3.6
1994-11-27,6.7,,,,3.6
1994-11-28,6.9,,,,3.8
1994-11-29,7.2,,,,3.9
1994-11-30,7.7,,,,4.2
1994-12-01,7.7,,,,4.2
1994-12-02,7.7,,,,4.2
1994-12-03,7.8,,,,4.3
1994-12-04,8.0,,,,4.5
1994-12-05,8.1,,,,4.6
1994-12-06,8.2,,,,4.7
1994-12-07,8.2,18.3,26.1,7.2,4.7
1994-12-08,8.2,2.8,19.6,-10.5,4.7
1994-12-09,8.2,2.1,22.8,-10.8,4.7
1994-12-10,8.3,13.5,30.9,-7.2,4.8
1994-12-11,8.3,16.9,30.7,1.9,4.8
1994-12-12,8.4,19.8,35.6,3.4,4.9
1994-12-13,8.5,21.2,30.6,14.0,5.0
1994-12-14,8.7,13.6,25.9,5.2,5.2
1994-12-15,8.9,13.3,21.2,4.6,5.3
1994-12-16,8.9,16.3,26.1,4.1,5.3
1994-12-17,8.9,21.7,40.8,10.9,5.3
1994-12-18,9.0,28.9,42.3,16.0,5.4
1994-12-19,9.0,14.7,28.8,4.3,5.4
1994-12-20,9.0,16.5,34.2,5.5,5.4
1994-12-21,9.0,25.5,47.5,12.9,5.4
1994-12-22,9.0,27.3,47.8,16.2,5.4
1994-12-23,9.0,30.7,44.2,22.1,5.4
1994-12-24,9.0,30.4,37.6,26.8,5.4
1994-12-25,9.0,29.7,39.6,21.6,5.4
1994-12-26,9.0,23.5,34.0,12.9,6.4
1994-12-27,9.0,22.3,40.3,11.7,5.4
1994-12-28,9.0,27.7,44.1,16.7,5.4
1994-12-29,9.1,25.0,28.4,21.0,5.5
1994-12-30,9.3,19.4,28.8,6.3,5.7
1994-12-31,9.3,3.0,17.4,-9.6,6.7
1995-01-01,9.3,3.9,26.2,-10.7,6.7
1995-01-02,9.3,14.4,35.4,2.1,6.7
1995-01-03,9.4,9.0,27.9,-0.9,5.8
1995-01-04,9.4,17.4,28.4,1.9,5.8
1995-01-05,9.7,22.3,30.2,17.2,6.1
1995-01-06,10.1,16.5,20.7,14.0,6.5
1995-01-07,10.3,19.0,25.5,13.6,6.7
1995-01-08,10.4,23.0,28.4,18.5,6.8
1995-01-09,10.4,27.9,35.2,25.0,6.8
1995-01-10,10.4,29.5,37.6,23.4,6.8
1995-01-11,10.6,23.5,29.3,13.1,7.0
1995-01-12,10.7,19.0,35.2,8.4,7.1
1995-01-13,10.8,23.5,31.6,18.7,7.2
1995-01-14,10.8,29.7,38.7,24.3,7.2
1995-01-15,10.9,28.2,36.5,19.8,7.4
1995-01-16,11.5,14.9,20.7,10.0,8.0
1995-01-17,11.6,7.9,17.6,-3.1,8.1
1995-01-18,11.8,10.0,16.7,1.6,8.3
1995-01-19,11.8,16.7,28.4,6.6,8.3
1995-01-20,11.8,16.7,31.1,2.3,8.3
1995-01-21,11.8,8.2,34.3,-3.3,8.3
1995-01-22,11.8,6.4,27.0,-5.3,8.3
1995-01-23,11.9,12.9,34.9,-1.1,8.4
1995-01-24,11.9,22.8,32.9,8.8,8.4
1995-01-25,11.9,30.4,40.5,21.9,8.4
1995-01-26,12.1,25.2,32.9,21.2,8.6
1995-01-27,12.4,19.9,23.9,13.8,8.9
1995-01-28,12.5,16.0,25.9,8.8,9.0
1995-01-29,12.5,11.8,27.7,0.3,9.0
1995-01-30,12.6,17.6,36.9,-0.8,9.1
1995-01-31,12.7,25.9,33.6,17.4,9.2
1995-02-01,12.7,33.1,45.7,24.6,9.2
1995-02-02,12.7,30.2,41.0,20.8,9.2
1995-02-03,12.7,24.6,38.5,14.7,9.2
1995-02-04,12.7,27.1,48.4,16.0,9.3
1995-02-05,12.8,27.3,44.6,15.4,9.4
1995-02-06,12.8,28.2,44.2,17.6,9.4
1995-02-07,12.8,30.4,46.8,16.9,9.5
1995-02-08,12.8,30.6,42.6,24.1,9.6
1995-02-09,13.1,23.2,26.2,21.0,9.9
1995-02-10,13.6,19.8,25.9,14.7,10.4
1995-02-11,14.0,16.2,25.2,8.1,10.8
1995-02-12,14.4,18.1,23.5,15.3,11.2
1995-02-13,14.5,24.1,31.8,20.7,11.3
1995-02-14,14.9,20.8,32.4,-1.7,11.8
1995-02-15,15.0,13.3,31.6,-5.8,11.8
1995-02-16,15.0,18.9,37.9,0.5,11.9
1995-02-17,15.0,28.0,42.1,13.8,12.0
1995-02-18,15.0,26.4,43.0,13.1,12.0
1995-02-19,15.0,26.6,46.4,11.1,12.1
1995-02-20,15.1,32.0,52.0,19.8,12.3
1995-02-21,15.1,33.6,54.5,18.3,12.3
1995-02-22,15.1,32.9,52.5,21.7,12.4
1995-02-23,15.1,30.6,47.3,18.5,12.4
1995-02-24,15.1,33.1,50.2,19.6,12.4
1995-02-25,15.2,31.5,52.9,20.5,12.4
1995-02-26,15.2,31.5,47.5,23.4,12.6
1995-02-27,15.3,30.0,39.0,22.5,12.6
1995-02-28,15.4,28.8,41.4,21.6,12.6
1995-03-01,15.4,23.5,29.7,16.9,12.6
1995-03-02,15.9,23.2,32.5,12.0,13.1
1995-03-03,16.0,27.9,37.0,21.9,13.3
1995-03-04,16.2,25.2,37.2,17.4,13.5
1995-03-05,16.6,25.2,33.1,20.1,14.0
1995-03-06,16.9,14.4,28.2,0.1,14.1
1995-03-07,16.9,14.5,31.6,-3.5,14.2
1995-03-08,17.0,24.3,42.6,6.1,14.4
1995-03-09,17.0,35.2,46.4,23.9,14.5
1995-03-10,17.0,40.5,51.1,32.5,14.5
1995-03-11,17.2,37.0,49.3,26.4,14.7
1995-03-12,17.6,26.1,36.3,19.8,15.2
1995-03-13,17.7,27.3,43.0,15.3,15.2
1995-03-14,17.8,34.0,54.3,18.5,15.2
1995-03-15,17.8,41.5,55.9,31.5,15.1
1995-03-16,17.8,38.5,55.8,26.2,15.0
1995-03-17,17.8,35.8,47.8,28.0,15.0
1995-03-18,17.9,38.7,52.5,26.1,15.1
1995-03-19,18.5,27.7,41.2,16.2,15.4
1995-03-20,18.6,32.0,46.8,12.6,15.4
1995-03-21,18.7,39.0,46.9,32.0,15.4
1995-03-22,18.8,27.7,36.1,21.9,15.5
1995-03-23,18.8,37.0,46.4,26.1,15.5
1995-03-24,18.8,22.5,33.1,12.6,15.5
1995-03-25,19.0,17.2,26.4,11.3,15.8
