date,PREC_DAILY,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY,WTEQ_DAILY
1994-10-01,0.0,55.6,66.6,45.0,0.0
1994-10-02,0.0,50.9,64.2,30.0,0.0
1994-10-03,0.0,33.4,40.3,29.1,0.0
1994-10-04,0.0,40.6,55.6,28.6,0.0
1994-10-05,0.0,45.5,56.5,37.0,0.0
1994-10-06,0.1,43.7,57.9,32.4,0.0
1994-10-07,0.1,48.0,61.9,36.5,0.0
1994-10-08,0.1,53.1,62.2,41.7,0.0
1994-10-09,0.1,56.1,64.8,48.4,0.0
1994-10-10,0.1,51.8,60.6,39.4,0.0
1994-10-11,0.1,46.0,56.3,36.7,0.0
1994-10-12,0.1,45.7,55.4,37.4,0.0
1994-10-13,0.1,44.6,54.3,36.0,0.0
1994-10-14,0.1,37.6,44.1,30.7,0.0
1994-10-15,0.1,30.9,37.8,26.8,0.0
1994-10-16,0.1,35.2,44.2,29.7,0.0
1994-10-17,0.1,40.5,48.7,31.3,0.0
1994-10-18,0.1,43.2,54.0,33.8,0.0
1994-10-19,0.1,45.9,56.1,38.5,0.0
1994-10-20,0.1,45.5,55.6,36.5,0.0
1994-10-21,0.1,45.9,55.6,34.5,0.0
1994-10-22,0.1,41.5,53.8,29.8,0.0
1994-10-23,0.1,48.2,60.3,37.6,0.0
1994-10-24,0.1,50.7,64.4,42.6,0.0
1994-10-25,0.1,51.4,61.3,42.1,0.0
1994-10-26,0.1,47.5,54.3,43.2,0.0
1994-10-27,0.1,49.3,54.7,44.4,0.0
1994-10-28,0.3,36.5,45.5,28.0,0.0
1994-10-29,0.3,31.5,44.2,23.7,0.0
1994-10-30,0.3,34.7,44.2,25.5,0.0
1994-10-31,0.3,40.5,46.6,34.0,0.0
1994-11-01,0.4,34.7,45.7,24.1,0.0
1994-11-02,0.4,22.3,29.1,15.3,0.0
1994-11-03,0.4,23.0,33.4,15.6,0.0
1994-11-04,0.6,24.8,28.6,20.7,0.1
1994-11-05,1.1,29.7,33.8,26.4,0.7
1994-11-06,1.9,30.9,32.9,29.7,1.5
1994-11-07,2.0,27.1,39.7,16.2,1.5
1994-11-08,2.1,24.6,30.0,13.8,1.7
1994-11-09,2.2,32.7,37.4,28.4,1.8
1994-11-10,2.4,31.1,38.8,27.3,1.8
1994-11-11,2.4,30.4,37.6,25.9,1.8
1994-11-12,2.6,24.3,30.9,19.2,1.8
1994-11-13,2.7,23.9,36.9,16.5,1.8
1994-11-14,2.7,23.5,28.2,15.1,1.8
1994-11-15,2.7,26.8,30.0,23.7,2.0
1994-11-16,3.2,21.9,25.3,19.2,2.3
1994-11-17,3.7,18.3,23.4,9.1,2.6
1994-11-18,3.7,14.0,23.5,9.5,2.6
1994-11-19,3.7,18.5,29.1,9.5,2.7
1994-11-20,4.3,22.1,33.8,17.2,3.3
1994-11-21,4.3,14.5,27.5,7.3,3.3
1994-11-22,4.3,19.0,25.5,12.7,3.3
1994-11-23,4.3,25.2,31.1,20.3,3.3
1994-11-24,4.3,29.5,35.6,23.7,3.3
1994-11-25,4.9,24.3,30.0,17.6,4.2
1994-11-26,5.0,16.9,26.4,12.9,4.3
1994-11-27,5.3,18.0,24.6,12.7,4.6
1994-11-28,5.4,21.0,28.8,16.3,4.7
1994-11-29,5.4,26.1,36.3,19.8,4.7
1994-11-30,5.4,33.4,37.4,30.0,4.8
1994-12-01,5.4,34.3,37.4,31.1,4.8
1994-12-02,5.5,30.6,33.8,25.5,4.8
1994-12-03,6.6,29.3,33.8,21.2,6.1
1994-12-04,7.2,21.6,27.3,17.6,6.7
1994-12-05,7.3,26.6,32.9,20.3,6.7
1994-12-06,7.4,21.9,27.3,17.1,6.8
1994-12-07,7.5,18.0,23.7,8.8,6.8
1994-12-08,7.5,14.0,18.7,6.1,6.8
1994-12-09,7.5,20.8,30.4,14.7,6.8
1994-12-10,7.5,24.6,30.7,20.1,6.8
1994-12-11,7.7,21.2,25.5,17.6,6.9
1994-12-12,8.0,23.2,26.8,18.0,7.3
1994-12-13,8.0,18.5,27.3,11.5,7.3
1994-12-14,8.2,18.3,21.2,16.0,7.6
1994-12-15,8.4,20.1,22.6,16.9,7.7
1994-12-16,8.6,28.8,37.9,21.2,7.8
1994-12-17,8.6,36.7,39.9,33.3,7.8
1994-12-18,8.7,29.8,35.8,22.6,8.0
1994-12-19,8.7,30.4,37.6,23.5,7.8
1994-12-20,8.7,37.8,43.9,33.6,7.8
1994-12-21,8.7,39.9,47.7,33.3,7.7
1994-12-22,8.7,37.2,42.6,30.6,7.7
1994-12-23,8.7,36.5,40.5,32.4,7.6
1994-12-24,8.7,33.8,41.7,30.0,7.6
1994-12-25,8.7,31.3,39.7,24.6,7.6
1994-12-26,8.8,27.3,31.6,24.8,7.6
1994-12-27,8.8,34.5,39.6,27.9,7.6
1994-12-28,8.8,33.1,44.1,18.7,7.6
1994-12-29,8.8,18.7,29.7,9.7,7.5
1994-12-30,8.8,17.1,27.3,11.3,7.4
1994-12-31,8.8,14.2,26.2,7.5,7.4
1995-01-01,8.8,18.3,27.1,11.5,7.4
1995-01-02,8.8,20.1,30.7,15.6,7.3
1995-01-03,8.8,25.5,37.2,19.2,7.4
1995-01-04,8.8,25.0,31.1,17.6,7.4
1995-01-05,9.5,24.6,27.0,22.8,8.1
1995-01-06,9.9,25.9,29.5,23.9,8.6
1995-01-07,10.3,29.7,32.4,26.1,9.0
1995-01-08,10.4,31.5,34.7,28.4,9.0
1995-01-09,10.4,36.1,39.9,32.0,9.0
1995-01-10,11.4,33.3,37.9,29.5,9.6
1995-01-11,11.6,30.2,35.6,26.4,9.7
1995-01-12,12.0,30.2,31.6,27.5,10.3
1995-01-13,13.6,34.0,38.5,30.2,11.8
1995-01-14,13.7,33.4,36.5,27.9,11.8
1995-01-15,14.0,26.6,31.1,22.5,12.0
1995-01-16,14.0,22.6,34.7,14.9,12.0
1995-01-17,14.1,19.9,23.0,12.4,12.1
1995-01-18,14.2,25.5,30.4,21.7,12.2
1995-01-19,14.2,29.3,39.7,24.1,12.3
1995-01-20,14.2,31.5,43.7,24.4,12.3
1995-01-21,14.2,31.6,39.2,25.3,12.3
1995-01-22,14.2,30.6,35.8,25.9,12.3
1995-01-23,14.2,32.4,39.7,28.8,12.3
1995-01-24,14.3,34.7,43.3,29.7,12.3
1995-01-25,14.4,33.8,36.3,30.7,12.4
1995-01-26,14.5,30.0,37.8,27.0,12.4
1995-01-27,14.7,27.9,30.6,25.7,12.6
1995-01-28,14.9,30.9,36.3,27.0,12.9
1995-01-29,15.0,35.2,39.9,32.9,12.9
1995-01-30,15.6,36.3,40.8,32.9,13.1
1995-01-31,15.8,41.2,44.4,38.1,12.2
1995-02-01,15.8,41.7,46.6,39.4,11.4
1995-02-02,15.8,40.3,47.7,34.0,11.1
1995-02-03,15.8,44.2,53.1,35.6,11.0
1995-02-04,15.8,43.7,49.3,36.1,10.9
1995-02-05,15.8,43.7,48.2,39.0,10.8
1995-02-06,15.8,43.3,50.7,35.1,10.7
1995-02-07,15.8,39.4,48.7,29.7,10.7
1995-02-08,15.9,35.2,43.2,28.9,10.7
1995-02-09,15.9,36.0,46.4,29.1,10.7
1995-02-10,15.9,38.1,46.6,28.6,10.6
1995-02-11,15.9,33.3,37.9,25.9,10.6
1995-02-12,16.0,25.2,28.2,21.6,10.7
1995-02-13,16.2,24.3,33.1,17.4,11.1
1995-02-14,16.2,17.2,25.9,9.3,11.2
1995-02-15,16.2,22.6,30.0,14.5,11.2
1995-02-16,16.2,32.0,37.0,27.3,11.4
1995-02-17,16.3,34.3,39.9,27.9,10.5
1995-02-18,16.3,39.0,46.8,33.1,10.4
1995-02-19,16.3,42.3,50.0,34.3,10.3
1995-02-20,16.3,45.0,53.2,35.2,9.7
1995-02-21,16.3,47.3,60.3,40.1,9.3
1995-02-22,16.3,45.1,55.8,38.1,8.9
1995-02-23,16.3,48.0,57.2,38.8,8.4
