date,PREC_DAILY,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY,WTEQ_DAILY
1995-10-01,0.0,42.3,59.7,29.7,0.0
1995-10-02,0.0,44.2,62.8,29.7,0.0
1995-10-03,0.0,48.9,62.8,32.2,0.0
1995-10-04,0.0,36.1,54.1,24.1,0.0
1995-10-05,0.0,39.9,61.5,23.9,0.0
1995-10-06,0.0,43.9,57.0,33.8,0.0
1995-10-07,0.0,43.2,57.7,31.6,0.0
1995-10-08,0.0,42.4,59.4,30.0,0.0
1995-10-09,0.0,47.1,64.0,37.8,0.0
1995-10-10,0.0,50.5,65.1,38.1,0.0
1995-10-11,0.0,46.9,57.0,41.7,0.0
1995-10-12,0.0,42.1,62.4,28.4,0.0
1995-10-13,0.0,41.2,59.2,27.3,0.0
1995-10-14,0.0,48.4,67.1,35.4,0.0
1995-10-15,0.0,46.6,60.8,34.9,0.0
1995-10-16,0.0,45.1,63.7,33.6,0.0
1995-10-17,0.0,48.0,67.1,32.5,0.0
1995-10-18,0.0,47.5,66.6,32.9,0.0
1995-10-19,0.0,44.4,62.1,29.5,0.0
1995-10-20,0.0,49.1,61.9,41.5,0.0
1995-10-21,0.0,42.6,54.5,21.4,0.0
1995-10-22,0.0,24.4,39.2,11.5,0.0
1995-10-23,0.0,33.4,50.7,21.7,0.0
1995-10-24,0.0,37.4,54.1,27.5,0.0
1995-10-25,0.0,40.5,55.9,28.4,0.0
1995-10-26,0.0,46.4,64.0,35.8,0.0
1995-10-27,0.0,47.1,63.1,35.6,0.0
1995-10-28,0.0,46.0,57.0,37.4,0.0
1995-10-29,0.0,40.6,54.7,34.0,0.0
1995-10-30,0.0,42.3,55.4,33.6,0.0
1995-10-31,0.0,39.4,46.0,30.6,0.0
1995-11-01,0.0,34.3,49.8,25.5,0.0
1995-11-02,0.0,32.2,48.6,24.6,0.0
1995-11-03,0.0,30.0,45.1,22.3,0.0
1995-11-04,0.0,33.3,50.2,20.5,0.0
1995-11-05,0.0,36.1,46.6,29.1,0.0
1995-11-06,0.0,37.2,48.0,30.4,0.0
1995-11-07,0.0,39.9,55.6,29.3,0.0
1995-11-08,0.0,41.9,49.8,35.6,0.0
1995-11-09,0.0,37.6,44.6,33.3,0.0
1995-11-10,0.0,37.8,50.7,30.0,0.0
1995-11-11,0.0,44.6,56.3,38.8,0.0
1995-11-12,0.0,41.9,55.8,33.1,0.0
1995-11-13,0.0,41.5,56.7,32.5,0.0
1995-11-14,0.0,42.3,58.5,33.3,0.0
1995-11-15,0.0,43.9,55.9,33.1,0.0
1995-11-16,0.0,40.8,54.5,32.9,0.0
1995-11-17,0.0,45.1,57.2,33.4,0.0
1995-11-18,0.0,44.6,51.6,39.4,0.0
1995-11-19,0.0,41.5,56.1,31.8,0.0
1995-11-20,0.0,44.6,58.1,34.3,0.0
1995-11-21,0.0,39.9,45.3,30.9,0.0
1995-11-22,0.0,39.0,52.3,28.9,0.0
1995-11-23,0.0,42.4,58.6,30.6,0.0
1995-11-24,0.0,43.2,55.2,36.7,0.0
1995-11-25,0.2,42.1,50.9,30.0,0.0
1995-11-26,0.2,24.3,34.0,12.9,0.0
1995-11-27,0.2,26.1,38.7,10.8,0.0
1995-11-28,0.2,34.3,45.5,26.8,0.0
1995-11-29,0.2,39.9,50.4,31.3,0.0
1995-11-30,0.2,41.2,50.0,33.4,0.0
1995-12-01,0.2,38.3,43.3,33.1,0.0
1995-12-02,0.3,31.1,41.4,24.4,0.0
1995-12-03,0.4,33.4,39.9,26.1,0.0
1995-12-04,0.8,36.3,38.7,33.8,0.1
1995-12-05,0.8,36.3,41.0,32.2,0.1
1995-12-06,0.8,35.8,44.6,30.6,0.2
1995-12-07,0.9,31.6,38.5,26.8,0.2
1995-12-08,0.9,34.0,44.1,27.9,0.2
1995-12-09,0.9,35.4,46.9,29.1,0.2
1995-12-10,0.9,38.1,44.6,30.7,0.3
1995-12-11,3.5,33.6,37.8,30.0,1.5
1995-12-12,6.0,27.9,37.4,20.8,3.3
1995-12-13,7.1,22.8,27.7,17.4,3.7
1995-12-14,7.2,23.5,31.5,15.1,3.8
1995-12-15,7.3,20.7,26.8,8.8,3.8
1995-12-16,7.3,14.4,23.9,6.6,3.9
1995-12-17,7.3,18.7,32.0,6.1,4.0
1995-12-18,7.3,22.8,30.9,10.2,4.1
