date,PREC_DAILY,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY,WTEQ_DAILY
1998-10-01,0.1,47.3,59.4,35.2,0.0
1998-10-02,0.3,38.8,47.5,29.1,0.3
1998-10-03,0.5,29.5,33.4,24.4,0.5
1998-10-04,0.5,27.5,34.5,23.2,0.4
1998-10-05,0.5,28.8,34.2,21.4,0.4
1998-10-06,0.5,35.2,45.0,32.0,0.3
1998-10-07,0.6,44.6,55.9,32.5,0.0
1998-10-08,0.6,43.5,54.5,32.2,0.0
1998-10-09,0.6,39.6,49.1,31.8,0.0
1998-10-10,0.6,30.7,38.8,23.9,0.0
1998-10-11,0.6,31.1,37.2,23.7,0.0
1998-10-12,0.6,45.0,54.7,33.4,0.0
1998-10-13,0.6,46.4,55.2,30.7,0.0
1998-10-14,0.6,33.6,40.3,27.0,0.0
1998-10-15,0.6,30.0,35.8,27.1,0.0
1998-10-16,0.8,27.9,30.2,25.5,0.2
1998-10-17,0.8,28.8,35.1,21.0,0.2
1998-10-18,0.8,30.0,34.9,25.2,0.1
1998-10-19,0.8,28.4,39.6,23.2,0.0
1998-10-20,0.8,30.9,48.0,22.8,0.0
1998-10-21,0.8,38.7,54.9,31.1,0.0
1998-10-22,0.9,41.0,50.5,35.2,0.0
1998-10-23,0.9,36.7,40.5,34.0,0.0
1998-10-24,0.9,38.3,45.5,32.5,0.0
1998-10-25,0.9,37.9,48.6,30.0,0.0
1998-10-26,0.9,35.4,46.0,30.9,0.0
1998-10-27,0.9,41.0,54.9,32.2,0.0
1998-10-28,0.9,36.5,43.9,25.5,0.0
1998-10-29,0.9,25.2,33.4,20.1,0.0
1998-10-30,0.9,24.3,35.4,19.0,0.0
1998-10-31,0.9,29.3,39.7,22.3,0.0
1998-11-01,0.9,32.0,41.4,26.8,0.0
1998-11-02,1.0,28.9,32.5,27.0,0.1
1998-11-03,1.0,26.4,28.4,25.3,0.1
1998-11-04,1.0,25.5,32.9,21.0,0.1
1998-11-05,1.0,25.7,31.1,17.4,0.2
1998-11-06,1.0,19.9,25.5,15.8,0.2
1998-11-07,1.0,20.3,25.7,13.6,0.2
1998-11-08,1.2,21.2,25.5,14.4,0.4
1998-11-09,1.2,9.0,14.2,6.8,0.4
1998-11-10,1.3,14.7,17.6,10.4,0.5
1998-11-11,1.3,20.3,23.2,16.7,0.5
1998-11-12,1.4,25.3,31.8,18.7,0.5
1998-11-13,1.5,35.2,38.7,31.1,0.5
1998-11-14,1.5,36.1,41.2,32.5,0.5
1998-11-15,1.5,35.6,41.7,32.5,0.6
1998-11-16,1.5,30.6,33.1,26.6,0.6
1998-11-17,1.9,28.9,33.3,22.1,1.0
1998-11-18,2.0,21.2,22.1,20.5,1.1
1998-11-19,2.1,20.3,22.8,17.1,1.2
1998-11-20,2.2,27.3,30.6,22.3,1.3
1998-11-21,2.3,32.7,35.6,28.8,1.4
1998-11-22,2.5,24.8,34.2,19.0,1.7
1998-11-23,2.7,28.4,37.0,18.5,1.8
1998-11-24,3.2,25.0,37.0,20.1,2.4
1998-11-25,3.3,29.8,38.7,21.7,2.4
1998-11-26,3.3,39.9,43.0,34.9,2.4
1998-11-27,3.3,37.2,40.1,33.1,2.4
1998-11-28,3.5,32.9,36.0,25.3,2.5
1998-11-29,3.6,24.1,25.5,22.8,2.6
1998-11-30,3.6,31.5,36.9,23.5,2.6
1998-12-01,3.6,32.5,37.2,29.5,2.6
1998-12-02,3.8,31.5,34.7,28.6,2.7
1998-12-03,4.6,23.2,28.6,20.3,3.7
1998-12-04,5.0,17.4,21.4,10.4,4.0
1998-12-05,5.0,8.2,10.8,6.6,4.1
1998-12-06,5.1,10.8,13.6,7.2,4.2
1998-12-07,5.1,13.6,20.8,9.1,4.2
1998-12-08,5.2,17.2,21.0,14.0,4.3
1998-12-09,5.2,11.3,14.4,5.9,4.3
1998-12-10,5.2,25.5,32.5,11.7,4.3
1998-12-11,5.2,29.7,32.0,27.5,4.3
1998-12-12,5.2,30.4,34.5,27.1,4.3
1998-12-13,5.2,36.7,39.2,32.2,4.3
1998-12-14,5.2,29.1,35.8,16.7,4.3
1998-12-15,5.2,23.4,25.3,20.7,4.3
1998-12-16,5.2,28.9,33.6,24.4,4.3
1998-12-17,5.2,29.5,38.1,15.4,4.2
1998-12-18,5.2,-7.2,13.8,-21.8,4.1
1998-12-19,5.2,-23.4,-16.4,-32.4,4.1
1998-12-20,5.2,-31.4,-26.7,-34.6,4.1
