date,PREC_DAILY,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY,WTEQ_DAILY
2000-10-01,0.0,50.5,66.9,38.3,0.0
2000-10-02,0.0,49.3,67.8,37.9,0.0
2000-10-03,0.0,45.1,59.5,33.4,0.0
2000-10-04,0.0,44.2,62.8,31.8,0.0
2000-10-05,0.0,38.5,54.5,27.5,0.0
2000-10-06,0.0,41.4,59.9,26.6,0.0
2000-10-07,0.0,43.0,61.5,31.1,0.0
2000-10-08,0.0,45.3,65.1,31.8,0.0
2000-10-09,0.5,44.4,64.0,35.6,0.0
2000-10-10,0.5,38.7,45.3,31.6,0.0
2000-10-11,0.8,30.0,38.5,23.9,0.1
2000-10-12,0.8,30.7,46.2,24.8,0.1
2000-10-13,0.9,29.8,35.6,24.3,0.2
2000-10-14,0.9,31.1,38.3,25.5,0.1
2000-10-15,0.9,33.6,47.7,25.3,0.0
2000-10-16,0.9,35.4,49.3,24.6,0.0
2000-10-17,0.9,41.5,58.8,27.9,0.0
2000-10-18,0.9,43.2,59.9,32.7,0.0
2000-10-19,0.9,41.0,57.9,30.0,0.0
2000-10-20,1.2,43.0,59.4,29.5,0.0
2000-10-21,1.2,35.8,44.6,29.5,0.0
2000-10-22,1.4,31.6,37.2,26.8,0.0
2000-10-23,1.4,37.8,45.5,30.4,0.0
2000-10-24,1.4,36.9,48.6,29.5,0.0
2000-10-25,1.4,35.4,47.1,27.9,0.0
2000-10-26,1.4,36.9,42.3,32.0,0.0
2000-10-27,1.4,37.8,43.5,32.9,0.0
2000-10-28,1.4,35.6,40.6,28.6,0.0
2000-10-29,1.4,34.7,40.6,31.5,0.0
2000-10-30,1.5,31.5,38.1,28.0,0.3
2000-10-31,1.8,28.8,33.6,26.1,0.6
2000-11-01,2.2,23.7,28.2,19.9,0.8
2000-11-02,2.2,18.1,32.2,8.6,0.8
2000-11-03,2.3,18.5,33.8,6.8,0.8
2000-11-04,2.5,27.0,43.3,13.8,0.8
2000-11-05,2.5,19.9,27.1,16.5,0.8
2000-11-06,2.5,16.5,27.7,4.6,0.8
2000-11-07,2.5,10.9,22.8,0.3,0.8
2000-11-08,3.1,19.4,33.1,4.3,1.3
2000-11-09,3.2,21.0,27.9,14.4,1.6
2000-11-10,3.2,14.9,23.5,-0.8,1.6
2000-11-11,3.3,5.0,19.4,-4.0,1.6
2000-11-12,3.4,6.3,15.1,-2.7,1.7
2000-11-13,3.5,8.2,19.6,-4.9,1.7
2000-11-14,3.8,16.5,26.4,9.0,1.8
2000-11-15,3.8,11.3,20.8,1.8,1.9
2000-11-16,3.8,6.4,19.0,-2.9,1.9
2000-11-17,3.8,3.7,16.0,-4.4,1.9
2000-11-18,3.8,8.6,21.6,-3.8,1.9
2000-11-19,3.8,16.7,31.1,5.4,1.9
2000-11-20,4.1,23.7,39.0,11.3,1.9
2000-11-21,4.1,29.7,44.2,16.5,1.9
2000-11-22,4.1,30.6,42.4,19.9,1.9
2000-11-23,4.1,20.7,32.7,12.2,1.9
2000-11-24,4.1,18.9,31.5,7.5,1.9
2000-11-25,4.1,16.9,33.4,4.5,1.9
2000-11-26,4.1,27.1,33.3,19.8,1.9
2000-11-27,4.1,28.4,32.0,26.6,1.9
2000-11-28,4.1,26.6,34.5,19.8,1.9
2000-11-29,4.1,32.4,39.9,21.6,1.9
2000-11-30,4.1,17.6,25.3,7.3,1.9
2000-12-01,4.1,21.9,35.1,8.4,1.9
2000-12-02,4.1,27.0,38.7,18.7,1.9
2000-12-03,4.1,25.0,39.9,17.2,1.9
2000-12-04,4.1,26.6,39.7,18.9,1.9
2000-12-05,4.1,26.1,37.4,17.4,1.9
2000-12-06,4.1,23.9,36.7,15.6,1.9
2000-12-07,4.1,24.8,35.4,17.8,1.9
2000-12-08,4.3,26.8,38.1,17.6,1.9
2000-12-09,4.3,26.2,33.6,18.1,2.0
2000-12-10,4.5,21.4,27.7,8.8,2.5
2000-12-11,4.5,11.7,17.6,6.3,2.5
2000-12-12,4.7,19.0,28.2,12.4,2.6
2000-12-13,4.7,18.3,23.7,15.4,2.7
2000-12-14,5.0,21.9,25.7,19.0,3.0
2000-12-15,5.7,18.0,22.6,11.3,3.7
2000-12-16,5.9,14.9,22.8,3.6,3.7
2000-12-17,5.9,14.7,25.3,6.8,3.9
2000-12-18,5.9,9.3,15.1,2.8,3.9
2000-12-19,6.3,20.3,34.3,7.3,3.9
2000-12-20,6.3,19.0,22.8,14.2,3.9
2000-12-21,6.3,25.0,34.0,19.2,3.9
2000-12-22,6.3,21.9,31.3,13.5,3.9
2000-12-23,6.3,19.8,30.4,9.9,3.9
2000-12-24,6.4,22.1,29.1,14.7,4.2
2000-12-25,6.4,14.7,23.5,2.7,4.2
2000-12-26,6.6,13.3,25.2,2.1,4.2
2000-12-27,6.6,22.5,34.3,13.3,4.2
2000-12-28,6.6,18.7,30.0,11.1,4.2
2000-12-29,6.6,18.7,32.9,9.9,4.2
2000-12-30,6.6,23.0,36.1,13.8,4.2
2000-12-31,6.6,18.3,30.4,9.5,4.2
2001-01-01,6.6,18.1,31.8,8.8,4.2
2001-01-02,6.6,16.2,29.8,4.6,4.2
2001-01-03,6.6,24.3,39.0,15.4,4.2
2001-01-04,6.6,27.5,41.5,19.9,4.2
2001-01-05,6.6,30.4,44.1,21.2,4.2
2001-01-06,6.6,27.0,40.1,12.7,4.2
2001-01-07,6.6,19.8,32.2,6.6,4.2
2001-01-08,6.7,26.2,38.3,19.0,4.2
2001-01-09,6.7,28.8,37.4,21.6,4.2
2001-01-10,6.7,24.6,33.1,15.1,4.2
2001-01-11,6.9,24.6,28.2,18.9,4.3
2001-01-12,6.9,21.2,27.0,14.0,4.5
2001-01-13,6.9,16.3,22.8,9.3,4.5
2001-01-14,6.9,15.8,23.4,8.8,4.5
2001-01-15,6.9,11.5,23.2,2.3,4.5
2001-01-16,6.9,2.3,10.9,-7.6,4.5
2001-01-17,7.1,3.6,15.1,-7.8,4.5
2001-01-18,7.2,9.7,20.8,-1.1,4.5
2001-01-19,7.3,17.1,27.0,5.4,4.5
2001-01-20,7.3,15.3,23.5,3.7,4.5
2001-01-21,7.3,21.6,37.0,5.7,4.5
2001-01-22,7.3,28.9,42.4,19.0,4.5
2001-01-23,7.3,24.6,33.4,17.2,4.5
2001-01-24,7.3,24.4,34.2,17.2,4.5
2001-01-25,7.5,17.8,24.6,4.5,4.7
2001-01-26,7.5,16.9,26.8,7.2,4.7
2001-01-27,7.5,15.3,23.9,8.6,4.7
2001-01-28,7.5,15.3,23.4,7.2,4.7
2001-01-29,7.5,12.6,22.6,0.9,4.7
2001-01-30,7.5,8.8,17.1,-4.5,4.7
2001-01-31,7.5,5.0,17.1,-5.4,4.7
2001-02-01,7.8,13.3,21.6,3.2,4.7
2001-02-02,8.1,26.2,35.6,14.0,4.7
2001-02-03,8.1,27.3,29.7,26.1,4.7
2001-02-04,8.1,28.6,36.1,23.5,4.7
2001-02-05,8.1,27.9,40.6,17.4,4.7
2001-02-06,8.1,28.9,42.6,16.5,4.7
2001-02-07,8.1,21.4,29.1,7.9,4.7
2001-02-08,8.1,0.1,14.2,-10.3,4.7
2001-02-09,8.1,10.0,27.5,-9.9,4.7
2001-02-10,8.1,17.8,26.6,7.7,4.7
2001-02-11,8.2,18.1,27.0,11.7,4.8
2001-02-12,8.2,,,,4.8
2001-02-13,8.2,,,,4.8
2001-02-14,8.2,,,,4.8
2001-02-15,8.2,,,,4.8
2001-02-16,8.2,,,,4.8
2001-02-17,8.2,31.1,41.4,22.1,4.7
2001-02-18,8.4,28.9,42.6,21.0,4.8
2001-02-19,8.5,,,,5.1
2001-02-20,8.5,,,,5.2
2001-02-21,8.5,,,,5.2
2001-02-22,8.6,31.5,40.1,25.3,5.3
2001-02-23,8.8,,,,5.7
2001-02-24,8.9,,,,5.7
2001-02-25,8.9,,,,5.7
2001-02-26,8.9,,,,5.7
2001-02-27,8.9,,,,5.8
2001-02-28,9.0,22.5,30.4,18.7,5.9
2001-03-01,9.0,20.3,33.1,9.9,5.9
2001-03-02,9.1,22.5,37.4,6.3,5.9
2001-03-03,9.1,22.6,32.0,13.1,5.9
2001-03-04,9.1,27.1,40.8,13.6,5.9
2001-03-05,9.3,33.3,42.4,25.7,6.0
2001-03-06,9.3,34.7,51.3,23.7,6.0
