date,PREC_DAILY,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY,WTEQ_DAILY
2000-10-01,0.2,,,,0.0
2000-10-02,0.2,,,,0.0
2000-10-03,0.4,,,,0.0
2000-10-04,0.4,,,,0.0
2000-10-05,0.4,,,,0.0
2000-10-06,0.4,,,,0.0
2000-10-07,0.4,,,,0.0
2000-10-08,0.4,,,,0.0
2000-10-09,0.4,,,,0.0
2000-10-10,0.4,,,,0.0
2000-10-11,0.5,44.4,54.9,40.3,0.0
2000-10-12,0.6,42.1,44.2,40.5,0.0
2000-10-13,1.2,42.4,44.6,38.3,0.0
2000-10-14,1.4,36.7,41.2,32.2,0.0
2000-10-15,1.4,36.5,46.2,30.2,0.0
2000-10-16,2.6,42.1,45.1,38.3,0.0
2000-10-17,3.6,47.1,62.8,40.1,0.0
2000-10-18,3.6,41.9,45.3,37.4,0.0
2000-10-19,4.1,40.5,48.6,34.9,0.0
2000-10-20,6.6,41.2,47.1,33.6,0.0
2000-10-21,6.6,33.8,38.5,30.6,0.0
2000-10-22,6.6,38.3,52.0,30.7,0.0
2000-10-23,6.6,46.6,63.5,40.3,0.0
2000-10-24,6.6,46.6,60.4,42.3,0.0
2000-10-25,6.6,46.8,56.8,42.3,0.0
2000-10-26,6.6,43.9,51.8,38.8,0.0
2000-10-27,6.6,39.9,44.2,36.7,0.0
2000-10-28,7.3,37.4,45.5,34.3,0.0
2000-10-29,7.3,37.4,45.3,34.2,0.0
2000-10-30,7.3,37.4,52.5,33.4,0.0
2000-10-31,7.7,34.2,36.3,30.4,0.0
2000-11-01,7.7,34.9,49.5,29.5,0.1
2000-11-02,7.7,38.5,44.1,34.3,0.1
2000-11-03,7.7,43.5,55.0,36.9,0.2
2000-11-04,8.7,35.8,44.8,31.8,0.2
2000-11-05,9.0,33.3,36.5,31.6,0.2
2000-11-06,9.0,34.3,38.1,31.5,0.0
2000-11-07,9.1,34.5,39.4,31.5,0.1
2000-11-08,10.1,30.4,33.3,28.9,1.4
2000-11-09,10.1,29.8,38.3,24.6,1.5
2000-11-10,10.1,24.1,38.7,18.9,1.4
2000-11-11,10.1,23.2,33.4,17.8,1.4
2000-11-12,10.2,27.3,41.9,21.7,1.5
2000-11-13,10.2,27.7,35.2,24.3,1.5
2000-11-14,10.2,26.4,39.0,22.5,1.4
2000-11-15,10.2,27.0,40.1,23.0,1.4
2000-11-16,10.2,26.8,39.4,23.2,1.5
2000-11-17,10.2,30.4,43.0,25.0,1.5
2000-11-18,10.2,33.6,46.6,28.4,1.6
2000-11-19,10.2,36.9,46.8,34.2,1.6
2000-11-20,10.2,39.9,52.9,36.1,1.6
2000-11-21,10.2,37.2,51.4,32.9,1.5
2000-11-22,10.2,36.7,49.6,32.2,1.5
2000-11-23,11.7,36.1,40.3,34.0,1.6
2000-11-24,12.5,32.5,34.2,30.2,1.5
2000-11-25,13.0,33.1,36.0,30.6,1.7
2000-11-26,16.4,32.0,32.9,31.1,4.8
2000-11-27,17.1,29.7,31.8,26.1,5.3
2000-11-28,17.4,28.2,33.6,24.4,5.3
2000-11-29,18.1,32.0,33.1,31.1,6.1
2000-11-30,18.7,32.5,33.6,31.6,6.4
2000-12-01,18.7,33.8,39.7,31.5,6.4
2000-12-02,19.3,33.1,37.0,30.0,6.4
2000-12-03,19.3,32.5,40.5,28.6,6.3
2000-12-04,19.4,37.8,46.9,34.7,6.4
2000-12-05,19.4,40.5,49.1,36.9,6.4
2000-12-06,19.4,41.0,54.9,35.8,6.5
2000-12-07,19.4,37.8,50.5,35.2,6.5
2000-12-08,19.9,33.1,41.5,29.8,7.3
2000-12-09,20.1,27.0,30.2,24.8,7.9
2000-12-10,20.1,21.9,26.2,16.2,8.1
2000-12-11,20.1,18.0,23.5,15.6,8.1
2000-12-12,20.2,19.9,30.6,16.3,7.9
2000-12-13,20.4,25.0,31.5,20.7,8.0
2000-12-14,21.3,26.1,31.6,20.7,9.0
2000-12-15,22.1,21.2,27.7,18.3,10.3
2000-12-16,23.9,31.5,34.3,23.0,12.9
2000-12-17,23.9,28.8,30.6,25.0,12.8
2000-12-18,24.1,29.8,32.5,24.4,12.6
