date,PREC_DAILY,SNWD_DAILY,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY,WTEQ_DAILY
2004-10-01,0.1,0.0,43.0,54.9,34.7,0.0
2004-10-02,0.1,0.0,48.6,62.8,41.2,0.0
2004-10-03,0.1,0.0,49.1,62.4,42.3,0.0
2004-10-04,0.1,0.0,48.7,62.2,41.4,0.0
2004-10-05,0.1,0.0,49.8,61.9,43.0,0.0
2004-10-06,0.1,0.0,44.8,50.2,38.7,0.0
2004-10-07,0.1,0.0,42.6,53.1,36.7,0.0
2004-10-08,0.6,0.0,42.1,46.6,39.4,0.0
2004-10-09,0.7,0.0,37.9,40.8,34.9,0.0
2004-10-10,0.7,0.0,38.7,44.2,34.0,0.0
2004-10-11,0.9,0.0,43.0,51.1,37.6,0.0
2004-10-12,0.9,0.0,44.6,52.0,39.9,0.0
2004-10-13,0.9,0.0,49.3,59.5,41.5,0.0
2004-10-14,0.9,0.0,48.7,55.9,44.2,0.0
2004-10-15,0.9,0.0,45.1,49.1,41.7,0.0
2004-10-16,1.0,0.0,41.7,44.4,37.4,0.0
2004-10-17,1.5,0.0,37.4,39.9,34.7,0.0
2004-10-18,1.7,0.0,34.0,34.9,32.2,0.0
2004-10-19,1.7,0.0,37.0,40.5,33.4,0.0
2004-10-20,1.8,0.0,35.8,41.7,31.6,0.0
2004-10-21,1.8,0.0,33.6,34.9,32.0,0.0
2004-10-22,2.0,1.0,33.3,36.9,30.6,0.2
2004-10-23,2.0,1.0,29.5,33.3,25.7,0.2
2004-10-24,2.0,1.0,29.1,33.1,24.8,0.2
2004-10-25,2.2,1.0,30.6,34.2,25.0,0.4
2004-10-26,2.2,1.0,33.3,39.7,29.7,0.5
2004-10-27,2.2,1.0,34.5,43.3,29.5,0.6
2004-10-28,2.2,1.0,34.2,38.5,30.9,0.6
2004-10-29,2.4,1.0,33.8,35.6,32.5,0.6
2004-10-30,3.4,11.0,31.1,33.6,28.8,1.3
2004-10-31,3.5,13.0,27.3,31.3,22.5,1.4
2004-11-01,4.6,18.0,26.6,30.4,22.8,2.4
2004-11-02,5.7,15.0,32.9,34.9,30.0,2.7
2004-11-03,5.7,14.0,28.0,31.6,24.3,2.6
2004-11-04,5.7,14.0,29.7,34.7,24.1,2.5
2004-11-05,5.8,13.0,32.9,35.4,29.7,2.4
2004-11-06,6.1,11.0,36.0,39.0,33.6,2.5
2004-11-07,6.2,10.0,37.8,41.4,35.2,2.3
2004-11-08,6.2,9.0,37.6,43.3,34.0,2.3
2004-11-09,6.2,9.0,37.2,42.3,33.6,2.3
2004-11-10,6.2,9.0,35.2,43.0,32.2,2.3
2004-11-11,6.2,8.0,33.6,41.2,30.4,2.3
2004-11-12,6.2,8.0,33.1,37.8,30.0,2.2
2004-11-13,6.2,8.0,34.7,38.5,31.3,2.3
2004-11-14,6.3,9.0,30.7,31.6,30.2,2.4
2004-11-15,6.4,10.0,31.5,34.3,26.8,2.6
2004-11-16,6.7,12.0,29.5,33.4,26.1,2.5
2004-11-17,6.7,12.0,25.7,29.8,20.1,2.5
2004-11-18,7.1,16.0,29.7,31.5,27.0,3.1
2004-11-19,7.1,15.0,27.9,30.7,24.1,3.3
2004-11-20,7.1,14.0,26.2,29.1,23.2,3.2
2004-11-21,7.4,14.0,30.0,33.1,26.1,3.2
2004-11-22,7.6,14.0,33.4,35.4,32.5,3.5
2004-11-23,7.7,14.0,33.3,35.1,31.3,3.6
2004-11-24,8.9,13.0,35.4,38.8,33.6,3.7
2004-11-25,8.9,12.0,31.8,36.5,28.0,3.5
2004-11-26,8.9,11.0,26.4,28.2,24.1,3.6
2004-11-27,8.9,14.0,24.8,27.7,19.2,3.5
2004-11-28,8.9,14.0,21.7,27.7,16.0,3.4
2004-11-29,9.0,16.0,22.5,26.2,18.7,3.5
2004-11-30,9.2,16.0,25.9,29.3,22.1,3.5
2004-12-01,9.2,15.0,25.0,27.0,21.6,3.5
2004-12-02,9.2,15.0,26.6,30.0,22.3,3.5
2004-12-03,9.4,15.0,29.8,32.5,27.7,3.6
2004-12-04,9.8,19.0,27.1,30.0,24.8,4.2
2004-12-05,10.0,20.0,23.7,26.2,19.2,4.5
2004-12-06,10.0,20.0,21.2,25.3,18.0,4.5
2004-12-07,10.4,25.0,23.5,25.7,21.6,4.8
2004-12-08,11.4,32.0,27.7,30.7,24.8,5.7
2004-12-09,12.2,38.0,27.9,30.7,23.4,6.6
2004-12-10,15.8,34.0,33.8,36.3,28.8,7.7
2004-12-11,15.9,32.0,27.9,35.2,19.2,7.5
2004-12-12,16.0,32.0,23.2,27.9,17.4,7.5
2004-12-13,16.3,34.0,27.7,30.7,26.2,7.8
2004-12-14,16.7,35.0,32.2,35.1,26.6,8.0
2004-12-15,16.7,34.0,32.4,33.8,29.5,8.0
2004-12-16,16.7,33.0,29.5,33.4,27.0,8.0
2004-12-17,16.7,33.0,33.1,35.2,29.8,8.1
2004-12-18,16.7,32.0,35.8,41.2,31.6,8.2
2004-12-19,16.9,31.0,31.1,35.6,28.2,8.3
2004-12-20,17.0,31.0,27.1,28.8,25.0,8.3
2004-12-21,17.0,31.0,27.7,30.9,25.3,8.4
2004-12-22,17.0,31.0,27.1,29.5,23.7,8.4
2004-12-23,17.0,31.0,27.1,30.0,23.2,8.4
2004-12-24,17.2,30.0,31.8,34.5,28.2,8.4
2004-12-25,17.2,33.0,27.1,33.1,24.1,8.5
2004-12-26,17.3,33.0,27.7,30.4,24.1,8.6
2004-12-27,17.3,33.0,27.3,32.0,25.0,8.6
2004-12-28,17.3,33.0,26.8,30.0,24.3,8.6
2004-12-29,17.5,34.0,29.3,31.5,27.0,8.8
2004-12-30,17.5,34.0,26.4,27.9,24.1,8.9
2004-12-31,17.5,33.0,25.3,28.0,22.6,9.0
2005-01-01,17.5,33.0,23.9,28.0,17.6,9.1
2005-01-02,17.5,33.0,17.6,23.5,14.0,9.1
2005-01-03,17.5,33.0,15.3,18.0,10.0,9.0
2005-01-04,17.5,33.0,10.9,14.5,6.8,8.9
2005-01-05,17.5,33.0,16.5,20.7,10.9,8.8
2005-01-06,17.5,33.0,16.9,24.1,12.7,8.7
2005-01-07,17.5,34.0,17.8,21.6,13.5,8.8
2005-01-08,17.5,34.0,17.6,20.8,12.9,8.8
2005-01-09,17.5,34.0,13.3,17.4,9.0,8.9
2005-01-10,17.5,34.0,15.6,18.7,10.8,8.8
2005-01-11,17.6,32.0,15.8,22.1,8.1,8.8
2005-01-12,17.8,38.0,23.2,26.2,19.0,9.1
2005-01-13,17.8,38.0,17.2,22.1,9.3,9.1
2005-01-14,17.8,38.0,7.7,11.7,1.9,9.1
2005-01-15,17.8,38.0,7.0,10.6,3.7,9.2
2005-01-16,18.2,39.0,17.6,29.5,8.6,9.4
2005-01-17,19.6,41.0,24.1,34.2,13.1,11.3
2005-01-18,22.4,39.0,37.2,42.3,34.0,11.1
2005-01-19,22.5,37.0,42.1,50.0,37.4,10.8
2005-01-20,22.8,36.0,39.9,46.6,36.5,10.8
2005-01-21,22.8,36.0,36.9,41.2,34.3,10.7
2005-01-22,23.6,36.0,36.0,37.8,34.7,10.6
2005-01-23,23.8,34.0,38.3,40.8,36.3,10.1
2005-01-24,23.8,33.0,38.3,46.8,34.7,9.9
2005-01-25,23.8,33.0,36.5,43.7,32.9,10.0
2005-01-26,23.9,32.0,36.0,41.7,33.1,10.0
2005-01-27,24.0,32.0,33.4,36.3,29.5,10.2
2005-01-28,24.0,33.0,31.3,34.3,28.0,10.2
2005-01-29,24.1,33.0,32.7,36.0,30.6,10.2
2005-01-30,24.1,33.0,33.8,37.8,31.3,10.3
2005-01-31,24.3,34.0,31.6,34.9,27.0,10.6
2005-02-01,24.5,34.0,31.1,36.1,26.1,10.6
2005-02-02,24.5,33.0,34.2,37.9,32.4,10.7
2005-02-03,24.5,32.0,37.2,42.8,33.6,10.7
2005-02-04,25.3,38.0,33.3,42.3,27.1,11.2
2005-02-05,25.3,33.0,23.5,27.1,17.2,11.3
2005-02-06,25.3,36.0,20.8,24.8,15.8,11.3
2005-02-07,25.3,36.0,24.6,29.8,18.9,11.3
2005-02-08,25.3,36.0,22.8,30.0,18.1,11.3
2005-02-09,25.3,36.0,26.4,33.1,22.3,11.3
2005-02-10,25.3,36.0,25.7,32.2,19.9,11.3
2005-02-11,25.3,36.0,27.9,35.8,21.9,11.2
2005-02-12,25.6,37.0,29.5,35.1,23.9,10.9
2005-02-13,25.6,38.0,23.7,26.8,19.2,10.8
2005-02-14,25.6,38.0,20.1,25.3,14.9,10.7
2005-02-15,25.6,37.0,17.1,23.9,11.8,10.7
2005-02-16,25.6,38.0,20.8,29.8,13.6,10.7
2005-02-17,25.6,38.0,23.5,33.8,16.5,10.7
2005-02-18,25.6,38.0,24.3,35.1,17.1,10.7
2005-02-19,25.6,38.0,22.6,29.5,15.8,10.7
2005-02-20,25.6,38.0,20.8,32.7,12.6,10.8
2005-02-21,25.8,37.0,27.7,38.7,21.4,10.9
2005-02-22,25.8,37.0,30.7,43.2,23.2,10.9
2005-02-23,25.8,37.0,33.6,46.6,27.3,10.9
2005-02-24,25.9,36.0,34.3,46.2,28.4,10.9
2005-02-25,25.9,36.0,35.4,47.7,30.0,10.9
2005-02-26,25.9,36.0,35.4,48.0,29.8,11.0
2005-02-27,26.0,36.0,35.4,49.1,28.8,11.0
2005-02-28,26.0,36.0,34.5,43.9,31.1,11.1
2005-03-01,26.0,36.0,34.5,40.1,31.3,11.3
2005-03-02,26.0,35.0,35.8,43.3,31.6,11.3
2005-03-03,26.0,35.0,34.7,45.0,27.7,11.4
2005-03-04,26.0,35.0,35.6,45.5,28.6,11.3
2005-03-05,26.0,35.0,36.3,46.0,30.6,11.4
2005-03-06,26.1,34.0,37.0,45.7,30.6,11.7
2005-03-07,26.1,34.0,38.1,43.9,32.5,11.9
2005-03-08,26.1,33.0,39.6,50.2,31.1,11.9
2005-03-09,26.3,32.0,38.7,45.1,33.4,11.7
2005-03-10,26.3,32.0,39.7,51.3,32.4,11.4
2005-03-11,26.3,31.0,41.0,53.4,34.5,11.3
2005-03-12,26.3,31.0,33.6,41.5,29.1,11.3
2005-03-13,26.3,31.0,35.4,44.2,29.5,11.3
2005-03-14,26.3,31.0,36.1,46.8,29.8,11.3
2005-03-15,26.3,30.0,34.7,44.8,29.3,11.5
2005-03-16,26.7,36.0,30.7,37.0,27.5,11.8
2005-03-17,26.9,34.0,30.0,34.5,27.5,12.0
2005-03-18,27.1,36.0,29.1,35.1,27.0,12.2
2005-03-19,27.3,38.0,29.5,33.1,25.2,12.4
2005-03-20,27.5,40.0,32.2,35.8,29.1,12.8
2005-03-21,27.5,40.0,26.8,33.6,20.7,13.0
2005-03-22,27.5,39.0,26.2,37.0,19.8,13.1
2005-03-23,27.6,39.0,27.3,34.3,19.8,13.0
2005-03-24,27.7,38.0,28.4,35.1,22.6,12.7
2005-03-25,27.7,37.0,30.6,35.1,27.7,12.4
2005-03-26,28.9,54.0,29.5,31.5,28.6,13.2
2005-03-27,29.4,52.0,33.1,35.8,29.5,13.5
2005-03-28,29.4,50.0,30.4,34.3,26.2,13.7
2005-03-29,29.7,52.0,29.5,37.6,25.5,14.1
2005-03-30,30.2,56.0,28.2,33.1,22.5,14.9
2005-03-31,30.7,59.0,29.3,34.9,22.3,15.6
