date,PREC_DAILY,SNWD_DAILY,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY,WTEQ_DAILY
2005-10-01,0.0,0.0,48.9,64.8,37.4,0.0
2005-10-02,0.0,0.0,50.0,65.5,34.2,0.0
2005-10-03,0.0,0.0,54.9,64.0,46.0,0.0
2005-10-04,0.3,0.0,42.8,56.3,29.5,0.0
2005-10-05,0.3,0.0,30.7,40.3,24.3,0.0
2005-10-06,0.3,0.0,33.8,48.0,26.2,0.0
2005-10-07,0.4,0.0,41.2,60.3,28.4,0.0
2005-10-08,0.4,0.0,45.9,59.9,30.9,0.0
2005-10-09,0.9,0.0,35.2,40.6,30.2,0.0
2005-10-10,1.2,0.0,31.1,36.5,28.9,0.4
2005-10-11,1.4,2.0,32.5,37.2,28.0,0.6
2005-10-12,1.4,3.0,33.4,44.1,27.5,0.5
2005-10-13,1.4,2.0,35.2,49.8,27.3,0.6
2005-10-14,1.4,2.0,41.4,59.2,32.0,0.6
2005-10-15,1.4,2.0,42.3,57.9,33.4,0.6
2005-10-16,1.4,1.0,41.2,53.1,31.6,0.5
2005-10-17,1.4,1.0,41.7,58.5,31.5,0.6
2005-10-18,1.6,1.0,42.1,58.3,30.4,0.6
2005-10-19,2.0,0.0,37.9,41.7,34.9,0.3
2005-10-20,2.1,0.0,39.4,49.1,33.6,0.0
2005-10-21,2.1,0.0,37.8,49.8,29.7,0.0
2005-10-22,2.1,0.0,37.4,53.4,29.3,0.0
2005-10-23,2.1,0.0,39.0,52.5,31.1,0.0
2005-10-24,2.1,0.0,39.4,55.4,30.7,0.0
2005-10-25,2.1,0.0,41.0,57.4,32.5,0.0
2005-10-26,2.1,0.0,39.6,53.4,32.0,0.0
2005-10-27,2.1,0.0,41.2,51.8,31.1,0.0
2005-10-28,2.1,0.0,41.4,50.0,33.3,0.0
2005-10-29,2.3,0.0,35.1,41.7,31.8,0.2
2005-10-30,2.4,0.0,30.0,36.0,24.8,0.2
2005-10-31,2.4,0.0,28.2,38.5,15.8,0.3
2005-11-01,2.4,0.0,34.0,45.3,27.9,0.2
2005-11-02,2.4,0.0,41.5,52.9,29.8,0.4
2005-11-03,2.5,0.0,42.3,46.4,35.1,0.4
2005-11-04,2.6,2.0,34.9,40.6,27.0,0.4
2005-11-05,2.9,6.0,26.4,31.5,21.2,0.7
2005-11-06,3.0,5.0,37.8,46.6,26.1,0.8
2005-11-07,3.0,3.0,40.1,51.3,29.7,0.8
2005-11-08,3.0,2.0,42.1,48.4,37.8,0.9
2005-11-09,3.0,2.0,39.6,52.5,32.4,0.7
2005-11-10,3.0,2.0,40.5,54.9,30.2,0.7
2005-11-11,3.2,4.0,37.4,50.4,32.4,1.0
2005-11-12,3.6,6.0,29.8,36.0,20.1,1.3
2005-11-13,3.9,10.0,25.0,32.0,12.4,1.6
2005-11-14,4.7,16.0,26.6,34.2,15.1,2.3
2005-11-15,4.7,14.0,9.3,18.7,0.3,2.2
2005-11-16,4.8,12.0,22.6,31.1,10.2,2.4
2005-11-17,4.9,12.0,24.3,30.6,10.8,2.5
2005-11-18,5.1,12.0,20.5,31.3,7.0,2.7
2005-11-19,5.1,12.0,19.9,29.3,10.6,2.5
2005-11-20,5.1,13.0,20.7,31.8,11.1,2.6
2005-11-21,5.1,12.0,24.3,36.9,17.2,2.6
2005-11-22,5.1,12.0,23.7,36.1,15.8,2.6
2005-11-23,5.1,12.0,23.9,36.5,15.1,2.6
2005-11-24,5.1,12.0,22.6,36.7,15.3,2.6
2005-11-25,5.1,11.0,23.0,37.9,11.1,2.7
2005-11-26,5.3,15.0,25.0,34.0,12.4,2.8
2005-11-27,5.3,14.0,14.0,16.5,10.6,2.8
2005-11-28,5.3,14.0,8.2,15.3,-4.5,2.7
2005-11-29,5.5,13.0,14.2,28.4,-6.0,3.0
2005-11-30,5.6,17.0,18.3,28.4,9.1,3.1
2005-12-01,6.1,17.0,27.3,34.3,10.0,3.6
2005-12-02,6.7,25.0,31.1,37.8,21.0,4.2
2005-12-03,6.7,24.0,14.2,21.0,6.3,4.2
2005-12-04,6.8,24.0,7.2,12.7,-2.7,4.2
2005-12-05,6.9,22.0,7.9,17.4,-10.7,4.4
2005-12-06,7.0,24.0,10.2,16.7,-5.6,4.5
2005-12-07,7.0,23.0,-11.4,1.0,-19.7,4.3
2005-12-08,7.0,22.0,-2.4,16.9,-20.7,4.4
2005-12-09,7.1,22.0,8.1,18.9,-5.8,4.5
2005-12-10,7.1,21.0,12.4,25.0,2.1,4.5
2005-12-11,7.1,21.0,17.6,28.9,8.2,4.6
2005-12-12,7.2,21.0,20.7,30.9,13.3,4.7
2005-12-13,7.4,24.0,22.6,29.5,9.5,4.9
2005-12-14,7.4,24.0,4.6,13.6,-8.3,4.7
2005-12-15,7.4,23.0,0.1,15.6,-11.7,4.7
2005-12-16,7.4,23.0,7.3,20.8,-2.6,4.8
2005-12-17,7.5,22.0,11.1,20.1,-3.1,4.9
2005-12-18,7.7,22.0,20.3,25.9,14.7,5.1
2005-12-19,8.1,25.0,25.3,31.8,19.8,5.6
2005-12-20,8.2,28.0,28.2,34.5,23.4,5.6
2005-12-21,8.2,27.0,29.3,40.3,19.2,5.6
2005-12-22,8.2,25.0,32.4,41.2,23.5,5.6
2005-12-23,8.2,26.0,31.8,36.5,22.3,5.7
2005-12-24,8.2,26.0,22.6,34.0,10.2,5.6
2005-12-25,8.2,25.0,27.0,38.7,19.0,5.7
2005-12-26,8.3,24.0,30.6,41.7,18.9,5.7
2005-12-27,8.3,25.0,25.3,31.1,14.2,5.7
2005-12-28,8.5,25.0,29.1,40.8,14.0,5.9
2005-12-29,8.8,29.0,24.8,35.1,4.8,6.1
2005-12-30,8.8,27.0,19.2,31.3,-0.4,6.2
2005-12-31,9.1,28.0,34.3,41.2,26.1,6.5
2006-01-01,9.2,31.0,24.3,34.0,9.7,6.5
2006-01-02,9.3,30.0,30.0,39.7,14.0,6.7
2006-01-03,9.5,31.0,28.2,37.6,12.6,6.8
2006-01-04,9.6,30.0,21.2,31.5,9.3,6.9
2006-01-05,9.6,31.0,13.1,26.1,-0.4,6.9
2006-01-06,9.6,30.0,25.7,39.9,13.5,7.0
2006-01-07,9.6,29.0,31.5,41.9,21.4,7.1
2006-01-08,9.8,32.0,21.7,30.0,8.6,7.1
2006-01-09,9.8,30.0,10.8,22.8,0.5,7.0
2006-01-10,9.8,30.0,18.5,31.6,6.1,7.1
2006-01-11,9.9,30.0,28.4,38.8,12.0,7.3
2006-01-12,10.1,32.0,16.2,25.5,0.3,7.3
2006-01-13,10.1,31.0,17.1,30.0,1.0,7.4
2006-01-14,10.1,30.0,27.3,42.4,15.1,7.5
2006-01-15,10.2,31.0,24.8,34.5,13.8,7.6
2006-01-16,10.2,33.0,9.7,18.0,-6.2,7.4
2006-01-17,10.4,32.0,19.8,27.1,-1.5,7.7
2006-01-18,10.7,35.0,26.8,31.8,20.8,8.0
2006-01-19,10.7,35.0,19.4,27.3,11.7,8.1
2006-01-20,10.7,35.0,7.3,19.0,-3.8,8.0
2006-01-21,10.8,35.0,8.6,23.0,-8.1,8.0
2006-01-22,10.8,34.0,6.4,20.1,-4.7,7.9
2006-01-23,10.8,33.0,8.2,23.4,-6.3,8.0
2006-01-24,10.9,33.0,19.6,34.3,6.1,8.1
2006-01-25,10.9,32.0,26.2,40.1,15.3,8.2
2006-01-26,10.9,33.0,25.3,32.5,12.9,8.2
2006-01-27,10.9,33.0,20.7,30.7,5.5,8.2
2006-01-28,10.9,33.0,17.4,26.1,10.0,8.3
2006-01-29,11.2,33.0,20.1,24.8,15.8,8.4
2006-01-30,11.2,34.0,25.5,36.0,16.0,8.5
2006-01-31,11.4,37.0,25.3,35.4,10.2,8.6
2006-02-01,11.7,41.0,25.5,34.5,13.3,9.0
2006-02-02,12.0,45.0,22.3,28.4,16.7,9.4
2006-02-03,12.3,46.0,21.2,25.7,10.2,9.6
2006-02-04,12.3,47.0,22.6,35.4,7.0,9.7
2006-02-05,12.6,47.0,17.8,27.3,9.9,9.9
2006-02-06,12.6,44.0,12.4,25.3,-2.0,9.9
2006-02-07,12.6,43.0,21.4,35.2,9.0,9.9
2006-02-08,12.6,42.0,22.1,38.1,8.1,10.0
2006-02-09,12.6,41.0,27.1,43.3,10.2,10.0
2006-02-10,12.6,42.0,4.5,16.5,-13.4,9.8
2006-02-11,12.6,41.0,1.0,19.8,-14.8,9.8
2006-02-12,12.7,41.0,15.4,34.9,-0.6,9.9
2006-02-13,12.7,40.0,18.7,32.5,8.8,10.0
2006-02-14,12.7,39.0,27.1,36.0,5.7,10.1
2006-02-15,12.7,39.0,28.8,37.2,12.7,10.1
2006-02-16,12.7,40.0,6.6,16.7,-7.2,9.9
2006-02-17,12.7,39.0,15.6,28.4,3.4,10.0
2006-02-18,12.7,39.0,18.0,30.7,1.8,10.1
2006-02-19,12.7,41.0,18.1,28.0,10.6,10.2
2006-02-20,12.7,40.0,10.8,23.7,1.4,10.2
2006-02-21,12.7,40.0,10.4,25.9,-5.3,10.2
2006-02-22,13.0,40.0,9.5,22.8,-3.5,10.2
2006-02-23,13.2,40.0,16.2,34.2,0.0,10.2
2006-02-24,13.2,40.0,20.3,38.7,3.9,10.2
2006-02-25,13.2,40.0,23.0,40.1,8.4,10.3
2006-02-26,13.2,39.0,29.7,45.3,11.1,10.4
2006-02-27,13.2,39.0,36.3,50.2,21.9,10.4
2006-02-28,13.2,37.0,40.8,51.8,32.0,10.5
2006-03-01,13.3,39.0,25.7,33.8,17.1,10.5
2006-03-02,13.3,39.0,28.8,45.0,16.7,10.6
2006-03-03,13.3,38.0,35.4,47.8,24.8,10.6
2006-03-04,13.3,38.0,33.3,41.7,16.3,10.5
2006-03-05,13.3,38.0,32.2,46.4,17.2,10.5
2006-03-06,13.4,37.0,37.9,49.8,24.1,10.6
2006-03-07,13.5,39.0,33.6,40.3,28.2,10.7
2006-03-08,13.7,41.0,26.1,33.4,12.6,10.8
2006-03-09,13.8,45.0,18.7,30.6,7.5,10.8
2006-03-10,14.2,47.0,13.3,24.6,2.3,11.1
2006-03-11,14.2,46.0,16.2,26.2,0.0,11.3
2006-03-12,14.2,47.0,17.8,27.5,10.9,11.5
2006-03-13,14.6,48.0,13.1,22.1,6.3,11.6
2006-03-14,14.8,46.0,21.9,39.2,-0.6,11.8
2006-03-15,14.9,47.0,22.6,33.1,2.7,11.7
2006-03-16,14.9,46.0,22.3,39.0,0.7,11.9
2006-03-17,14.9,45.0,34.2,41.5,24.6,11.9
2006-03-18,15.0,46.0,30.6,37.6,21.7,12.0
2006-03-19,15.1,46.0,26.1,37.6,16.7,12.1
2006-03-20,15.1,46.0,20.8,30.9,7.5,12.0
2006-03-21,15.1,46.0,21.9,35.1,4.1,12.1
2006-03-22,15.1,45.0,23.4,35.8,11.8,12.1
2006-03-23,15.2,45.0,23.4,37.8,11.5,12.1
2006-03-24,15.2,45.0,28.2,43.3,12.9,12.1
2006-03-25,15.2,43.0,36.1,48.2,20.5,12.2
2006-03-26,15.3,46.0,27.0,39.0,9.9,12.2
2006-03-27,15.3,45.0,26.2,45.0,4.8,12.4
2006-03-28,15.4,44.0,35.8,48.0,21.9,12.5
2006-03-29,15.4,44.0,35.4,44.2,27.1,12.5
2006-03-30,15.4,44.0,28.9,37.0,18.1,12.4
2006-03-31,15.5,43.0,34.5,50.2,15.3,12.5
2006-04-01,15.6,43.0,35.4,43.7,23.9,12.6
2006-04-02,15.6,44.0,27.9,41.5,12.7,12.5
2006-04-03,15.6,42.0,36.5,51.8,21.2,12.6
2006-04-04,15.6,41.0,40.3,53.8,29.3,12.4
2006-04-05,15.7,41.0,38.5,51.6,25.5,12.4
2006-04-06,15.9,43.0,28.6,35.8,23.4,12.0
2006-04-07,16.0,41.0,34.7,47.3,27.1,12.3
2006-04-08,16.0,40.0,39.0,51.8,25.2,12.3
2006-04-09,16.0,40.0,41.9,56.3,29.1,12.5
2006-04-10,16.0,39.0,43.5,51.8,30.0,12.4
2006-04-11,16.0,40.0,36.9,45.0,29.7,12.5
2006-04-12,16.0,37.0,41.7,57.0,27.9,12.4
2006-04-13,16.0,37.0,43.5,58.8,28.6,12.4
2006-04-14,16.0,35.0,43.7,57.2,29.5,12.3
2006-04-15,16.2,36.0,36.7,46.6,30.2,12.5
2006-04-16,16.2,35.0,43.2,55.4,29.5,12.4
2006-04-17,16.2,34.0,41.4,55.2,22.3,12.3
2006-04-18,16.3,35.0,24.3,34.0,19.0,12.2
2006-04-19,16.3,35.0,27.3,42.6,12.6,12.2
2006-04-20,16.3,34.0,34.5,50.4,18.1,12.2
2006-04-21,16.3,33.0,40.6,57.0,26.1,12.2
2006-04-22,16.3,32.0,45.3,61.9,30.7,12.2
2006-04-23,16.3,30.0,46.6,62.1,31.6,11.8
2006-04-24,16.3,30.0,37.0,46.8,29.3,11.9
2006-04-25,16.3,29.0,35.1,46.0,27.5,12.2
2006-04-26,16.3,28.0,40.8,55.9,27.3,11.7
2006-04-27,16.3,27.0,44.6,58.6,31.3,11.5
2006-04-28,16.3,26.0,35.6,46.2,26.4,11.3
2006-04-29,16.3,25.0,36.9,49.1,23.5,10.8
2006-04-30,16.5,24.0,40.3,49.8,31.6,10.7
2006-05-01,16.5,22.0,40.8,56.7,29.5,10.4
2006-05-02,16.6,21.0,43.3,55.8,31.1,9.8
2006-05-03,16.6,21.0,40.8,53.1,32.9,9.5
2006-05-04,16.6,19.0,42.8,57.2,32.4,9.0
2006-05-05,16.7,18.0,37.0,47.1,31.3,9.0
2006-05-06,16.7,18.0,39.6,52.9,30.0,8.6
2006-05-07,16.8,16.0,41.7,55.0,31.6,7.9
2006-05-08,17.1,13.0,38.5,49.8,32.9,7.4
2006-05-09,17.1,13.0,37.6,48.9,28.2,7.1
2006-05-10,17.1,12.0,34.3,46.2,25.0,6.7
2006-05-11,17.1,11.0,41.0,56.3,27.5,5.9
2006-05-12,17.1,6.0,47.8,63.9,31.1,4.7
2006-05-13,17.1,3.0,49.6,64.2,32.0,3.9
2006-05-14,17.1,2.0,48.0,63.7,36.3,2.8
2006-05-15,17.1,2.0,47.5,63.7,33.6,2.0
2006-05-16,17.1,0.0,50.2,65.5,35.8,1.3
2006-05-17,17.1,0.0,50.9,65.7,39.9,1.2
2006-05-18,17.1,0.0,54.0,68.5,41.7,0.6
2006-05-19,17.1,0.0,52.9,66.7,42.3,0.3
2006-05-20,17.1,0.0,52.0,66.2,39.7,0.0
2006-05-21,17.1,0.0,53.6,68.2,38.3,0.0
2006-05-22,17.8,0.0,48.9,67.8,36.5,0.0
2006-05-23,17.8,0.0,43.9,57.4,34.5,0.0
2006-05-24,17.8,0.0,48.6,64.4,32.7,0.0
2006-05-25,17.8,0.0,53.4,68.4,39.6,0.0
2006-05-26,17.8,0.0,55.2,69.8,40.6,0.0
2006-05-27,17.8,0.0,55.2,65.7,41.7,0.0
2006-05-28,17.8,0.0,44.4,54.7,28.6,0.0
2006-05-29,17.8,0.0,38.8,50.5,24.6,0.0
2006-05-30,17.8,0.0,44.1,58.8,30.7,0.0
2006-05-31,17.8,0.0,47.5,63.3,32.4,0.0
2006-06-01,17.8,0.0,52.5,69.6,34.3,0.0
2006-06-02,17.8,0.0,56.8,72.9,41.2,0.0
2006-06-03,17.8,0.0,57.0,71.8,42.6,0.0
2006-06-04,17.8,0.0,56.8,71.4,41.9,0.0
2006-06-05,17.8,0.0,58.1,73.8,44.6,0.0
