date,PREC_DAILY,SNWD_DAILY,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY,WTEQ_DAILY
2007-10-01,0.2,,48.4,66.7,30.7,0.0
2007-10-02,0.2,0.0,48.6,61.2,32.9,0.0
2007-10-03,0.2,,48.4,63.3,30.4,0.0
2007-10-04,0.4,0.0,52.7,64.8,45.0,0.0
2007-10-05,0.4,,54.1,68.9,41.4,0.0
2007-10-06,0.5,,55.2,68.5,34.7,0.0
2007-10-07,0.5,0.0,40.8,56.3,30.7,0.0
2007-10-08,0.5,0.0,42.6,68.2,24.8,0.0
2007-10-09,0.5,,45.7,66.2,27.5,0.0
2007-10-10,0.5,0.0,51.4,65.7,39.9,0.0
2007-10-11,0.5,0.0,50.0,69.6,36.3,0.0
2007-10-12,0.5,,51.1,69.8,35.4,0.0
2007-10-13,0.5,,50.0,62.1,36.1,0.0
2007-10-14,0.5,0.0,41.2,55.2,25.2,0.0
2007-10-15,0.5,,40.5,55.0,30.6,0.0
2007-10-16,0.6,,44.8,58.3,33.6,0.0
2007-10-17,0.8,,36.3,43.3,32.2,0.0
2007-10-18,0.8,0.0,36.7,45.9,29.5,0.0
2007-10-19,0.8,,46.6,60.8,31.1,0.0
2007-10-20,0.8,,54.3,65.3,44.8,0.0
2007-10-21,1.0,0.0,30.9,76.1,16.3,0.0
2007-10-22,1.0,,29.3,41.5,16.9,0.0
2007-10-23,1.0,0.0,40.8,62.8,27.0,0.0
2007-10-24,1.0,,41.7,63.5,27.3,0.0
2007-10-25,1.0,0.0,44.1,68.7,29.3,0.0
2007-10-26,1.0,,45.3,67.6,29.5,0.0
2007-10-27,1.0,0.0,42.3,63.9,28.9,0.0
2007-10-28,1.0,0.0,42.1,62.6,30.0,0.0
2007-10-29,1.0,0.0,43.2,64.6,29.7,0.0
2007-10-30,1.0,,45.5,58.8,29.5,0.0
2007-10-31,1.0,0.0,39.2,52.5,26.6,0.0
2007-11-01,1.0,,38.7,54.1,23.0,0.0
2007-11-02,1.0,0.0,38.7,52.5,27.3,0.0
2007-11-03,1.0,0.0,37.2,60.3,21.9,0.0
2007-11-04,1.0,0.0,41.5,60.8,25.9,0.0
2007-11-05,1.0,0.0,41.9,63.7,28.2,0.0
2007-11-06,1.0,,39.4,57.7,25.9,0.0
2007-11-07,1.0,,45.9,60.4,36.3,0.0
2007-11-08,1.0,0.0,43.0,62.1,29.3,0.0
2007-11-09,1.0,,40.5,61.2,26.8,0.0
2007-11-10,1.0,,45.7,61.2,33.1,0.0
2007-11-11,1.0,0.0,43.0,56.8,31.6,0.0
2007-11-12,1.0,,41.2,60.6,29.5,0.0
2007-11-13,1.0,,44.8,55.9,33.8,0.0
2007-11-14,1.0,0.0,39.6,57.9,22.8,0.0
2007-11-15,1.0,,37.8,53.2,21.2,0.0
2007-11-16,1.0,0.0,43.3,57.7,31.3,0.0
2007-11-17,1.0,0.0,38.5,58.6,28.2,0.0
2007-11-18,1.0,,44.2,62.1,28.9,0.0
2007-11-19,1.0,,46.8,64.0,31.1,0.0
2007-11-20,1.0,,47.7,56.8,42.4,0.0
2007-11-21,1.0,0.0,33.6,45.5,14.7,0.0
2007-11-22,1.1,0.0,27.7,42.8,16.7,0.0
2007-11-23,1.4,3.0,24.3,31.6,19.6,0.2
2007-11-24,1.4,1.0,20.7,37.2,6.4,0.2
2007-11-25,1.5,1.0,21.4,45.0,5.2,0.2
2007-11-26,1.5,1.0,24.1,36.7,14.2,0.2
2007-11-27,1.5,,32.0,46.2,9.1,0.2
2007-11-28,1.5,0.0,32.7,41.7,22.6,0.0
2007-11-29,1.5,0.0,34.3,45.3,23.7,0.0
2007-11-30,1.8,,38.7,53.4,28.9,0.3
2007-12-01,2.9,0.0,37.2,44.1,29.3,0.4
2007-12-02,3.0,1.0,27.0,38.1,20.8,0.4
2007-12-03,3.0,0.0,37.4,52.9,23.2,0.3
2007-12-04,3.0,,42.6,57.7,35.1,0.1
2007-12-05,3.0,0.0,38.7,48.9,31.3,0.1
2007-12-06,3.0,0.0,40.3,46.2,36.0,0.1
2007-12-07,3.1,0.0,40.6,45.3,35.2,0.2
2007-12-08,3.6,185.0,35.8,46.8,25.7,0.4
2007-12-09,3.6,0.0,26.1,37.8,19.6,0.4
2007-12-10,4.0,4.0,30.4,38.3,19.8,0.7
2007-12-11,4.4,7.0,25.9,31.3,21.6,0.9
2007-12-12,4.4,7.0,22.8,33.6,13.1,0.9
2007-12-13,4.4,6.0,19.6,39.0,7.5,0.9
