date,PREC_DAILY,SNWD_DAILY,WTEQ_DAILY
2007-10-01,0.4,6.0,0.7
2007-10-02,0.4,3.0,0.6
2007-10-03,0.4,1.0,0.5
2007-10-04,0.6,1.0,0.0
2007-10-05,1.6,7.0,1.0
2007-10-06,2.3,13.0,1.4
2007-10-07,2.3,10.0,1.4
2007-10-08,2.3,7.0,1.3
2007-10-09,2.3,5.0,1.3
2007-10-10,2.3,5.0,1.1
2007-10-11,2.3,4.0,1.0
2007-10-12,2.3,3.0,1.0
2007-10-13,2.4,5.0,1.0
2007-10-14,2.4,5.0,1.0
2007-10-15,2.4,4.0,1.0
2007-10-16,2.9,9.0,1.4
2007-10-17,3.3,13.0,1.7
2007-10-18,3.4,11.0,1.8
2007-10-19,3.4,9.0,1.8
2007-10-20,4.0,14.0,2.3
2007-10-21,4.2,13.0,2.3
2007-10-22,4.2,12.0,2.3
2007-10-23,4.2,11.0,2.3
2007-10-24,4.2,10.0,2.3
2007-10-25,4.2,9.0,2.3
2007-10-26,4.2,9.0,2.3
2007-10-27,4.2,9.0,2.3
2007-10-28,4.2,9.0,2.3
2007-10-29,4.2,9.0,2.2
2007-10-30,4.5,11.0,2.4
2007-10-31,4.5,11.0,2.4
2007-11-01,4.5,12.0,2.4
2007-11-02,4.5,11.0,2.4
2007-11-03,4.5,11.0,2.5
2007-11-04,4.5,10.0,2.5
2007-11-05,4.5,10.0,2.5
2007-11-06,4.5,11.0,2.5
2007-11-07,4.5,10.0,2.5
2007-11-08,4.5,10.0,2.5
2007-11-09,4.5,10.0,2.5
2007-11-10,4.5,10.0,2.5
2007-11-11,4.7,12.0,2.6
2007-11-12,4.7,12.0,2.6
2007-11-13,4.8,11.0,2.6
2007-11-14,4.8,11.0,2.6
2007-11-15,4.8,12.0,2.6
2007-11-16,4.8,11.0,2.6
2007-11-17,4.8,11.0,2.6
2007-11-18,4.8,11.0,2.6
2007-11-19,4.8,11.0,2.6
2007-11-20,5.0,12.0,2.6
2007-11-21,5.0,12.0,2.6
2007-11-22,5.0,12.0,2.6
2007-11-23,5.0,12.0,2.6
2007-11-24,5.0,12.0,2.6
2007-11-25,5.0,12.0,2.6
2007-11-26,5.0,12.0,2.5
2007-11-27,5.2,13.0,2.4
2007-11-28,5.2,13.0,2.4
2007-11-29,5.2,13.0,2.5
2007-11-30,5.7,19.0,3.0
2007-12-01,6.0,23.0,3.2
2007-12-02,6.0,21.0,3.3
2007-12-03,6.0,19.0,3.4
2007-12-04,6.0,18.0,3.4
2007-12-05,6.2,19.0,3.5
2007-12-06,6.5,21.0,3.8
2007-12-07,7.0,28.0,4.4
2007-12-08,7.3,31.0,4.5
