date,PREC_DAILY,SNWD_DAILY,TAVG_DAILY,WTEQ_DAILY
2011-10-01,0.0,0.0,55.0,0.0
2011-10-02,0.0,0.0,50.2,0.0
2011-10-03,0.0,0.0,50.5,0.0
2011-10-04,0.3,1.0,47.1,0.3
2011-10-05,1.9,1.0,38.8,0.8
2011-10-06,3.2,5.0,30.6,0.9
2011-10-07,3.3,4.0,27.9,0.9
2011-10-08,3.3,2.0,33.1,0.7
2011-10-09,3.3,2.0,34.3,0.5
2011-10-10,3.3,1.0,36.9,0.4
2011-10-11,3.3,1.0,40.8,0.3
2011-10-12,3.3,1.0,40.3,0.3
2011-10-13,3.3,0.0,44.4,0.0
2011-10-14,3.3,0.0,47.5,0.0
2011-10-15,3.3,0.0,50.2,0.0
2011-10-16,3.3,0.0,50.9,0.0
2011-10-17,3.4,0.0,41.0,0.0
2011-10-18,3.4,0.0,37.6,0.0
2011-10-19,3.4,0.0,40.8,0.0
2011-10-20,3.4,0.0,43.7,0.0
2011-10-21,3.4,0.0,43.3,0.0
2011-10-22,3.4,0.0,43.2,0.0
2011-10-23,3.4,0.0,43.2,0.0
2011-10-24,3.4,0.0,44.6,0.0
2011-10-25,3.6,0.0,40.1,0.0
2011-10-26,3.9,0.0,25.9,0.0
2011-10-27,3.9,0.0,24.8,0.0
2011-10-28,3.9,0.0,29.3,0.0
2011-10-29,3.9,0.0,34.7,0.0
2011-10-30,3.9,0.0,37.0,0.0
2011-10-31,3.9,0.0,39.2,0.0
2011-11-01,4.0,0.0,32.4,0.0
2011-11-02,4.1,0.0,23.0,0.0
2011-11-03,4.1,0.0,25.7,0.0
2011-11-04,4.1,0.0,34.2,0.0
2011-11-05,4.6,4.0,25.9,0.8
2011-11-06,4.6,3.0,21.0,0.8
2011-11-07,4.8,3.0,22.6,1.0
2011-11-08,4.8,4.0,19.9,1.0
2011-11-09,4.8,4.0,22.8,1.0
2011-11-10,4.8,3.0,25.9,1.0
2011-11-11,4.8,3.0,27.7,1.0
2011-11-12,4.8,4.0,30.2,1.0
2011-11-13,4.8,3.0,31.5,1.0
2011-11-14,4.8,4.0,32.4,1.0
2011-11-15,4.8,3.0,29.5,1.0
2011-11-16,4.8,3.0,22.8,1.0
2011-11-17,4.8,3.0,27.5,1.0
2011-11-18,4.8,3.0,31.6,1.0
2011-11-19,4.8,3.0,26.4,1.0
2011-11-20,4.9,1.0,28.8,1.2
2011-11-21,5.3,5.0,27.9,1.5
2011-11-22,5.3,5.0,27.1,1.5
2011-11-23,5.3,5.0,30.2,1.5
2011-11-24,5.3,5.0,30.4,1.5
2011-11-25,5.3,5.0,28.8,1.4
2011-11-26,5.3,6.0,20.7,1.4
2011-11-27,5.3,6.0,28.2,1.4
2011-11-28,5.3,5.0,33.4,1.5
2011-11-29,5.3,5.0,31.6,1.5
2011-11-30,5.3,5.0,30.7,1.5
2011-12-01,5.3,5.0,23.0,1.5
2011-12-02,5.3,7.0,20.5,1.5
2011-12-03,5.4,8.0,14.5,1.6
2011-12-04,5.4,8.0,9.1,1.6
2011-12-05,5.4,8.0,4.6,1.6
2011-12-06,5.4,7.0,9.5,1.6
2011-12-07,5.4,7.0,21.7,1.6
2011-12-08,5.4,7.0,25.7,1.6
2011-12-09,5.4,7.0,23.4,1.6
2011-12-10,5.4,7.0,22.3,1.6
2011-12-11,5.4,7.0,21.9,1.6
2011-12-12,5.6,9.0,22.8,1.8
2011-12-13,5.6,9.0,23.4,1.8
2011-12-14,5.6,9.0,17.8,1.8
2011-12-15,5.6,9.0,16.2,1.8
2011-12-16,5.6,9.0,19.0,1.8
2011-12-17,5.6,8.0,25.0,1.8
2011-12-18,5.6,9.0,28.6,1.8
2011-12-19,5.6,8.0,23.5,1.8
2011-12-20,5.6,8.0,19.4,1.8
2011-12-21,5.6,8.0,18.7,1.8
2011-12-22,5.6,9.0,16.2,1.8
2011-12-23,5.6,9.0,24.3,1.8
2011-12-24,5.6,8.0,25.3,1.8
2011-12-25,5.6,9.0,26.6,1.8
2011-12-26,5.6,9.0,26.1,1.8
2011-12-27,5.6,9.0,26.8,1.8
2011-12-28,5.6,8.0,27.9,1.8
2011-12-29,5.7,8.0,34.9,2.0
2011-12-30,5.7,8.0,34.5,2.0
2011-12-31,5.7,8.0,21.6,2.0
2012-01-01,5.7,8.0,25.3,2.0
2012-01-02,5.7,8.0,30.6,2.0
2012-01-03,5.7,8.0,32.5,2.0
2012-01-04,5.7,8.0,31.5,2.0
2012-01-05,5.7,8.0,31.8,2.0
2012-01-06,5.7,8.0,30.9,2.0
2012-01-07,5.7,8.0,23.9,2.0
2012-01-08,5.7,8.0,19.4,2.0
2012-01-09,5.7,8.0,23.9,2.0
2012-01-10,5.7,8.0,27.5,2.0
2012-01-11,5.7,8.0,18.3,2.0
2012-01-12,5.7,8.0,19.0,2.0
2012-01-13,5.7,8.0,27.3,1.9
2012-01-14,5.7,8.0,27.0,1.9
2012-01-15,5.7,8.0,25.5,1.9
2012-01-16,5.7,8.0,15.6,1.9
2012-01-17,5.7,8.0,9.7,1.9
2012-01-18,6.0,8.0,30.0,2.1
2012-01-19,6.0,7.0,36.0,2.1
2012-01-20,6.0,7.0,33.8,2.1
2012-01-21,7.1,16.0,27.9,2.9
2012-01-22,7.1,15.0,20.3,2.9
2012-01-23,7.3,14.0,19.9,3.0
2012-01-24,7.3,15.0,19.0,3.0
2012-01-25,7.3,15.0,23.4,3.0
2012-01-26,7.3,14.0,28.2,3.0
2012-01-27,7.3,14.0,19.9,3.0
2012-01-28,7.3,14.0,18.0,3.0
2012-01-29,7.3,14.0,28.4,3.0
2012-01-30,7.3,13.0,28.6,3.0
2012-01-31,7.3,13.0,22.8,3.0
2012-02-01,7.5,14.0,24.4,3.1
2012-02-02,7.5,14.0,24.4,3.1
2012-02-03,7.5,14.0,19.8,3.1
2012-02-04,7.5,14.0,17.2,3.1
2012-02-05,7.5,14.0,18.1,3.1
2012-02-06,7.5,14.0,18.7,3.1
2012-02-07,7.5,14.0,15.4,3.1
2012-02-08,7.5,14.0,23.5,3.1
2012-02-09,7.5,14.0,25.0,3.1
2012-02-10,7.5,14.0,26.1,3.1
2012-02-11,7.5,13.0,28.0,3.1
2012-02-12,8.0,19.0,27.0,3.7
2012-02-13,8.2,20.0,22.5,3.8
2012-02-14,8.3,21.0,24.1,3.9
2012-02-15,8.4,22.0,23.0,4.0
2012-02-16,8.4,21.0,20.7,4.0
