date,PREC_DAILY,SNWD_DAILY,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY,WTEQ_DAILY
2013-10-01,0.0,0.0,47.7,57.7,36.7,0.0
2013-10-02,0.0,0.0,41.4,52.0,34.5,0.0
2013-10-03,0.0,0.0,36.5,43.2,31.6,0.0
2013-10-04,0.0,0.0,39.7,47.8,32.9,0.0
2013-10-05,0.0,0.0,45.7,55.6,34.3,0.0
2013-10-06,0.0,0.0,55.6,62.1,47.8,0.0
2013-10-07,0.0,0.0,53.2,61.0,39.4,0.0
2013-10-08,0.0,0.0,40.3,47.5,29.8,0.0
2013-10-09,0.0,0.0,41.0,48.2,33.3,0.0
2013-10-10,0.0,0.0,45.3,53.8,37.6,0.0
2013-10-11,0.0,0.0,43.2,50.9,34.2,0.0
2013-10-12,0.0,0.0,44.4,52.0,39.7,0.0
2013-10-13,0.0,0.0,40.8,46.4,34.0,0.0
2013-10-14,0.0,0.0,39.6,49.8,30.9,0.0
2013-10-15,0.0,0.0,41.7,50.9,34.9,0.0
2013-10-16,0.0,0.0,45.7,52.3,38.5,0.0
2013-10-17,0.1,0.0,47.3,56.1,41.2,0.0
2013-10-18,0.1,0.0,46.9,57.0,38.5,0.0
2013-10-19,0.1,0.0,50.9,58.1,42.1,0.0
2013-10-20,0.1,0.0,54.1,60.8,46.8,0.0
2013-10-21,0.1,0.0,51.1,61.9,43.3,0.0
2013-10-22,0.1,0.0,52.9,62.4,44.8,0.0
2013-10-23,0.1,0.0,53.6,63.1,46.6,0.0
2013-10-24,0.1,0.0,54.0,62.6,46.6,0.0
2013-10-25,0.1,0.0,54.1,62.4,47.7,0.0
2013-10-26,0.1,0.0,53.1,61.5,45.0,0.0
2013-10-27,0.1,0.0,45.7,55.9,34.0,0.0
2013-10-28,0.5,4.0,34.3,38.5,30.4,0.4
2013-10-29,0.7,4.0,32.7,39.6,29.7,0.5
2013-10-30,0.7,4.0,32.4,38.1,28.4,0.5
2013-10-31,0.7,3.0,38.5,45.7,32.9,0.4
2013-11-01,0.7,3.0,42.8,47.1,36.9,0.3
2013-11-02,0.7,2.0,39.6,45.9,29.3,0.2
2013-11-03,0.7,1.0,30.0,36.0,26.6,0.2
2013-11-04,0.7,1.0,30.9,37.2,25.9,0.2
2013-11-05,0.7,1.0,32.9,38.1,27.0,0.2
2013-11-06,0.7,1.0,41.9,45.5,37.4,0.2
2013-11-07,0.7,1.0,45.9,50.5,42.1,0.1
2013-11-08,0.7,1.0,42.1,48.0,36.7,0.1
2013-11-09,0.7,0.0,44.4,50.0,36.7,0.0
2013-11-10,0.7,0.0,48.7,52.3,44.8,0.0
2013-11-11,0.7,0.0,52.9,60.1,43.5,0.0
2013-11-12,0.8,0.0,52.0,57.4,45.3,0.0
2013-11-13,0.8,0.0,47.1,54.1,39.4,0.0
2013-11-14,0.8,0.0,41.5,49.6,31.6,0.0
2013-11-15,0.8,0.0,30.7,36.0,22.8,0.0
2013-11-16,0.9,1.0,36.0,42.1,28.9,0.1
2013-11-17,0.9,1.0,38.1,43.5,31.5,0.1
2013-11-18,0.9,1.0,42.1,45.3,38.5,0.1
2013-11-19,1.6,1.0,37.4,40.3,34.0,0.5
2013-11-20,1.8,1.0,34.3,41.4,27.3,0.4
2013-11-21,1.8,1.0,27.5,31.3,21.4,0.4
2013-11-22,1.8,1.0,34.7,40.3,28.0,0.3
2013-11-23,1.8,1.0,38.3,45.1,30.9,0.2
2013-11-24,1.8,0.0,40.1,47.8,32.2,0.0
2013-11-25,1.9,1.0,41.9,49.3,35.4,0.1
2013-11-26,1.9,1.0,44.6,49.8,39.6,0.1
2013-11-27,1.9,0.0,43.3,47.8,38.7,0.0
2013-11-28,1.9,0.0,42.3,50.5,37.4,0.0
2013-11-29,1.9,0.0,39.7,45.0,34.7,0.0
2013-11-30,1.9,0.0,40.1,44.4,36.0,0.0
