date,PREC_DAILY,SNWD_DAILY,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY,WTEQ_DAILY
2013-10-01,0.1,5.0,35.4,43.5,29.5,1.4
2013-10-02,0.2,5.0,30.7,37.8,23.7,1.4
2013-10-03,1.7,15.0,25.2,29.7,20.7,2.9
2013-10-04,1.7,16.0,25.7,36.0,19.8,2.8
2013-10-05,1.9,13.0,37.2,48.7,24.8,2.8
2013-10-06,2.0,11.0,46.2,57.2,36.5,2.7
2013-10-07,2.0,9.0,46.0,54.9,36.0,2.5
2013-10-08,2.0,9.0,32.4,38.5,27.3,2.4
2013-10-09,2.0,9.0,34.0,44.2,25.3,2.4
2013-10-10,2.0,8.0,36.3,48.0,28.4,2.4
2013-10-11,2.0,8.0,31.3,41.4,26.1,2.4
2013-10-12,2.1,9.0,32.0,41.0,27.9,2.4
2013-10-13,2.2,8.0,30.9,37.0,27.9,2.4
2013-10-14,2.3,9.0,28.6,35.8,26.1,2.4
2013-10-15,2.3,10.0,30.2,40.6,20.7,2.4
2013-10-16,2.3,9.0,33.6,42.4,28.0,2.3
2013-10-17,2.3,9.0,29.7,35.4,23.7,2.3
2013-10-18,2.3,9.0,34.3,45.0,23.0,2.3
2013-10-19,2.3,8.0,41.5,48.6,34.9,2.3
2013-10-20,2.3,7.0,36.3,45.1,30.4,2.3
2013-10-21,2.4,7.0,39.9,49.5,30.0,2.3
2013-10-22,2.4,7.0,43.9,54.5,37.4,2.2
2013-10-23,2.4,7.0,43.7,53.4,37.4,2.2
2013-10-24,2.4,6.0,44.8,54.7,38.5,2.2
2013-10-25,2.4,6.0,44.1,54.5,38.8,2.2
2013-10-26,2.4,5.0,43.5,53.6,38.5,2.2
2013-10-27,2.5,5.0,39.2,49.1,26.4,2.3
2013-10-28,2.6,9.0,20.8,26.4,16.7,2.4
2013-10-29,2.8,9.0,27.5,37.6,17.6,2.5
2013-10-30,2.8,8.0,29.1,36.9,26.6,2.5
2013-10-31,2.8,9.0,30.7,38.5,27.1,2.5
2013-11-01,2.8,9.0,32.7,41.5,26.2,2.5
2013-11-02,2.8,8.0,33.3,44.8,21.7,2.5
2013-11-03,2.8,7.0,18.1,24.1,14.0,2.5
2013-11-04,2.8,9.0,15.4,22.8,9.3,2.5
2013-11-05,3.1,9.0,19.9,28.0,8.6,2.7
2013-11-06,3.2,10.0,28.4,32.2,24.3,2.8
2013-11-07,3.6,13.0,33.4,40.8,25.3,3.1
2013-11-08,3.7,12.0,26.1,31.8,23.7,3.2
2013-11-09,3.7,12.0,30.7,38.3,21.9,3.2
2013-11-10,3.7,12.0,39.7,45.7,34.9,3.2
2013-11-11,3.7,12.0,39.7,47.5,35.2,3.2
2013-11-12,3.7,11.0,44.4,55.0,37.0,3.2
2013-11-13,3.7,11.0,33.4,38.7,27.1,3.2
2013-11-14,3.7,12.0,29.8,36.3,21.2,3.2
2013-11-15,3.8,11.0,23.7,29.5,18.5,3.3
2013-11-16,3.9,14.0,18.9,23.9,15.1,3.4
2013-11-17,4.0,14.0,21.6,27.9,16.0,3.5
2013-11-18,4.1,13.0,33.8,41.0,27.1,3.6
2013-11-19,4.2,10.0,31.8,38.5,29.7,3.7
2013-11-20,4.3,16.0,21.7,31.1,9.3,3.8
2013-11-21,4.4,16.0,14.0,22.5,5.7,3.9
2013-11-22,4.4,16.0,23.4,33.1,17.2,3.9
2013-11-23,4.5,15.0,29.8,39.9,22.8,4.0
2013-11-24,4.5,15.0,34.9,45.7,29.8,4.0
2013-11-25,4.6,16.0,34.2,40.3,30.7,4.0
2013-11-26,4.6,15.0,38.1,47.1,30.4,4.0
2013-11-27,4.6,15.0,38.1,46.6,33.3,4.0
2013-11-28,4.6,15.0,35.4,43.5,31.3,4.0
2013-11-29,4.6,15.0,34.3,43.0,30.7,4.0
2013-11-30,4.6,15.0,30.6,36.1,27.0,4.0
2013-12-01,4.9,18.0,30.7,32.9,28.0,4.3
2013-12-02,5.1,24.0,24.1,32.5,8.8,4.5
2013-12-03,5.3,24.0,-1.5,9.3,-15.3,4.6
2013-12-04,5.3,22.0,-10.7,-0.8,-17.0,4.6
2013-12-05,5.4,22.0,-8.1,2.5,-12.8,4.7
2013-12-06,5.5,22.0,-9.0,-0.8,-14.1,4.8
2013-12-07,5.5,21.0,-3.5,5.0,-6.9,4.8
2013-12-08,5.6,22.0,-4.5,1.9,-11.9,4.9
2013-12-09,5.8,21.0,9.1,14.5,-2.7,5.1
2013-12-10,5.8,22.0,13.5,17.8,9.1,5.1
2013-12-11,5.8,21.0,21.7,30.6,10.0,5.1
2013-12-12,5.8,21.0,28.2,37.9,22.1,5.1
2013-12-13,5.8,21.0,23.2,26.4,20.5,5.1
2013-12-14,5.8,20.0,27.7,33.6,20.3,5.1
2013-12-15,5.8,20.0,34.7,39.9,31.5,5.1
2013-12-16,5.8,20.0,33.4,37.4,30.2,5.1
2013-12-17,5.8,20.0,38.3,44.8,31.6,5.2
2013-12-18,5.8,20.0,31.1,36.7,22.8,5.2
2013-12-19,5.8,21.0,14.4,22.8,6.4,5.2
2013-12-20,5.8,23.0,16.7,22.1,9.0,5.3
2013-12-21,5.8,22.0,19.0,21.7,16.7,5.3
2013-12-22,5.9,23.0,22.8,26.2,18.9,5.4
2013-12-23,6.1,23.0,29.5,33.3,20.8,5.6
2013-12-24,6.1,23.0,20.3,26.6,16.0,5.6
2013-12-25,6.1,23.0,32.0,38.8,25.7,5.6
2013-12-26,6.1,23.0,34.7,39.9,31.1,5.6
2013-12-27,6.1,22.0,38.3,46.2,30.7,5.6
2013-12-28,6.1,22.0,21.0,30.7,12.6,5.6
2013-12-29,6.1,22.0,24.4,31.3,12.6,5.6
2013-12-30,6.2,23.0,28.9,34.9,24.3,5.7
2013-12-31,6.3,24.0,27.0,31.6,19.2,5.8
2014-01-01,6.3,24.0,22.8,29.1,17.2,5.8
2014-01-02,6.4,24.0,31.8,38.3,26.4,5.9
2014-01-03,6.4,25.0,23.0,33.8,10.6,5.9
2014-01-04,6.4,25.0,8.6,12.7,5.4,5.9
2014-01-05,6.4,25.0,12.2,20.7,6.3,5.9
2014-01-06,6.6,25.0,29.8,38.3,18.7,6.1
2014-01-07,6.6,25.0,26.4,32.0,22.3,6.1
2014-01-08,6.6,25.0,24.8,26.4,23.2,6.1
2014-01-09,6.8,29.0,19.6,25.3,15.1,6.3
2014-01-10,7.0,28.0,23.7,29.8,18.7,6.5
2014-01-11,7.2,29.0,28.4,35.4,19.6,6.7
2014-01-12,7.2,29.0,19.6,25.0,16.5,6.7
2014-01-13,7.2,28.0,26.8,32.2,24.4,6.7
2014-01-14,7.3,28.0,28.0,32.7,22.1,6.8
2014-01-15,7.3,27.0,32.4,39.4,28.8,6.8
2014-01-16,7.3,27.0,31.1,35.4,27.9,6.8
2014-01-17,7.3,27.0,34.3,41.0,29.5,6.8
2014-01-18,7.3,27.0,36.0,43.3,30.4,6.8
2014-01-19,7.3,27.0,36.5,44.6,30.2,6.8
2014-01-20,7.3,27.0,31.6,40.1,23.4,6.8
2014-01-21,7.3,26.0,36.3,44.2,31.5,6.8
2014-01-22,7.3,27.0,27.9,32.5,22.8,6.8
2014-01-23,7.3,27.0,27.3,36.5,15.3,6.8
2014-01-24,7.3,26.0,35.4,43.2,30.6,6.8
2014-01-25,7.3,26.0,35.6,41.5,32.5,6.8
2014-01-26,7.3,26.0,32.4,38.7,27.3,6.8
2014-01-27,7.3,27.0,21.0,28.0,12.2,6.8
2014-01-28,7.3,26.0,25.9,36.7,14.0,6.8
2014-01-29,7.8,32.0,27.3,33.3,21.7,7.4
2014-01-30,7.8,32.0,20.8,26.4,13.5,7.4
2014-01-31,7.8,33.0,14.2,20.8,10.6,7.4
2014-02-01,7.8,32.0,11.8,20.8,6.6,7.4
2014-02-02,7.9,32.0,11.3,19.8,4.1,7.5
2014-02-03,7.9,33.0,10.8,18.1,-1.5,7.5
