date,PREC_DAILY,SNWD_DAILY,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY,WTEQ_DAILY
2016-10-01,0.0,0.0,44.2,54.7,36.0,0.0
2016-10-02,0.1,0.0,33.8,42.8,26.2,0.0
2016-10-03,0.3,0.0,30.9,36.9,23.5,0.0
2016-10-04,0.3,0.0,36.7,45.9,27.7,0.0
2016-10-05,0.3,0.0,35.8,46.4,27.7,0.0
2016-10-06,0.3,0.0,39.6,53.6,28.2,0.0
2016-10-07,0.3,0.0,46.9,59.9,36.9,0.0
2016-10-08,0.3,0.0,49.8,61.2,42.3,0.0
2016-10-09,0.3,0.0,50.2,62.4,41.4,0.0
2016-10-10,0.3,0.0,47.1,57.6,39.7,0.0
2016-10-11,0.3,0.0,46.2,58.3,38.5,0.0
2016-10-12,0.3,0.0,46.2,56.7,39.7,0.0
2016-10-13,0.3,0.0,47.3,57.2,41.2,0.0
2016-10-14,0.9,0.0,38.7,46.2,34.0,0.0
2016-10-15,1.4,0.0,38.5,43.9,34.7,0.0
2016-10-16,2.3,2.0,37.2,41.5,32.9,0.3
2016-10-17,2.6,1.0,30.6,37.2,25.9,0.4
2016-10-18,2.6,0.0,31.6,44.4,24.4,0.0
2016-10-19,2.8,0.0,38.1,53.4,26.4,0.0
2016-10-20,2.8,0.0,48.7,62.4,40.3,0.0
2016-10-21,2.8,0.0,47.3,57.9,39.6,0.0
2016-10-22,2.8,0.0,43.9,53.2,37.9,0.0
2016-10-23,2.8,0.0,44.4,52.3,38.8,0.0
2016-10-24,2.8,0.0,39.2,45.0,36.5,0.0
2016-10-25,2.8,0.0,39.9,46.8,34.2,0.0
2016-10-26,2.8,0.0,44.8,53.6,39.2,0.0
2016-10-27,3.0,0.0,42.8,46.9,38.7,0.0
2016-10-28,3.7,0.0,39.0,41.2,37.0,0.0
2016-10-29,3.7,0.0,40.5,48.0,34.7,0.0
2016-10-30,4.1,3.0,34.5,41.7,28.0,0.4
2016-10-31,4.2,1.0,31.5,42.8,25.0,0.4
2016-11-01,4.4,2.0,31.5,40.6,26.2,0.4
2016-11-02,4.4,0.0,41.0,58.5,27.0,0.0
2016-11-03,4.4,0.0,45.0,58.8,38.7,0.0
2016-11-04,4.4,0.0,43.7,56.3,38.1,0.0
2016-11-05,4.4,0.0,42.1,54.3,35.6,0.0
2016-11-06,4.4,0.0,39.7,45.3,35.2,0.0
2016-11-07,4.4,0.0,46.2,57.6,38.7,0.0
2016-11-08,4.4,0.0,48.4,59.7,42.3,0.0
2016-11-09,4.4,0.0,47.5,59.5,40.8,0.0
2016-11-10,4.4,0.0,46.6,58.5,40.8,0.0
2016-11-11,4.4,0.0,44.6,54.9,39.2,0.0
2016-11-12,4.4,0.0,42.1,50.5,37.4,0.0
2016-11-13,4.4,0.0,45.0,57.2,36.5,0.0
2016-11-14,4.4,0.0,48.6,60.1,43.3,0.0
2016-11-15,4.4,0.0,45.1,54.5,34.3,0.0
2016-11-16,4.4,0.0,26.8,36.3,17.8,0.0
2016-11-17,4.4,0.0,24.1,37.2,13.8,0.0
2016-11-18,4.4,0.0,37.9,47.7,28.0,0.0
2016-11-19,4.6,1.0,35.4,42.3,27.0,0.3
2016-11-20,4.8,3.0,30.0,34.2,27.0,0.5
2016-11-21,4.8,4.0,27.7,34.7,20.1,0.5
2016-11-22,4.9,3.0,28.9,40.8,19.9,0.6
2016-11-23,5.0,5.0,23.5,29.5,17.1,0.7
2016-11-24,5.2,5.0,31.3,42.8,23.9,0.9
2016-11-25,5.2,4.0,34.0,40.3,28.2,0.9
2016-11-26,5.5,11.0,28.9,35.4,22.5,1.2
2016-11-27,6.1,16.0,24.1,31.6,19.2,2.1
2016-11-28,6.1,14.0,26.4,32.9,19.4,2.1
2016-11-29,6.1,13.0,25.9,38.7,14.7,2.1
2016-11-30,6.1,12.0,28.9,37.0,19.9,2.1
2016-12-01,6.1,11.0,21.0,30.6,15.8,2.1
2016-12-02,6.1,10.0,20.3,36.3,12.6,2.1
2016-12-03,6.1,9.0,38.8,44.6,33.4,2.1
2016-12-04,6.1,8.0,38.7,45.5,32.4,2.1
2016-12-05,6.1,8.0,31.8,38.1,26.4,2.1
2016-12-06,6.1,8.0,22.8,33.3,12.9,2.1
2016-12-07,6.3,9.0,23.0,39.4,9.5,2.3
2016-12-08,6.6,10.0,33.8,35.6,32.2,2.7
