date,PREC_DAILY,SNWD_DAILY,WTEQ_DAILY
2017-10-01,0.0,0.0,0.0
2017-10-02,0.2,0.0,0.0
2017-10-03,0.3,0.0,0.0
2017-10-04,0.4,0.0,0.0
2017-10-05,0.4,0.0,0.0
2017-10-06,0.4,0.0,0.0
2017-10-07,0.4,0.0,0.0
2017-10-08,0.4,0.0,0.0
2017-10-09,0.4,0.0,0.0
2017-10-10,0.4,0.0,0.0
2017-10-11,0.4,0.0,0.0
2017-10-12,0.4,0.0,0.0
2017-10-13,0.4,0.0,0.0
2017-10-14,0.4,0.0,0.0
2017-10-15,0.4,0.0,0.0
2017-10-16,0.4,0.0,0.0
2017-10-17,0.4,0.0,0.0
2017-10-18,0.4,0.0,0.0
2017-10-19,0.4,0.0,0.0
2017-10-20,0.4,0.0,0.0
2017-10-21,0.4,0.0,0.0
2017-10-22,0.4,0.0,0.0
2017-10-23,0.4,0.0,0.0
2017-10-24,0.4,0.0,0.0
2017-10-25,0.4,0.0,0.0
2017-10-26,0.4,0.0,0.0
2017-10-27,0.4,0.0,0.0
2017-10-28,0.4,0.0,0.0
2017-10-29,0.4,0.0,0.0
2017-10-30,0.4,0.0,0.0
2017-10-31,0.4,0.0,0.0
2017-11-01,0.4,0.0,0.0
2017-11-02,0.4,0.0,0.0
2017-11-03,0.4,0.0,0.0
2017-11-04,0.4,0.0,0.0
2017-11-05,0.4,0.0,0.0
2017-11-06,0.4,0.0,0.0
2017-11-07,0.4,0.0,0.0
2017-11-08,0.4,0.0,0.0
2017-11-09,0.4,0.0,0.0
2017-11-10,0.4,0.0,0.0
2017-11-11,0.4,0.0,0.0
2017-11-12,0.4,0.0,0.0
2017-11-13,0.4,0.0,0.0
2017-11-14,0.4,0.0,0.0
2017-11-15,0.4,0.0,0.0
2017-11-16,0.4,0.0,0.0
2017-11-17,0.4,0.0,0.0
2017-11-18,0.4,0.0,0.0
2017-11-19,0.4,0.0,0.0
2017-11-20,0.4,0.0,0.0
2017-11-21,0.4,0.0,0.0
2017-11-22,0.4,0.0,0.0
2017-11-23,0.4,0.0,0.0
2017-11-24,0.4,0.0,0.0
2017-11-25,0.4,0.0,0.0
2017-11-26,0.4,0.0,0.0
2017-11-27,0.4,0.0,0.0
2017-11-28,0.4,0.0,0.0
2017-11-29,0.4,0.0,0.0
2017-11-30,0.4,0.0,0.0
2017-12-01,0.4,0.0,0.0
2017-12-02,0.4,0.0,0.0
2017-12-03,0.4,0.0,0.0
2017-12-04,0.4,0.0,0.0
2017-12-05,0.4,0.0,0.0
2017-12-06,0.4,0.0,0.0
2017-12-07,0.4,0.0,0.0
2017-12-08,0.4,0.0,0.0
2017-12-09,0.4,0.0,0.0
2017-12-10,0.4,0.0,0.0
2017-12-11,0.4,0.0,0.0
2017-12-12,0.4,0.0,0.0
2017-12-13,0.4,0.0,0.0
2017-12-14,0.4,0.0,0.0
2017-12-15,0.4,0.0,0.0
2017-12-16,0.4,0.0,0.0
2017-12-17,0.4,0.0,0.0
2017-12-18,0.4,0.0,0.0
2017-12-19,0.4,0.0,0.0
2017-12-20,0.4,0.0,0.0
2017-12-21,0.4,0.0,0.0
2017-12-22,0.4,0.0,0.0
2017-12-23,0.4,0.0,0.0
2017-12-24,0.4,0.0,0.0
2017-12-25,0.4,0.0,0.0
2017-12-26,0.4,0.0,0.0
2017-12-27,0.4,0.0,0.0
2017-12-28,0.4,0.0,0.0
2017-12-29,0.4,0.0,0.0
2017-12-30,0.4,0.0,0.0
2017-12-31,0.4,0.0,0.0
2018-01-01,0.4,0.0,0.0
2018-01-02,0.4,0.0,0.0
2018-01-03,0.4,0.0,0.0
2018-01-04,0.4,0.0,0.0
2018-01-05,0.4,0.0,0.0
2018-01-06,0.4,0.0,0.0
2018-01-07,0.4,0.0,0.0
2018-01-08,0.4,0.0,0.0
2018-01-09,0.4,0.0,0.0
2018-01-10,0.4,0.0,0.0
2018-01-11,0.4,0.0,0.0
2018-01-12,0.4,0.0,0.0
2018-01-13,0.4,0.0,0.0
2018-01-14,0.4,0.0,0.0
2018-01-15,0.4,0.0,0.0
2018-01-16,0.4,0.0,0.0
2018-01-17,0.4,0.0,0.0
2018-01-18,0.4,0.0,0.0
2018-01-19,0.5,0.0,0.0
2018-01-20,0.5,4.0,0.2
2018-01-21,0.5,4.0,0.2
2018-01-22,0.5,3.0,0.2
2018-01-23,0.5,3.0,0.2
2018-01-24,0.5,2.0,0.2
2018-01-25,0.5,2.0,0.2
2018-01-26,0.5,2.0,0.2
2018-01-27,0.5,2.0,0.2
2018-01-28,0.5,1.0,0.2
2018-01-29,0.5,1.0,0.2
2018-01-30,0.5,1.0,0.2
2018-01-31,0.5,0.0,0.0
2018-02-01,0.5,0.0,0.0
2018-02-02,0.5,0.0,0.0
2018-02-03,0.5,0.0,0.0
2018-02-04,0.5,0.0,0.0
2018-02-05,0.5,0.0,0.0
2018-02-06,0.5,0.0,0.0
2018-02-07,0.5,0.0,0.0
2018-02-08,0.5,0.0,0.0
2018-02-09,0.5,0.0,0.0
2018-02-10,0.5,0.0,0.0
2018-02-11,0.5,0.0,0.0
2018-02-12,0.5,0.0,0.0
2018-02-13,0.5,0.0,0.0
2018-02-14,0.6,3.0,0.4
2018-02-15,0.6,5.0,0.7
2018-02-16,0.6,4.0,0.7
2018-02-17,0.6,2.0,0.7
2018-02-18,0.6,2.0,0.6
2018-02-19,0.7,2.0,0.8
2018-02-20,0.7,2.0,0.8
2018-02-21,0.9,5.0,1.1
2018-02-22,1.0,8.0,1.3
2018-02-23,1.2,8.0,1.4
2018-02-24,1.3,5.0,1.4
2018-02-25,1.3,5.0,1.4
2018-02-26,1.3,4.0,1.4
2018-02-27,1.3,3.0,1.4
2018-02-28,1.3,3.0,1.4
2018-03-01,1.3,3.0,1.4
2018-03-02,1.3,3.0,1.2
2018-03-03,1.4,1.0,0.6
2018-03-04,1.4,0.0,0.0
2018-03-05,1.4,0.0,0.0
2018-03-06,1.4,0.0,0.0
2018-03-07,1.4,0.0,0.0
2018-03-08,1.4,0.0,0.0
2018-03-09,1.4,0.0,0.0
2018-03-10,1.4,0.0,0.0
2018-03-11,1.5,1.0,0.3
2018-03-12,1.5,1.0,0.3
2018-03-13,1.5,0.0,0.0
2018-03-14,1.5,0.0,0.0
2018-03-15,1.6,2.0,0.4
2018-03-16,1.6,0.0,0.0
2018-03-17,1.6,0.0,0.0
2018-03-18,1.6,1.0,0.2
2018-03-19,1.8,0.0,0.0
2018-03-20,1.8,0.0,0.0
2018-03-21,1.8,0.0,0.0
2018-03-22,1.8,0.0,0.0
2018-03-23,1.8,0.0,0.0
2018-03-24,1.9,0.0,0.0
2018-03-25,1.9,0.0,0.0
2018-03-26,1.9,0.0,0.0
2018-03-27,2.1,1.0,0.4
2018-03-28,2.3,1.0,0.1
2018-03-29,2.3,0.0,0.0
2018-03-30,2.3,0.0,0.0
2018-03-31,2.3,0.0,0.0
2018-04-01,2.3,0.0,0.0
2018-04-02,2.4,0.0,0.0
2018-04-03,2.4,0.0,0.0
2018-04-04,2.4,0.0,0.0
2018-04-05,2.4,0.0,0.0
2018-04-06,2.5,0.0,0.0
2018-04-07,2.5,0.0,0.0
2018-04-08,2.5,0.0,0.0
2018-04-09,2.5,0.0,0.0
2018-04-10,2.5,0.0,0.0
2018-04-11,2.5,0.0,0.0
2018-04-12,2.5,0.0,0.0
2018-04-13,2.5,0.0,0.0
2018-04-14,2.5,0.0,0.0
2018-04-15,2.5,0.0,0.0
2018-04-16,2.5,0.0,0.0
2018-04-17,2.5,0.0,0.0
2018-04-18,2.5,0.0,0.0
2018-04-19,2.5,0.0,0.0
2018-04-20,2.5,0.0,0.0
2018-04-21,2.5,0.0,0.0
2018-04-22,2.7,0.0,0.0
2018-04-23,2.7,0.0,0.0
2018-04-24,2.7,0.0,0.0
2018-04-25,2.7,0.0,0.0
2018-04-26,2.7,0.0,0.0
2018-04-27,2.7,0.0,0.0
2018-04-28,2.7,0.0,0.0
2018-04-29,2.7,0.0,0.0
2018-04-30,2.7,0.0,0.0
2018-05-01,2.7,0.0,0.0
2018-05-02,2.7,0.0,0.0
2018-05-03,2.7,0.0,0.0
2018-05-04,2.7,0.0,0.0
2018-05-05,2.9,0.0,0.0
2018-05-06,3.0,0.0,0.0
2018-05-07,3.0,0.0,0.0
2018-05-08,3.0,0.0,0.0
2018-05-09,3.0,0.0,0.0
2018-05-10,3.0,0.0,0.0
2018-05-11,3.0,0.0,0.0
2018-05-12,3.0,0.0,0.0
2018-05-13,3.0,0.0,0.0
2018-05-14,3.0,0.0,0.0
2018-05-15,3.0,0.0,0.0
2018-05-16,3.0,0.0,0.0
2018-05-17,3.0,0.0,0.0
2018-05-18,3.0,0.0,0.0
2018-05-19,3.0,0.0,0.0
2018-05-20,3.0,0.0,0.0
2018-05-21,3.2,0.0,0.0
2018-05-22,3.2,0.0,0.0
2018-05-23,3.2,0.0,0.0
2018-05-24,3.2,0.0,0.0
2018-05-25,3.2,0.0,0.0
2018-05-26,3.2,0.0,0.0
2018-05-27,3.2,0.0,0.0
2018-05-28,3.2,0.0,0.0
2018-05-29,3.2,0.0,0.0
2018-05-30,3.2,0.0,0.0
2018-05-31,3.2,0.0,0.0
2018-06-01,3.2,0.0,0.0
2018-06-02,3.2,0.0,0.0
2018-06-03,3.2,0.0,0.0
2018-06-04,3.2,0.0,0.0
2018-06-05,3.2,0.0,0.0
2018-06-06,3.2,0.0,0.0
2018-06-07,3.2,0.0,0.0
2018-06-08,3.2,0.0,0.0
2018-06-09,3.2,0.0,0.0
2018-06-10,3.2,0.0,0.0
2018-06-11,3.2,0.0,0.0
2018-06-12,3.2,0.0,0.0
2018-06-13,3.2,0.0,0.0
2018-06-14,3.2,0.0,0.0
2018-06-15,3.2,0.0,0.0
2018-06-16,3.5,0.0,0.0
2018-06-17,3.5,0.0,0.0
2018-06-18,3.5,0.0,0.0
2018-06-19,3.5,0.0,0.0
2018-06-20,3.5,0.0,0.0
2018-06-21,3.5,0.0,0.0
2018-06-22,3.5,0.0,0.0
2018-06-23,3.5,0.0,0.0
2018-06-24,3.5,0.0,0.0
2018-06-25,3.5,0.0,0.0
2018-06-26,3.5,0.0,0.0
2018-06-27,3.5,0.0,0.0
2018-06-28,3.5,0.0,0.0
2018-06-29,3.5,0.0,0.0
2018-06-30,3.5,0.0,0.0
2018-07-01,3.5,0.0,0.0
2018-07-02,3.5,0.0,0.0
2018-07-03,3.5,0.0,0.0
2018-07-04,3.5,0.0,0.0
2018-07-05,3.5,0.0,0.0
2018-07-06,3.5,0.0,0.0
2018-07-07,3.5,0.0,0.0
2018-07-08,3.5,0.0,0.0
2018-07-09,3.5,0.0,0.0
2018-07-10,3.5,0.0,0.0
2018-07-11,3.5,0.0,0.0
2018-07-12,3.5,0.0,0.0
2018-07-13,3.5,0.0,0.0
2018-07-14,3.5,0.0,0.0
2018-07-15,3.5,0.0,0.0
2018-07-16,3.5,0.0,0.0
2018-07-17,3.5,0.0,0.0
2018-07-18,3.6,0.0,0.0
2018-07-19,3.6,0.0,0.0
2018-07-20,3.6,0.0,0.0
2018-07-21,3.7,0.0,0.0
