date,PREC_DAILY,SNWD_DAILY,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY,WTEQ_DAILY
2019-10-01,0.0,0.0,39.7,50.7,30.7,0.0
2019-10-02,0.0,0.0,37.6,47.5,31.1,0.0
2019-10-03,0.0,0.0,46.4,61.2,32.0,0.0
2019-10-04,0.0,0.0,44.2,55.6,32.4,0.0
2019-10-05,0.0,0.0,38.5,49.1,27.5,0.0
2019-10-06,0.0,0.0,40.1,53.8,29.1,0.0
2019-10-07,0.0,0.0,44.8,62.6,30.7,0.0
2019-10-08,0.0,0.0,50.4,62.1,37.6,0.0
2019-10-09,0.1,1.0,39.0,51.8,19.6,0.1
2019-10-10,0.1,1.0,22.3,30.4,16.2,0.1
2019-10-11,0.1,0.0,31.6,45.3,16.3,0.0
2019-10-12,0.1,0.0,39.6,52.2,27.5,0.0
2019-10-13,0.1,0.0,42.4,56.5,30.6,0.0
2019-10-14,0.1,0.0,44.8,54.5,32.4,0.0
2019-10-15,0.1,0.0,45.5,57.0,33.6,0.0
2019-10-16,0.1,0.0,49.3,64.0,36.0,0.0
2019-10-17,0.1,0.0,48.0,58.5,33.3,0.0
2019-10-18,0.1,0.0,33.8,41.2,28.8,0.0
2019-10-19,0.5,3.0,34.5,44.6,25.2,0.4
2019-10-20,0.5,2.0,27.1,33.3,23.4,0.4
2019-10-21,0.6,2.0,33.3,40.3,27.3,0.4
2019-10-22,0.6,2.0,39.2,46.0,30.7,0.4
2019-10-23,0.6,2.0,36.3,44.4,27.7,0.4
2019-10-24,0.6,2.0,32.2,39.7,23.5,0.4
2019-10-25,0.6,1.0,41.7,51.4,32.4,0.4
2019-10-26,0.6,1.0,43.3,55.4,26.8,0.4
2019-10-27,0.6,1.0,22.5,27.3,14.7,0.4
2019-10-28,0.6,1.0,19.9,28.6,10.9,0.4
2019-10-29,0.9,4.0,14.4,22.3,1.9,0.6
2019-10-30,0.9,4.0,12.2,22.8,1.2,0.6
2019-10-31,0.9,4.0,28.0,38.8,15.1,0.6
2019-11-01,0.9,4.0,32.4,41.2,26.1,0.6
2019-11-02,0.9,4.0,35.4,46.0,24.4,0.6
2019-11-03,0.9,3.0,40.6,49.3,33.1,0.5
2019-11-04,0.9,2.0,39.6,46.9,34.3,0.4
2019-11-05,0.9,1.0,39.7,48.4,33.4,0.2
2019-11-06,0.9,0.0,41.5,52.0,30.4,0.0
2019-11-07,0.9,0.0,40.6,51.6,30.0,0.0
2019-11-08,0.9,0.0,43.3,52.3,32.7,0.0
2019-11-09,0.9,0.0,45.9,56.3,36.0,0.0
2019-11-10,0.9,0.0,43.3,51.1,33.6,0.0
2019-11-11,0.9,0.0,35.8,45.9,26.6,0.0
2019-11-12,0.9,0.0,35.8,47.1,22.5,0.0
2019-11-13,0.9,0.0,40.1,48.0,32.4,0.0
2019-11-14,0.9,0.0,39.4,52.2,29.7,0.0
2019-11-15,0.9,0.0,41.9,51.3,32.2,0.0
2019-11-16,0.9,0.0,38.7,45.0,31.6,0.0
2019-11-17,0.9,0.0,36.9,46.4,30.6,0.0
2019-11-18,0.9,0.0,41.9,49.1,34.5,0.0
2019-11-19,0.9,0.0,42.6,53.2,33.1,0.0
2019-11-20,1.2,2.0,34.7,38.5,31.6,0.3
2019-11-21,1.8,5.0,30.9,35.4,25.3,0.7
2019-11-22,1.8,5.0,28.0,32.4,25.3,0.7
2019-11-23,1.8,4.0,27.9,34.3,22.5,0.7
2019-11-24,1.8,4.0,32.4,41.5,24.8,0.7
2019-11-25,2.0,7.0,25.5,32.5,16.5,0.9
2019-11-26,2.0,7.0,15.4,22.5,11.1,0.9
2019-11-27,2.2,6.0,21.7,29.5,15.3,1.1
2019-11-28,2.4,8.0,27.9,30.9,23.5,1.4
2019-11-29,2.9,16.0,26.4,32.7,19.9,2.0
2019-11-30,3.0,18.0,17.4,20.7,12.9,2.2
2019-12-01,3.0,16.0,19.6,28.8,11.8,2.2
2019-12-02,3.0,15.0,29.3,39.7,16.9,2.2
2019-12-03,3.0,14.0,33.6,39.9,28.6,2.2
2019-12-04,3.5,17.0,32.5,44.8,28.2,2.7
2019-12-05,3.6,17.0,30.9,32.5,29.7,2.8
2019-12-06,3.6,16.0,31.5,39.4,27.5,2.8
2019-12-07,3.6,15.0,30.2,34.3,26.1,2.8
2019-12-08,3.9,17.0,31.1,35.2,27.9,3.2
2019-12-09,3.9,17.0,26.2,31.1,22.5,3.2
2019-12-10,3.9,17.0,25.5,32.2,21.0,3.2
2019-12-11,3.9,17.0,26.2,35.1,15.4,3.2
2019-12-12,4.5,22.0,30.4,34.3,26.4,3.9
2019-12-13,5.6,27.0,29.1,32.0,27.1,4.6
2019-12-14,5.9,28.0,25.0,32.0,13.3,4.8
2019-12-15,5.9,28.0,15.4,23.9,9.3,4.8
2019-12-16,5.9,28.0,13.1,19.2,7.9,4.8
2019-12-17,5.9,27.0,18.0,35.8,5.7,4.8
2019-12-18,5.9,25.0,19.8,28.9,10.0,4.8
2019-12-19,5.9,24.0,24.3,31.6,16.3,4.8
2019-12-20,5.9,24.0,26.6,38.3,17.4,4.8
2019-12-21,5.9,24.0,27.9,35.6,17.8,4.8
2019-12-22,5.9,23.0,28.9,34.5,26.6,4.8
2019-12-23,6.0,23.0,30.2,37.6,27.5,4.9
2019-12-24,6.1,24.0,27.7,31.5,26.1,5.1
2019-12-25,6.3,26.0,25.0,28.8,19.4,5.3
2019-12-26,6.3,26.0,21.2,29.8,15.8,5.3
