date,PREC_DAILY,SNWD_DAILY,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY,WTEQ_DAILY
2020-10-01,0.0,0.0,51.8,64.2,43.7,0.0
2020-10-02,0.0,0.0,52.0,68.2,45.7,0.0
2020-10-03,0.0,0.0,53.1,67.6,44.2,0.0
2020-10-04,0.0,0.0,57.2,63.3,48.0,0.0
2020-10-05,0.0,0.0,55.0,62.1,46.9,0.0
2020-10-06,0.0,0.0,57.4,65.7,51.3,0.0
2020-10-07,0.0,0.0,52.5,69.4,46.4,0.0
2020-10-08,0.0,0.0,52.7,57.7,46.6,0.0
2020-10-09,0.0,0.0,51.4,60.8,44.6,0.0
2020-10-10,1.5,0.0,43.9,54.3,34.2,0.0
2020-10-11,2.3,3.0,35.1,38.3,33.8,0.8
2020-10-12,3.2,1.0,37.4,41.0,31.6,0.4
2020-10-13,4.5,2.0,36.3,42.4,33.1,0.6
2020-10-14,5.2,4.0,35.1,37.4,34.0,1.2
2020-10-15,5.2,4.0,35.2,37.0,33.6,1.1
2020-10-16,6.6,2.0,40.6,45.7,35.4,0.6
2020-10-17,6.6,1.0,38.8,43.2,32.7,0.3
2020-10-18,7.7,3.0,34.0,42.6,28.9,1.1
2020-10-19,8.5,1.0,40.1,42.4,36.0,0.4
2020-10-20,8.5,1.0,36.3,39.2,34.2,0.3
2020-10-21,8.5,1.0,30.0,36.1,18.9,0.3
2020-10-22,8.5,1.0,23.2,28.2,16.5,0.4
2020-10-23,9.3,8.0,24.1,26.6,19.0,1.1
2020-10-24,9.3,9.0,13.5,19.0,3.0,1.2
2020-10-25,9.3,9.0,5.9,14.0,-0.8,1.2
2020-10-26,9.4,8.0,19.2,26.1,11.3,1.3
2020-10-27,9.7,8.0,32.4,38.3,18.3,1.4
2020-10-28,9.7,5.0,40.1,44.2,37.0,1.3
2020-10-29,9.7,3.0,43.5,47.8,37.6,1.2
2020-10-30,9.9,3.0,40.1,49.3,35.8,1.1
2020-10-31,9.9,3.0,36.7,39.6,32.0,1.1
2020-11-01,9.9,3.0,34.3,38.5,30.0,1.1
