date,PREC_DAILY,SNWD_DAILY,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY,WTEQ_DAILY
2021-10-01,0.0,0.0,55.8,71.2,47.7,0.0
2021-10-02,0.0,0.0,56.5,72.7,44.6,0.0
2021-10-03,0.0,0.0,56.5,72.0,45.1,0.0
2021-10-04,0.0,0.0,55.4,67.6,47.8,0.0
2021-10-05,0.0,0.0,48.4,61.9,40.1,0.0
2021-10-06,0.0,0.0,42.8,54.0,37.2,0.0
2021-10-07,0.0,0.0,45.5,61.5,34.2,0.0
2021-10-08,0.0,0.0,44.2,55.9,36.9,0.0
2021-10-09,0.0,0.0,45.5,58.8,34.2,0.0
2021-10-10,0.1,0.0,42.6,49.8,35.2,0.0
2021-10-11,0.1,0.0,37.4,46.8,31.3,0.0
2021-10-12,0.3,0.0,38.3,49.3,28.9,0.0
2021-10-13,0.4,0.0,38.8,44.1,33.8,0.0
2021-10-14,0.5,0.0,42.4,47.3,38.8,0.0
2021-10-15,0.5,0.0,47.8,64.2,36.1,0.0
2021-10-16,0.5,0.0,54.0,72.1,43.0,0.0
2021-10-17,0.7,0.0,46.8,54.7,42.4,0.0
2021-10-18,0.8,0.0,43.0,46.9,40.5,0.0
2021-10-19,0.8,0.0,46.8,59.9,36.0,0.0
2021-10-20,0.9,0.0,45.3,50.0,42.3,0.0
2021-10-21,1.4,0.0,50.5,64.2,41.4,0.0
2021-10-22,2.0,0.0,43.3,45.5,41.4,0.0
2021-10-23,2.2,0.0,43.9,48.0,41.5,0.0
2021-10-24,2.9,0.0,43.0,47.7,38.8,0.0
2021-10-25,3.3,0.0,42.1,45.5,40.1,0.0
2021-10-26,4.0,0.0,43.7,48.4,39.2,0.0
2021-10-27,4.3,0.0,45.5,49.8,43.7,0.0
2021-10-28,4.6,0.0,54.9,61.9,45.1,0.0
2021-10-29,5.2,0.0,49.5,55.2,44.1,0.0
2021-10-30,5.2,0.0,43.0,50.5,38.8,0.0
2021-10-31,5.2,0.0,41.9,50.2,38.7,0.0
2021-11-01,5.6,0.0,42.8,44.8,39.2,0.0
2021-11-02,5.6,0.0,46.6,52.3,42.6,0.0
2021-11-03,5.7,0.0,51.4,62.4,45.0,0.0
2021-11-04,6.7,0.0,45.3,50.5,40.6,0.0
2021-11-05,7.0,0.0,39.6,42.1,37.8,0.0
2021-11-06,7.7,0.0,36.9,40.5,34.0,0.0
2021-11-07,7.8,0.0,35.4,39.0,33.1,0.0
2021-11-08,7.9,0.0,38.7,46.9,32.2,0.0
2021-11-09,8.7,0.0,39.2,45.1,35.4,0.0
2021-11-10,9.8,0.0,40.3,46.6,35.4,0.0
2021-11-11,11.4,0.0,50.7,53.4,44.4,0.0
2021-11-12,12.0,0.0,52.0,53.4,50.2,0.0
2021-11-13,12.2,0.0,53.4,60.3,50.0,0.0
2021-11-14,12.2,0.0,52.9,60.1,45.9,0.0
2021-11-15,12.8,0.0,45.1,57.2,34.5,0.0
2021-11-16,12.8,0.0,34.3,42.6,30.6,0.0
2021-11-17,12.9,0.0,37.2,44.2,31.3,0.0
2021-11-18,13.1,0.0,43.5,53.6,36.0,0.0
2021-11-19,13.5,0.0,40.8,46.2,34.7,0.0
2021-11-20,13.5,0.0,35.8,46.4,32.9,0.0
2021-11-21,13.5,0.0,44.1,62.2,32.9,0.0
2021-11-22,13.5,0.0,44.8,57.9,37.0,0.0
2021-11-23,14.3,0.0,35.8,39.6,33.4,0.0
2021-11-24,14.3,0.0,34.9,42.1,28.9,0.0
2021-11-25,14.4,0.0,43.3,57.0,33.6,0.0
2021-11-26,14.8,0.0,43.3,48.4,39.9,0.0
2021-11-27,15.2,0.0,48.7,53.1,43.0,0.0
2021-11-28,15.2,0.0,49.8,57.9,43.0,0.0
2021-11-29,15.2,0.0,45.9,57.7,40.5,0.0
2021-11-30,15.2,0.0,46.9,53.4,39.9,0.0
2021-12-01,15.2,0.0,53.1,65.1,46.6,0.0
2021-12-02,15.2,0.0,47.3,54.1,43.0,0.0
2021-12-03,15.2,0.0,44.6,57.7,36.0,0.0
2021-12-04,15.2,0.0,45.7,51.6,40.5,0.0
2021-12-05,15.2,0.0,40.5,46.9,36.5,0.0
2021-12-06,15.9,0.0,40.1,44.1,36.3,0.0
2021-12-07,16.0,0.0,46.0,50.0,43.3,0.0
2021-12-08,16.2,0.0,37.9,46.0,32.2,0.0
2021-12-09,16.6,4.0,31.8,32.7,31.1,0.5
2021-12-10,17.0,4.0,32.5,34.0,31.1,0.7
2021-12-11,19.0,7.0,34.7,37.6,31.5,2.0
2021-12-12,19.6,13.0,33.4,34.9,31.6,2.4
2021-12-13,20.2,16.0,33.3,35.1,30.4,2.8
2021-12-14,20.2,15.0,29.7,36.3,25.0,2.8
2021-12-15,20.9,20.0,31.3,33.4,28.6,3.5
2021-12-16,21.3,20.0,34.3,35.6,33.1,3.8
2021-12-17,21.4,18.0,34.5,41.0,32.5,3.8
2021-12-18,21.6,16.0,37.9,43.5,33.6,3.8
2021-12-19,23.5,12.0,38.8,43.5,36.3,3.5
2021-12-20,24.3,8.0,40.8,43.0,36.9,3.1
2021-12-21,24.4,10.0,37.2,43.5,33.4,3.1
2021-12-22,25.0,9.0,37.4,41.2,34.9,3.1
2021-12-23,25.8,14.0,33.8,38.7,31.6,3.5
2021-12-24,26.9,26.0,31.3,32.9,29.7,4.7
2021-12-25,27.6,32.0,29.1,30.9,26.2,5.4
2021-12-26,28.5,43.0,25.2,26.2,24.4,6.5
2021-12-27,28.8,42.0,23.2,26.1,21.2,6.7
2021-12-28,29.5,39.0,28.0,33.4,22.1,7.1
2021-12-29,29.6,35.0,29.7,35.8,26.4,7.1
2021-12-30,30.4,37.0,29.7,32.0,26.4,8.1
2021-12-31,30.4,37.0,27.1,35.6,17.2,8.1
2022-01-01,30.6,34.0,25.5,37.6,15.8,8.2
2022-01-02,30.7,33.0,34.2,41.9,28.2,8.4
2022-01-03,31.8,51.0,35.2,43.3,31.3,10.5
2022-01-04,33.9,51.0,33.4,36.9,30.9,11.9
2022-01-05,35.7,44.0,37.2,44.8,33.8,12.2
2022-01-06,36.4,34.0,43.5,45.9,39.9,11.1
2022-01-07,37.3,28.0,36.7,42.8,32.2,10.6
2022-01-08,37.3,27.0,34.9,43.9,31.6,10.6
2022-01-09,37.3,29.0,38.3,47.7,31.8,10.6
2022-01-10,37.4,27.0,39.9,47.3,33.6,10.1
2022-01-11,37.4,27.0,43.5,53.4,39.2,10.1
2022-01-12,37.4,26.0,45.7,60.6,37.2,10.1
2022-01-13,37.9,25.0,40.6,46.4,36.0,9.7
2022-01-14,37.9,25.0,40.3,52.3,33.4,9.8
2022-01-15,37.9,24.0,43.5,57.7,35.6,9.6
2022-01-16,37.9,24.0,47.7,64.9,38.3,9.5
2022-01-17,37.9,23.0,42.6,52.7,35.2,9.5
2022-01-18,37.9,22.0,37.9,44.2,33.4,9.2
2022-01-19,38.1,21.0,41.4,44.6,37.0,9.0
2022-01-20,38.4,20.0,42.6,47.7,36.3,8.2
2022-01-21,38.4,20.0,38.7,51.6,31.5,8.4
2022-01-22,38.4,19.0,49.3,62.8,32.7,8.0
2022-01-23,38.4,19.0,51.3,67.3,40.1,8.0
2022-01-24,38.4,18.0,44.6,58.5,36.1,7.8
2022-01-25,38.4,18.0,42.6,54.0,34.7,7.9
2022-01-26,38.4,18.0,43.5,55.9,32.5,7.7
2022-01-27,38.4,18.0,43.2,52.0,37.0,7.6
2022-01-28,38.4,17.0,43.5,59.7,33.8,7.6
2022-01-29,38.4,17.0,44.4,60.8,34.5,7.7
2022-01-30,38.9,15.0,40.5,50.7,33.8,7.1
2022-01-31,39.2,20.0,32.5,35.8,30.0,6.6
2022-02-01,39.4,19.0,30.7,36.3,28.0,6.8
2022-02-02,39.5,20.0,33.4,36.5,30.9,7.1
2022-02-03,39.5,18.0,36.3,43.7,32.9,7.0
2022-02-04,39.5,18.0,38.5,48.0,32.7,6.9
2022-02-05,39.5,17.0,42.8,57.4,34.0,6.7
2022-02-06,39.5,16.0,50.4,67.6,41.4,6.6
2022-02-07,39.5,16.0,44.8,57.0,36.5,6.0
2022-02-08,39.5,15.0,43.9,59.4,32.4,5.7
2022-02-09,39.5,14.0,49.5,65.7,39.2,5.4
2022-02-10,39.5,14.0,50.9,69.4,40.1,5.3
2022-02-11,39.5,13.0,49.3,60.3,40.3,4.8
2022-02-12,39.5,13.0,47.3,56.5,41.2,4.6
2022-02-13,39.5,12.0,50.2,63.7,39.7,4.3
2022-02-14,40.0,13.0,37.6,48.9,32.5,4.5
2022-02-15,40.1,13.0,34.5,38.8,32.0,4.5
2022-02-16,40.2,12.0,36.3,45.9,32.2,4.5
2022-02-17,40.2,11.0,39.4,53.4,29.7,4.2
2022-02-18,40.2,11.0,45.3,64.2,33.3,4.1
2022-02-19,40.2,10.0,42.1,52.0,35.1,3.7
2022-02-20,41.0,16.0,34.2,39.7,29.1,4.5
2022-02-21,41.4,21.0,30.4,36.3,27.1,5.3
2022-02-22,41.4,22.0,20.1,27.9,13.1,5.0
2022-02-23,41.5,20.0,22.5,37.8,12.6,5.1
2022-02-24,41.6,19.0,26.6,40.5,18.7,5.2
2022-02-25,41.8,18.0,33.1,50.2,19.0,5.4
2022-02-26,42.0,16.0,40.5,53.8,30.0,5.4
2022-02-27,42.4,13.0,43.0,47.7,39.0,4.8
2022-02-28,43.7,8.0,46.8,50.0,44.2,3.8
2022-03-01,44.4,8.0,46.4,51.1,43.9,3.3
2022-03-02,45.2,6.0,42.6,46.4,37.2,2.9
2022-03-03,45.2,6.0,37.4,44.8,31.6,2.4
2022-03-04,45.2,2.0,34.5,39.9,32.0,2.3
2022-03-05,45.2,6.0,36.7,49.1,30.6,2.3
2022-03-06,45.2,5.0,38.1,50.5,30.7,2.2
2022-03-07,45.3,4.0,40.6,55.4,30.4,1.8
2022-03-08,45.3,4.0,36.7,43.0,32.9,1.6
