date,PREC_DAILY,SNWD_DAILY,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY,WTEQ_DAILY
2022-10-01,0.0,0.0,38.1,45.3,32.2,0.0
2022-10-02,0.2,0.0,41.5,52.9,33.1,0.0
2022-10-03,0.2,0.0,40.8,53.2,32.5,0.0
2022-10-04,0.2,0.0,39.9,54.1,31.3,0.0
2022-10-05,0.2,0.0,41.7,57.2,32.5,0.0
2022-10-06,0.3,0.0,43.3,59.4,33.1,0.0
2022-10-07,0.3,0.0,39.6,55.9,31.8,0.0
2022-10-08,0.3,0.0,41.0,56.5,31.5,0.0
2022-10-09,0.4,0.0,45.1,59.5,35.8,0.0
2022-10-10,0.4,0.0,46.8,59.4,35.2,0.0
2022-10-11,0.4,0.0,42.6,52.9,35.1,0.0
2022-10-12,0.4,0.0,41.2,56.8,31.5,0.0
2022-10-13,0.4,0.0,40.3,55.9,28.8,0.0
2022-10-14,0.4,0.0,43.0,60.8,33.3,0.0
2022-10-15,0.4,0.0,35.8,40.8,30.0,0.0
2022-10-16,0.4,0.0,35.4,49.5,26.2,0.0
2022-10-17,0.4,0.0,41.2,57.2,31.5,0.0
2022-10-18,0.4,0.0,44.6,61.3,33.3,0.0
2022-10-19,0.5,0.0,45.1,61.7,34.5,0.0
2022-10-20,0.5,0.0,47.1,61.3,37.2,0.0
2022-10-21,0.6,0.0,44.2,53.2,35.6,0.0
2022-10-22,0.6,2.0,36.5,43.0,28.9,0.6
2022-10-23,1.0,3.0,25.9,30.2,18.3,0.9
2022-10-24,1.0,3.0,25.3,32.9,16.2,0.9
2022-10-25,1.2,2.0,24.6,36.0,16.2,1.0
2022-10-26,1.2,3.0,23.0,34.0,14.0,1.0
2022-10-27,1.2,4.0,24.8,34.9,13.8,1.0
2022-10-28,1.2,4.0,33.1,46.0,20.5,1.0
2022-10-29,1.2,4.0,35.1,45.3,25.7,1.0
2022-10-30,1.2,3.0,33.6,49.6,23.0,1.0
2022-10-31,1.2,3.0,36.7,49.1,26.4,1.0
2022-11-01,1.2,3.0,37.6,45.7,31.3,1.0
2022-11-02,1.4,5.0,31.1,37.2,25.5,1.2
2022-11-03,1.6,6.0,20.8,26.2,14.7,1.4
2022-11-04,1.6,6.0,22.8,32.2,12.2,1.4
2022-11-05,2.0,8.0,28.8,33.3,20.3,1.8
2022-11-06,2.2,8.0,23.2,30.4,15.4,1.9
2022-11-07,2.9,11.0,33.4,37.0,27.7,2.5
2022-11-08,2.9,10.0,34.7,40.6,30.4,2.5
2022-11-09,3.3,14.0,25.9,33.8,15.8,2.8
2022-11-10,3.4,14.0,14.0,25.2,-0.4,2.9
2022-11-11,3.4,14.0,14.4,32.0,0.1,2.9
2022-11-12,3.4,14.0,26.6,38.5,13.6,2.9
2022-11-13,3.5,12.0,18.0,27.3,7.2,3.0
2022-11-14,3.6,14.0,13.1,26.2,1.8,3.1
2022-11-15,3.6,12.0,10.8,24.3,1.2,3.1
2022-11-16,3.6,14.0,18.1,30.0,9.7,3.1
2022-11-17,3.7,14.0,7.2,14.2,-3.6,3.2
2022-11-18,3.7,14.0,4.8,20.5,-9.8,3.2
2022-11-19,3.7,14.0,18.7,33.3,1.0,3.2
2022-11-20,3.7,14.0,26.8,44.4,19.0,3.2
2022-11-21,3.7,14.0,27.5,45.5,17.2,3.2
2022-11-22,3.7,14.0,28.0,41.9,18.1,3.2
2022-11-23,3.7,13.0,24.3,34.2,18.5,3.2
2022-11-24,3.7,14.0,27.0,40.3,11.7,3.2
2022-11-25,3.7,13.0,35.1,50.9,26.1,3.2
2022-11-26,3.9,15.0,28.8,35.6,14.4,3.4
2022-11-27,4.1,16.0,22.3,33.4,17.2,3.6
2022-11-28,4.5,20.0,14.7,22.6,5.7,3.9
2022-11-29,4.5,19.0,6.1,16.2,-1.7,4.0
2022-11-30,4.5,19.0,20.1,28.0,0.5,4.0
2022-12-01,4.8,20.0,27.3,31.8,24.8,4.3
2022-12-02,5.1,23.0,14.0,26.6,5.0,4.7
2022-12-03,5.1,22.0,21.9,32.9,11.3,4.7
2022-12-04,5.4,21.0,27.7,37.9,16.0,5.0
2022-12-05,5.4,23.0,19.4,26.2,12.7,5.0
2022-12-06,5.4,23.0,18.0,27.3,9.5,5.0
2022-12-07,5.4,22.0,18.7,28.6,12.9,5.0
2022-12-08,5.4,22.0,19.4,31.6,8.8,5.0
2022-12-09,5.8,29.0,15.6,21.0,7.0,5.3
2022-12-10,6.0,29.0,23.0,31.8,6.4,5.4
2022-12-11,6.0,27.0,27.3,31.1,24.1,5.5
2022-12-12,6.5,30.0,21.7,27.9,10.8,5.9
2022-12-13,6.8,31.0,16.0,22.3,9.7,6.2
2022-12-14,6.8,31.0,10.9,23.4,2.3,6.2
2022-12-15,6.8,29.0,4.8,14.9,-7.8,6.3
2022-12-16,6.8,29.0,5.4,19.0,-6.7,6.3
2022-12-17,6.8,29.0,10.8,25.0,-2.9,6.3
2022-12-18,6.8,28.0,16.3,25.0,8.4,6.3
2022-12-19,6.8,28.0,15.6,24.6,4.8,6.3
2022-12-20,6.8,27.0,20.7,27.5,14.4,6.3
2022-12-21,7.8,36.0,5.7,22.3,-16.1,7.2
2022-12-22,7.8,34.0,-14.8,-1.8,-28.1,7.2
2022-12-23,7.8,33.0,16.2,30.2,-8.5,7.2
2022-12-24,7.8,32.0,27.7,35.8,21.4,7.2
2022-12-25,7.8,31.0,29.3,38.1,19.2,7.2
2022-12-26,7.8,31.0,29.8,37.8,18.1,7.2
2022-12-27,8.9,35.0,32.2,38.3,26.6,8.2
2022-12-28,8.9,35.0,17.8,26.6,5.7,8.2
2022-12-29,8.9,35.0,12.0,21.6,5.2,8.2
2022-12-30,9.1,35.0,19.6,26.8,9.3,8.3
2022-12-31,9.5,36.0,24.4,28.0,20.1,8.6
2023-01-01,10.4,52.0,19.8,21.4,17.4,9.6
2023-01-02,10.9,54.0,16.9,20.1,14.5,10.0
2023-01-03,10.9,52.0,16.5,24.1,9.9,10.0
2023-01-04,10.9,49.0,13.1,23.7,4.3,10.0
2023-01-05,10.9,47.0,25.0,32.5,14.5,10.0
2023-01-06,10.9,45.0,23.4,33.8,13.5,10.0
2023-01-07,10.9,44.0,21.0,32.2,13.3,10.0
2023-01-08,11.0,43.0,22.8,31.3,15.3,10.1
2023-01-09,11.1,44.0,25.9,32.9,16.2,10.2
2023-01-10,11.5,45.0,27.3,32.5,23.5,10.6
2023-01-11,11.8,49.0,23.0,30.4,10.0,10.9
2023-01-12,11.8,48.0,21.7,30.6,7.7,10.9
2023-01-13,11.8,46.0,33.4,41.4,24.1,10.9
2023-01-14,11.8,45.0,29.5,36.0,23.7,10.9
2023-01-15,11.8,45.0,24.3,31.8,19.4,11.0
2023-01-16,11.8,44.0,20.8,30.2,12.2,11.0
2023-01-17,11.8,42.0,18.9,28.6,10.8,11.0
2023-01-18,11.8,43.0,14.7,28.0,5.9,11.0
2023-01-19,11.8,43.0,19.0,31.3,9.3,11.0
2023-01-20,11.8,42.0,15.8,25.9,9.0,11.1
2023-01-21,11.8,42.0,13.8,29.1,2.8,11.1
2023-01-22,11.9,43.0,18.1,30.2,11.5,11.2
2023-01-23,11.9,45.0,18.0,27.0,10.8,11.2
2023-01-24,11.9,44.0,14.7,28.9,5.7,11.2
2023-01-25,11.9,44.0,10.9,21.7,2.7,11.2
2023-01-26,11.9,43.0,22.5,38.5,4.6,11.2
2023-01-27,11.9,43.0,20.7,28.0,15.8,11.2
2023-01-28,12.3,47.0,7.5,18.3,-8.0,11.6
2023-01-29,12.4,46.0,-13.7,-8.0,-21.6,11.7
2023-01-30,12.4,45.0,-9.4,8.8,-19.5,11.7
