datetime,00060_Mean,00060_Mean_cd,site_no
1949-10-01 00:00:00+00:00,305.0,A,09361500
1949-10-02 00:00:00+00:00,281.0,A,09361500
1949-10-03 00:00:00+00:00,262.0,A,09361500
1949-10-05 00:00:00+00:00,262.0,A,09361500
1949-10-06 00:00:00+00:00,262.0,A,09361500
1949-10-07 00:00:00+00:00,254.0,A,09361500
1949-10-08 00:00:00+00:00,254.0,A,09361500
1949-10-09 00:00:00+00:00,258.0,A,09361500
1949-10-10 00:00:00+00:00,273.0,A,09361500
1949-10-11 00:00:00+00:00,285.0,A,09361500
1949-10-12 00:00:00+00:00,285.0,A,09361500
1949-10-13 00:00:00+00:00,293.0,A,09361500
1949-10-14 00:00:00+00:00,297.0,A,09361500
1949-10-15 00:00:00+00:00,293.0,A,09361500
1949-10-16 00:00:00+00:00,285.0,A,09361500
1949-10-17 00:00:00+00:00,285.0,A,09361500
1949-10-18 00:00:00+00:00,333.0,A,09361500
1949-10-19 00:00:00+00:00,368.0,A,09361500
1949-10-20 00:00:00+00:00,352.0,A,09361500
1949-10-21 00:00:00+00:00,328.0,A,09361500
1949-10-22 00:00:00+00:00,319.0,A,09361500
1949-10-23 00:00:00+00:00,314.0,A,09361500
1949-10-24 00:00:00+00:00,305.0,A,09361500
1949-10-25 00:00:00+00:00,314.0,A,09361500
1949-10-26 00:00:00+00:00,310.0,A,09361500
1949-10-27 00:00:00+00:00,314.0,A,09361500
1949-10-28 00:00:00+00:00,305.0,A,09361500
1949-10-29 00:00:00+00:00,289.0,A,09361500
1949-10-30 00:00:00+00:00,285.0,A,09361500
1949-10-31 00:00:00+00:00,277.0,A,09361500
1949-11-01 00:00:00+00:00,277.0,A,09361500
1949-11-02 00:00:00+00:00,277.0,A,09361500
1949-11-03 00:00:00+00:00,277.0,A,09361500
1949-11-04 00:00:00+00:00,273.0,A,09361500
1949-11-05 00:00:00+00:00,262.0,A,09361500
1949-11-06 00:00:00+00:00,265.0,A,09361500
1949-11-07 00:00:00+00:00,258.0,A,09361500
1949-11-08 00:00:00+00:00,265.0,A,09361500
1949-11-09 00:00:00+00:00,269.0,A,09361500
1949-11-10 00:00:00+00:00,277.0,A,09361500
1949-11-11 00:00:00+00:00,289.0,A,09361500
1949-11-12 00:00:00+00:00,269.0,A,09361500
1949-11-13 00:00:00+00:00,265.0,A,09361500
1949-11-14 00:00:00+00:00,258.0,A,09361500
1949-11-15 00:00:00+00:00,265.0,A,09361500
1949-11-16 00:00:00+00:00,265.0,A,09361500
1949-11-17 00:00:00+00:00,265.0,A,09361500
1949-11-18 00:00:00+00:00,262.0,A,09361500
1949-11-19 00:00:00+00:00,262.0,A,09361500
1949-11-20 00:00:00+00:00,258.0,A,09361500
1949-11-21 00:00:00+00:00,248.0,A,09361500
1949-11-22 00:00:00+00:00,262.0,A,09361500
1949-11-23 00:00:00+00:00,262.0,A,09361500
1949-11-24 00:00:00+00:00,262.0,A,09361500
1949-11-25 00:00:00+00:00,258.0,A,09361500
1949-11-26 00:00:00+00:00,258.0,A,09361500
1949-11-27 00:00:00+00:00,262.0,A,09361500
1949-11-28 00:00:00+00:00,237.0,A,09361500
1949-11-29 00:00:00+00:00,244.0,A,09361500
1949-11-30 00:00:00+00:00,240.0,A,09361500
1949-12-01 00:00:00+00:00,237.0,A,09361500
1949-12-02 00:00:00+00:00,234.0,A,09361500
1949-12-03 00:00:00+00:00,224.0,A,09361500
1949-12-04 00:00:00+00:00,221.0,A,09361500
1949-12-05 00:00:00+00:00,200.0,A,09361500
1949-12-06 00:00:00+00:00,206.0,A,09361500
1949-12-07 00:00:00+00:00,215.0,A,09361500
1949-12-08 00:00:00+00:00,215.0,A,09361500
1949-12-09 00:00:00+00:00,218.0,A,09361500
1949-12-10 00:00:00+00:00,226.0,A,09361500
1949-12-11 00:00:00+00:00,215.0,A,09361500
1949-12-12 00:00:00+00:00,197.0,A,09361500
1949-12-13 00:00:00+00:00,200.0,A,09361500
1949-12-14 00:00:00+00:00,197.0,A,09361500
1949-12-15 00:00:00+00:00,191.0,A,09361500
1949-12-16 00:00:00+00:00,194.0,A,09361500
1949-12-17 00:00:00+00:00,222.0,A,09361500
1949-12-18 00:00:00+00:00,226.0,A,09361500
1949-12-19 00:00:00+00:00,222.0,A,09361500
1949-12-20 00:00:00+00:00,236.0,A,09361500
1949-12-21 00:00:00+00:00,212.0,A,09361500
1949-12-22 00:00:00+00:00,185.0,A,09361500
1949-12-23 00:00:00+00:00,191.0,A,09361500
1949-12-24 00:00:00+00:00,200.0,A,09361500
1949-12-25 00:00:00+00:00,209.0,A,09361500
1949-12-26 00:00:00+00:00,198.0,A,09361500
1949-12-27 00:00:00+00:00,195.0,A,09361500
1949-12-28 00:00:00+00:00,198.0,A,09361500
1949-12-29 00:00:00+00:00,209.0,A,09361500
1949-12-30 00:00:00+00:00,218.0,A,09361500
1949-12-31 00:00:00+00:00,218.0,A,09361500
1950-01-01 00:00:00+00:00,218.0,A,09361500
1950-01-02 00:00:00+00:00,206.0,A,09361500
1950-01-03 00:00:00+00:00,218.0,A,09361500
1950-01-04 00:00:00+00:00,176.0,A,09361500
1950-01-05 00:00:00+00:00,190.0,A,09361500
1950-01-06 00:00:00+00:00,200.0,A,09361500
1950-01-07 00:00:00+00:00,226.0,A,09361500
1950-01-08 00:00:00+00:00,222.0,A,09361500
1950-01-09 00:00:00+00:00,218.0,A,09361500
1950-01-10 00:00:00+00:00,215.0,A,09361500
1950-01-11 00:00:00+00:00,215.0,A,09361500
1950-01-12 00:00:00+00:00,212.0,A,09361500
1950-01-13 00:00:00+00:00,222.0,A,09361500
1950-01-14 00:00:00+00:00,197.0,A,09361500
1950-01-15 00:00:00+00:00,218.0,A,09361500
1950-01-16 00:00:00+00:00,215.0,A,09361500
1950-01-17 00:00:00+00:00,226.0,A,09361500
1950-01-18 00:00:00+00:00,226.0,A,09361500
1950-01-19 00:00:00+00:00,222.0,A,09361500
1950-01-20 00:00:00+00:00,226.0,A,09361500
1950-01-21 00:00:00+00:00,226.0,A,09361500
1950-01-22 00:00:00+00:00,226.0,A,09361500
1950-01-23 00:00:00+00:00,209.0,A,09361500
